 	SPACE	 
ALCIBIADE	PROPN	ALCIBIADE
OU	CCONJ	ou
LE	DET	le
MOI	NOUN	moi
La	DET	le
nature	NOUN	nature
et	CCONJ	et
la	DET	le
fortune	NOUN	fortune
semblaient	VERB	sembler
avoir	AUX	avoir
conspiré	VERB	conspirer
au	ADP	au
bonheur	NOUN	bonheur
d	ADP	d
'	ADP	'
Alcibiade	PROPN	Alcibiade
.	PUNCT	.
Richesses	NOUN	richesse
,	PUNCT	,
talents	NOUN	talent
,	PUNCT	,
beauté	NOUN	beauté
,	PUNCT	,
naissance	NOUN	naissance
,	PUNCT	,
la	DET	le
fleur	NOUN	fleur
de	ADP	de
l	DET	l
'	DET	'
âge	NOUN	âge
et	CCONJ	et
la	DET	le
santé	NOUN	santé
,	PUNCT	,
que	ADV	que
de	ADP	de
titres	NOUN	titre
pour	ADP	pour
avoir	VERB	avoir
tous	ADJ	tout
les	DET	le
ridicules	NOUN	ridicule
!	PUNCT	!
Alcibiade	PROPN	Alcibiade
n	ADV	n
'	ADV	'
en	PRON	en
avait	VERB	avoir
qu	ADV	qu
'	ADV	'
un	PRON	un
,	PUNCT	,
il	PRON	il
voulait	VERB	vouloir
être	AUX	être
aimé	VERB	aimer
pour	ADP	pour
lui-même	PRON	lui-même
.	PUNCT	.
Depuis	ADP	depuis
la	DET	le
coquetterie	NOUN	coquetterie
jusqu	ADP	jusqu
'	ADP	'
à	ADP	à
la	DET	le
sagesse	NOUN	sagesse
,	PUNCT	,
il	PRON	il
avait	AUX	avoir
tout	PRON	tout
séduit	VERB	séduire
dans	ADP	dans
Athènes	PROPN	Athènes
;	PUNCT	;
mais	CCONJ	mais
en	ADP	en
lui	PRON	lui
était	AUX	être
-ce	PRON	-ce
bien	ADV	bien
lui	PRON	lui
qu	PRON	que
'	PRON	'
on	PRON	on
aimait	VERB	aimer
?	PUNCT	?
Cette	DET	ce
délicatesse	NOUN	délicatesse
lui	PRON	lui
prit	VERB	prendre
un	DET	un
matin	NOUN	matin
,	PUNCT	,
comme	SCONJ	comme
il	PRON	il
venait	VERB	venir
de	ADP	de
faire	VERB	faire
sa	DET	son
cour	NOUN	cour
à	ADP	à
une	DET	un
prude	NOUN	prude
:	PUNCT	:
c	PRON	c
'	PRON	'
est	AUX	être
le	DET	le
moment	NOUN	moment
des	ADP	de
réflexions	NOUN	réflexion
.	PUNCT	.
Alcibiade	PROPN	Alcibiade
en	PRON	en
fit	VERB	faire
sur	ADP	sur
ce	PRON	ce
qu	PRON	que
'	PRON	'
on	PRON	on
appelle	VERB	appeler
le	DET	le
sentiment	NOUN	sentiment
pur	ADJ	pur
,	PUNCT	,
la	DET	le
métaphysique	NOUN	métaphysique
de	ADP	de
l	DET	l
'	DET	'
amour	NOUN	amour
.	PUNCT	.
Je	PRON	je
suis	AUX	être
bien	ADV	bien
dupe	ADJ	dupe
,	PUNCT	,
disait	VERB	dire
-il	PRON	il
,	PUNCT	,
de	ADP	de
prodiguer	VERB	prodiguer
mes	DET	mon
soins	NOUN	soin
