 	SPACE	 
PRÉFACE	PROPN	PRÉFACE
Toutes	ADJ	tout
les	DET	le
nations	NOUN	nation
ont	AUX	avoir
eu	VERB	avoir
leurs	DET	leur
brigands	NOUN	brigand
et	CCONJ	et
leurs	DET	leur
fanatiques	NOUN	fanatique
,	PUNCT	,
leurs	DET	leur
temps	NOUN	temps
de	ADP	de
barbarie	NOUN	barbarie
,	PUNCT	,
leurs	DET	leur
accès	NOUN	accès
de	ADP	de
fureur	NOUN	fureur
.	PUNCT	.
Les	DET	le
plus	ADV	plus
estimables	ADJ	estimable
sont	AUX	être
celles	PRON	celui
qui	PRON	qui
s	PRON	s
'	PRON	'
en	PRON	en
accusent	VERB	accuser
.	PUNCT	.
Les	DET	le
espagnols	NOUN	espagnol
ont	AUX	avoir
eu	VERB	avoir
cette	DET	ce
fierté	NOUN	fierté
,	PUNCT	,
digne	ADJ	digne
de	ADP	de
leur	DET	leur
caractère	NOUN	caractère
.	PUNCT	.
Jamais	ADV	jamais
l	DET	l
'	DET	'
histoire	NOUN	histoire
n	ADV	n
'	ADV	'
a	AUX	avoir
rien	PRON	rien
tracé	VERB	tracer
de	ADP	de
plus	ADV	plus
touchant	ADJ	touchant
,	PUNCT	,
de	ADP	de
plus	ADV	plus
terrible	ADJ	terrible
,	PUNCT	,
que	SCONJ	que
les	DET	le
malheurs	NOUN	malheur
du	ADP	de
nouveau	ADJ	nouveau
monde	NOUN	monde
,	PUNCT	,
dans	ADP	dans
le	DET	le
livre	NOUN	livre
de	ADP	de
Las	PROPN	Las
-	PROPN	-
Casas	PROPN	Casas
.	PUNCT	.
Cet	DET	ce
apôtre	NOUN	apôtre
de	ADP	de
l	DET	l
'	DET	'
Inde	PROPN	Inde
,	PUNCT	,
ce	DET	ce
vertueux	ADJ	vertueux
prélat	NOUN	prélat
,	PUNCT	,
ce	DET	ce
témoin	NOUN	témoin
qu	PRON	que
'	PRON	'
a	AUX	avoir
rendu	VERB	rendre
célèbre	ADJ	célèbre
sa	DET	son
sincérité	NOUN	sincérité
courageuse	ADJ	courageux
,	PUNCT	,
compare	VERB	compare
les	DET	le
indiens	NOUN	indien
à	ADP	à
des	DET	un
agneaux	NOUN	agneau
,	PUNCT	,
et	CCONJ	et
les	DET	le
espagnols	NOUN	espagnol
à	ADP	à
des	DET	un
tigres	NOUN	tigre
,	PUNCT	,
à	ADP	à
des	DET	un
loups	NOUN	loup
dévorants	ADJ	dévorant
,	PUNCT	,
à	ADP	à
des	DET	un
lions	NOUN	lion
pressés	VERB	presser
d	ADP	d
'	ADP	'
une	DET	un
longue	ADJ	long
faim	NOUN	faim
.	PUNCT	.
Tout	ADJ	tout
ce	PRON	ce
qu	PRON	que
'	PRON	'
il	PRON	il
dit	VERB	dire
dans	ADP	dans
son	DET	son
livre	NOUN	livre
,	PUNCT	,
il	PRON	il
l	PRON	l
'	PRON	'
avait	AUX	avoir
dit	VERB	dire
aux	ADP	à
rois	NOUN	roi
,	PUNCT	,
au	ADP	au
conseil	NOUN	conseil
de	ADP	de
Castille	PROPN	Castille
,	PUNCT	,
au	ADP	au
milieu	NOUN	milieu
d	ADP	d
'	ADP	'
une	DET	un
cour	NOUN	cour
vendue	VERB	vendre
à	ADP	à
ces	DET	ce
brigands	NOUN	brigand
qu	PRON	que
'	PRON	'
il	PRON	il
accusait	VERB	accuser
.	PUNCT	.
Jamais	ADV	jamais
on	PRON	on
n	ADV	n
'	ADV	'
a	AUX	avoir
blâmé	VERB	blâmer
son	DET	son
zèle	NOUN	zèle
;	PUNCT	;
on	PRON	on
l	PRON	l
'	PRON	'
a	AUX	avoir
même	ADV	même
honoré	VERB	honorer
:	PUNCT	:
preuve	NOUN	preuve
bien	ADV	bien
éclatante	ADJ	éclatant
que	SCONJ	que
les	DET	le
crimes	NOUN	crime
qu	PRON	que
'	PRON	'
il	PRON	il
dénonçoit	VERB	dénonçoit
,	PUNCT	,
n	ADV	n
'	ADV	'
étaient	AUX	être
ni	CCONJ	ni
permis	VERB	permettre
par	ADP	par
le	DET	le
prince	NOUN	prince
,	PUNCT	,
ni	CCONJ	ni
avoués	VERB	avouer
par	ADP	par
la	DET	le
nation	NOUN	nation
.	PUNCT	.
On	PRON	on
sait	VERB	savoir
que	SCONJ	que
la	DET	le
volonté	NOUN	volonté
d	ADP	d
'	ADP	'
Isabelle	PROPN	Isabelle
,	PUNCT	,
de	ADP	de
Ferdinand	PROPN	Ferdinand
,	PUNCT	,
de	ADP	de
Ximenès	PROPN	Ximenès
,	PUNCT	,
de	ADP	de
Charles	PROPN	Charles
-	PROPN	-
Quint	PROPN	Quint
,	PUNCT	,
fut	AUX	être
constamment	ADV	constamment
de	ADP	de
ménager	VERB	ménager
les	DET	le
indiens	NOUN	indien
;	PUNCT	;
c	PRON	c
'	PRON	'
est	AUX	être
ce	PRON	ce
qu	PRON	que
'	PRON	'
attestent	VERB	attester
toutes	ADJ	tout
les	DET	le
ordonnances	NOUN	ordonnance
,	PUNCT	,
tous	ADJ	tout
les	DET	le
réglements	NOUN	réglement
faits	VERB	faire
pour	ADP	pour
eux	PRON	lui
.	PUNCT	.
Quant	ADV	quant
à	ADP	à
ces	DET	ce
crimes	NOUN	crime
,	PUNCT	,
dont	PRON	dont
l	DET	l
'	DET	'
Espagne	PROPN	Espagne
s	PRON	s
'	PRON	'
est	AUX	être
lavée	VERB	laver
,	PUNCT	,
en	ADP	en
les	PRON	le
publiant	VERB	publier
elle-même	PRON	lui-même
et	CCONJ	et
en	ADP	en
les	PRON	le
dévouant	VERB	dévouer
au	ADP	au
blâme	NOUN	blâme
,	PUNCT	,
onva	PRON	onva
voir	VERB	voir
que	SCONJ	que
par	ADV	par
-	ADP	-
tout	ADV	tout
ailleurs	ADV	ailleurs
les	DET	le
mêmes	ADJ	même
circonstances	NOUN	circonstance
auraient	AUX	avoir
trouvé	VERB	trouver
des	DET	un
hommes	NOUN	homme
capables	ADJ	capable
des	ADP	de
mêmes	ADJ	même
excès	NOUN	excès
.	PUNCT	.
Les	DET	le
peuples	NOUN	peuple
de	ADP	de
la	DET	le
zone	NOUN	zone
tempérée	ADJ	tempérer
,	PUNCT	,
transplantés	VERB	transplanter
entre	ADP	entre
les	DET	le
tropiques	NOUN	tropique
,	PUNCT	,
ne	ADV	ne
peuvent	VERB	pouvoir
,	PUNCT	,
sous	ADP	sous
un	DET	un
ciel	NOUN	ciel
brûlant	ADJ	brûlant
,	PUNCT	,
soutenir	VERB	soutenir
de	DET	de
rudes	ADJ	rude
travaux	NOUN	travail
.	PUNCT	.
Il	PRON	il
fallait	VERB	falloir
donc	ADV	donc
,	PUNCT	,
ou	CCONJ	ou
renoncer	VERB	renoncer
à	ADP	à
conquérir	VERB	conquérir
le	DET	le
nouveau	ADJ	nouveau
monde	NOUN	monde
,	PUNCT	,
ou	CCONJ	ou
se	PRON	se
borner	VERB	borner
à	ADP	à
un	DET	un
commerce	NOUN	commerce
paisible	ADJ	paisible
avec	ADP	avec
les	DET	le
indiens	NOUN	indien
,	PUNCT	,
ou	CCONJ	ou
les	PRON	le
contraindre	VERB	contraindre
par	ADP	par
la	DET	le
force	NOUN	force
de	ADP	de
travailler	VERB	travailler
à	ADP	à
la	DET	le
fouille	NOUN	fouille
des	ADP	de
mines	NOUN	mine
et	CCONJ	et
à	ADP	à
la	DET	le
culture	NOUN	culture
des	ADP	de
champs	NOUN	champ
.	PUNCT	.
Pour	ADP	pour
renoncer	VERB	renoncer
à	ADP	à
la	DET	le
conquête	NOUN	conquête
,	PUNCT	,
il	PRON	il
eût	AUX	avoir
fallu	VERB	falloir
une	DET	un
sagesse	NOUN	sagesse
que	PRON	que
les	DET	le
peuples	NOUN	peuple
n	ADV	n
'	ADV	'
ont	AUX	avoir
jamais	ADV	jamais
eue	VERB	avoir
,	PUNCT	,
et	CCONJ	et
que	PRON	que
les	DET	le
rois	NOUN	roi
ont	VERB	avoir
rarement	ADV	rarement
.	PUNCT	.
Se	PRON	se
borner	VERB	borner
à	ADP	à
un	DET	un
libre	ADJ	libre
échange	NOUN	échange
de	ADP	de
secours	NOUN	secours
mutuels	ADJ	mutuel
eût	AUX	avoir
été	AUX	être
le	DET	le
plus	ADV	plus
juste	ADJ	juste
:	PUNCT	:
par	ADP	par
de	DET	de
nouveaux	ADJ	nouveau
besoins	NOUN	besoin
et	CCONJ	et
de	DET	de
nouveaux	ADJ	nouveau
plaisirs	NOUN	plaisir
,	PUNCT	,
l	DET	l
'	DET	'
indien	NOUN	indien
serait	AUX	être
devenu	VERB	devenir
plus	ADV	plus
laborieux	ADJ	laborieux
,	PUNCT	,
plus	ADV	plus
actif	ADJ	actif
,	PUNCT	,
et	CCONJ	et
la	DET	le
douceur	NOUN	douceur
eût	AUX	avoir
obtenu	VERB	obtenir
de	ADP	de
lui	PRON	lui
ce	PRON	ce
que	PRON	que
n	ADV	n
'	ADV	'
a	AUX	avoir
pu	VERB	pouvoir
la	DET	le
violence	NOUN	violence
.	PUNCT	.
Mais	CCONJ	mais
le	DET	le
fort	NOUN	fort
,	PUNCT	,
à	ADP	à
l	DET	l
'	DET	'
égard	NOUN	égard
du	ADP	de
faible	NOUN	faible
,	PUNCT	,
dédaigne	VERB	dédaigne
ces	DET	ce
ménagements	NOUN	ménagement
:	PUNCT	:
l	DET	l
'	DET	'
égalité	NOUN	égalité
le	PRON	le
blesse	VERB	blesse
;	PUNCT	;
il	PRON	il
domine	VERB	domine
,	PUNCT	,
il	PRON	il
commande	VERB	commande
,	PUNCT	,
il	PRON	il
veut	VERB	vouloir
recevoir	VERB	recevoir
sans	ADP	sans
donner	VERB	donner
.	PUNCT	.
Chacun	PRON	chacun
,	PUNCT	,
en	ADP	en
abordant	VERB	aborder
aux	ADP	à
Indes	PROPN	Indes
,	PUNCT	,
était	AUX	être
pressé	VERB	presser
de	ADP	de
s	PRON	s
'	PRON	'
enrichir	VERB	enrichir
;	PUNCT	;
et	CCONJ	et
l	DET	l
'	DET	'
échange	NOUN	échange
était	AUX	être
un	DET	un
moyen	NOUN	moyen
trop	ADV	trop
lent	ADJ	lent
pour	ADP	pour
leur	DET	leur
impatience	NOUN	impatience
.	PUNCT	.
L	DET	l
'	DET	'
équité	NOUN	équité
naturelle	ADJ	naturel
avait	AUX	avoir
beau	ADJ	beau
leur	PRON	leur
crier	VERB	crier
:	PUNCT	:
"	PUNCT	"
si	SCONJ	si
vous	PRON	vous
ne	ADV	ne
pouvez	VERB	pouvoir
pas	ADV	pas
vous	PRON	vous
-	PRON	-
mêmes	PRON	même
tirer	VERB	tirer
du	ADP	de
sein	NOUN	sein
d	ADP	d
'	ADP	'
une	DET	un
terre	NOUN	terre
sauvage	ADJ	sauvage
les	DET	le
productions	NOUN	production
,	PUNCT	,
les	DET	le
métaux	NOUN	métal
,	PUNCT	,
les	DET	le
richesses	NOUN	richesse
qu	PRON	que
'	PRON	'
elle	PRON	lui
renferme	VERB	renferme
,	PUNCT	,
abandonnez	VERB	abandonner
-	PROPN	-
la	PRON	le
;	PUNCT	;
soyez	VERB	être
pauvres	ADJ	pauvre
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
soyez	PRON	soyez
pas	ADV	pas
inhumains	ADJ	inhumain
.	PUNCT	.
"	PUNCT	"
fainéants	ADJ	fainéant
et	CCONJ	et
avares	ADJ	avare
,	PUNCT	,
ils	PRON	il
voulurent	VERB	vouloir
avoir	VERB	avoir
,	PUNCT	,
dans	ADP	dans
leur	DET	leur
oisiveté	NOUN	oisiveté
superbe	ADJ	superbe
,	PUNCT	,
des	DET	un
esclaves	NOUN	esclave
et	CCONJ	et
des	DET	un
trésors	NOUN	trésor
.	PUNCT	.
Les	DET	le
portugais	NOUN	portugais
avaient	AUX	avoir
déjà	ADV	déjà
trouvé	VERB	trouver
l	DET	l
'	DET	'
affreuse	ADJ	affreux
ressource	NOUN	ressource
des	ADP	de
negres	NOUN	negre
;	PUNCT	;
les	DET	le
espagnols	NOUN	espagnol
ne	ADV	ne
l	PRON	l
'	PRON	'
avaient	VERB	avoir
pas	ADV	pas
;	PUNCT	;
les	DET	le
indiens	NOUN	indien
,	PUNCT	,
naturellement	ADV	naturellement
faibles	ADJ	faible
,	PUNCT	,
accoutumés	VERB	accoutumer
à	ADP	à
vivre	VERB	vivre
de	ADP	de
peu	ADV	peu
,	PUNCT	,
sans	ADP	sans
désirs	NOUN	désir
,	PUNCT	,
presque	ADV	presque
sans	ADP	sans
besoins	NOUN	besoin
,	PUNCT	,
amollis	VERB	amollir
dans	ADP	dans
l	DET	l
'	DET	'
oisiveté	NOUN	oisiveté
,	PUNCT	,
regardaient	VERB	regarder
comme	ADP	comme
