 	SPACE	 
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
LE	DET	le
LIBERTIN	NOUN	libertin
DE	ADP	de
QUALITÉ	NOUN	qualité
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*

	SPACE	

Jusqu'	ADP	jusque
ici	ADV	ici
,	PUNCT	,
mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
été	AUX	être
un	DET	un
vaurien	NOUN	vaurien
;	PUNCT	;
j'	PRON	je
ai	AUX	avoir
couru	VERB	courir
les	DET	le
beautés	NOUN	beauté
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
fait	VERB	faire
le	DET	le
difficile	ADJ	difficile
:	PUNCT	:
à	ADP	à
présent	NOUN	présent
la	DET	le
vertu	NOUN	vertu
rentre	VERB	rentre
dans	ADP	dans
mon	DET	mon
cœur	NOUN	cœur
;	PUNCT	;
je	PRON	je
ne	ADV	ne
veux	VERB	vouloir
plus	ADV	plus
foutre	VERB	foutre
que	ADV	que
pour	ADP	pour
de	ADP	de
l'	DET	le
argent	NOUN	argent
;	PUNCT	;
je	PRON	je
vais	VERB	aller
m'	PRON	me
afficher	VERB	afficher
étalon	NOUN	étalon
juré	VERB	jurer
des	ADP	de
femmes	NOUN	femme
sur	ADP	sur
le	DET	le
retour	NOUN	retour
,	PUNCT	,
et	CCONJ	et
je	PRON	je
leur	PRON	leur
apprendrai	VERB	apprendre
à	ADP	à
jouer	VERB	jouer
du	DET	de
cul	NOUN	cul
à	ADP	à
tant	ADV	tant
par	ADP	par
mois	NOUN	mois
.	PUNCT	.

	SPACE	

Il	PRON	il
me	PRON	me
semble	VERB	semble
déjà	ADV	déjà
voir	VERB	voir
une	DET	un
dondon	NOUN	dondon
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
a	VERB	avoir
plus	ADV	plus
que	ADV	que
six	NUM	six
mois	NOUN	mois
à	ADP	à
passer	VERB	passer
pour	ADP	pour
quarantaine	NOUN	quarantaine
,	PUNCT	,
m'	PRON	me
offrir	VERB	offrir
la	DET	le
molle	ADJ	mou
épaisseur	NOUN	épaisseur
d'	ADP	de
une	DET	un
ample	ADJ	ample
fressure	NOUN	fressure
.	PUNCT	.
Elle	PRON	lui
est	AUX	être
fraîche	ADJ	frais
encore	ADV	encore
dans	ADP	dans
sa	DET	son
courte	ADJ	court
grosseur	NOUN	grosseur
;	PUNCT	;
ses	DET	son
tétons	NOUN	téton
rougissans	ADJ	rougissan
d'	ADP	de
une	DET	un
substance	NOUN	substance
trop	ADV	trop
abondante	ADJ	abondant
,	PUNCT	,
sont	AUX	être
d'	ADP	de
accord	NOUN	accord
avec	ADP	avec
ses	DET	son
petits	ADJ	petit
yeux	NOUN	oeil
pour	ADP	pour
exprimer	VERB	exprimer
toute	DET	tout
autre	ADJ	autre
chose	NOUN	chose
que	SCONJ	que
la	DET	le
pudeur	NOUN	pudeur
;	PUNCT	;
elle	PRON	lui
me	PRON	me
patine	VERB	patine
la	DET	le
main	NOUN	main
:	PUNCT	:
car	CCONJ	car
la	DET	le
financière	NOUN	financière
,	PUNCT	,
comme	ADP	comme
son	DET	son
mari	NOUN	mari
,	PUNCT	,
patine	VERB	patine
tout	PRON	tout
et	CCONJ	et
toujours	ADV	toujours
;	PUNCT	;
je	PRON	je
rougis	VERB	rougir
:	PUNCT	:
ah	INTJ	ah
voyez	VERB	voir
comme	SCONJ	comme
cela	PRON	cela
me	PRON	me
va	VERB	aller
,	PUNCT	,
comme	SCONJ	comme
mes	DET	mon
yeux	NOUN	oeil
s'	PRON	se
animent	VERB	animer
,	PUNCT	,
comme	SCONJ	comme
mon	DET	mon
pucelage	NOUN	pucelage
m'	PRON	me
étouffe	VERB	étouffe
;	PUNCT	;
car	CCONJ	car
vous	PRON	vous
noterez	VERB	noter
que	SCONJ	que
j'	PRON	je
ai	VERB	avoir
mon	DET	mon
pucelage	NOUN	pucelage
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
je	PRON	je
cherche	VERB	cherche
à	ADP	à
me	PRON	me
faire	AUX	faire
élever	VERB	élever
.	PUNCT	.
On	PRON	on
m'	PRON	me
offre	VERB	offrir
plus	ADV	plus
que	SCONJ	que
je	PRON	je
ne	ADV	ne
veux	VERB	vouloir
;	PUNCT	;
les	DET	le
agaceries	NOUN	agacerie
sont	AUX	être
de	DET	de
vraies	ADJ	vrai
orgies	NOUN	orgie
...	PUNCT	...
Foin	ADV	foin
,	PUNCT	,
je	PRON	je
ne	ADV	ne
bande	VERB	bande
point	ADV	point
...	PUNCT	...
Je	PRON	je
deviens	VERB	devenir
triste	ADJ	triste
,	PUNCT	,
mes	DET	mon
malheurs	NOUN	malheur
me	PRON	me
tourmentent	VERB	tourmenter
;	PUNCT	;
des	DET	un
créanciers	NOUN	créancier
avides	ADJ	avide
...	PUNCT	...
Pendant	ADP	pendant
ce	DET	ce
temps	NOUN	temps
-là	NOUN	-là
,	PUNCT	,
ma	DET	mon
main	NOUN	main
erre	VERB	erre
;	PUNCT	;
elle	PRON	lui
s'	PRON	se
anime	VERB	anime
:	PUNCT	:
quelle	DET	quel
légèreté	NOUN	légèreté
comme	SCONJ	comme
la	DET	le
cadence	NOUN	cadence
est	AUX	être
brillante	ADJ	brillant
ma	DET	mon
voix	NOUN	voix
exprime	VERB	exprime
l'	DET	le
adage	NOUN	adage
,	PUNCT	,
mon	DET	mon
archet	NOUN	archet
est	AUX	être
l'	DET	le
organe	NOUN	organe
d'	ADP	de
un	DET	un
presto	NOUN	presto
vigoureux	ADJ	vigoureux
et	CCONJ	et
soutenu	ADJ	soutenir
.	PUNCT	.
Ah	ADV	ah
mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
voyez	VERB	voir
le	DET	le
cul	NOUN	cul
de	ADP	de
ma	DET	mon
dondon	PROPN	dondon
,	PUNCT	,
comme	SCONJ	comme
il	PRON	il
bondit	VERB	bondir
...	PUNCT	...
Sa	DET	son
poitrine	NOUN	poitrine
siffle	VERB	siffle
,	PUNCT	,
son	DET	son
gosier	NOUN	gosier
se	PRON	se
serre	VERB	serre
,	PUNCT	,
son	DET	son
c	NOUN	c
...	PUNCT	...
décharge	VERB	décharger
,	PUNCT	,
elle	PRON	lui
est	AUX	être
en	ADP	en
fureur	NOUN	fureur
,	PUNCT	,
elle	PRON	lui
veut	VERB	vouloir
m'	PRON	me
entraîner	VERB	entraîner
...	PUNCT	...
Là	ADV	là
,	PUNCT	,
là	ADV	là
,	PUNCT	,
tout	ADV	tout
doux	ADJ	doux
...	PUNCT	...
La	DET	le
douleur	NOUN	douleur
me	PRON	me
ressaisit	VERB	ressaisir
...	PUNCT	...
On	PRON	on
me	PRON	me
fait	VERB	faire
des	DET	un
offres	NOUN	offre
:	PUNCT	:
hélas	INTJ	héler
comment	ADV	comment
se	PRON	se
résoudre	VERB	résoudre
à	ADP	à
accepter	VERB	accepter
d'	ADP	de
une	DET	un
femme	NOUN	femme
à	ADP	à
qui	PRON	qui
on	PRON	on
voudrait	VERB	vouloir
témoigner	VERB	témoigner
le	DET	le
sentiment	NOUN	sentiment
le	DET	le
plus	ADV	plus
pur	ADJ	pur
On	PRON	on
redouble	VERB	redouble
;	PUNCT	;
je	PRON	je
pleure	VERB	pleure
:	PUNCT	:
l'	DET	le
or	NOUN	or
paraît	VERB	paraître
...	PUNCT	...
L'	DET	le
or	NOUN	or
...	PUNCT	...
Sacredieu	NOUN	sacredieu
je	PRON	je
bande	VERB	bande
et	CCONJ	et
je	PRON	je
la	PRON	le
fous	VERB	foutre
.	PUNCT	.

	SPACE	

Mais	CCONJ	mais
ma	DET	mon
chaste	ADJ	chaste
dondon	NOUN	dondon
en	PRON	en
paie	VERB	payer
plus	ADV	plus
d'	ADP	de
un	PRON	un
;	PUNCT	;
aussi	ADV	aussi
bientôt	ADV	bientôt
après	ADP	après
ma	DET	mon
facile	ADJ	facile
victoire	NOUN	victoire
,	PUNCT	,
je	PRON	je
me	PRON	me
fais	VERB	faire
présenter	VERB	présenter
chez	ADP	chez
madame	NOUN	monsieur
Honesta	PROPN	Honesta
(	PUNCT	(
famille	NOUN	famille
presque	ADV	presque
éteinte	VERB	éteindre
)	PUNCT	)
.	PUNCT	.
Tout	PRON	tout
y	PRON	y
respire	VERB	respire
la	DET	le
pudeur	NOUN	pudeur
et	CCONJ	et
l'	DET	le
honnêteté	NOUN	honnêteté
;	PUNCT	;
tout	DET	tout
prêche	VERB	prêche
l'	DET	le
abstinence	NOUN	abstinence
,	PUNCT	,
jusqu'	ADP	jusque
à	ADP	à
son	DET	son
visage	NOUN	visage
,	PUNCT	,
dont	PRON	dont
la	DET	le
tournure	NOUN	tournure
,	PUNCT	,
quoique	ADV	quoique
assez	ADV	assez
piquante	ADJ	piquant
,	PUNCT	,
n'	ADV	n'
a	VERB	avoir
cependant	ADV	cependant
aucun	PRON	aucun
de	ADP	de
ces	DET	ce
détails	NOUN	détail
qu'	PRON	qu'
inspirent	VERB	inspirer
la	DET	le
tendresse	NOUN	tendresse
.	PUNCT	.
Mais	CCONJ	mais
elle	PRON	lui
a	VERB	avoir
des	DET	un
yeux	NOUN	oeil
,	PUNCT	,
de	ADP	de
la	DET	le
physionomie	NOUN	physionomie
,	PUNCT	,
une	DET	un
taille	NOUN	taille
qui	PRON	qui
serait	AUX	être
trop	ADV	trop
maigre	ADJ	maigre
,	PUNCT	,
si	SCONJ	si
toute	ADJ	tout
l'	DET	le
habitude	NOUN	habitude
du	ADP	de
corps	NOUN	corps
ne	ADV	ne
s'	PRON	se
y	PRON	y
proportionnait	VERB	proportionner
pas	ADV	pas
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
louerai	VERB	louer
pas	ADV	pas
sa	DET	son
gorge	NOUN	gorge
,	PUNCT	,
quoiqu'	SCONJ	quoique
une	DET	un
gaze	NOUN	gaze
qui	PRON	qui
s'	PRON	se
est	AUX	être
dérangée	VERB	déranger
m'	PRON	me
ait	AUX	avoir
permis	VERB	permettre
d'	ADP	de
entrevoir	VERB	entrevoir
dans	ADP	dans
le	DET	le
lointain	NOUN	lointain
;	PUNCT	;
ses	DET	son
bras	NOUN	bras
sont	AUX	être
un	DET	un
peu	ADV	peu
longs	ADJ	long
,	PUNCT	,
mais	CCONJ	mais
ils	PRON	il
sont	AUX	être
flexibles	ADJ	flexible
:	PUNCT	:
on	PRON	on
pourrait	VERB	pouvoir
souhaiter	VERB	souhaiter
une	DET	un
jambe	NOUN	jambe
plus	ADV	plus
régulière	ADJ	régulier
;	PUNCT	;
telle	ADJ	tel
qu'	SCONJ	que
elle	PRON	lui
est	VERB	être
,	PUNCT	,
un	DET	un
joli	ADJ	joli
pied	NOUN	pied
la	PRON	le
termine	VERB	termine
.	PUNCT	.
Nous	PRON	nous
