 	SPACE	 
LIVRE	NOUN	livre
PREMIER	ADJ	premier
.	PUNCT	.

	SPACE	

Tant	ADV	tant
que	SCONJ	que
Ben	PROPN	Ben
Abassy	PROPN	Abassy
vécut	VERB	vivre
,	PUNCT	,
la	DET	le
Perse	PROPN	Perse
fut	AUX	être
heureuse	ADJ	heureux
;	PUNCT	;
c'	PRON	ce
était	AUX	être
un	PRON	un
de	ADP	de
ces	DET	ce
Princes	NOUN	prince
tels	ADJ	tel
que	SCONJ	que
le	DET	le
Ciel	NOUN	ciel
en	PRON	en
accorde	VERB	accorde
quelquefois	ADV	quelquefois
aux	ADP	à
hommes	NOUN	homme
dans	ADP	dans
sa	DET	son
bienveillance	NOUN	bienveillance
.	PUNCT	.
Elevé	VERB	elever
dans	ADP	dans
les	DET	le
malheurs	NOUN	malheur
,	PUNCT	,
il	PRON	il
avait	AUX	avoir
eu	VERB	avoir
à	ADP	à
combattre	VERB	combattre
plusieurs	DET	plusieurs
factions	NOUN	faction
qui	PRON	qui
déchiraient	VERB	déchirer
l'	DET	le
état	NOUN	état
;	PUNCT	;
et	CCONJ	et
il	PRON	il
devait	VERB	devoir
autant	ADV	autant
sa	DET	son
couronne	NOUN	couronne
à	ADP	à
ses	DET	son
vertus	NOUN	vertu
,	PUNCT	,
qu'	SCONJ	que
aux	ADP	à
droits	NOUN	droit
de	ADP	de
son	DET	son
sang	NOUN	sang
;	PUNCT	;
Grand	ADJ	grand
sans	ADP	sans
orgueil	NOUN	orgueil
,	PUNCT	,
populaire	ADJ	populaire
sans	ADP	sans
bassesse	NOUN	bassesse
,	PUNCT	,
Monarque	NOUN	monarque
sans	ADP	sans
ministres	NOUN	ministre
,	PUNCT	,
il	PRON	il
gouvernait	VERB	gouverner
ses	DET	son
états	NOUN	état
luimême	PRON	luimême
,	PUNCT	,
et	CCONJ	et
n'	ADV	n'
avait	AUX	avoir
jamais	ADV	jamais
voulu	VERB	vouloir
connaître	VERB	connaître
ces	DET	ce
despotes	NOUN	despote
altiers	ADJ	altier
,	PUNCT	,
placés	VERB	placer
entre	ADP	entre
le	DET	le
Thrône	PROPN	Thrône
et	CCONJ	et
le	DET	le
peuple	NOUN	peuple
,	PUNCT	,
presque	ADV	presque
toujours	ADV	toujours
ésclaves	NOUN	ésclave
de	ADP	de
l'	DET	le
un	PRON	un
,	PUNCT	,
et	CCONJ	et
tyrans	NOUN	tyran
de	ADP	de
l'	DET	le
autre	PRON	autre
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
avait	VERB	avoir
pas	ADV	pas
de	DET	de
favoris	NOUN	favori
,	PUNCT	,
mais	CCONJ	mais
il	PRON	il
avait	VERB	avoir
un	DET	un
ami	NOUN	ami
;	PUNCT	;
Zaleg	PROPN	Zaleg
était	AUX	être
le	DET	le
nom	NOUN	nom
de	ADP	de
cet	DET	ce
homme	NOUN	homme
vertueux	ADJ	vertueux
;	PUNCT	;
du	ADP	de
même	ADJ	même
âge	NOUN	âge
que	SCONJ	que
lui	PRON	lui
,	PUNCT	,
compagnon	NOUN	compagnon
de	ADP	de
ses	DET	son
travaux	NOUN	travail
;	PUNCT	;
ils	PRON	il
n'	ADV	n'
étaient	AUX	être
pas	ADV	pas
unis	VERB	unir
de	ADP	de
ces	DET	ce
liens	NOUN	lien
passagers	ADJ	passager
formés	VERB	former
au	ADP	au
sein	NOUN	sein
des	ADP	de
plaisirs	NOUN	plaisir
ou	CCONJ	ou
serrez	VERB	serrer
par	ADP	par
l'	DET	le
intérêt	NOUN	intérêt
et	CCONJ	et
la	DET	le
cupidité	NOUN	cupidité
;	PUNCT	;
mais	CCONJ	mais
de	ADP	de
cette	DET	ce
chaîne	NOUN	chaîne
douce	ADJ	doux
et	CCONJ	et
durable	ADJ	durable
,	PUNCT	,
de	ADP	de
ce	DET	ce
mouvement	NOUN	mouvement
sympathique	ADJ	sympathique
qui	PRON	qui
lie	VERB	lier
les	DET	le
gens	NOUN	gens
de	ADP	de
bien	NOUN	bien
.	PUNCT	.
C'	PRON	ce
était	AUX	être
au	ADP	au
sein	NOUN	sein
de	ADP	de
cette	DET	ce
amitié	NOUN	amitié
pure	ADJ	pur
et	CCONJ	et
sincere	ADJ	sincer
que	SCONJ	que
BenAbassy	PROPN	BenAbassy
;	PUNCT	;
venait	VERB	venir
se	PRON	se
délasser	VERB	délasser
du	ADP	de
fardeau	NOUN	fardeau
de	ADP	de
la	DET	le
royauté	NOUN	royauté
;	PUNCT	;
leurs	DET	leur
confidences	NOUN	confidence
étaient	AUX	être
réciproques	ADJ	réciproque
et	CCONJ	et
jamais	ADV	jamais
leurs	DET	leur
entretiens	NOUN	entretien
ne	ADV	ne
finissoient	VERB	finissoier
sans	ADP	sans
qu'	SCONJ	que
il	PRON	il
en	PRON	en
resultât	VERB	resulter
un	DET	un
bien	NOUN	bien
pour	ADP	pour
l'	DET	le
état	NOUN	état
.	PUNCT	.

	SPACE	

Un	DET	un
si	ADV	si
bon	ADJ	bon
Roy	NOUN	roy
aurait	AUX	avoir
dû	VERB	devoir
régner	VERB	régner
éternellement	ADV	éternellement
sur	ADP	sur
la	DET	le
Perse	PROPN	Perse
;	PUNCT	;
mais	CCONJ	mais
tant	ADV	tant
de	ADP	de
vertus	NOUN	vertu
n'	ADV	n'
étaient	AUX	être
pas	ADV	pas
faites	VERB	faire
pour	ADP	pour
la	DET	le
terre	NOUN	terre
.	PUNCT	.
Semblable	ADJ	semblable
à	ADP	à
ces	DET	ce
météores	NOUN	météore
qui	PRON	qui
brillent	VERB	briller
dans	ADP	dans
la	DET	le
nuit	NOUN	nuit
la	DET	le
plus	ADV	plus
obscure	ADJ	obscur
,	PUNCT	,
et	CCONJ	et
disparoissent	VERB	disparoisser
aussitôt	ADV	aussitôt
,	PUNCT	,
ne	ADV	ne
laissant	VERB	laisser
après	ADP	après
eux	PRON	lui
qu'	ADV	qu'
un	DET	un
sillon	NOUN	sillon
brillant	ADJ	brillant
de	ADP	de
lumière	NOUN	lumière
;	PUNCT	;
Ben	PROPN	Ben
-	PROPN	-
Abassy	PROPN	Abassy
enlevé	VERB	enlever
par	ADP	par
une	DET	un
mort	NOUN	mort
inopinée	ADJ	inopiné
,	PUNCT	,
fut	AUX	être
peu	ADV	peu
regretté	VERB	regretter
des	ADP	de
Courtisans	NOUN	courtisan
,	PUNCT	,
et	CCONJ	et
des	ADP	de
habitants	NOUN	habitant
des	ADP	de
villes	NOUN	ville
,	PUNCT	,
parce	SCONJ	parce
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
avait	AUX	avoir
jamais	ADV	jamais
favorisé	VERB	favoriser
ni	CCONJ	ni
les	DET	le
uns	PRON	un
ni	CCONJ	ni
les	DET	le
autres	NOUN	autre
,	PUNCT	,
parce	SCONJ	parce
que	SCONJ	que
pour	ADP	pour
déraciner	VERB	déraciner
de	DET	de
grands	ADJ	grand
abus	NOUN	abus
,	PUNCT	,
il	PRON	il
avait	AUX	avoir
eu	VERB	avoir
recours	NOUN	recours
à	ADP	à
de	DET	de
grands	ADJ	grand
rémedes	NOUN	rémede
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
enfin	ADV	enfin
l'	DET	le
espoir	NOUN	espoir
d'	ADP	de
une	DET	un
révolution	NOUN	révolution
flattait	VERB	flatter
leurs	DET	leur
esprits	NOUN	esprit
ambitieux	ADJ	ambitieux
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
y	PRON	y
eut	VERB	avoir
que	ADV	que
cette	DET	ce
saine	ADJ	sain
partie	NOUN	partie
du	ADP	de
peuple	NOUN	peuple
qui	PRON	qui
juge	VERB	juger
