 	SPACE	 
HISTOIRE	NOUN	histoire
ORIENTALE	ADJ	oriental
Sur	ADP	sur
la	DET	le
fin	NOUN	fin
du	ADP	de
règne	NOUN	règne
d	ADP	d
'	ADP	'
Artamène	PROPN	Artamène
,	PUNCT	,
la	DET	le
Bactriane	PROPN	Bactriane
fut	AUX	être
agitée	VERB	agiter
par	ADP	par
les	DET	le
discordes	NOUN	discorde
civiles	ADJ	civil
.	PUNCT	.
Ce	DET	ce
prince	NOUN	prince
mourut	VERB	mourir
accablé	VERB	accabler
d	ADP	d
'	ADP	'
ennuis	NOUN	ennui
et	CCONJ	et
laissa	VERB	laisser
son	DET	son
trône	NOUN	trône
à	ADP	à
sa	DET	son
fille	NOUN	fille
Isménie	PROPN	Isménie
.	PUNCT	.
Aspar	PROPN	Aspar
,	PUNCT	,
premier	ADJ	premier
eunuque	NOUN	eunuque
du	ADP	de
palais	NOUN	palais
,	PUNCT	,
eut	VERB	avoir
la	DET	le
principale	ADJ	principal
direction	NOUN	direction
des	ADP	de
affaires	NOUN	affaire
.	PUNCT	.
Il	PRON	il
désirait	VERB	désirer
beaucoup	ADV	beaucoup
le	DET	le
bien	NOUN	bien
de	ADP	de
l	DET	l
'	DET	'
état	NOUN	état
,	PUNCT	,
et	CCONJ	et
il	PRON	il
désirait	VERB	désirer
fort	ADV	fort
peu	ADV	peu
le	DET	le
pouvoir	NOUN	pouvoir
.	PUNCT	.
Il	PRON	il
connaissait	VERB	connaître
les	DET	le
hommes	NOUN	homme
,	PUNCT	,
et	CCONJ	et
jugeait	VERB	juger
bien	ADV	bien
des	ADP	de
événements	NOUN	événement
.	PUNCT	.
Son	DET	son
esprit	NOUN	esprit
était	AUX	être
naturellement	ADV	naturellement
conciliateur	ADJ	conciliateur
,	PUNCT	,
et	CCONJ	et
son	DET	son
âme	NOUN	âme
semblait	VERB	sembler
s	PRON	s
'	PRON	'
approcher	VERB	approcher
de	ADP	de
toutes	ADJ	tout
les	DET	le
autres	ADJ	autre
.	PUNCT	.
La	DET	le
paix	NOUN	paix
,	PUNCT	,
qu	PRON	que
'	PRON	'
on	PRON	on
n	ADV	n
'	ADV	'
osait	VERB	oser
plus	ADV	plus
espérer	VERB	espérer
,	PUNCT	,
fut	AUX	être
rétablie	VERB	rétablir
.	PUNCT	.
Tel	ADJ	tel
fut	AUX	être
le	DET	le
prestige	NOUN	prestige
d	ADP	d
'	ADP	'
Aspar	PROPN	Aspar
:	PUNCT	:
chacun	PRON	chacun
rentra	VERB	rentrer
dans	ADP	dans
le	DET	le
devoir	NOUN	devoir
,	PUNCT	,
et	CCONJ	et
ignora	VERB	ignorer
presque	ADV	presque
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
en	PRON	en
fût	AUX	être
sorti	VERB	sortir
.	PUNCT	.
Sans	ADP	sans
effort	NOUN	effort
et	CCONJ	et
sans	ADP	sans
bruit	NOUN	bruit
,	PUNCT	,
il	PRON	il
savait	VERB	savoir
faire	VERB	faire
les	DET	le
grandes	ADJ	grand
choses	NOUN	chose
.	PUNCT	.
La	DET	le
paix	NOUN	paix
fut	AUX	être
troublée	VERB	troubler
par	ADP	par
le	DET	le
roi	NOUN	roi
d	ADP	d
'	ADP	'
Hyrcanie	PROPN	Hyrcanie
.	PUNCT	.
Il	PRON	il
envoya	VERB	envoyer
des	DET	un
ambassadeurs	NOUN	ambassadeur
pour	ADP	pour
demander	VERB	demander
Isménie	PROPN	Isménie
en	ADP	en
mariage	NOUN	mariage
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
sur	ADP	sur
ses	DET	son
refus	NOUN	refus
,	PUNCT	,
il	PRON	il
entra	VERB	entrer
dans	ADP	dans
la	DET	le
Bactriane	PROPN	Bactriane
.	PUNCT	.
Cette	DET	ce
entrée	NOUN	entrée
fut	AUX	être
singulière	ADJ	singulier
.	PUNCT	.
Tantôt	ADV	tantôt
il	PRON	il
paraissait	VERB	paraître
armé	ADJ	armé
de	ADP	de
toutes	DET	tout
pièces	NOUN	pièce
,	PUNCT	,
et	CCONJ	et
prêt	ADJ	prêt
à	ADP	à
combattre	VERB	combattre
ses	DET	son
ennemis	NOUN	ennemi
;	PUNCT	;
tantôt	CCONJ	tantôt
on	PRON	on
le	PRON	le
voyait	VERB	voir
vêtu	VERB	vêtir
comme	ADP	comme
un	DET	un
amant	NOUN	amant
que	PRON	que
l	DET	l
'	DET	'
amour	NOUN	amour
conduit	VERB	conduire
auprès	ADV	auprès
de	ADP	de
sa	DET	son
maîtresse	NOUN	maîtresse
.	PUNCT	.
Il	PRON	il
menait	VERB	mener
avec	ADP	avec
lui	PRON	lui
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
était	AUX	être
propre	ADJ	propre
à	ADP	à
un	DET	un
appareil	NOUN	appareil
de	ADP	de
noces	NOUN	noce
:	PUNCT	:
des	DET	un
danseurs	NOUN	danseur
,	PUNCT	,
des	DET	un
joueurs	NOUN	joueur
d	ADP	d
'	ADP	'
instruments	NOUN	instrument
,	PUNCT	,
des	DET	un
farceurs	NOUN	farceur
,	PUNCT	,
des	DET	un
cuisiniers	NOUN	cuisinier
,	PUNCT	,
des	DET	un
eunuques	NOUN	eunuque
,	PUNCT	,
des	DET	un
femmes	NOUN	femme
;	PUNCT	;
et	CCONJ	et
il	PRON	il
menait	VERB	mener
avec	ADP	avec
lui	PRON	lui
une	DET	un
formidable	ADJ	formidable
armée	NOUN	armée
.	PUNCT	.
Il	PRON	il
écrivait	VERB	écrire
à	ADP	à
la	DET	le
reine	NOUN	reine
les	DET	le
lettres	NOUN	lettre
du	ADP	de
monde	NOUN	monde
les	DET	le
plus	ADV	plus
tendres	ADJ	tendre
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
d	ADP	d
'	ADP	'
un	DET	un
autre	ADJ	autre
côté	NOUN	côté
,	PUNCT	,
il	PRON	il
ravageoit	VERB	ravageoit
tout	ADJ	tout
le	DET	le
pays	NOUN	pays
:	PUNCT	:
un	DET	un
jour	NOUN	jour
était	AUX	être
employé	VERB	employer
à	ADP	à
des	DET	un
festins	NOUN	festin
,	PUNCT	,
un	DET	un
autre	ADJ	autre
à	ADP	à
des	DET	un
expéditions	NOUN	expédition
militaires	ADJ	militaire
.	PUNCT	.
Jamais	ADV	jamais
on	PRON	on
n	ADV	n
'	ADV	'
a	AUX	avoir
vu	VERB	voir
une	DET	un
si	ADV	si
parfaite	ADJ	parfait
image	NOUN	image
de	ADP	de
la	DET	le
guerre	NOUN	guerre
et	CCONJ	et
de	ADP	de
la	DET	le
paix	NOUN	paix
;	PUNCT	;
et	CCONJ	et
jamais	ADV	jamais
il	PRON	il
n	ADV	n
'	ADV	'
y	PRON	y
eut	VERB	avoir
tant	ADV	tant
de	ADP	de
dissolution	NOUN	dissolution
et	CCONJ	et
tant	ADV	tant
de	ADP	de
discipline	NOUN	discipline
.	PUNCT	.
Un	DET	un
village	NOUN	village
fuyait	VERB	fuir
la	DET	le
cruauté	NOUN	cruauté
du	ADP	de
vainqueur	NOUN	vainqueur
;	PUNCT	;
un	DET	un
autre	ADJ	autre
était	VERB	être
dans	ADP	dans
la	DET	le
joie	NOUN	joie
,	PUNCT	,
les	DET	le
danses	NOUN	danse
et	CCONJ	et
les	DET	le
festins	NOUN	festin
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
par	ADP	par
un	DET	un
étrange	ADJ	étrange
caprice	NOUN	caprice
,	PUNCT	,
il	PRON	il
cherchait	VERB	chercher
deux	NUM	deux
choses	NOUN	chose
incompatibles	ADJ	incompatible
:	PUNCT	:
de	ADP	de
se	PRON	se
faire	AUX	faire
craindre	VERB	craindre
et	CCONJ	et
de	ADP	de
se	PRON	se
faire	AUX	faire
aimer	VERB	aimer
.	PUNCT	.
Il	PRON	il
ne	ADV	ne
fut	AUX	être
ni	CCONJ	ni
craint	VERB	craindre
ni	CCONJ	ni
aimé	VERB	aimer
.	PUNCT	.
On	PRON	on
opposa	VERB	opposer
une	DET	un
armée	NOUN	armée
à	ADP	à
la	DET	le
sienne	PRON	sienne
;	PUNCT	;
et	CCONJ	et
une	DET	un
seule	ADJ	seul
bataille	NOUN	bataille
finit	VERB	finir
la	DET	le
guerre	NOUN	guerre
.	PUNCT	.
Un	DET	un
soldat	NOUN	soldat
,	PUNCT	,
nouvellement	ADV	nouvellement
arrivédans	ADP	arrivédans
l	DET	l
'	DET	'
armée	NOUN	armée
des	ADP	de
bactriens	NOUN	bactrien
,	PUNCT	,
fit	VERB	faire
des	DET	un
prodiges	NOUN	prodige
de	ADP	de
valeur	NOUN	valeur
;	PUNCT	;
il	PRON	il
perça	VERB	percer
jusqu	ADP	jusqu
'	ADP	'
au	ADP	au
lieu	NOUN	lieu
où	PRON	où
combattait	VERB	combattre
vaillamment	ADV	vaillamment
le	DET	le
roi	NOUN	roi
d	ADP	d
'	ADP	'
Hyrcanie	PROPN	Hyrcanie
,	PUNCT	,
et	CCONJ	et
le	PRON	le
fit	VERB	faire
prisonnier	NOUN	prisonnier
.	PUNCT	.
Il	PRON	il
remit	VERB	remettre
ce	DET	ce
prince	NOUN	prince
à	ADP	à
un	DET	un
officier	NOUN	officier
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
sans	ADP	sans
dire	VERB	dire
son	DET	son
nom	NOUN	nom
,	PUNCT	,
il	PRON	il
allait	VERB	aller
rentrer	VERB	rentrer
dans	ADP	dans
la	DET	le
foule	NOUN	foule
,	PUNCT	,
mais	CCONJ	mais
,	PUNCT	,
suivi	VERB	suivre
par	ADP	par
les	DET	le
acclamations	NOUN	acclamation
,	PUNCT	,
il	PRON	il
fut	AUX	être
mené	VERB	mener
comme	ADP	comme
en	ADP	en
triomphe	NOUN	triomphe
à	ADP	à
la	DET	le
tente	NOUN	tente
du	ADP	de
général	NOUN	général
.	PUNCT	.
Il	PRON	il
parut	VERB	paraître
devant	ADP	devant
lui	PRON	lui
avec	ADP	avec
une	DET	un
noble	ADJ	noble
assurance	NOUN	assurance
;	PUNCT	;
il	PRON	il
parla	VERB	parler
modestement	ADV	modestement
de	ADP	de
son	DET	son
action	NOUN	action
.	PUNCT	.
Le	DET	le
général	NOUN	général
lui	PRON	lui
offrit	VERB	offrir
des	DET	un
récompenses	NOUN	récompense
:	PUNCT	:
il	PRON	il
s	PRON	s
'	PRON	'
y	PRON	y
montra	VERB	montrer
insensible	ADJ	insensible
;	PUNCT	;
il	PRON	il
voulut	VERB	vouloir
le	PRON	le
combler	VERB	combler
d	ADP	d
'	ADP	'
honneurs	NOUN	honneur
:	PUNCT	:
il	PRON	il
y	PRON	y
parut	VERB	paraître
accoutumé	VERB	accoutumer
.	PUNCT	.
Aspar	PROPN	Aspar
jugea	VERB	juger
qu	SCONJ	qu
'	SCONJ	'
un	DET	un
tel	ADJ	tel
homme	NOUN	homme
n	ADV	n
'	ADV	'
était	AUX	être
pas	ADV	pas
d	ADP	d
'	ADP	'
une	DET	un
naissance	NOUN	naissance
ordinaire	ADJ	ordinaire
.	PUNCT	.
Il	PRON	il
le	PRON	le
fit	VERB	faire
venir	VERB	venir
à	ADP	à
la	DET	le
cour	NOUN	cour
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
quand	SCONJ	quand
il	PRON	il
le	PRON	le
vit	VERB	voir
,	PUNCT	,
il	PRON	il
se	PRON	se
confirma	VERB	confirmer
encore	ADV	encore
plus	ADV	plus
dans	ADP	dans
cette	DET	ce
pensée	NOUN	pensée
.	PUNCT	.
Sa	DET	son
présence	NOUN	présence
lui	PRON	lui
donna	VERB	donner
de	ADP	de
l	DET	l
'	DET	'
admiration	NOUN	admiration
;	PUNCT	;
la	DET	le
tristesse	NOUN	tristesse
même	ADV	même
qui	PRON	qui
paraissait	VERB	paraître
sur	ADP	sur
son	DET	son
visage	NOUN	visage
,	PUNCT	,
lui	PRON	lui
inspira	VERB	inspirer
du	DET	de
respect	NOUN	respect
;	PUNCT	;
il	PRON	il
loua	VERB	louer
sa	DET	son
valeur	NOUN	valeur
,	PUNCT	,
et	CCONJ	et
lui	PRON	lui
dit	VERB	dire
les	DET	le
choses	NOUN	chose
les	DET	le
plus	ADV	plus
flatteuses	ADJ	flatteur
.	PUNCT	.
Seigneur	NOUN	seigneur
,	PUNCT	,
lui	PRON	lui
dit	VERB	dire
l	DET	l
'	DET	'
étranger	NOUN	étranger
,	PUNCT	,
excusez	VERB	excuser
un	DET	un
malheureux	NOUN	malheureux
que	PRON	que
l	DET	l
'	DET	'
horreur	NOUN	horreur
de	ADP	de
sa	DET	son
situation	NOUN	situation
rend	VERB	rendre
presque	ADV	presque
incapable	ADJ	incapable
de	ADP	de
sentir	VERB	sentir
vos	DET	votre
bontés	NOUN	bonté
,	PUNCT	,
et	CCONJ	et
encore	ADV	encore
plus	ADV	plus
d	ADP	d
'	ADP	'
y	PRON	y
répondre	VERB	répondre
.	PUNCT	.
Ses	DET	son
yeux	NOUN	oeil
se	PRON	se
remplirent	VERB	remplir
de	ADP	de
larmes	NOUN	larme
,	PUNCT	,
et	CCONJ	et
l	DET	l
'	DET	'
eunuque	NOUN	eunuque
en	PRON	en
fut	AUX	être
attendri	VERB	attendrir
.	PUNCT	.
Soyez	VERB	être
mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
lui	PRON	lui
dit	VERB	dire
-il	PRON	il
,	PUNCT	,
puisque	SCONJ	puisque
vous	PRON	vous
êtes	AUX	être
malheureux	ADJ	malheureux
.	PUNCT	.
Il	PRON	il
y	PRON	y
a	VERB	avoir
un	DET	un
moment	NOUN	moment
que	SCONJ	que
je	PRON	je
vous	PRON	vous
admirois	VERB	admirois
;	PUNCT	;
à	ADP	à
présent	NOUN	présent
je	PRON	je
vous	PRON	vous
aime	VERB	aime
;	PUNCT	;
je	PRON	je
voudrais	VERB	vouloir
vous	PRON	vous
consoler	VERB	consoler
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
vous	PRON	vous
fissiez	VERB	faire
usage	NOUN	usage
de	ADP	de
ma	DET	mon
raison	NOUN	raison
