 	SPACE	 
EPITRE	NOUN	epitre
DÉDICATOIRE	ADJ	dédicatoire
A	ADP	à
MADAME	PROPN	MADAME
LA	DET	le
COMTESSE	NOUN	comtesse
DU	ADP	de
BARRI	PROPN	BARRI
,	PUNCT	,
MADAME	PROPN	MADAME
,	PUNCT	,
Daignez	VERB	daigner
accueillir	VERB	accueillir
avec	ADP	avec
bonté	NOUN	bonté
un	DET	un
hommage	NOUN	hommage
public	ADJ	public
de	ADP	de
sentiment	NOUN	sentiment
,	PUNCT	,
et	CCONJ	et
de	ADP	de
reconnaissance	NOUN	reconnaissance
.	PUNCT	.
Le	DET	le
zèle	NOUN	zèle
seul	ADJ	seul
m'	PRON	me
a	AUX	avoir
dicté	VERB	dicter
ce	DET	ce
petit	ADJ	petit
ouvrage	NOUN	ouvrage
;	PUNCT	;
seul	ADJ	seul
il	PRON	il
ose	VERB	ose
vous	PRON	vous
l'	PRON	l'
offrir	VERB	offrir
.	PUNCT	.
Je	PRON	je
sens	VERB	sentir
qu'	SCONJ	que
il	PRON	il
est	AUX	être
capable	ADJ	capable
d'	ADP	de
égarer	VERB	égarer
dans	ADP	dans
une	DET	un
carrière	NOUN	carrière
qui	PRON	qui
demande	VERB	demande
des	DET	un
talents	NOUN	talent
.	PUNCT	.
Mais	CCONJ	mais
j'	PRON	je
espére	VERB	espére
,	PUNCT	,
Madame	NOUN	monsieur
,	PUNCT	,
que	SCONJ	que
vos	DET	votre
suffrages	NOUN	suffrage
suppléeront	VERB	suppléer
à	ADP	à
la	DET	le
médiocrité	NOUN	médiocrité
des	ADP	de
miens	NOUN	mien
.	PUNCT	.
Les	DET	le
traits	NOUN	trait
que	PRON	que
je	PRON	je
développe	VERB	développe
dans	ADP	dans
cet	DET	ce
essai	NOUN	essai
le	PRON	le
rendent	VERB	rendre
digne	ADJ	digne
de	ADP	de
paraître	VERB	paraître
sous	ADP	sous
vos	DET	votre
auspices	NOUN	auspice
.	PUNCT	.
Ils	PRON	il
sont	AUX	être
tous	ADJ	tout
puisés	VERB	puiser
dans	ADP	dans
votre	DET	votre
Maison	NOUN	maison
;	PUNCT	;
ils	PRON	il
retracent	VERB	retracer
la	DET	le
fidelité	NOUN	fidelité
la	DET	le
plus	ADV	plus
héroique	ADJ	héroiqu
de	ADP	de
deux	NUM	deux
Sujets	NOUN	sujet
pour	ADP	pour
leur	DET	leur
Roi	NOUN	roi
.	PUNCT	.
Trop	ADV	trop
heureux	ADJ	heureux
si	SCONJ	si
vous	PRON	vous
voulez	VERB	vouloir
bien	ADV	bien
me	PRON	me
pardonner	VERB	pardonner
une	DET	un
entreprise	NOUN	entreprise
au	ADP	au
-	PUNCT	-
dessus	ADV	dessus
de	ADP	de
mes	DET	mon
forces	NOUN	force
,	PUNCT	,
en	ADP	en
faveur	NOUN	faveur
du	ADP	de
motif	NOUN	motif
qui	PRON	qui
me	PRON	me
l'	PRON	l'
a	AUX	avoir
inspirée	VERB	inspirer
.	PUNCT	.

	SPACE	

Je	PRON	je
suis	VERB	suivre
avec	ADP	avec
un	DET	un
profond	ADJ	profond
respect	NOUN	respect
,	PUNCT	,
MADAME	PROPN	MADAME
Votre	DET	votre
très	ADJ	trè
-	ADJ	-
humble	ADJ	humble
et	CCONJ	et
très	ADV	très
-	ADJ	-
obéissant	ADJ	obéissant
serviteur	NOUN	serviteur
.	PUNCT	.

