 	SPACE	 
AVERTISSEMT	PROPN	AVERTISSEMT
.	PUNCT	.

	SPACE	

UN	PRON	un
de	ADP	de
mes	DET	mon
amis	NOUN	ami
ayant	AUX	avoir
hérité	VERB	hériter
d'	ADP	de
une	DET	un
Terre	NOUN	terre
,	PUNCT	,
il	PRON	il
a	AUX	avoir
trouvé	VERB	trouver
dans	ADP	dans
le	DET	le
Château	NOUN	château
une	DET	un
ancienne	ADJ	ancien
Bibliothéque	NOUN	bibliothéque
,	PUNCT	,
qu'	PRON	qu'
on	PRON	on
n'	ADV	n'
avait	AUX	avoir
peut-être	ADV	peut-être
pas	ADV	pas
visitée	VERB	visiter
depuis	ADP	depuis
plus	ADV	plus
de	ADP	de
soixante	NUM	soixante
ans	NOUN	an
,	PUNCT	,
parmi	ADP	parmi
un	DET	un
tas	NOUN	tas
de	ADP	de
Livres	NOUN	livre
rongés	VERB	ronger
par	ADP	par
la	DET	le
poussiere	NOUN	poussiere
il	PRON	il
s'	PRON	se
est	AUX	être
rencontré	VERB	rencontrer
un	DET	un
Manuscrit	NOUN	manuscrit
Egyptien	ADJ	egyptien
qu'	PRON	qu'
il	PRON	il
m'	PRON	me
a	AUX	avoir
montré	VERB	montrer
:	PUNCT	:
je	PRON	je
l'	PRON	l'
ai	AUX	avoir
lu	VERB	lire
,	PUNCT	,
et	CCONJ	et
je	PRON	je
lui	PRON	lui
en	PRON	en
ai	AUX	avoir
rendu	VERB	rendre
compte	NOUN	compte
.	PUNCT	.
Il	PRON	il
m'	PRON	me
a	AUX	avoir
prié	VERB	prier
de	ADP	de
le	PRON	le
traduire	VERB	traduire
;	PUNCT	;
je	PRON	je
l'	PRON	l'
ai	AUX	avoir
fait	VERB	faire
:	PUNCT	:
il	PRON	il
veut	VERB	vouloir
maintenant	ADV	maintenant
le	PRON	le
faire	AUX	faire
imprimer	VERB	imprimer
malgré	ADP	malgré
toutes	ADJ	tout
les	DET	le
raisons	NOUN	raison
que	PRON	que
je	PRON	je
lui	PRON	lui
donne	VERB	donne
pour	ADP	pour
ne	ADV	ne
pas	ADV	pas
donner	VERB	donner
au	ADP	au
Public	NOUN	public
un	DET	un
Ouvrage	NOUN	ouvrage
si	ADV	si
mauvais	ADJ	mauvais
et	CCONJ	et
si	ADV	si
peu	ADV	peu
utile	ADJ	utile
:	PUNCT	:
j'	PRON	je
avertis	VERB	avertir
donc	ADV	donc
tout	ADJ	tout
Lecteur	NOUN	lecteur
que	SCONJ	que
c'	PRON	ce
est	AUX	être
contre	ADP	contre
ma	DET	mon
volonté	NOUN	volonté
que	SCONJ	que
cet	DET	ce
Ouvrage	NOUN	ouvrage
verra	VERB	voir
le	DET	le
jour	NOUN	jour
.	PUNCT	.
S'	SCONJ	s'
il	PRON	il
m'	PRON	me
en	PRON	en
croit	VERB	croire
,	PUNCT	,
il	PRON	il
s'	PRON	se
en	PRON	en
tiendra	VERB	tenir
à	ADP	à
la	DET	le
lecture	NOUN	lecture
de	ADP	de
cet	DET	ce
Avertissement	NOUN	avertissement
,	PUNCT	,
par	ADP	par
-là	ADV	-là
,	PUNCT	,
il	PRON	il
évitera	VERB	éviter
l'	DET	le
ennui	NOUN	ennui
dont	PRON	dont
je	PRON	je
voudrais	VERB	vouloir
le	PRON	le
sauver	VERB	sauver
,	PUNCT	,
si	SCONJ	si
la	DET	le
curiosité	NOUN	curiosité
prévaut	VERB	prévaloir
,	PUNCT	,
qu	SCONJ	qu
il	PRON	il
ne	ADV	ne
s'	PRON	se
en	PRON	en
prenne	VERB	prendre
qu'	ADV	qu'
à	ADP	à
à	ADP	à
lui	PRON	lui
seul	ADJ	seul
;	PUNCT	;
a	ADP	à
mon	DET	mon
égard	NOUN	égard
me	PRON	me
voila	VERB	voiler
à	ADP	à
l'	DET	le
abri	NOUN	abri
de	ADP	de
sa	DET	son
mauvaise	ADJ	mauvais
humeur	NOUN	humeur
,	PUNCT	,
et	CCONJ	et
peu	ADV	peu
m'	PRON	me
importe	VERB	importe
de	ADP	de
la	DET	le
manière	NOUN	manière
dont	PRON	dont
il	PRON	il
jugera	VERB	juger
d'	ADP	de
un	DET	un
Opuscule	NOUN	opuscule
dont	PRON	dont
le	DET	le
sort	NOUN	sort
devait	VERB	devoir
être	AUX	être
la	DET	le
pâture	NOUN	pâture
des	ADP	de
Rats	NOUN	rat
.	PUNCT	.

	SPACE	

LETTRE	NOUN	lettre
De	ADP	de
M.	NOUN	m.
le	DET	le
Comte	NOUN	comte
de	ADP	de
*	PROPN	*
*	PROPN	*
*	PROPN	*
à	ADP	à
M.	NOUN	m.
le	DET	le
Duc	NOUN	duc
de	ADP	de
*	PROPN	*
*	PROPN	*
*	PROPN	*
.	PUNCT	.

	SPACE	

Vous	PRON	vous
allez	VERB	aller
être	AUX	être
content	ADJ	content
,	PUNCT	,
Mosieur	PROPN	Mosieur
,	PUNCT	,
je	PRON	je
vous	PRON	vous
envoie	VERB	envoyer
la	DET	le
Traduction	NOUN	traduction
de	ADP	de
ce	DET	ce
vieux	ADJ	vieux
Manuscrit	NOUN	manuscrit
Egyptien	ADJ	egyptien
que	PRON	que
vous	PRON	vous
trouvâtes	VERB	trouver
l'	DET	le
année	NOUN	année
passée	VERB	passer
dans	ADP	dans
votre	DET	votre
Bibliothéque	NOUN	bibliothéque
:	PUNCT	:
je	PRON	je
ne	ADV	ne
veux	VERB	vouloir
pas	ADV	pas
m'	PRON	me
en	PRON	en
faire	VERB	faire
un	DET	un
mérite	NOUN	mérite
auprès	ADV	auprès
de	ADP	de
vous	PRON	vous
,	PUNCT	,
mais	CCONJ	mais
la	DET	le
peine	NOUN	peine
que	PRON	que
cet	DET	ce
Opuscule	NOUN	opuscule
m'	PRON	me
a	AUX	avoir
couté	VERB	couter
est	AUX	être
inconcevable	ADJ	inconcevable
.	PUNCT	.

	SPACE	

Il	PRON	il
y	PRON	y
avait	VERB	avoir
des	DET	un
feuilles	NOUN	feuille
entieres	ADJ	entiere
presqu'	ADV	presqu'
effacées	VERB	effacer
par	ADP	par
le	DET	le
temps	NOUN	temps
,	PUNCT	,
et	CCONJ	et
je	PRON	je
ne	ADV	ne
scai	VERB	scer
si	SCONJ	si
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
pas	ADV	pas
mal	ADV	mal
deviné	VERB	deviner
plusieurs	DET	plusieurs
endroits	NOUN	endroit
,	PUNCT	,
peut-être	ADV	peut-être
interprétés	VERB	interpréter
loin	ADV	loin
du	ADP	de
sens	NOUN	sens
de	ADP	de
l'	DET	le
Auteur	NOUN	auteur
;	PUNCT	;
quoiqu'	SCONJ	quoique
il	PRON	il
en	PRON	en
soit	VERB	être
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
remplis	VERB	remplir
mes	DET	mon
engagements	NOUN	engagement
,	PUNCT	,
et	CCONJ	et
je	PRON	je
me	PRON	me
trouverai	VERB	trouver
fort	ADV	fort
heureux	ADJ	heureux
si	SCONJ	si
je	PRON	je
puis	VERB	pouvoir
contribuer	VERB	contribuer
à	ADP	à
votre	DET	votre
amusement	NOUN	amusement
,	PUNCT	,
et	CCONJ	et
par	ADP	par
-	PUNCT	-
là	ADV	là
vous	PRON	vous
prouver	VERB	prouver
l'	DET	le
attachement	NOUN	attachement
sincere	ADJ	sincer
et	CCONJ	et
inviolable	ADJ	inviolable
avec	ADP	avec
lequel	PRON	lequel
j'	PRON	je
ai	VERB	avoir
l'	DET	le
honneur	NOUN	honneur
d'	ADP	de
être	VERB	être
,	PUNCT	,
Monsieur	NOUN	Monsieur
,	PUNCT	,
Votre	DET	votre
très	ADV	très
-	ADV	-
humble	ADJ	humble
et	CCONJ	et
très	ADV	très
-	ADJ	-
obéissant	ADJ	obéissant
Serviteur	NOUN	serviteur
.	PUNCT	.

	SPACE	

OPUSCULE	NOUN	opuscule
D'	ADP	de
UN	DET	un
CELEBRE	NOUN	celebre
AUTEUR	NOUN	auteur
EGYPTIEN	ADJ	egyptien
.	PUNCT	.

	SPACE	

NE	ADV	ne
'	ADV	'
de	ADP	de
parents	NOUN	parent
assez	ADV	assez
riches	ADJ	riche
pour	ADP	pour
jouir	VERB	jouir
des	ADP	de
commodités	NOUN	commodité
de	ADP	de
la	DET	le
vie	NOUN	vie
,	PUNCT	,
trop	ADV	trop
sages	ADJ	sage
pour	ADP	pour
désirer	VERB	désirer
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
tendant	VERB	tendre
au	ADP	au
faste	NOUN	faste
,	PUNCT	,
ne	ADV	ne
sert	VERB	servir
souvent	ADV	souvent
qu'	ADV	qu'
à	ADP	à
troubler	VERB	troubler
la	DET	le
tranquillité	NOUN	tranquillité
de	ADP	de
nos	DET	notre
jours	NOUN	jour
,	PUNCT	,
assez	ADV	assez
honnêtes	ADJ	honnête
gens	NOUN	gens
pour	ADP	pour
s'	PRON	se
être	AUX	être
acquis	VERB	acquérir
avec	ADP	avec
justice	NOUN	justice
cette	DET	ce
réputation	NOUN	réputation
de	ADP	de
probité	NOUN	probité
qui	PRON	qui
fait	VERB	faire
la	DET	le
satisfaction	NOUN	satisfaction
la	DET	le
plus	ADV	plus
réelle	ADJ	réel
de	ADP	de
ceux	PRON	celui
qui	PRON	qui
la	PRON	le
méritent	VERB	mériter
,	PUNCT	,
je	PRON	je
de	PRON	de
vois	VERB	voir
être	AUX	être
heureux	ADJ	heureux
;	PUNCT	;
je	PRON	je
jouinois	VERB	jouinois
d'	ADP	de
une	DET	un
vie	NOUN	vie
paisible	ADJ	paisible
:	PUNCT	:
les	DET	le
passions	NOUN	passion
n'	ADV	n'
avaient	AUX	avoir
jamais	ADV	jamais
eu	VERB	avoir
d'	DET	d'
empire	NOUN	empire
sur	ADP	sur
mon	DET	mon
cœur	NOUN	cœur
,	PUNCT	,
l'	DET	le
ambition	NOUN	ambition
n'	ADV	n'
avait	AUX	avoir
jamais	ADV	jamais
