 	SPACE	 
PRÉAMBULE	NOUN	préambule
NÉCESSAIRE	ADJ	nécessaire
.	PUNCT	.

	SPACE	

L'	DET	le
Ordre	NOUN	ordre
ou	CCONJ	ou
la	DET	le
Fraternité	NOUN	fraternité
des	ADP	de
Aphrodites	NOUN	aphrodite
,	PUNCT	,
aussi	ADV	aussi
nommés	VERB	nommer
Morosophes	NOUN	morosophe
(	PUNCT	(
*	PUNCT	*
)	PUNCT	)
,	PUNCT	,
se	PRON	se
forma	VERB	former
dès	ADP	dès
la	DET	le
Régence	NOUN	régence
du	ADP	de
fameux	ADJ	fameux
Philippe	PROPN	Philippe
d'	ADP	de
Orléans	PROPN	Orléans
,	PUNCT	,
tout	DET	tout
ensemble	ADV	ensemble
homme	NOUN	homme
d'	ADP	de
Etat	NOUN	etat
et	CCONJ	et
homme	NOUN	homme
de	ADP	de
plaisir	NOUN	plaisir
;	PUNCT	;
au	ADP	au
surplus	NOUN	surplus
bien	ADV	bien
différent	ADJ	différent
de	ADP	de
son	DET	son
arrière-petit	ADJ	arrière-petit
fils	NOUN	fils
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
est	AUX	être
aussi	ADV	aussi
fait	VERB	faire
une	DET	un
réputation	NOUN	réputation
dans	ADP	dans
l'	DET	le
une	PRON	un
et	CCONJ	et
l'	DET	le
autre	ADJ	autre
carrière	NOUN	carrière
.	PUNCT	.

	SPACE	

Soit	CCONJ	soit
qu'	SCONJ	que
un	DET	un
inviolable	ADJ	inviolable
secret	NOUN	secret
eût	AUX	avoir
constamment	ADV	constamment
garanti	VERB	garantir
les	DET	le
anciens	ADJ	ancien
Aphrodites	NOUN	aphrodite
de	ADP	de
l'	DET	le
animadversion	NOUN	animadversion
de	ADP	de
l'	DET	le
autorité	NOUN	autorité
-	NOUN	-
publique	ADJ	public
(	PUNCT	(
si	ADV	si
sévère	ADJ	sévère
comme	SCONJ	comme
on	PRON	on
sait	VERB	savoir
,	PUNCT	,
contre	ADP	contre
le	DET	le
libertinage	NOUN	libertinage
porté	VERB	porter
à	ADP	à
certains	DET	certain
excès	NOUN	excès
)	PUNCT	)
;	PUNCT	;
soit	CCONJ	soit
que	SCONJ	que
dans	ADP	dans
le	DET	le
nombre	NOUN	nombre
de	ADP	de
ces	DET	ce
fidèles	ADJ	fidèle
Associés	NOUN	associé
,	PUNCT	,
il	PRON	il
y	PRON	y
en	PRON	en
eût	VERB	avoir
plusieurs	PRON	plusieurs
d'	ADP	de
assez	ADV	assez
puissant	ADJ	puissant
pour	ADP	pour
rendre	VERB	rendre
vaine	ADJ	vain
la	DET	le
rigueur	NOUN	rigueur
des	ADP	de
Loix	NOUN	loi
qui	PRON	qui
auraient	AUX	avoir
pu	VERB	pouvoir
les	PRON	le
disperser	VERB	disperser
et	CCONJ	et
les	PRON	le
punir	VERB	punir
,	PUNCT	,
jamais	ADV	jamais
,	PUNCT	,
avant	ADP	avant
la	DET	le
Révolution	NOUN	révolution
,	PUNCT	,
leur	DET	leur
Société	NOUN	société
n'	ADV	n'
avait	AUX	avoir
souffert	VERB	souffrir
d'	DET	d'
échec	NOUN	échec
de	ADP	de
quelque	DET	quelque
conséquence	NOUN	conséquence
;	PUNCT	;
mais	CCONJ	mais
ce	DET	ce
récent	ADJ	récent
événement	NOUN	événement
a	AUX	avoir
frappé	VERB	frapper
plus	ADV	plus
des	ADP	de
trois	NUM	trois
quarts	NOUN	quart
des	ADP	de
Freres	NOUN	frere
et	CCONJ	et
Sœurs	NOUN	sœur
;	PUNCT	;
les	DET	le
plus	ADV	plus
solides	ADJ	solide
colonnes	NOUN	colonne
de	ADP	de
l'	DET	le
Ordre	NOUN	ordre
ont	AUX	avoir
été	AUX	être
brisées	VERB	briser
;	PUNCT	;
le	DET	le
local	NOUN	local
même	ADV	même
,	PUNCT	,
qui	PRON	qui
était	AUX	être
dans	ADP	dans
Paris	PROPN	Paris
,	PUNCT	,
a	AUX	avoir
été	AUX	être
abandonné	VERB	abandonner
.	PUNCT	.

	SPACE	

Des	DET	un
débris	NOUN	débris
de	ADP	de
l'	DET	le
ancienne	ADJ	ancien
Institution	NOUN	institution
,	PUNCT	,
s'	PRON	se
est	AUX	être
formée	VERB	former
celle	PRON	celui
dont	PRON	dont
ces	DET	ce
feuilles	NOUN	feuille
donneront	VERB	donner
une	DET	un
idée	NOUN	idée
.	PUNCT	.

	SPACE	

On	PRON	on
y	PRON	y
verra	VERB	voir
se	PRON	se
développer	VERB	développer
progressivement	ADV	progressivement
le	DET	le
lubrique	ADJ	lubrique
système	NOUN	système
et	CCONJ	et
les	DET	le
