 	SPACE	 
AVIS	NOUN	avis
DES	ADP	de
ÉDITEURS	NOUN	éditeur
.	PUNCT	.

	SPACE	

Un	DET	un
valet	NOUN	valet
d'	ADP	de
auberge	NOUN	auberge
,	PUNCT	,
chargé	VERB	charger
de	ADP	de
jeter	VERB	jeter
dans	ADP	dans
la	DET	le
boîte	NOUN	boîte
la	DET	le
première	ADJ	premier
de	ADP	de
ces	DET	ce
lettres	NOUN	lettre
,	PUNCT	,
et	CCONJ	et
supposant	VERB	supposer
,	PUNCT	,
d'	ADP	de
après	ADP	après
le	DET	le
volume	NOUN	volume
,	PUNCT	,
qu'	SCONJ	que
elle	PRON	lui
pouvait	VERB	pouvoir
contenir	VERB	contenir
quelque	DET	quelque
chose	NOUN	chose
de	ADP	de
mystérieux	ADJ	mystérieux
,	PUNCT	,
la	PRON	le
porta	VERB	porter
chez	ADP	chez
un	DET	un
jeune	ADJ	jeune
homme	NOUN	homme
attaché	VERB	attacher
,	PUNCT	,
en	ADP	en
sous	ADP	sous
ordre	NOUN	ordre
,	PUNCT	,
à	ADP	à
l'	DET	le
un	PRON	un
des	ADP	de
bureaux	NOUN	bureau
ministériels	ADJ	ministériel
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
logeait	VERB	loger
dans	ADP	dans
l'	DET	le
hôtel	NOUN	hôtel
.	PUNCT	.
Ce	DET	ce
commis	NOUN	commis
,	PUNCT	,
abusant	VERB	abuser
de	ADP	de
la	DET	le
circonstance	NOUN	circonstance
,	PUNCT	,
ouvrit	VERB	ouvrir
le	DET	le
paquet	NOUN	paquet
;	PUNCT	;
mais	CCONJ	mais
au	ADP	au
lieu	NOUN	lieu
de	ADP	de
secrets	NOUN	secret
d'	ADP	de
État	NOUN	état
,	PUNCT	,
il	PRON	il
n'	ADV	n'
y	PRON	y
trouva	VERB	trouver
que	ADV	que
des	DET	un
folies	NOUN	folie
,	PUNCT	,
qu'	PRON	qu'
il	PRON	il
transcrivit	VERB	transcrire
pour	ADP	pour
son	DET	son
amusement	NOUN	amusement
.	PUNCT	.
Cette	DET	ce
copie	NOUN	copie
,	PUNCT	,
qui	PRON	qui
a	AUX	avoir
circulé	VERB	circuler
,	PUNCT	,
nous	PRON	nous
est	AUX	être
parvenue	VERB	parvenir
,	PUNCT	,
et	CCONJ	et
c'	PRON	ce
est	AUX	être
d'	ADP	de
après	ADP	après
elle	PRON	lui
que	PRON	que
nous	PRON	nous
avons	AUX	avoir
imprimé	VERB	imprimer
.	PUNCT	.

	SPACE	

Le	DET	le
lecteur	NOUN	lecteur
nous	PRON	nous
pardonnera	VERB	pardonner
la	DET	le
liberté	NOUN	liberté
que	PRON	que
nous	PRON	nous
avons	AUX	avoir
prise	VERB	prendre
de	ADP	de
jeter	VERB	jeter
par	ADP	par
ci	PRON	ci
par	ADP	par
là	ADV	là
quelques	DET	quelque
notes	NOUN	note
.	PUNCT	.

	SPACE	

Celles	PRON	celui
qui	PRON	qui
tendent	VERB	tendre
à	ADP	à
l'	PRON	l'
instruire	VERB	instruire
étaient	AUX	être
du	ADP	de
moins	ADV	moins
nécessaires	ADJ	nécessaire
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
n'	ADV	n'
est	AUX	être
pas	ADV	pas
sans	ADP	sans
quelque	DET	quelque
peine	NOUN	peine
que	PRON	que
nous	PRON	nous
nous	PRON	nous
en	PRON	en
sommes	AUX	être
procuré	VERB	procurer
les	DET	le
sujets	NOUN	sujet
.	PUNCT	.
Quant	ADV	quant
à	ADP	à
nos	DET	notre
réflexions	NOUN	réflexion
,	PUNCT	,
si	SCONJ	si
elles	PRON	lui
préviennent	VERB	prévenir
celles	PRON	celui
du	ADP	de
public	NOUN	public
,	PUNCT	,
c'	PRON	ce
est	VERB	être
que	SCONJ	que
,	PUNCT	,
premiers	ADJ	premier
lecteurs	NOUN	lecteur
,	PUNCT	,
nous	PRON	nous
avons	AUX	avoir
dû	VERB	devoir
avoir	VERB	avoir
,	PUNCT	,
avant	ADP	avant
lui	PRON	lui
,	PUNCT	,
les	DET	le
idées	NOUN	idée
qui	PRON	qui
lui	PRON	lui
viendront	VERB	venir
,	PUNCT	,
sans	ADP	sans
doute	NOUN	doute
,	PUNCT	,
en	ADP	en
lisant	VERB	lire
cette	DET	ce
étrange	ADJ	étrange
anecdote	NOUN	anecdote
.	PUNCT	.

	SPACE	

Il	PRON	il
nous	PRON	nous
reste	VERB	reste
à	ADP	à
rendre	VERB	rendre
compte	NOUN	compte
de	ADP	de
ce	PRON	ce
qu'	PRON	qu'
a	VERB	avoir
d'	ADP	de
équivoque	NOUN	équivoque
la	DET	le
première	ADJ	premier
planche	NOUN	planche
,	PUNCT	,
qui	PRON	qui
montre	VERB	montre
un	DET	un
abbé	NOUN	abbé
dont	PRON	dont
il	PRON	il
n'	ADV	n'
est	AUX	être
nullement	ADV	nullement
fait	VERB	faire
mention	NOUN	mention
dans	ADP	dans
la	DET	le
peinture	NOUN	peinture
du	ADP	de
moment	NOUN	moment
auquel	PRON	auquel
cette	DET	ce
estampe	NOUN	estampe
est	AUX	être
appliquée	VERB	appliquer
.	PUNCT	.
Mais	CCONJ	mais
qu'	SCONJ	que
on	PRON	on
lise	VERB	lire
tout	PRON	tout
:	PUNCT	:
on	PRON	on
saura	VERB	savoir
que	SCONJ	que
des	DET	un
amants	NOUN	amant
qui	PRON	qui
se	PRON	se
croyaient	VERB	croire
seuls	ADJ	seul
au	ADP	au
monde	NOUN	monde
à	ADP	à
l'	DET	le
instant	NOUN	instant
de	ADP	de
leur	DET	leur
