 	SPACE	 
ADÈLE	PROPN	ADÈLE
ET	CCONJ	et
D'	ADP	de
ABLIGNY	PROPN	ABLIGNY
.	PUNCT	.

	SPACE	

MONSIEUR	NOUN	Monsieur
d'	ADP	de
Alleville	PROPN	Alleville
avait	AUX	avoir
servi	VERB	servir
trente	NUM	trente
ans	NOUN	an
avec	ADP	avec
distinction	NOUN	distinction
.	PUNCT	.
Lieutenantcolonel	NOUN	lieutenantcolonel
du	ADP	de
régiment	NOUN	régiment
de	ADP	de
Picardie	PROPN	Picardie
,	PUNCT	,
il	PRON	il
se	PRON	se
signala	VERB	signaler
à	ADP	à
la	DET	le
bataille	NOUN	bataille
de	ADP	de
Laufeldt	PROPN	Laufeldt
,	PUNCT	,
et	CCONJ	et
obtint	VERB	obtenir
,	PUNCT	,
avec	ADP	avec
une	DET	un
retraite	NOUN	retraite
avantageuse	ADJ	avantageux
,	PUNCT	,
le	DET	le
grade	NOUN	grade
de	ADP	de
brigadier	NOUN	brigadier
des	ADP	de
armées	NOUN	armée
du	ADP	de
roi	NOUN	roi
.	PUNCT	.
Il	PRON	il
revint	VERB	revenir
à	ADP	à
Amiens	PROPN	Amiens
,	PUNCT	,
sa	DET	son
ville	NOUN	ville
natale	ADJ	natal
,	PUNCT	,
jouir	VERB	jouir
de	ADP	de
la	DET	le
considération	NOUN	considération
des	ADP	de
honnêtes	ADJ	honnête
gens	NOUN	gens
,	PUNCT	,
et	CCONJ	et
manger	VERB	manger
une	DET	un
pension	NOUN	pension
de	ADP	de
mille	NUM	mille
écus	NOUN	écu
,	PUNCT	,
donnée	VERB	donner
en	ADP	en
indemnité	NOUN	indemnité
d'	ADP	de
une	DET	un
fortune	NOUN	fortune
assez	ADV	assez
considérable	ADJ	considérable
,	PUNCT	,
entièrement	ADV	entièrement
dissipée	VERB	dissiper
au	ADP	au
service	NOUN	service
.	PUNCT	.

	SPACE	

Recherché	VERB	rechercher
par	ADP	par
la	DET	le
meilleure	ADJ	meilleur
société	NOUN	société
d'	ADP	de
Amiens	PROPN	Amiens
,	PUNCT	,
monsieur	NOUN	Monsieur
d'	ADP	de
Alleville	PROPN	Alleville
se	PRON	se
livra	VERB	livrer
aux	ADP	à
plaisirs	NOUN	plaisir
aimables	ADJ	aimable
,	PUNCT	,
dont	PRON	dont
un	DET	un
officier	NOUN	officier
français	ADJ	français
ne	ADV	ne
perd	VERB	perdre
jamais	ADV	jamais
le	DET	le
goût	NOUN	goût
,	PUNCT	,
même	ADV	même
dans	ADP	dans
un	DET	un
âge	NOUN	âge
avancé	ADJ	avancé
.	PUNCT	.

	SPACE	

Spirituel	ADJ	spirituel
,	PUNCT	,
enjoué	VERB	enjouer
,	PUNCT	,
il	PRON	il
savait	VERB	savoir
faire	AUX	faire
oublier	VERB	oublier
ses	DET	son
cinquante	NUM	cinquante
ans	NOUN	an
,	PUNCT	,
et	CCONJ	et
mademoiselle	NOUN	mademoiselle
Dercourt	PROPN	Dercourt
jugea	VERB	juger
qu'	SCONJ	que
avec	ADP	avec
ces	DET	ce
qualités	NOUN	qualité
il	PRON	il
pouvait	VERB	pouvoir
convenir	VERB	convenir
à	ADP	à
une	DET	un
jeune	ADJ	jeune
personne	NOUN	personne
jolie	ADJ	joli
,	PUNCT	,
bien	ADV	bien
élevée	ADJ	élevé
,	PUNCT	,
et	CCONJ	et
assez	ADV	assez
raisonnable	ADJ	raisonnable
pour	ADP	pour
préférer	VERB	préférer
un	DET	un
bonheur	NOUN	bonheur
tranquille	ADJ	tranquille
aux	ADP	à
dissipations	NOUN	dissipation
bruyantes	ADJ	bruyant
,	PUNCT	,
qui	PRON	qui
étourdissent	VERB	étourdir
toujours	ADV	toujours
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
intéressent	VERB	intéresser
rarement	ADV	rarement
.	PUNCT	.

	SPACE	

Un	DET	un
homme	NOUN	homme
âgé	ADJ	âgé
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
est	AUX	être
pas	ADV	pas
un	DET	un
fat	NOUN	fat
,	PUNCT	,
se	PRON	se
rend	VERB	rendre
ordinairement	ADV	ordinairement
justice	NOUN	justice
.	PUNCT	.
Il	PRON	il
se	PRON	se
garde	VERB	garde
bien	ADV	bien
de	ADP	de
s'	PRON	se
attacher	VERB	attacher
à	ADP	à
une	DET	un
demoiselle	NOUN	demoiselle
de	ADP	de
vingt	NUM	vingt
ans	NOUN	an
;	PUNCT	;
il	PRON	il
se	PRON	se
garde	VERB	garde
sur-tout	ADV	sur-tout
,	PUNCT	,
s'	SCONJ	s'
il	PRON	il
a	AUX	avoir
eu	VERB	avoir
le	DET	le
malheur	NOUN	malheur
de	ADP	de
se	PRON	se
laisser	AUX	laisser
surprendre	VERB	surprendre
,	PUNCT	,
d'	ADP	de
un	DET	un
aveu	NOUN	aveu
qui	PRON	qui
peut	VERB	pouvoir
lui	PRON	lui
attirer	VERB	attirer
le	DET	le
désagrément	NOUN	désagrément
d'	ADP	de
un	DET	un
refus	NOUN	refus
,	PUNCT	,
et	CCONJ	et
le	DET	le
ridicule	NOUN	ridicule
qui	PRON	qui
accompagne	VERB	accompagne
les	DET	le
prétentions	NOUN	prétention
déplacées	VERB	déplacer
.	PUNCT	.
Un	DET	un
homme	NOUN	homme
gé	VERB	ger
cependant	ADV	cependant
peut	VERB	pouvoir
être	AUX	être
clairvoyant	ADJ	clairvoyant
,	PUNCT	,
et	CCONJ	et
se	PRON	se
rendre	VERB	rendre
à	ADP	à
l'	DET	le
évidence	NOUN	évidence
.	PUNCT	.
Monsieur	NOUN	Monsieur
d'	ADP	de
Alleville	PROPN	Alleville
remarquait	VERB	remarquer
dans	ADP	dans
les	DET	le
manières	NOUN	manière
,	PUNCT	,
dans	ADP	dans
les	DET	le
procédés	NOUN	procédé
de	ADP	de
mademoiselle	NOUN	mademoiselle
Dercourt	PROPN	Dercourt
,	PUNCT	,
quelque	DET	quelque
chose	NOUN	chose
d'	ADP	de
obligeant	ADJ	obligeant
,	PUNCT	,
d'	ADP	de
affectueux	ADJ	affectueux
même	ADV	même
,	PUNCT	,
qu'	PRON	qu'
il	PRON	il
n'	ADV	n'
osait	VERB	oser
interpréter	VERB	interpréter
en	ADP	en
sa	DET	son
faveur	NOUN	faveur
,	PUNCT	,
mais	CCONJ	mais
qui	PRON	qui
fixa	VERB	fixer
son	DET	son
attention	NOUN	attention
.	PUNCT	.
La	DET	le
jeune	ADJ	jeune
personne	NOUN	personne
lui	PRON	lui
parut	VERB	paraître
charmante	ADJ	charmant
,	PUNCT	,
et	CCONJ	et
elle	PRON	lui
jugea	VERB	juger
à	ADP	à
certains	DET	certain
mots	NOUN	mot
qui	PRON	qui
lui	PRON	lui
échappèrent	VERB	échapper
,	PUNCT	,
que	SCONJ	que
la	DET	le
défiance	NOUN	défiance
qu'	PRON	qu'
il	PRON	il
avait	VERB	avoir
de	ADP	de
lui-même	PRON	lui-même
,	PUNCT	,
l'	PRON	l'
empêchait	VERB	empêcher
seule	ADJ	seul
de	ADP	de
se	PRON	se
livrer	VERB	livrer
à	ADP	à
des	DET	un
sentiment	NOUN	sentiment
qui	PRON	qui
pouvaient	VERB	pouvoir
faire	VERB	faire
leur	DET	leur
bonheur	NOUN	bonheur
commun	ADJ	commun
.	PUNCT	.
Elle	PRON	lui
était	AUX	être
sage	ADJ	sage
,	PUNCT	,
réservée	ADJ	réserver
,	PUNCT	,
mais	CCONJ	mais
elle	PRON	lui
désirait	VERB	désirer
un	DET	un
ami	NOUN	ami
solide	ADJ	solide
et	CCONJ	et
vrai	ADJ	vrai
:	PUNCT	:
elle	PRON	lui
crut	VERB	croire
pouvoir	VERB	pouvoir
déclarer	VERB	déclarer
à	ADP	à
monsieur	NOUN	Monsieur
d'	ADP	de
Alleville	PROPN	Alleville
ce	PRON	ce
qu'	PRON	qu'
elle	PRON	lui
n'	ADV	n'
eût	AUX	avoir
avoué	VERB	avouer
qu'	ADV	qu'
en	ADP	en
rougissant	VERB	rougir
à	ADP	à
un	DET	un
homme	NOUN	homme
de	ADP	de
vingt-cinq	NUM	vingt-cinq
ans	NOUN	an
.	PUNCT	.

	SPACE	

L'	DET	le
officier	NOUN	officier
général	ADJ	général
reçut	VERB	recevoir
cet	DET	ce
aveu	NOUN	aveu
comme	ADP	comme
une	DET	un
faveur	NOUN	faveur
aussi	ADV	aussi
précieuse	ADJ	précieux
qu'	SCONJ	que
inattendue	ADJ	inattendu
,	PUNCT	,
et	CCONJ	et
les	DET	le
articles	NOUN	article
furent	AUX	être
bientôt	ADV	bientôt
réglés	VERB	régler
.	PUNCT	.
De	ADP	de
l'	DET	le
attachement	NOUN	attachement
et	CCONJ	et
une	DET	un
estime	NOUN	estime
réciproque	ADJ	réciproque
,	PUNCT	,
une	DET	un
pension	NOUN	pension
d'	ADP	de
un	DET	un
côté	NOUN	côté
,	PUNCT	,
cent	NUM	cent
louis	NOUN	louis
de	ADP	de
rente	NOUN	rente
de	ADP	de
l'	DET	le
autre	PRON	autre
,	PUNCT	,
tout	ADJ	tout
cela	PRON	cela
fut	AUX	être
mis	VERB	mettre
en	ADP	en
commun	NOUN	commun
,	PUNCT	,
et	CCONJ	et
mademoiselle	NOUN	mademoiselle
Dercourt	PROPN	Dercourt
continua	VERB	continuer
de	ADP	de
penser	VERB	penser
,	PUNCT	,
même	ADV	même
après	ADP	après
quelques	DET	quelque
mois	NOUN	mois
de	ADP	de
mariage	NOUN	mariage
,	PUNCT	,
qu'	SCONJ	que
un	DET	un
époux	NOUN	époux
de	ADP	de
cinquante	NUM	cinquante
ans	NOUN	an
,	PUNCT	,
tendre	ADJ	tendre
,	PUNCT	,
empressé	ADJ	empressé
