 	SPACE	 
MONSIEUR	NOUN	Monsieur
DE	ADP	de
KINGLIN	PROPN	KINGLIN
,	PUNCT	,
OU	CCONJ	ou
LA	DET	le
PRESCIENCE	NOUN	prescience
.	PUNCT	.

	SPACE	

DEUXIEME	ADJ	deuxiem
NOUVELLE	NOUN	nouvelle
.	PUNCT	.

	SPACE	

L'	DET	le
avenir	NOUN	avenir
est	AUX	être
au	ADP	au
présent	NOUN	présent
un	DET	un
peu	ADV	peu
moins	ADV	moins
que	SCONJ	que
le	DET	le
passé	NOUN	passé
,	PUNCT	,
qui	PRON	qui
laisse	VERB	laisse
au	ADP	au
moins	ADV	moins
des	DET	un
souvenirs	NOUN	souvenir
.	PUNCT	.

	SPACE	

Cependant	ADV	cependant
,	PUNCT	,
pour	ADP	pour
bien	ADV	bien
des	ADP	de
gens	NOUN	gens
,	PUNCT	,
cet	DET	ce
avenir	NOUN	avenir
est	AUX	être
la	DET	le
région	NOUN	région
des	ADP	de
illusions	NOUN	illusion
et	CCONJ	et
de	ADP	de
l'	DET	le
espérance	NOUN	espérance
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
à	ADP	à
mesure	NOUN	mesure
qu'	SCONJ	que
une	DET	un
minute	NOUN	minute
succède	VERB	succéder
à	ADP	à
une	DET	un
autre	ADJ	autre
,	PUNCT	,
ces	DET	ce
gens	NOUN	gens
à	ADP	à
chimères	NOUN	chimère
reculent	VERB	reculer
les	DET	le
bornes	NOUN	borne
de	ADP	de
ce	DET	ce
pays	NOUN	pays
,	PUNCT	,
enfant	NOUN	enfant
de	ADP	de
l'	DET	le
imagination	NOUN	imagination
.	PUNCT	.
Ils	PRON	il
meurent	VERB	mourir
à	ADP	à
cent	NUM	cent
ans	NOUN	an
,	PUNCT	,
ayant	VERB	avoir
toujours	ADV	toujours
l'	DET	le
avenir	NOUN	avenir
devant	ADP	devant
eux	PRON	lui
,	PUNCT	,
regrettant	VERB	regretter
le	DET	le
passé	NOUN	passé
,	PUNCT	,
et	CCONJ	et
se	PRON	se
plaignant	VERB	plaindre
du	ADP	de
présent	NOUN	présent
,	PUNCT	,
dont	PRON	dont
ils	PRON	il
n'	ADV	n'
ont	AUX	avoir
pas	ADV	pas
su	VERB	savoir
jouir	VERB	jouir
.	PUNCT	.

	SPACE	

„	PUNCT	„
Si	SCONJ	si
j'	PRON	je
avais	AUX	avoir
lu	VERB	lire
dans	ADP	dans
l'	DET	le
avenir	NOUN	avenir
,	PUNCT	,
me	PRON	me
disait	VERB	dire
un	DET	un
homme	NOUN	homme
,	PUNCT	,
je	PRON	je
n'	ADV	n'
aurais	AUX	avoir
pas	ADV	pas
épousé	VERB	épouser
ma	DET	mon
femme	NOUN	femme
.	PUNCT	.
--	PUNCT	--
Pourquoi	ADV	pourquoi
cela	PRON	cela
?	PUNCT	?
--	PUNCT	--
Parce	SCONJ	parce
qu'	SCONJ	que
elle	PRON	lui
me	PRON	me
fait	VERB	faire
cocu	NOUN	cocu
.	PUNCT	.
--	PUNCT	--
Une	DET	un
autre	ADJ	autre
vous	PRON	vous
eût	AUX	avoir
fait	VERB	faire
cocu	VERB	cocu
comme	ADP	comme
elle	PRON	lui
.	PUNCT	.

	SPACE	

--	PUNCT	--
Bah	PROPN	Bah
!	PUNCT	!
--	PUNCT	--
Vous	PRON	vous
n'	ADV	n'
êtes	AUX	être
pas	ADV	pas
beau	ADJ	beau
,	PUNCT	,
vous	PRON	vous
n'	ADV	n'
êtes	AUX	être
pas	ADV	pas
aimable	ADJ	aimable
,	PUNCT	,
vous	PRON	vous
êtes	AUX	être
exigeant	ADJ	exigeant
,	PUNCT	,
brutal	ADJ	brutal
,	PUNCT	,
violent	ADJ	violent
;	PUNCT	;
malgré	ADP	malgré
tout	ADJ	tout
cela	PRON	cela
vous	PRON	vous
avez	AUX	avoir
voulu	VERB	vouloir
une	DET	un
jolie	ADJ	joli
femme	NOUN	femme
,	PUNCT	,
et	CCONJ	et
avec	ADP	avec
tout	ADJ	tout
cela	PRON	cela
on	PRON	on
doit	VERB	devoir
être	AUX	être
cocu	ADJ	cocu
.	PUNCT	.
Vous	PRON	vous
l'	PRON	l'
avez	AUX	avoir
été	AUX	être
long	ADV	long
-	ADV	-
temps	ADV	temps
sans	ADP	sans
vous	PRON	vous
en	PRON	en
douter	VERB	douter
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
étiez	AUX	être
aussi	ADV	aussi
heureux	ADJ	heureux
qu'	SCONJ	que
on	PRON	on
peut	VERB	pouvoir
l'	PRON	l'
être	AUX	être
avec	ADP	avec
votre	DET	votre
caractère	NOUN	caractère
:	PUNCT	:
la	DET	le
prescience	NOUN	prescience
,	PUNCT	,
au	ADP	au
contraire	NOUN	contraire
,	PUNCT	,
vous	PRON	vous
eût	AUX	avoir
tourmenté	VERB	tourmenter
long	ADV	long
-	ADV	-
temps	ADV	temps
d'	ADP	de
avance	NOUN	avance
.	PUNCT	.
Pour	ADP	pour
prévenir	VERB	prévenir
un	DET	un
mal	NOUN	mal
dont	PRON	dont
personne	PRON	personne
n'	ADV	n'
est	AUX	être
mort	VERB	mourir
,	PUNCT	,
vous	PRON	vous
vous	PRON	vous
fussiez	VERB	être
livré	VERB	livrer
à	ADP	à
des	DET	un
excès	NOUN	excès
;	PUNCT	;
vous	PRON	vous
eussiez	VERB	avoir
poignardé	VERB	poignarder
ou	CCONJ	ou
empoisonné	VERB	empoisonner
votre	DET	votre
femme	NOUN	femme
,	PUNCT	,
et	CCONJ	et
c'	PRON	ce
eût	AUX	avoir
été	AUX	être
un	DET	un
mal	NOUN	mal
réel	ADJ	réel
:	PUNCT	:
on	PRON	on
vous	PRON	vous
eût	AUX	avoir
pendu	VERB	pendre
pour	ADP	pour
vous	PRON	vous
apprendre	VERB	apprendre
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
faut	VERB	falloir
pas	ADV	pas
tuer	VERB	tuer
une	DET	un
jeune	ADJ	jeune
femme	NOUN	femme
qui	PRON	qui
est	AUX	être
tentée	VERB	tenter
de	ADP	de
prendre	VERB	prendre
ailleurs	ADV	ailleurs
ce	PRON	ce
qu'	PRON	qu'
elle	PRON	lui
ne	ADV	ne
trouve	VERB	trouve
pas	ADV	pas
chez	ADP	chez
elle	PRON	lui
.	PUNCT	.
Changez	VERB	changer
de	ADP	de
manière	NOUN	manière
d'	ADP	de
être	VERB	être
;	PUNCT	;
devenez	VERB	devenir
doux	ADJ	doux
,	PUNCT	,
attentif	ADJ	attentif
,	PUNCT	,
prévenant	ADJ	prévenant
;	PUNCT	;
ramenez	VERB	ramener
votre	DET	votre
femme	NOUN	femme
,	PUNCT	,
oubliez	VERB	oublier
le	DET	le
passé	NOUN	passé
,	PUNCT	,
jouissez	VERB	jouir
du	ADP	de
présent	NOUN	présent
,	PUNCT	,
et	CCONJ	et
laissez	VERB	laisser
arriver	VERB	arriver
l'	DET	le
avenir	NOUN	avenir
.	PUNCT	.
“	PUNCT	“

	SPACE	

„	PUNCT	„
Ah	INTJ	Ah
!	PUNCT	!
si	SCONJ	si
j'	PRON	je
avais	AUX	avoir
connu	VERB	connaître
l'	DET	le
avenir	NOUN	avenir
,	PUNCT	,
me	PRON	me
disait	VERB	dire
un	DET	un
autre	ADJ	autre
,	PUNCT	,
j'	PRON	je
aurais	AUX	avoir
empêché	VERB	empêcher
hier	ADV	hier
mon	DET	mon
père	NOUN	père
de	ADP	de
sortir	VERB	sortir
de	ADP	de
chez	ADP	chez
lui	PRON	lui
;	PUNCT	;
il	PRON	il
n'	ADV	n'
eût	AUX	avoir
pas	ADV	pas
été	AUX	être
tué	VERB	tuer
par	ADP	par
une	DET	un
tuile	NOUN	tuile
qui	PRON	qui
lui	PRON	lui
est	AUX	être
tombée	VERB	tomber
sur	ADP	sur
la	DET	le
tête	NOUN	tête
.	PUNCT	.
“	PUNCT	“
Le	DET	le
lendemain	NOUN	lendemain
mon	DET	mon
homme	NOUN	homme
est	AUX	être
mort	VERB	mourir
subitement	ADV	subitement
,	PUNCT	,
évènement	NOUN	évènement
que	PRON	que
la	DET	le
prescience	NOUN	prescience
n'	ADV	n'
eût	AUX	avoir
pas	ADV	pas
empêché	VERB	empêcher
;	PUNCT	;
mais	CCONJ	mais
elle	PRON	lui
eût	AUX	avoir
empêché	VERB	empêcher
le	DET	le
défunt	NOUN	défunt
de	ADP	de
jouir	VERB	jouir
de	ADP	de
la	DET	le
vie	NOUN	vie
jusqu'	ADP	jusque
au	ADP	au
dernier	ADJ	dernier
moment	NOUN	moment
.	PUNCT	.

	SPACE	

Un	DET	un
troisième	ADJ	troisième
me	PRON	me
disait	VERB	dire
...	PUNCT	...
Si	SCONJ	si
je	PRON	je
vous	PRON	vous
disais	VERB	dire
tout	ADJ	tout
ce	PRON	ce
qu'	PRON	qu'
on	PRON	on
m'	PRON	me
a	AUX	avoir
dit	VERB	dire
,	PUNCT	,
je	PRON	je
ne	ADV	ne
finirais	VERB	finir
pas	ADV	pas
de	ADP	de
dire	VERB	dire
.	PUNCT	.
Les	DET	le
hommes	NOUN	homme
sont	AUX	être
des	DET	un
animaux	NOUN	animal
bien	ADV	bien
bizarres	ADJ	bizarre
:	PUNCT	:
ils	PRON	il
passent	VERB	passer
les	DET	le
deux	NUM	deux
tiers	NOUN	tiers
de	ADP	de
leur	DET	leur
vie	NOUN	vie
à	ADP	à
faire	VERB	faire
des	DET	un
songes	NOUN	songe
,	PUNCT	,
et	CCONJ	et
l'	DET	le
autre	ADJ	autre
tiers	NOUN	tiers
à	ADP	à
bâiller	VERB	bâiller
à	ADP	à
côté	NOUN	côté
des	ADP	de
jouissances	NOUN	jouissance
qui	PRON	qui
s'	PRON	se
offrent	VERB	offrir
continuellement	ADV	continuellement
à	ADP	à
eux	PRON	lui
.	PUNCT	.

	SPACE	

M.	NOUN	m.
de	ADP	de
Kinglin	PROPN	Kinglin
était	AUX	être
très	ADV	très
-	ADJ	-
homme	NOUN	homme
sous	ADP	sous
ce	DET	ce
rapport	NOUN	rapport
-là	NOUN	-là
.	PUNCT	.
Vous	PRON	vous
n'	ADV	n'
avez	AUX	avoir
pas	ADV	pas
connu	VERB	connaître
M.	NOUN	m.
de	ADP	de
Kinglin	PROPN	Kinglin
;	PUNCT	;
je	PRON	je
vais	VERB	aller
vous	PRON	vous
le	PRON	le
faire	AUX	faire
connaître	VERB	connaître
.	PUNCT	.
C'	PRON	ce
était	AUX	être
un	DET	un
gentilhomme	NOUN	gentilhomme
bas-breton	ADJ	bas-breton
,	PUNCT	,
qui	PRON	qui
cultivait	VERB	cultiver
de	ADP	de
son	DET	son
mieux	NOUN	mieux
quelques	DET	quelque
arpent	NOUN	arpent
dont	PRON	dont
il	PRON	il
n'	ADV	n'
était	AUX	être
pas	ADV	pas
même	ADV	même
propriétaire	NOUN	propriétaire
;	PUNCT	;
qui	PRON	qui
traçait	VERB	tracer
fièrement	ADV	fièrement
son	DET	son
sillon	NOUN	sillon
,	PUNCT	,
son	DET	son
épée	NOUN	épée
accrochée	VERB	accrocher
au	ADP	au
manche	NOUN	manche
de	ADP	de
sa	DET	son
charrue	NOUN	charrue
;	PUNCT	;
qui	PRON	qui
figurait	VERB	figurer
aux	ADP	à
États	NOUN	état
de	ADP	de
Bretagne	PROPN	Bretagne
en	ADP	en
sarrau	NOUN	sarrau
de	ADP	de
toile	NOUN	toile
et	CCONJ	et
en	ADP	en
sabots	NOUN	sabot
;	PUNCT	;
qui	PRON	qui
n'	ADV	n'
aurait	AUX	avoir
pas	ADV	pas
dîné	VERB	dîner
chez	ADP	chez
le	DET	le
premier	ADJ	premier
négociant	NOUN	négociant
de	ADP	de
Nantes	PROPN	Nantes
,	PUNCT	,
de	ADP	de
peur	NOUN	peur
de	ADP	de
s'	PRON	se
encanailler	VERB	encanailler
,	PUNCT	,
bien	ADV	bien
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
mangeât	VERB	manger
dans	ADP	dans
sa	DET	son
chaumière	NOUN	chaumière
que	ADV	que
du	DET	de
pain	NOUN	pain
noir	ADJ	noir
et	CCONJ	et
des	DET	un
fèveroles	NOUN	fèverole
.	PUNCT	.
A	ADP	à
la	DET	le
vérité	NOUN	vérité
,	PUNCT	,
M.	NOUN	m.
de	ADP	de
Kinglin	PROPN	Kinglin
assistait	VERB	assister
à	ADP	à
la	DET	le
messe	NOUN	messe
et	CCONJ	et
aux	ADP	à
vêpres	NOUN	vêpres
dans	ADP	dans
le	DET	le
banc	NOUN	banc
du	ADP	de
seigneur	NOUN	seigneur
du	ADP	de
village	NOUN	village
,	PUNCT	,
qui	PRON	qui
lui	PRON	lui
permettait	VERB	permettre
de	ADP	de
tuer	VERB	tuer
tous	ADJ	tout
les	DET	le
dimanches	NOUN	dimanche
un	DET	un
lièvre	NOUN	lièvre
sur	ADP	sur
ses	DET	son
terres	NOUN	terre
;	PUNCT	;
les	DET	le
paysans	NOUN	paysan
lui	PRON	lui
ôtaient	VERB	ôter
le	DET	le
chapeau	NOUN	chapeau
,	PUNCT	,
parce	SCONJ	parce
qu'	SCONJ	que
il	PRON	il
descendait	VERB	descendre
des	ADP	de
anciens	ADJ	ancien
ducs	NOUN	duc
de	ADP	de
Bretagne	PROPN	Bretagne
;	PUNCT	;
les	DET	le
femmes	NOUN	femme
lui	PRON	lui
faisaient	VERB	faire
la	DET	le
révérence	NOUN	révérence
par	ADP	par
la	DET	le
même	ADJ	même
raison	NOUN	raison
,	PUNCT	,
et	CCONJ	et
les	DET	le
jeunes	ADJ	jeune
filles	NOUN	fille
ne	ADV	ne
prenaient	VERB	prendre
pas	ADV	pas
garde	NOUN	garde
à	ADP	à
lui	PRON	lui
,	PUNCT	,
parce	SCONJ	parce
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
était	AUX	être
pas	ADV	pas
beau	ADJ	beau
.	PUNCT	.

	SPACE	

Il	PRON	il
résulte	VERB	résulte
