 	SPACE	 
Chapitre	NOUN	chapitre
I.	ADJ	i.

	SPACE	

De	ADP	de
l'	DET	le
enfant	NOUN	enfant
qui	PRON	qui
bande	VERB	bande
Je	PRON	je
suis	AUX	être
né	VERB	naître
dans	ADP	dans
un	DET	un
village	NOUN	village
près	ADV	près
de	ADP	de
Reims	PROPN	Reims
et	CCONJ	et
je	PRON	je
me	PRON	me
nomme	VERB	nomme
Cupidonnet	PROPN	Cupidonnet
.	PUNCT	.
Dès	ADP	dès
mon	DET	mon
enfance	NOUN	enfance
,	PUNCT	,
j'	PRON	je
aimais	VERB	aimer
les	DET	le
jolies	ADJ	joli
filles	NOUN	fille
;	PUNCT	;
j'	PRON	je
avais	VERB	avoir
surtout	ADV	surtout
un	DET	un
faible	NOUN	faible
pour	ADP	pour
les	DET	le
jolis	ADJ	joli
pieds	NOUN	pied
et	CCONJ	et
les	DET	le
jolies	ADJ	joli
chaussures	NOUN	chaussure
,	PUNCT	,
en	ADP	en
quoi	PRON	quoi
je	PRON	je
ressemblais	VERB	ressembler
au	ADP	au
Grand	ADJ	grand
Dauphin	PROPN	Dauphin
,	PUNCT	,
fils	NOUN	fils
de	ADP	de
Louis	PROPN	Louis
XIV	NUM	XIV
,	PUNCT	,
et	CCONJ	et
à	ADP	à
Thévenard	PROPN	Thévenard
,	PUNCT	,
acteur	NOUN	acteur
de	ADP	de
l'	DET	le
Opéra	NOUN	opéra
.	PUNCT	.

	SPACE	

La	DET	le
première	ADJ	premier
fille	NOUN	fille
qui	PRON	qui
me	PRON	me
fit	AUX	faire
bander	VERB	bander
fut	AUX	être
une	DET	un
jolie	ADJ	joli
paysanne	NOUN	paysan
qui	PRON	qui
me	PRON	me
portait	VERB	porter
à	ADP	à
vêpres	NOUN	vêpres
,	PUNCT	,
la	DET	le
main	NOUN	main
posée	VERB	poser
à	ADP	à
nu	ADJ	nu
sur	ADP	sur
mes	DET	mon
fesses	NOUN	fesse
;	PUNCT	;
elle	PRON	lui
me	PRON	me
chatouillait	VERB	chatouiller
les	DET	le
couillettes	NOUN	couillette
,	PUNCT	,
et	CCONJ	et
me	PRON	me
sentant	VERB	sentir
bander	VERB	bander
,	PUNCT	,
elle	PRON	lui
me	PRON	me
baisait	VERB	baiser
sur	ADP	sur
la	DET	le
bouche	NOUN	bouche
avec	ADP	avec
un	DET	un
emportement	NOUN	emportement
virginal	ADJ	virginal
,	PUNCT	,
car	CCONJ	car
elle	PRON	lui
était	AUX	être
chaude	ADJ	chaud
parce	SCONJ	parce
qu'	SCONJ	que
elle	PRON	lui
était	AUX	être
sage	ADJ	sage
.	PUNCT	.

	SPACE	

La	DET	le
première	ADJ	premier
fille	NOUN	fille
à	ADP	à
laquelle	PRON	lequel
je	PRON	je
fis	VERB	faire
des	DET	un
attouchements	NOUN	attouchement
,	PUNCT	,
en	ADP	en
conséquence	NOUN	conséquence
de	ADP	de
mon	DET	mon
goût	NOUN	goût
pour	ADP	pour
une	DET	un
jolie	ADJ	joli
chaussure	NOUN	chaussure
,	PUNCT	,
fut	AUX	être
ma	DET	mon
première	ADJ	premier
puînée	NOUN	puîné
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
appelait	VERB	appeler
Jenovefette	PROPN	Jenovefette
.	PUNCT	.
J'	PRON	je
avais	VERB	avoir
huit	NUM	huit
sœurs	NOUN	sœur
,	PUNCT	,
cinq	NUM	cinq
aînées	NOUN	aîné
d'	ADP	de
un	DET	un
premier	ADJ	premier
lit	NOUN	lit
,	PUNCT	,
et	CCONJ	et
trois	NUM	trois
puînées	NOUN	puîné
.	PUNCT	.
La	DET	le
seconde	ADJ	second
de	ADP	de
celles	PRON	celui
-là	PRON	-là
était	AUX	être
jolie	ADJ	joli
au	ADP	au
possible	NOUN	possible
;	PUNCT	;
il	PRON	il
en	PRON	en
sera	VERB	être
question	NOUN	question
;	PUNCT	;
la	DET	le
quatrième	ADJ	quatrième
avait	VERB	avoir
le	DET	le
poil	NOUN	poil
du	ADP	de
bijou	NOUN	bijou
tellement	ADV	tellement
soyeux	ADJ	soyeux
que	SCONJ	que
c'	PRON	ce
était	AUX	être
une	DET	un
volupté	NOUN	volupté
seulement	ADV	seulement
de	ADP	de
le	PRON	le
toucher	VERB	toucher
.	PUNCT	.
Les	DET	le
autres	PRON	autre
étaient	AUX	être
laides	ADJ	laid
.	PUNCT	.
Mes	DET	mon
puînées	NOUN	puîné
étaient	AUX	être
toutes	ADJ	tout
trois	PRON	trois
provocantes	ADJ	provocant
.	PUNCT	.

	SPACE	

Or	CCONJ	or
,	PUNCT	,
ma	DET	mon
mère	NOUN	mère
préférait	VERB	préférer
Jenovefette	PROPN	Jenovefette
,	PUNCT	,
la	DET	le
plus	ADV	plus
voluptueusement	ADV	voluptueusement
jolie	ADJ	joli
,	PUNCT	,
et	CCONJ	et
dans	ADP	dans
un	DET	un
voyage	NOUN	voyage
qu'	PRON	qu'
elle	PRON	lui
fit	VERB	faire
à	ADP	à
Paris	PROPN	Paris
,	PUNCT	,
elle	PRON	lui
lui	PRON	lui
apporta	VERB	apporter
des	DET	un
souliers	NOUN	soulier
délicats	ADJ	délicat
.	PUNCT	.
Je	PRON	je
les	PRON	le
lui	PRON	lui
vis	VERB	voir
essayer	VERB	essayer
,	PUNCT	,
et	CCONJ	et
j'	PRON	je
eus	VERB	avoir
une	DET	un
violente	ADJ	violent
érection	NOUN	érection
.	PUNCT	.
Le	DET	le
lendemain	NOUN	lendemain
,	PUNCT	,
dimanche	NOUN	dimanche
,	PUNCT	,
Jenovefette	PROPN	Jenovefette
mit	VERB	mettre
des	DET	un
bas	NOUN	bas
fins	ADJ	fin
blancs	ADJ	blanc
et	CCONJ	et
neufs	ADJ	neuf
de	ADP	de
coton	NOUN	coton
,	PUNCT	,
un	DET	un
corset	NOUN	corset
qui	PRON	qui
lui	PRON	lui
pinçait	VERB	pincer
la	DET	le
taille	NOUN	taille
,	PUNCT	,
et	CCONJ	et
avec	ADP	avec
son	DET	son
lubrique	ADJ	lubrique
tour	NOUN	tour
de	ADP	de
cul	NOUN	cul
elle	PRON	lui
faisait	VERB	faire
bander	VERB	bander
,	PUNCT	,
quoique	ADV	quoique
si	ADV	si
jeune	ADJ	jeune
,	PUNCT	,
mon	DET	mon
père	NOUN	père
lui-même	PRON	lui-même
,	PUNCT	,
car	CCONJ	car
il	PRON	il
dit	VERB	dire
à	ADP	à
ma	DET	mon
mère	NOUN	mère
de	ADP	de
la	PRON	le
renvoyer	VERB	renvoyer
.	PUNCT	.
(	PUNCT	(
J'	PRON	je
étais	AUX	être
caché	VERB	cacher
sous	ADP	sous
le	DET	le
lit	NOUN	lit
pour	ADP	pour
mieux	ADV	mieux
voir	VERB	voir
le	DET	le
soulier	NOUN	soulier
et	CCONJ	et
le	DET	le
bas	NOUN	bas
de	ADP	de
la	DET	le
jambe	NOUN	jambe
de	ADP	de
ma	DET	mon
jolie	ADJ	joli
cadette	NOUN	cadette
)	PUNCT	)
.	PUNCT	.
Dès	ADP	dès
que	SCONJ	que
ma	DET	mon
sœur	NOUN	sœur
fut	AUX	être
sortie	VERB	sortir
,	PUNCT	,
mon	DET	mon
père	NOUN	père
renversa	VERB	renverser
ma	DET	mon
mère	NOUN	mère
et	CCONJ	et
la	PRON	le
carillonna	VERB	carillonner
sur	ADP	sur
le	DET	le
pied	NOUN	pied
du	ADP	de
lit	NOUN	lit
sous	ADP	sous
lequel	PRON	lequel
j'	PRON	je
étais	VERB	être
,	PUNCT	,
en	ADP	en
lui	PRON	lui
disant	VERB	dire
:	PUNCT	:
«	PUNCT	«
Oh	INTJ	Oh
!	PUNCT	!
prenez	VERB	prendre
garde	NOUN	garde
à	ADP	à
votre	DET	votre
fille	NOUN	fille
chérie	ADJ	chéri
!	PUNCT	!
Elle	PRON	lui
aura	VERB	avoir
un	DET	un
furieux	ADJ	furieux
tempérament	NOUN	tempérament
,	PUNCT	,
je	PRON	je
vous	PRON	vous
en	PRON	en
avertis	VERB	avertir
...	PUNCT	...
Mais	CCONJ	mais
elle	PRON	lui
a	VERB	avoir
de	ADP	de
qui	PRON	qui
tenir	VERB	tenir
,	PUNCT	,
car	CCONJ	car
je	PRON	je
baise	VERB	baise
bien	ADV	bien
,	PUNCT	,
et	CCONJ	et
voilà	VERB	voilà
que	SCONJ	que
vous	PRON	vous
m'	PRON	me
en	PRON	en
donnez	VERB	donner
,	PUNCT	,
du	DET	de
jus	NOUN	jus
de	ADP	de
con	NOUN	con
,	PUNCT	,
comme	ADP	comme
une	DET	un
princesse	NOUN	princesse
...	PUNCT	...
»	PUNCT	»
Je	PRON	je
m'	PRON	me
aperçus	VERB	apercevoir
que	SCONJ	que
Jenovefette	PROPN	Jenovefette
écoutait	VERB	écouter
et	CCONJ	et
voyait	VERB	voir
...	PUNCT	...
Mon	DET	mon
père	NOUN	père
avait	VERB	avoir
raison	NOUN	raison
;	PUNCT	;
ma	DET	mon
jolie	ADJ	joli
cadette	NOUN	cadette
fut	AUX	être
depuis	ADV	depuis
dépucelée	VERB	dépuceler
par	ADP	par
son	DET	son
confesseur	NOUN	confesseur
,	PUNCT	,
ensuite	ADV	ensuite
foutue	VERB	foutre
par	ADP	par
