 	SPACE	 
Lettre	NOUN	lettre
1	NUM	1
.	NUM	.

	SPACE	

Ursule	NOUN	ursule
,	PUNCT	,
à	ADP	à
ses	DET	son
père	NOUN	père
et	CCONJ	et
mère	NOUN	mère
.	PUNCT	.

	SPACE	

[	PUNCT	[
Son	DET	son
arrivée	NOUN	arrivée
à	ADP	à
la	DET	le
ville.].	PUNCT	ville.].

	SPACE	

16	NUM	16
octobre	NOUN	octobre
1749	NUM	1749
.	PUNCT	.

	SPACE	

Mon	DET	mon
très	ADV	très
cher	ADJ	cher
père	NOUN	père
et	CCONJ	et
ma	DET	mon
très	ADV	très
chère	ADJ	cher
mère	NOUN	mère
,	PUNCT	,
Je	PRON	je
vous	PRON	vous
écris	VERB	écrire
ces	DET	ce
lignes	NOUN	ligne
,	PUNCT	,
pour	ADP	pour
vous	PRON	vous
présenter	VERB	présenter
mes	DET	mon
respects	NOUN	respect
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
vous	PRON	vous
remercier	VERB	remercier
de	ADP	de
la	DET	le
bonté	NOUN	bonté
que	PRON	que
vous	PRON	vous
avez	AUX	avoir
eue	VERB	avoir
de	ADP	de
m'	PRON	me
envoyer	VERB	envoyer
ici	ADV	ici
,	PUNCT	,
où	PRON	où
j'	PRON	je
ai	AUX	avoir
trouvé	VERB	trouver
une	DET	un
dame	NOUN	dame
aimable	ADJ	aimable
et	CCONJ	et
respectable	ADJ	respectable
qui	PRON	qui
m'	PRON	me
a	AUX	avoir
prise	VERB	prendre
en	ADP	en
amitié	NOUN	amitié
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
aime	VERB	aime
bien	ADV	bien
aussi	ADV	aussi
mon	DET	mon
frère	NOUN	frère
Edmond	PROPN	Edmond
,	PUNCT	,
qui	PRON	qui
est	AUX	être
un	DET	un
bon	ADJ	bon
cœur	NOUN	cœur
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
nous	PRON	nous
aime	VERB	aime
comme	ADP	comme
notre	DET	notre
chère	ADJ	cher
bonne	ADJ	bon
mère	NOUN	mère
lui	PRON	lui
a	AUX	avoir
recommandé	VERB	recommander
de	ADP	de
nous	PRON	nous
aimer	VERB	aimer
,	PUNCT	,
quand	SCONJ	quand
il	PRON	il
serait	VERB	être
à	ADP	à
la	DET	le
ville	NOUN	ville
;	PUNCT	;
et	CCONJ	et
comme	SCONJ	comme
elle	PRON	lui
nous	PRON	nous
recommandait	VERB	recommander
de	ADP	de
songer	VERB	songer
à	ADP	à
nous	PRON	nous
pousser	VERB	pousser
tous	ADJ	tout
les	DET	le
uns	NOUN	un
les	DET	le
autres	PRON	autre
,	PUNCT	,
en	ADP	en
nous	PRON	nous
attirant	VERB	attirer
où	PRON	où
il	PRON	il
serait	VERB	être
,	PUNCT	,
pour	ADP	pour
nous	PRON	nous
rendre	VERB	rendre
service	NOUN	service
