 	SPACE	 
REPRISE	NOUN	reprise
DE	ADP	de
LA	DET	le
HUITIèME	ADJ	huitième
éPOQUE	NOUN	époque
Il	PRON	il
est	AUX	être
temps	NOUN	temps
d	ADP	d
'	ADP	'
en	PRON	en
venir	VERB	venir
à	ADP	à
l	DET	l
'	DET	'
histoire	NOUN	histoire
de	ADP	de
Sara	PROPN	Sara
,	PUNCT	,
qui	PRON	qui
me	PRON	me
rendit	VERB	rendre
sa	DET	son
première	ADJ	premier
visite	NOUN	visite
peu	ADV	peu
de	ADP	de
temps	NOUN	temps
après	ADP	après
que	SCONJ	que
j	PRON	j
'	PRON	'
eus	AUX	avoir
vu	VERB	voir
la	DET	le
céleste	ADJ	céleste
Aglaé	PROPN	Aglaé
.	PUNCT	.
Puissé	VERB	pouvoir
-je	PRON	je
persuader	VERB	persuader
qu	SCONJ	qu
'	SCONJ	'
on	PRON	on
peut	VERB	pouvoir
être	AUX	être
trompé	VERB	tromper
par	ADP	par
les	DET	le
femmes	NOUN	femme
,	PUNCT	,
après	ADP	après
quarante	NUM	quarante
-	NUM	-
cinq	NUM	cinq
ans	NOUN	an
,	PUNCT	,
mais	CCONJ	mais
que	SCONJ	que
jamais	ADV	jamais
l	PRON	l
'	PRON	'
on	PRON	on
n	ADV	n
'	ADV	'
en	PRON	en
est	AUX	être
aimé	VERB	aimer
!	PUNCT	!
Ou	CCONJ	ou
que	SCONJ	que
si	SCONJ	si
,	PUNCT	,
par	ADP	par
un	DET	un
phénomène	NOUN	phénomène
,	PUNCT	,
on	PRON	on
l	PRON	l
'	PRON	'
est	VERB	être
encore	ADV	encore
,	PUNCT	,
ce	PRON	ce
n	ADV	n
'	ADV	'
est	AUX	être
qu	ADV	qu
'	ADV	'
un	DET	un
feu	NOUN	feu
peu	ADV	peu
durable	ADJ	durable
,	PUNCT	,
dont	PRON	dont
la	DET	le
prompte	ADJ	prompt
et	CCONJ	et
subite	ADJ	subit
extinction	NOUN	extinction
laisse	VERB	laisse
dans	ADP	dans
une	DET	un
obscurité	NOUN	obscurité
profonde	ADJ	profond
l	DET	l
'	DET	'
âme	NOUN	âme
navrée	ADJ	navrer
,	PUNCT	,
flétrie	VERB	flétrir
,	PUNCT	,
après	ADP	après
lui	PRON	lui
avoir	AUX	avoir
présenté	VERB	présenter
la	DET	le
lueur	NOUN	lueur
vaine	ADJ	vain
d	ADP	d
'	ADP	'
un	DET	un
bonheur	NOUN	bonheur
solide	ADJ	solide
et	CCONJ	et
sans	ADP	sans
fin	NOUN	fin
!	PUNCT	!
Hélas	INTJ	Hélas
!	PUNCT	!
à	ADP	à
quel	DET	quel
âge	NOUN	âge
m	PRON	m
'	PRON	'
attendaient	VERB	attendre
et	CCONJ	et
l	DET	l
'	DET	'
amour	NOUN	amour
,	PUNCT	,
et	CCONJ	et
lajalousie	NOUN	lajalousie
,	PUNCT	,
et	CCONJ	et
l	DET	l
'	DET	'
égarement	NOUN	égarement
,	PUNCT	,
et	CCONJ	et
la	DET	le
perfidie	NOUN	perfidie
,	PUNCT	,
et	CCONJ	et
les	DET	le
faux	ADJ	faux
serments	NOUN	serment
,	PUNCT	,
et	CCONJ	et
les	DET	le
larmes	NOUN	larme
de	ADP	de
rage	NOUN	rage
,	PUNCT	,
et	CCONJ	et
les	DET	le
serrements	NOUN	serrement
de	ADP	de
cœur	NOUN	cœur
,	PUNCT	,
et	CCONJ	et
les	DET	le
soupirs	NOUN	soupir
sanglotés	VERB	sangloter
,	PUNCT	,
et	CCONJ	et
la	DET	le
cruelle	ADJ	cruel
insomnie	NOUN	insomnie
,	PUNCT	,
et	CCONJ	et
les	DET	le
transports	NOUN	transport
de	ADP	de
douleur	NOUN	douleur
,	PUNCT	,
et	CCONJ	et
les	DET	le
chagrins	NOUN	chagrin
,	PUNCT	,
et	CCONJ	et
le	DET	le
brisement	NOUN	brisement
de	ADP	de
l	DET	l
'	DET	'
âme	NOUN	âme
,	PUNCT	,
et	CCONJ	et
l	DET	l
'	DET	'
horrible	ADJ	horrible
désespoir	NOUN	désespoir
!	PUNCT	!
...	PUNCT	...
mais	CCONJ	mais
,	PUNCT	,
dieu	NOUN	dieu
!	PUNCT	!
Qui	PRON	qui
n	ADV	n
'	ADV	'
y	PRON	y
eût	AUX	avoir
été	AUX	être
pris	VERB	prendre
comme	ADP	comme
moi	PRON	moi
!	PUNCT	!
...	PUNCT	...
ô	ADJ	ô
toi	PRON	toi
,	PUNCT	,
qui	PRON	qui
a	AUX	avoir
passé	VERB	passer
l	DET	l
'	DET	'
âge	NOUN	âge
de	ADP	de
plaire	VERB	plaire
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
regarde	VERB	regarde
encore	ADV	encore
avec	ADP	avec
plaisir	NOUN	plaisir
une	DET	un
fille	NOUN	fille
à	ADP	à
l	DET	l
'	DET	'
œil	NOUN	œil
doux	ADJ	doux
et	CCONJ	et
modeste	ADJ	modeste
,	PUNCT	,
insensé	ADJ	insensé
!	PUNCT	!
Fuis	VERB	fuir
!	PUNCT	!
Que	PRON	que
crois	VERB	croire
-	PRON	-
tu	PRON	tu
trouver	VERB	trouver
dans	ADP	dans
son	DET	son
cœur	NOUN	cœur
?	PUNCT	?
L	DET	l
'	DET	'
amour	NOUN	amour
?	PUNCT	?
...	PUNCT	...
non	ADV	non
!	PUNCT	!
Tu	PRON	tu
n	ADV	n
'	ADV	'
y	PRON	y
dois	VERB	devoir
trouver	VERB	trouver
que	ADV	que
l	DET	l
'	DET	'
inconstance	NOUN	inconstance
,	PUNCT	,
le	DET	le
mépris	NOUN	mépris
,	PUNCT	,
le	DET	le
dégoût	NOUN	dégoût
,	PUNCT	,
le	DET	le
désir	NOUN	désir
de	ADP	de
te	PRON	te
tromper	VERB	tromper
,	PUNCT	,
l	DET	l
'	DET	'
effronterie	NOUN	effronterie
pour	ADP	pour
braver	VERB	braver
tes	DET	ton
reproches	NOUN	reproche
...	PUNCT	...
telle	ADJ	tel
fut	AUX	être
élisabeth	PROPN	élisabeth
Sara	PROPN	Sara
Debée	PROPN	Debée
-	PROPN	-
Leeman	PROPN	Leeman
:	PUNCT	:
telle	ADJ	tel
fut	AUX	être
la	DET	le
fille	NOUN	fille
que	PRON	que
je	PRON	je
crus	VERB	croire
tendre	ADJ	tendre
,	PUNCT	,
douce	ADJ	doux
,	PUNCT	,
reconnaissante	ADJ	reconnaissant
,	PUNCT	,
aimable	ADJ	aimable
,	PUNCT	,
sincère	ADJ	sincère
,	PUNCT	,
constante	ADJ	constant
,	PUNCT	,
fidèle	ADJ	fidèle
!	PUNCT	!
...	PUNCT	...
en	ADP	en
1780	NUM	1780
,	PUNCT	,
j	PRON	j
'	PRON	'
avais	VERB	avoir
quarante	NUM	quarante
-	NUM	-
six	NUM	six
ans	NOUN	an
,	PUNCT	,
et	CCONJ	et
j	PRON	j
'	PRON	'
aimai	VERB	aimer
!	PUNCT	!
J	PRON	j
'	PRON	'
aimai	VERB	aimer
!	PUNCT	!
...	PUNCT	...
pardonnez	VERB	pardonner
,	PUNCT	,
lecteur	NOUN	lecteur
sévère	ADJ	sévère
,	PUNCT	,
je	PRON	je
ne	ADV	ne
suis	AUX	être
pas	ADV	pas
coupable	ADJ	coupable
.	PUNCT	.
Si	SCONJ	si
j	PRON	j
'	PRON	'
ai	AUX	avoir
donné	VERB	donner
entrée	NOUN	entrée
dans	ADP	dans
mon	DET	mon
trop	ADV	trop
sensible	ADJ	sensible
cœur	NOUN	cœur
au	ADP	au
fatal	ADJ	fatal
poison	NOUN	poison
de	ADP	de
l	DET	l
'	DET	'
amour	NOUN	amour
