 	SPACE	 
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
PRÉFACE	NOUN	préface
DE	ADP	de
L'	DET	le
ÉDITEUR	NOUN	éditeur
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*

	SPACE	

Pendant	ADP	pendant
mon	DET	mon
séjour	NOUN	séjour
à	ADP	à
Lausanne	PROPN	Lausanne
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
eu	VERB	avoir
l'	DET	le
occasion	NOUN	occasion
d'	ADP	de
y	PRON	y
voir	VERB	voir
la	DET	le
Comtesse	NOUN	comtesse
Pauliska	PROPN	Pauliska
,	PUNCT	,
réfugiée	NOUN	réfugié
Polonaise	ADJ	polonais
,	PUNCT	,
célèbre	ADJ	célèbre
par	ADP	par
sa	DET	son
beauté	NOUN	beauté
et	CCONJ	et
ses	DET	son
malheurs	NOUN	malheur
.	PUNCT	.
Quelques	DET	quelque
fragment	NOUN	fragment
qu'	PRON	qu'
elle	PRON	lui
me	PRON	me
lut	VERB	lire
de	ADP	de
ses	DET	son
mémoires	NOUN	mémoire
piquèrent	VERB	piquer
vivement	ADV	vivement
ma	DET	mon
curiosité	NOUN	curiosité
:	PUNCT	:
je	PRON	je
la	PRON	le
pressai	VERB	presser
de	ADP	de
les	PRON	le
publier	VERB	publier
.	PUNCT	.
«	PUNCT	«
Pourquoi	ADV	pourquoi
dévoiler	VERB	dévoiler
ces	DET	ce
horreurs	NOUN	horreur
,	PUNCT	,
me	PRON	me
répondit	VERB	répondre
cette	DET	ce
femme	NOUN	femme
intéressante	ADJ	intéressant
?	PUNCT	?
Vous	PRON	vous
le	PRON	le
voyez	VERB	voir
,	PUNCT	,
tout	ADJ	tout
ce	PRON	ce
que	PRON	que
les	DET	le
romanciers	NOUN	romancier
modernes	ADJ	moderne
ont	AUX	avoir
imaginé	VERB	imaginer
en	ADP	en
spectres	NOUN	spectre
,	PUNCT	,
en	ADP	en
fantômes	NOUN	fantôme
hideux	ADJ	hideux
,	PUNCT	,
en	ADP	en
perversité	NOUN	perversité
imaginaire	ADJ	imaginaire
,	PUNCT	,
n'	ADV	n'
approche	VERB	approche
pas	ADV	pas
de	ADP	de
la	DET	le
réalité	NOUN	réalité
funeste	ADJ	funeste
des	ADP	de
événement	NOUN	événement
dont	PRON	dont
j'	PRON	je
ai	AUX	avoir
été	AUX	être
le	DET	le
jouet	NOUN	jouet
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
me	PRON	me
font	AUX	faire
croire	VERB	croire
à	ADP	à
la	DET	le
fatalité	NOUN	fatalité
.	PUNCT	.
Abus	NOUN	abus
,	PUNCT	,
ou	CCONJ	ou
plutôt	ADV	plutôt
crimes	NOUN	crime
en	ADP	en
tout	PRON	tout
,	PUNCT	,
en	ADP	en
morale	NOUN	morale
,	PUNCT	,
en	ADP	en
amour	NOUN	amour
,	PUNCT	,
en	ADP	en
amitié	NOUN	amitié
,	PUNCT	,
dans	ADP	dans
les	DET	le
arts	NOUN	art
même	ADV	même
;	PUNCT	;
voilà	VERB	voilà
ce	PRON	ce
que	PRON	que
j'	PRON	je
ai	AUX	avoir
vu	VERB	voir
dans	ADP	dans
tous	ADJ	tout
les	DET	le
pays	NOUN	pays
où	PRON	où
l'	DET	le
infortune	NOUN	infortune
m'	PRON	me
a	AUX	avoir
conduite	VERB	conduire
.	PUNCT	.
Non	ADV	non
,	PUNCT	,
ne	ADV	ne
portons	VERB	porter
point	ADV	point
le	DET	le
désespoir	NOUN	désespoir
dans	ADP	dans
les	DET	le
cœurs	NOUN	cœur
vertueux	ADJ	vertueux
et	CCONJ	et
que	SCONJ	que
l'	DET	le
amitié	NOUN	amitié
seule	ADJ	seul
partage	VERB	partager
et	CCONJ	et
adoucisse	VERB	adoucir
mes	DET	mon
souvenirs	NOUN	souvenir
...	PUNCT	...
»	PUNCT	»
Deux	NUM	Deux
années	NOUN	année
de	ADP	de
calme	NOUN	calme
ont	AUX	avoir
enfin	ADV	enfin
rappelé	VERB	rappeler
la	DET	le
Comtesse	NOUN	comtesse
Pauliska	PROPN	Pauliska
au	ADP	au
bonheur	NOUN	bonheur
et	CCONJ	et
à	ADP	à
la	DET	le
fortune	NOUN	fortune
.	PUNCT	.
Montrant	VERB	montrer
par	ADP	par
son	DET	son
exemple	NOUN	exemple
que	SCONJ	que
la	DET	le
vertu	NOUN	vertu
,	PUNCT	,
semblable	ADJ	semblable
à	ADP	à
l'	DET	le
élément	NOUN	élément
du	ADP	de
feu	NOUN	feu
toujours	ADV	toujours
pur	ADJ	pur
et	CCONJ	et
inaltérable	ADJ	inaltérable
dans	ADP	dans
les	DET	le
fermentations	NOUN	fermentation
terrestres	ADJ	terrestre
,	PUNCT	,
survit	VERB	survivre
et	CCONJ	et
brille	VERB	brille
d'	ADP	de
un	DET	un
nouvel	ADJ	nouveau
éclat	NOUN	éclat
dans	ADP	dans
les	DET	le
orages	NOUN	orage
de	ADP	de
la	DET	le
vie	NOUN	vie
,	PUNCT	,
elle	PRON	lui
a	AUX	avoir
abjuré	VERB	abjurer
sa	DET	son
noire	ADJ	noir
misanthropie	NOUN	misanthropie
et	CCONJ	et
a	AUX	avoir
consenti	VERB	consentir
à	ADP	à
ce	PRON	ce
que	SCONJ	que
ses	DET	son
mémoires	NOUN	mémoire
fussent	AUX	être
publiés	VERB	publier
.	PUNCT	.

	SPACE	

Puissent	VERB	pouvoir
les	DET	le
tableaux	NOUN	tableau
qu'	PRON	qu'
ils	PRON	il
présentent	VERB	présenter
arrêter	VERB	arrêter
ces	DET	ce
torrent	NOUN	torrent
de	ADP	de
maximes	NOUN	maxime
perverses	ADJ	pervers
,	PUNCT	,
de	ADP	de
systèmes	NOUN	système
absurdes	ADJ	absurde
qui	PRON	qui
,	PUNCT	,
en	ADP	en
ridiculisant	VERB	ridiculiser
les	DET	le
plus	ADV	plus
nobles	ADJ	noble
vertus	NOUN	vertu
,	PUNCT	,
en	ADP	en
outrageant	VERB	outrager
sur-tout	ADV	sur-tout
l'	DET	le
amour	NOUN	amour
naïf	ADJ	naïf
et	CCONJ	et
l'	DET	le
heureuse	ADJ	heureux
innocence	NOUN	innocence
,	PUNCT	,
ébranlent	VERB	ébranler
aujourd'hui	ADV	aujourd'hui
chez	ADP	chez
presque	ADV	presque
tous	ADJ	tout
les	DET	le
peuples	NOUN	peuple
les	DET	le
fondemens	NOUN	fondemen
de	ADP	de
la	DET	le
morale	NOUN	morale
et	CCONJ	et
de	ADP	de
la	DET	le
société	NOUN	société
PAULISKA	PROPN	PAULISKA
.	PUNCT	.

	SPACE	

R	VERB	r
éunie	VERB	éunie
à	ADP	à
mes	DET	mon
parents	NOUN	parent
,	PUNCT	,
à	ADP	à
mes	DET	mon
amis	NOUN	ami
,	PUNCT	,
entourée	VERB	entourer
de	ADP	de
respects	NOUN	respect
et	CCONJ	et
de	ADP	de
soins	NOUN	soin
,	PUNCT	,
ne	ADV	ne
verrai	VERB	voir
-je	PRON	je
point	ADV	point
fuir	VERB	fuir
les	DET	le
hommages	NOUN	hommage
,	PUNCT	,
et	CCONJ	et
une	DET	un
horreur	NOUN	horreur
involontaire	ADJ	involontaire
succéder	VERB	succéder
à	ADP	à
la	DET	le
considération	NOUN	considération
,	PUNCT	,
quand	SCONJ	quand
on	PRON	on
apprendra	VERB	apprendre
les	DET	le
épreuves	NOUN	épreuve
terribles	ADJ	terrible
,	PUNCT	,
les	DET	le
événements	NOUN	événement
affreux	ADJ	affreux
dont	PRON	dont
j'	PRON	je
ai	AUX	avoir
été	AUX	être
victime	NOUN	victime
?	PUNCT	?
Mais	CCONJ	mais
le	DET	le
calme	NOUN	calme
des	ADP	de
jours	NOUN	jour
heureux	ADJ	heureux
s'	PRON	se
embellit	VERB	embellir
encore	ADV	encore
par	ADP	par
le	DET	le
souvenir	NOUN	souvenir
de	ADP	de
l'	DET	le
orage	NOUN	orage
,	PUNCT	,
et	CCONJ	et
je	PRON	je
me	PRON	me
livre	VERB	livre
à	ADP	à
ce	DET	ce
doux	ADJ	doux
sentiment	NOUN	sentiment
.	PUNCT	.
Cependant	ADV	cependant
,	PUNCT	,
telle	ADJ	tel
est	AUX	être
la	DET	le
bizarrerie	NOUN	bizarrerie
du	ADP	de
sort	NOUN	sort
une	DET	un
âme	NOUN	âme
pure	ADJ	pur
et	CCONJ	et
forte	ADJ	fort
,	PUNCT	,
des	DET	un
principes	NOUN	principe
sûrs	ADJ	sûr
,	PUNCT	,
une	DET	un
sensibilité	NOUN	sensibilité
profonde	ADJ	profond
,	PUNCT	,
enfin	ADV	enfin
ce	PRON	ce
qui	PRON	qui
constitue	VERB	constitue
les	DET	le
bases	NOUN	base
de	ADP	de
l'	DET	le
estime	NOUN	estime
publique	ADJ	public
,	PUNCT	,
tout	PRON	tout
fut	AUX	être
l'	DET	le
instrument	NOUN	instrument
de	ADP	de
mes	DET	mon
malheurs	NOUN	malheur
.	PUNCT	.
Jouet	NOUN	jouet
des	ADP	de
événement	NOUN	événement
d'	ADP	de
une	DET	un
révolution	NOUN	révolution
dont	PRON	dont
personne	PRON	personne
n'	ADV	n'
a	AUX	avoir
pu	VERB	pouvoir
calculer	VERB	calculer
les	DET	le
suites	NOUN	suite
,	PUNCT	,
la	DET	le
connaissance	NOUN	connaissance
du	ADP	de
passé	NOUN	passé
,	PUNCT	,
les	DET	le
hypothèses	NOUN	hypothèse
sur	ADP	sur
l'	DET	le
avenir	NOUN	avenir
,	PUNCT	,
la	DET	le
science	NOUN	science
des	ADP	de
hommes	NOUN	homme
,	PUNCT	,
la	DET	le
morale	NOUN	morale
éternelle	ADJ	éternel
,	PUNCT	,
tout	PRON	tout
s'	PRON	se
est	AUX	être
trouvé	VERB	trouver
en	ADP	en
défaut	NOUN	défaut
,	PUNCT	,
la	DET	le
force	NOUN	force
a	AUX	avoir
subjugué	VERB	subjuguer
la	DET	le
Pologne	PROPN	Pologne
.	PUNCT	.
Le	DET	le
succès	NOUN	succès
a	AUX	avoir
consacré	VERB	consacrer
l'	DET	le
injustice	NOUN	injustice
aux	ADP	à
yeux	NOUN	oeil
du	ADP	de
Russe	PROPN	Russe
enorgueilli	VERB	enorgueillir
,	PUNCT	,
et	CCONJ	et
le	DET	le
silence	NOUN	silence
fut	AUX	être
sa	DET	son
première	ADJ	premier
loi	NOUN	loi
.	PUNCT	.
Trop	ADV	trop
malheureuse	ADJ	malheureux
,	PUNCT	,
trop	ADV	trop
énergique	ADJ	énergique
pour	ADP	pour
céder	VERB	céder
jamais	ADV	jamais
à	ADP	à
cette	DET	ce
loi	NOUN	loi
des	ADP	de
lâches	NOUN	lâche
,	PUNCT	,
cette	DET	ce
loi	NOUN	loi
érectrice	ADJ	érecteur
des	ADP	de
échafauds	NOUN	échafaud
,	PUNCT	,
je	PRON	je
