 	SPACE	 
Monsieur	NOUN	Monsieur
le	DET	le
duc	NOUN	duc
de	ADP	de
Vendôme	PROPN	Vendôme
,	PUNCT	,
ayant	AUX	avoir
glorieusement	ADV	glorieusement
terminé	VERB	terminer
la	DET	le
guerre	NOUN	guerre
d	ADP	d
'	ADP	'
Espagne	PROPN	Espagne
,	PUNCT	,
revint	VERB	revenir
à	ADP	à
la	DET	le
cour	NOUN	cour
,	PUNCT	,
suivi	VERB	suivre
d	ADP	d
'	ADP	'
une	DET	un
brillante	ADJ	brillant
jeunesse	NOUN	jeunesse
;	PUNCT	;
victorieuse	ADJ	victorieux
sous	ADP	sous
ses	DET	son
étendards	NOUN	étendard
,	PUNCT	,
elle	PRON	lui
partageait	VERB	partager
avec	ADP	avec
lui	PRON	lui
l	DET	l
'	DET	'
honneur	NOUN	honneur
de	ADP	de
ses	DET	son
triomphes	NOUN	triomphe
.	PUNCT	.
Parmi	ADP	parmi
ceux	PRON	celui
qui	PRON	qui
s	PRON	s
'	PRON	'
étaient	AUX	être
distingués	VERB	distinguer
dans	ADP	dans
la	DET	le
dernière	ADJ	dernier
campagne	NOUN	campagne
,	PUNCT	,
le	DET	le
marquis	NOUN	marquis
De	ADP	de
Cressy	PROPN	Cressy
,	PUNCT	,
par	ADP	par
une	DET	un
attention	NOUN	attention
particulière	ADJ	particulier
du	ADP	de
prince	NOUN	prince
qui	PRON	qui
l	PRON	l
'	PRON	'
aimait	VERB	aimer
,	PUNCT	,
avait	AUX	avoir
eu	VERB	avoir
occasion	NOUN	occasion
de	ADP	de
montrer	VERB	montrer
ce	PRON	ce
que	PRON	que
peuvent	VERB	pouvoir
le	DET	le
zèle	NOUN	zèle
,	PUNCT	,
le	DET	le
courage	NOUN	courage
,	PUNCT	,
et	CCONJ	et
la	DET	le
fermeté	NOUN	fermeté
,	PUNCT	,
dans	ADP	dans
le	DET	le
cœur	NOUN	cœur
d	ADP	d
'	ADP	'
un	DET	un
français	NOUN	français
;	PUNCT	;
heureux	ADJ	heureux
si	SCONJ	si
des	DET	un
qualités	NOUN	qualité
si	ADV	si
nobles	ADJ	noble
eussent	AUX	avoir
pris	VERB	prendre
leur	DET	leur
source	NOUN	source
dans	ADP	dans
l	DET	l
'	DET	'
amour	NOUN	amour
de	ADP	de
la	DET	le
patrie	NOUN	patrie
et	CCONJ	et
dans	ADP	dans
cette	DET	ce
généreuse	ADJ	généreux
émulation	NOUN	émulation
naturelle	ADJ	naturel
aux	ADP	à
bellesames	NOUN	bellesame
,	PUNCT	,
plutôt	ADV	plutôt
que	SCONJ	que
dans	ADP	dans
un	DET	un
désirs	NOUN	désir
ardent	ADJ	ardent
de	ADP	de
s	PRON	s
'	PRON	'
avancer	VERB	avancer
,	PUNCT	,
d	ADP	d
'	ADP	'
effacer	VERB	effacer
les	DET	le
autres	PRON	autre
,	PUNCT	,
et	CCONJ	et
de	ADP	de
parvenir	VERB	parvenir
à	ADP	à
la	DET	le
plus	ADV	plus
haute	ADJ	haut
fortune	NOUN	fortune
!	PUNCT	!
Le	DET	le
marquis	NOUN	marquis
entrait	VERB	entrer
dans	ADP	dans
sa	DET	son
vingt-huitieme	ADJ	vingt-huitiem
année	NOUN	année
lorsqu	SCONJ	lorsqu
'	SCONJ	'
il	PRON	il
reparut	VERB	reparaître
à	ADP	à
la	DET	le
cour	NOUN	cour
après	ADP	après
six	NUM	six
ans	NOUN	an
d	ADP	d
'	ADP	'
absence	NOUN	absence
.	PUNCT	.
Il	PRON	il
était	AUX	être
maître	NOUN	maître
de	ADP	de
lui-même	PRON	lui-même
;	PUNCT	;
assez	ADV	assez
riche	ADJ	riche
,	PUNCT	,
si	SCONJ	si
ses	DET	son
désirs	NOUN	désir
eussent	AUX	avoir
été	AUX	être
modérés	ADJ	modérer
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
dominé	VERB	dominer
par	ADP	par
l	DET	l
'	DET	'
ambition	NOUN	ambition
,	PUNCT	,
le	DET	le
bien	NOUN	bien
de	ADP	de
ses	DET	son
pères	NOUN	père
ne	ADV	ne
pouvait	VERB	pouvoir
suffire	VERB	suffire
à	ADP	à
l	DET	l
'	DET	'
état	NOUN	état
qu	PRON	que
'	PRON	'
il	PRON	il
avait	AUX	avoir
pris	VERB	prendre
;	PUNCT	;
il	PRON	il
songea	VERB	songer
à	ADP	à
le	PRON	le
soutenir	VERB	soutenir
