 	SPACE	 
LETTRE	NOUN	lettre
1	NUM	1
mardi	NOUN	mardi
,	PUNCT	,
de	ADP	de
Summerhill	PROPN	Summerhill
.	PUNCT	.

	SPACE	

c	PRON	c
'	PRON	'
est	AUX	être
au	ADP	au
grand	ADJ	grand
trot	NOUN	trot
de	ADP	de
six	NUM	six
forts	ADJ	fort
chevaux	NOUN	cheval
,	PUNCT	,
avec	ADP	avec
des	DET	un
relais	NOUN	relais
bien	ADV	bien
disposés	VERB	disposer
,	PUNCT	,
l	DET	l
'	DET	'
air	NOUN	air
de	ADP	de
l	DET	l
'	DET	'
empressement	NOUN	empressement
,	PUNCT	,
que	PRON	que
je	PRON	je
vais	VERB	aller
très	ADV	très
-	ADV	-
vite	ADV	vite
,	PUNCT	,
accompagnée	VERB	accompagner
de	ADP	de
gens	NOUN	gens
dont	PRON	dont
je	PRON	je
me	PRON	me
soucie	VERB	soucier
peu	ADV	peu
,	PUNCT	,
chez	ADP	chez
d	DET	d
'	DET	'
autres	ADJ	autre
dont	PRON	dont
je	PRON	je
ne	ADV	ne
me	PRON	me
soucie	VERB	soucier
point	ADV	point
du	ADP	de
tout	ADV	tout
.	PUNCT	.
J	PRON	j
'	PRON	'
abandonne	VERB	abandonne
mes	DET	mon
amis	NOUN	ami
les	DET	le
plus	ADV	plus
chers	ADJ	cher
;	PUNCT	;
je	PRON	je
vous	PRON	vous
quitte	VERB	quitte
,	PUNCT	,
vous	PRON	vous
que	PRON	que
j	PRON	j
'	PRON	'
aime	VERB	aime
si	ADV	si
tendrement	ADV	tendrement
:	PUNCT	:
eh	INTJ	eh
!	PUNCT	!
Pourquoi	ADV	pourquoi
ce	DET	ce
départ	NOUN	départ
,	PUNCT	,
cette	DET	ce
hâte	NOUN	hâte
?	PUNCT	?
Pourquoi	ADV	pourquoi
me	PRON	me
presser	VERB	presser
d	ADP	d
'	ADP	'
arriver	VERB	arriver
où	PRON	où
je	PRON	je
ne	ADV	ne
désire	VERB	désire
point	NOUN	point
d	ADP	d
'	ADP	'
être	VERB	être
?	PUNCT	?
Pour	ADP	pour
m	PRON	m
'	PRON	'
éloigner	VERB	éloigner
...	PUNCT	...
de	ADP	de
qui	PRON	qui
?	PUNCT	?
...	PUNCT	...
de	ADP	de
Milord	PROPN	Milord
D	ADP	d
'	ADP	'
Offery	PROPN	Offery
...	PUNCT	...
ah	INTJ	ah
!	PUNCT	!
Ma	DET	mon
chère	ADJ	cher
Henriette	PROPN	Henriette
,	PUNCT	,
qui	PRON	qui
m	PRON	m
'	PRON	'
eût	AUX	avoir
dit	VERB	dire
que	SCONJ	que
je	PRON	je
l	PRON	l
'	PRON	'
éviterois	VERB	éviterois
un	DET	un
jour	NOUN	jour
?	PUNCT	?
N	ADV	n
'	ADV	'
est	AUX	être
-ce	PRON	-ce
pas	ADV	pas
le	DET	le
même	ADJ	même
