 	SPACE	 
PARTIE	NOUN	partie
1	NUM	1
Je	PRON	je
me	PRON	me
vois	VERB	voir
obligée	VERB	obliger
,	PUNCT	,
madame	NOUN	monsieur
,	PUNCT	,
de	ADP	de
justifier	VERB	justifier
ma	DET	mon
conduite	NOUN	conduite
à	ADP	à
vos	DET	votre
yeux	NOUN	oeil
,	PUNCT	,
ou	CCONJ	ou
de	ADP	de
vous	PRON	vous
laisser	VERB	laisser
croire	VERB	croire
qu	SCONJ	qu
'	SCONJ	'
elle	PRON	lui
est	AUX	être
très	ADV	très
-	ADJ	-
singulière	ADJ	singulier
,	PUNCT	,
peut-être	ADV	peut-être
très	ADV	très
-	ADJ	-
blâmable	ADJ	blâmable
.	PUNCT	.
Par	ADP	par
leurs	DET	leur
propositions	NOUN	proposition
brillantes	ADJ	brillant
,	PUNCT	,
deux	NUM	deux
personnes	NOUN	personne
attirent	VERB	attirer
actuellement	ADV	actuellement
sur	ADP	sur
moi	PRON	moi
l	DET	l
'	DET	'
attention	NOUN	attention
d	ADP	d
'	ADP	'
une	DET	un
foule	NOUN	foule
de	ADP	de
spectateurs	NOUN	spectateur
.	PUNCT	.
Chacun	PRON	chacun
me	PRON	me
juge	VERB	juger
au	ADP	au
gré	NOUN	gré
de	ADP	de
ses	DET	son
idées	NOUN	idée
,	PUNCT	,
et	CCONJ	et
me	PRON	me
condamne	VERB	condamne
sur	ADP	sur
ses	DET	son
propres	ADJ	propre
principes	NOUN	principe
.	PUNCT	.
Imagine	VERB	imagine
-t	PRON	-t
-on	PRON	on
des	DET	un
motifs	NOUN	motif
raisonnables	ADJ	raisonnable
de	ADP	de
dédaigner	VERB	dédaigner
une	DET	un
grande	ADJ	grand
fortune	NOUN	fortune
?	PUNCT	?
Au	ADP	au
sentiment	NOUN	sentiment
de	ADP	de
la	DET	le
plupart	NOUN	plupart
des	ADP	de
hommes	NOUN	homme
,	PUNCT	,
la	DET	le
modération	NOUN	modération
est	AUX	être
une	DET	un
qualité	NOUN	qualité
bien	ADV	bien
petite	ADJ	petit
:	PUNCT	:
elle	PRON	lui
leur	PRON	leur
paraît	VERB	paraître
plutôt	ADV	plutôt
la	DET	le
marque	NOUN	marque
d	ADP	d
'	ADP	'
un	DET	un
naturel	NOUN	naturel
paresseux	ADJ	paresseux
,	PUNCT	,
d	ADP	d
'	ADP	'
une	DET	un
âme	NOUN	âme
sans	ADP	sans
élévation	NOUN	élévation
,	PUNCT	,
que	SCONJ	que
la	DET	le
suite	NOUN	suite
des	ADP	de
réflexions	NOUN	réflexion
solides	ADJ	solide
d	ADP	d
'	ADP	'
un	DET	un
esprit	NOUN	esprit
juste	ADJ	juste
,	PUNCT	,
ou	CCONJ	ou
l	DET	l
'	DET	'
effet	NOUN	effet
d	ADP	d
'	ADP	'
une	DET	un
vertu	NOUN	vertu
distinguée	ADJ	distingué
.	PUNCT	.
Ne	ADV	ne
tenant	VERB	tenir
à	ADP	à
rien	PRON	rien
dans	ADP	dans
le	DET	le
monde	NOUN	monde
,	PUNCT	,
je	PRON	je
n	ADV	n
'	PUNCT	'
ai	AUX	avoir
adopté	VERB	adopter
les	DET	le
préjugés	NOUN	préjugé
d	ADP	d
'	ADP	'
aucun	DET	aucun
état	NOUN	état
;	PUNCT	;
je	PRON	je
ne	ADV	ne
cherche	VERB	cherche
point	ADV	point
la	DET	le
célébrité	NOUN	célébrité
,	PUNCT	,
et	CCONJ	et
rougirois	VERB	rougirois
d	ADP	d
'	ADP	'
affecter	VERB	affecter
une	DET	un
