 	SPACE	 
PREMIERE	ADJ	premier
PARTIE	NOUN	partie
LETTRE	NOUN	lettre
I.	ADJ	i.

	SPACE	

A	ADP	à
JULIE	PROPN	JULIE
Il	PRON	il
faut	VERB	falloir
vous	PRON	vous
fuir	VERB	fuir
,	PUNCT	,
Mademoiselle	PROPN	Mademoiselle
,	PUNCT	,
je	PRON	je
le	PRON	le
sens	VERB	sentir
bien	ADV	bien
:	PUNCT	:
j’	PRON	j’
aurais	AUX	avoir
dû	VERB	devoir
beaucoup	ADV	beaucoup
moins	ADV	moins
attendre	VERB	attendre
,	PUNCT	,
ou	CCONJ	ou
plutôt	ADV	plutôt
il	PRON	il
fallait	VERB	falloir
ne	ADV	ne
vous	PRON	vous
voir	VERB	voir
jamais	ADV	jamais
.	PUNCT	.
Mais	CCONJ	mais
que	PRON	que
faire	VERB	faire
aujourd’hui	ADV	aujourd’hui
?	PUNCT	?
Comment	ADV	comment
m’	PRON	m’
y	PRON	y
prendre	VERB	prendre
?	PUNCT	?
Vous	PRON	vous
m’	PRON	m’
avez	AUX	avoir
promis	VERB	promettre
de	ADP	de
l’	DET	l’
amitié	NOUN	amitié
;	PUNCT	;
voyez	VERB	voir
mes	DET	mon
perplexités	NOUN	perplexité
,	PUNCT	,
et	CCONJ	et
conseillez	VERB	conseiller
-moi	PRON	moi
.	PUNCT	.

	SPACE	

Vous	PRON	vous
savez	VERB	savoir
que	SCONJ	que
je	PRON	je
ne	ADV	ne
suis	AUX	être
entré	VERB	entrer
dans	ADP	dans
votre	DET	votre
maison	NOUN	maison
que	ADV	que
sur	ADP	sur
l’	DET	l’
invitation	NOUN	invitation
de	ADP	de
Madame	NOUN	monsieur
votre	DET	votre
mère	NOUN	mère
.	PUNCT	.
Sachant	VERB	savoir
que	SCONJ	que
j’	PRON	j’
avais	AUX	avoir
cultivé	VERB	cultiver
quelques	DET	quelque
talents	NOUN	talent
agréables	ADJ	agréable
,	PUNCT	,
elle	PRON	lui
a	AUX	avoir
cru	VERB	croire
qu’	SCONJ	qu’
ils	PRON	il
ne	ADV	ne
seraient	AUX	être
pas	ADV	pas
inutiles	ADJ	inutile
