 	SPACE	 
LES	DET	le
RÊVERIES	NOUN	rêverie
DU	ADP	de
PROMENEUR	NOUN	promeneur
SOLITAIRE	ADJ	solitaire
.	PUNCT	.

	SPACE	

PREMIERE	ADJ	premier
PROMENADE	NOUN	promenade
Me	PRON	me
voici	VERB	voici
donc	ADV	donc
seul	ADJ	seul
sur	ADP	sur
la	DET	le
terre	NOUN	terre
,	PUNCT	,
n’	ADV	n’
ayant	VERB	avoir
plus	ADV	plus
de	DET	de
frère	NOUN	frère
,	PUNCT	,
de	ADP	de
prochain	ADJ	prochain
,	PUNCT	,
d’	ADP	d’
ami	NOUN	ami
,	PUNCT	,
de	ADP	de
société	NOUN	société
que	SCONJ	que
moi	PRON	moi
-	PRON	-
même	PRON	même
.	PUNCT	.
Le	DET	le
plus	ADV	plus
sociable	ADJ	sociable
et	CCONJ	et
le	DET	le
plus	ADV	plus
aimant	ADJ	aimant
des	ADP	de
humains	NOUN	humain
en	PRON	en
a	AUX	avoir
été	AUX	être
proscrit	VERB	proscrire
par	ADP	par
un	DET	un
accord	NOUN	accord
unanime	ADJ	unanime
.	PUNCT	.

	SPACE	

Ils	PRON	il
ont	AUX	avoir
cherché	VERB	chercher
dans	ADP	dans
les	DET	le
rafinement	NOUN	rafinement
de	ADP	de
leur	DET	leur
haine	NOUN	haine
quel	DET	quel
tourment	NOUN	tourment
pouvait	VERB	pouvoir
être	AUX	être
le	DET	le
plus	ADV	plus
cruel	ADJ	cruel
à	ADP	à
mon	DET	mon
âme	NOUN	âme
sensible	ADJ	sensible
,	PUNCT	,
et	CCONJ	et
ils	PRON	il
ont	AUX	avoir
brisé	VERB	briser
violemment	ADV	violemment
tous	ADJ	tout
les	DET	le
liens	NOUN	lien
qui	PRON	qui
m’	PRON	m’
attachaient	VERB	attacher
à	ADP	à
eux	PRON	lui
.	PUNCT	.
J’	PRON	j’
aurais	AUX	avoir
aimé	VERB	aimer
les	DET	le
hommes	NOUN	homme
en	ADP	en
dépit	NOUN	dépit
d’	ADP	d’
eux	PRON	lui
-	PRON	-
mêmes	PRON	même
.	PUNCT	.
Ils	PRON	il
n’	ADV	n’
ont	AUX	avoir
pu	VERB	pouvoir
qu’	ADV	qu’
en	ADP	en
cessant	VERB	cesser
de	ADP	de
l’	PRON	l’
être	AUX	être
se	PRON	se
dérober	VERB	dérober
à	ADP	à
mon	DET	mon
affection	NOUN	affection
.	PUNCT	.
Les	DET	le
voilà	VERB	voilà
donc	ADV	donc
étrangers	ADJ	étranger
,	PUNCT	,
inconnus	ADJ	inconnu
,	PUNCT	,
nuls	ADJ	nul
enfin	ADV	enfin
pour	ADP	pour
moi	PRON	moi
puisqu’	SCONJ	puisqu’
ils	PRON	il
l’	PRON	l’
ont	AUX	avoir
voulu	VERB	vouloir
.	PUNCT	.
Mais	CCONJ	mais
moi	PRON	moi
,	PUNCT	,
détaché	ADJ	détaché
d’	ADP	d’
eux	PRON	lui
et	CCONJ	et
de	ADP	de
tout	PRON	tout
,	PUNCT	,
que	PRON	que
suis	AUX	être
-je	PRON	je
moi	PRON	moi
-	PRON	-
même	PRON	même
?	PUNCT	?
Voilà	VERB	voilà
ce	PRON	ce
qui	PRON	qui
me	PRON	me
reste	VERB	reste
à	ADP	à
chercher	VERB	chercher
.	PUNCT	.
Malheureusement	ADV	malheureusement
cette	DET	ce
recherche	NOUN	recherche
doit	VERB	devoir
être	AUX	être
précédée	VERB	précéder
d’	ADP	d’
un	DET	un
coup-d’œil	NOUN	coup-d’œil
sur	ADP	sur
ma	DET	mon
position	NOUN	position
.	PUNCT	.
C’	PRON	c’
est	AUX	être
une	DET	un
idée	NOUN	idée
par	ADP	par
laquelle	PRON	lequel
il	PRON	il
faut	VERB	falloir
nécessairement	ADV	nécessairement
que	SCONJ	que
je	PRON	je
passe	VERB	passer
,	PUNCT	,
pour	ADP	pour
arriver	VERB	arriver
d’	ADP	d’
eux	PRON	lui
à	ADP	à
moi	PRON	moi
.	PUNCT	.

	SPACE	

Depuis	ADP	depuis
quinze	NUM	quinze
ans	NOUN	an
et	CCONJ	et
plus	ADV	plus
que	SCONJ	que
je	PRON	je
suis	VERB	suivre
dans	ADP	dans
cette	DET	ce
étrange	ADJ	étrange
position	NOUN	position
,	PUNCT	,
elle	PRON	lui
me	PRON	me
paraît	VERB	paraître
encore	ADV	encore
un	DET	un
rêve	NOUN	rêve
.	PUNCT	.
Je	PRON	je
m’	PRON	m’
imagine	VERB	imagine
toujours	ADV	toujours
qu’	SCONJ	qu’
une	DET	un
indigestion	NOUN	indigestion
me	PRON	me
tourmente	VERB	tourmente
,	PUNCT	,
que	SCONJ	que
je	PRON	je
dors	VERB	dormir
d’	ADP	d’
un	DET	un
mauvais	ADJ	mauvais
sommeil	NOUN	sommeil
et	CCONJ	et
que	SCONJ	que
je	PRON	je
vais	VERB	aller
me	PRON	me
réveiller	VERB	réveiller
bien	ADV	bien
soulagé	VERB	soulager
de	ADP	de
ma	DET	mon
peine	NOUN	peine
en	ADP	en
me	PRON	me
retrouvant	VERB	retrouver
avec	ADP	avec
mes	DET	mon
