 	SPACE	 
A	ADP	à
MADAME	PROPN	MADAME
D	ADP	d
...	PUNCT	...

	SPACE	

MADAME	PROPN	MADAME
,	PUNCT	,
Un	DET	un
Ouvrage	NOUN	ouvrage
composé	VERB	composer
de	ADP	de
Tableaux	NOUN	tableau
,	PUNCT	,
où	PRON	où
,	PUNCT	,
sous	ADP	sous
des	DET	un
formes	NOUN	forme
variées	ADJ	varier
,	PUNCT	,
on	PRON	on
n'	ADV	n'
a	AUX	avoir
peint	VERB	peindre
que	ADV	que
l'	DET	le
Amour	NOUN	amour
,	PUNCT	,
la	DET	le
Beauté	NOUN	beauté
,	PUNCT	,
les	DET	le
Graces	NOUN	grace
;	PUNCT	;
vous	PRON	vous
appartient	VERB	appartenir
à	ADP	à
ce	DET	ce
seul	ADJ	seul
titre	NOUN	titre
.	PUNCT	.

	SPACE	

Vos	DET	votre
droits	NOUN	droit
se	PRON	se
lisent	VERB	lire
dans	ADP	dans
vos	DET	votre
yeux	NOUN	oeil
;	PUNCT	;
ils	PRON	il
sont	AUX	être
écrits	VERB	écrire
sur	ADP	sur
la	DET	le
plus	ADV	plus
aimable	ADJ	aimable
figure	NOUN	figure
.	PUNCT	.
Dirai	VERB	dire
-je	PRON	je
tous	ADJ	tout
ceux	PRON	celui
que	PRON	que
vous	PRON	vous
donnent	VERB	donner
encore	ADV	encore
un	DET	un
goût	NOUN	goût
délicat	ADJ	délicat
,	PUNCT	,
un	DET	un
sentiment	NOUN	sentiment
fin	ADJ	fin
,	PUNCT	,
un	DET	un
jugement	NOUN	jugement
sûr	ADJ	sûr
?	PUNCT	?

	SPACE	

ce	PRON	ce
serait	AUX	être
presque	ADV	presque
vous	PRON	vous
nommer	VERB	nommer
.	PUNCT	.

	SPACE	

L'	DET	le
Auteur	NOUN	auteur
se	PRON	se
serait	AUX	être
empressé	VERB	empresser
,	PUNCT	,
sans	ADP	sans
doute	NOUN	doute
,	PUNCT	,
à	ADP	à
vous	PRON	vous
en	PRON	en
faire	VERB	faire
lui-même	PRON	lui-même
l'	DET	le
hommage	NOUN	hommage
,	PUNCT	,
s'	SCONJ	s'
il	PRON	il
avait	VERB	avoir
le	DET	le
bonheur	NOUN	bonheur
de	ADP	de
vous	PRON	vous
connaître	VERB	connaître
.	PUNCT	.

	SPACE	

Ainsi	ADV	ainsi
,	PUNCT	,
en	ADP	en
vous	PRON	vous
l'	PRON	l'
offrant	VERB	offrir
,	PUNCT	,
Ma-	PROPN	Ma-
dame	NOUN	dame
,	PUNCT	,
je	PRON	je
préviens	VERB	prévenir
ses	DET	son
intentions	NOUN	intention
;	PUNCT	;
je	PRON	je
paye	VERB	payer
le	DET	le
tribut	NOUN	tribut
que	PRON	que
sa	DET	son
plume	NOUN	plume
doit	VERB	devoir
aux	ADP	à
agrément	NOUN	agrément
qui	PRON	qui
sont	AUX	être
l'	DET	le
objet	NOUN	objet
d'	ADP	de
un	DET	un
Écrit	NOUN	écrit
fait	VERB	faire
pour	ADP	pour
l'	DET	le
amusement	NOUN	amusement
du	ADP	de
beau	ADJ	beau
Sèxe	PROPN	Sèxe
.	PUNCT	.

	SPACE	

Je	PRON	je
suis	AUX	être
avec	ADP	avec
bien	ADV	bien
du	ADP	de
respect	NOUN	respect
,	PUNCT	,
MADAME	PROPN	MADAME
,	PUNCT	,
Votre	DET	votre
très	ADV	très
-	ADV	-
humble	ADJ	humble
et	CCONJ	et
très	ADV	très
-	ADJ	-
obéissant	ADJ	obéissant
serviteur	NOUN	serviteur
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
.	PUNCT	.

	SPACE	

CHANT	NOUN	chant
I.	ADJ	i.

	SPACE	

LES	DET	le
AMOURS	NOUN	amour
DE	ADP	de
MIRTIL	PROPN	MIRTIL
.	PUNCT	.

	SPACE	

CHANT	NOUN	chant
PREMIER	ADJ	premier
.	PUNCT	.

	SPACE	

VÉNUS	PROPN	VÉNUS
pleurait	VERB	pleurer
encore	ADV	encore
la	DET	le
triste	ADJ	triste
destinée	NOUN	destinée
du	ADP	de
Chasseur	NOUN	chasseur
