 	SPACE	 
Les	DET	le
guerres	NOUN	guerre
considérables	ADJ	considérable
que	PRON	que
Louis	PROPN	Louis
XIV	ADV	xiv
eut	VERB	avoir
à	ADP	à
soutenir	VERB	soutenir
pendant	ADP	pendant
le	DET	le
cours	NOUN	cours
de	ADP	de
son	DET	son
règne	NOUN	règne
,	PUNCT	,
en	ADP	en
épuisant	VERB	épuiser
les	DET	le
finances	NOUN	finance
de	ADP	de
l'	DET	le
état	NOUN	état
et	CCONJ	et
les	DET	le
facultés	NOUN	faculté
du	ADP	de
peuple	NOUN	peuple
trouvèrent	VERB	trouver
pourtant	ADV	pourtant
le	DET	le
secret	NOUN	secret
d'	ADP	de
enrichir	VERB	enrichir
une	DET	un
énorme	ADJ	énorme
quantité	NOUN	quantité
de	ADP	de
ces	DET	ce
sangsues	NOUN	sangsue
toujours	ADV	toujours
à	ADP	à
la	DET	le
suite	NOUN	suite
des	ADP	de
calamités	NOUN	calamité
publiques	ADJ	public
qu'	PRON	qu'
ils	PRON	il
font	AUX	faire
naître	VERB	naître
au	ADP	au
lieu	NOUN	lieu
d'	ADP	de
ap	ADP	ap
p	PROPN	p
aiser	PROPN	aiser
,	PUNCT	,
et	CCONJ	et
cela	PRON	cela
pour	ADP	pour
être	AUX	être
à	ADP	à
même	ADV	même
d'	ADP	de
en	PRON	en
profiter	VERB	profiter
avec	ADP	avec
plus	ADV	plus
d'	ADP	de
avantage	NOUN	avantage
;	PUNCT	;
la	DET	le
fin	NOUN	fin
de	ADP	de
ce	DET	ce
règne	NOUN	règne
si	ADV	si
sublime	ADJ	sublime
d'	ADP	de
ailleurs	ADV	ailleurs
,	PUNCT	,
est	AUX	être
peut-être	ADV	peut-être
une	PRON	un
des	ADP	de
époques	NOUN	époque
de	ADP	de
l'	DET	le
empire	NOUN	empire
français	ADJ	français
,	PUNCT	,
où	PRON	où
l'	PRON	l'
on	PRON	on
fit	VERB	faire
le	DET	le
plus	ADV	plus
de	ADP	de
ces	DET	ce
fortunes	NOUN	fortune
obscures	ADJ	obscur
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
éclatent	VERB	éclater
que	ADV	que
par	ADP	par
un	DET	un
luxe	NOUN	luxe
et	CCONJ	et
des	DET	un
débauches	NOUN	débauche
aussi	ADV	aussi
sourdes	ADJ	sourd
qu'	SCONJ	que
elles	PRON	lui
.	PUNCT	.
C'	PRON	ce
était	AUX	être
vers	ADP	vers
la	DET	le
fin	NOUN	fin
de	ADP	de
ce	DET	ce
règne	NOUN	règne
,	PUNCT	,
et	CCONJ	et
peu	ADV	peu
avant	ADP	avant
que	SCONJ	que
le	DET	le
régent	NOUN	régent
eût	AUX	avoir
envoyé	VERB	envoyer
par	ADP	par
ce	DET	ce
fameux	ADJ	fameux
tribunal	NOUN	tribunal
comme	ADP	comme
fous	NOUN	fou
les	DET	le
hommes	NOUN	homme
de	ADP	de
chambre	NOUN	chambre
de	ADP	de
justice	NOUN	justice
,	PUNCT	,
de	ADP	de
