 	SPACE	 
Le	DET	le
triomphe	NOUN	triomphe
de	ADP	de
la	DET	le
philosophie	NOUN	philosophie
serait	VERB	être
de	ADP	de
jeter	VERB	jeter
du	ADP	de
jour	NOUN	jour
sur	ADP	sur
l'	DET	le
obscurité	NOUN	obscurité
des	ADP	de
voies	NOUN	voie
dont	PRON	dont
la	DET	le
providence	NOUN	providence
se	PRON	se
sert	VERB	servir
pour	ADP	pour
parvenir	VERB	parvenir
aux	ADP	à
fins	NOUN	fin
qu'	PRON	qu'
elle	PRON	lui
se	PRON	se
propose	VERB	propose
sur	ADP	sur
l'	DET	le
homme	NOUN	homme
,	PUNCT	,
et	CCONJ	et
de	ADP	de
tracer	VERB	tracer
d'	ADP	de
après	ADP	après
cela	PRON	cela
quelque	DET	quelque
plan	NOUN	plan
de	ADP	de
conduite	NOUN	conduite
qui	PRON	qui
pût	VERB	pouvoir
faire	AUX	faire
connaître	VERB	connaître
à	ADP	à
ce	DET	ce
malheureux	ADJ	malheureux
individu	NOUN	individu
bipède	ADJ	bipède
,	PUNCT	,
perpétuellement	ADV	perpétuellement
ballotté	VERB	ballotter
par	ADP	par
les	DET	le
caprices	NOUN	caprice
de	ADP	de
cet	DET	ce
être	NOUN	être
qui	PRON	qui
,	PUNCT	,
dit	VERB	dire
-on	PRON	on
,	PUNCT	,
le	PRON	le
dirige	VERB	diriger
aussi	ADV	aussi
despotiquement	ADV	despotiquement
,	PUNCT	,
la	DET	le
manière	NOUN	manière
dont	PRON	dont
il	PRON	il
faut	VERB	falloir
qu'	SCONJ	que
il	PRON	il
interprète	VERB	interpréter
les	DET	le
décrets	NOUN	décret
de	ADP	de
cette	DET	ce
providence	NOUN	providence
sur	ADP	sur
lui	PRON	lui
,	PUNCT	,
la	DET	le
route	NOUN	route
qu'	PRON	qu'
il	PRON	il
faut	VERB	falloir
qu'	SCONJ	que
il	PRON	il
tienne	VERB	tenir
pour	ADP	pour
prévenir	VERB	prévenir
les	DET	le
caprices	NOUN	caprice
bizarres	ADJ	bizarre
de	ADP	de
cette	DET	ce
fatalité	NOUN	fatalité
à	ADP	à
laquelle	PRON	lequel
on	PRON	on
donne	VERB	donne
vingt	NUM	vingt
noms	NOUN	nom
différents	ADJ	différent
,	PUNCT	,
sans	ADP	sans
être	AUX	être
encore	ADV	encore
parvenu	VERB	parvenir
à	ADP	à
la	PRON	le
définir	VERB	définir
.	PUNCT	.

	SPACE	

Car	CCONJ	car
si	SCONJ	si
,	PUNCT	,
partant	VERB	partir
de	ADP	de
nos	DET	notre
conventions	NOUN	convention
sociales	ADJ	social
et	CCONJ	et
ne	ADV	ne
s'	PRON	se
écartant	VERB	écarter
jamais	ADV	jamais
du	ADP	de
respect	NOUN	respect
qu'	PRON	qu'
on	PRON	on
nous	PRON	nous
inculqua	VERB	inculquer
pour	ADP	pour
elles	PRON	lui
dans	ADP	dans
l'	DET	le
éducation	NOUN	éducation
,	PUNCT	,
il	PRON	il
vient	VERB	venir
malheureusement	ADV	malheureusement
à	ADP	à
arriver	VERB	arriver
que	SCONJ	que
par	ADP	par
la	DET	le
perversité	NOUN	perversité
des	ADP	de
autres	PRON	autre
,	PUNCT	,
nous	PRON	nous
n'	ADV	n'
ayons	VERB	avoir
pourtant	ADV	pourtant
jamais	ADV	jamais
rencontré	VERB	rencontrer
que	ADV	que
des	DET	un
épines	NOUN	épine
,	PUNCT	,
lorsque	SCONJ	lorsque
les	DET	le
méchants	NOUN	méchant
ne	ADV	ne
cueillaient	VERB	cueillir
que	ADV	que
des	DET	un
roses	NOUN	rose
,	PUNCT	,
des	DET	un
gens	NOUN	gens
privés	ADJ	priver
d'	ADP	de
un	DET	un
fonds	NOUN	fonds
de	ADP	de
vertu	NOUN	vertu
assez	ADV	assez
constaté	VERB	constater
pour	ADP	pour
se	PRON	se
mettre	VERB	mettre
au-dessus	ADV	au-dessus
des	ADP	de
réflexions	NOUN	réflexion
fournies	VERB	fournir
par	ADP	par
ces	DET	ce
tristes	ADJ	triste
circonstances	NOUN	circonstance
,	PUNCT	,
ne	ADV	ne
calculeront	VERB	calculer
-ils	PRON	il
pas	ADV	pas
qu'	SCONJ	que
alors	ADV	alors
il	PRON	il
vaut	VERB	valoir
mieux	ADV	mieux
s'	PRON	se
abandonner	VERB	abandonner
au	ADP	au
torrent	NOUN	torrent
que	SCONJ	que
d'	ADP	de
y	PRON	y
résister	VERB	résister
,	PUNCT	,
ne	ADV	ne
diront	VERB	dire
-ils	PRON	il
pas	ADV	pas
que	SCONJ	que
la	DET	le
vertu	NOUN	vertu
telle	ADJ	tel
belle	ADJ	bel
qu'	SCONJ	que
elle	PRON	lui
soit	AUX	être
,	PUNCT	,
