 	SPACE	 
LETTRE	NOUN	lettre
PREMIÈRE	ADJ	premier
.	PUNCT	.

	SPACE	

Mademoiselle	NOUN	mademoiselle
Ninon	PROPN	Ninon
de	ADP	de
Lenclos	PROPN	Lenclos
au	ADP	au
marquis	NOUN	marquis
.	PUNCT	.

	SPACE	

A	ADP	à
Paris	PROPN	Paris
,	PUNCT	,
ce	DET	ce
12	NUM	12
juillet	NOUN	juillet
1650	NUM	1650
.	PUNCT	.

	SPACE	

pour	ADP	pour
moi	PRON	moi
,	PUNCT	,
Еh	INTJ	Еh
bien	ADV	bien
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
marquis	NOUN	marquis
,	PUNCT	,
vous	PRON	vous
avez	AUX	avoir
reçu	VERB	recevoir
une	DET	un
lettre	NOUN	lettre
touchante	ADJ	touchant
de	ADP	de
celle	PRON	celui
qui	PRON	qui
fut	AUX	être
abandonnée	VERB	abandonner
et	CCONJ	et
vous	PRON	vous
n'	ADV	n'
en	PRON	en
avez	AUX	avoir
point	ADV	point
été	AUX	être
touché	VERB	toucher
;	PUNCT	;
voilà	VERB	voilà
ce	PRON	ce
qui	PRON	qui
prouve	VERB	prouve
que	SCONJ	que
lorsqu'	SCONJ	lorsque
on	PRON	on
n'	ADV	n'
est	AUX	être
plus	ADV	plus
aimée	VERB	aimer
,	PUNCT	,
il	PRON	il
ne	ADV	ne
faut	VERB	falloir
plus	ADV	plus
écrire	VERB	écrire
.	PUNCT	.
Vous	PRON	vous
plaindriez	VERB	plaindre
bien	ADV	bien
davantage	ADV	davantage
madame	NOUN	monsieur
de	ADP	de
,	PUNCT	,
si	SCONJ	si
vous	PRON	vous
n'	ADV	n'
étiez	VERB	être
pas	ADV	pas
l'	DET	le
auteur	NOUN	auteur
de	ADP	de
ses	DET	son
maux	NOUN	mal
;	PUNCT	;
vous	PRON	vous
prendriez	VERB	prendre
parti	NOUN	parti
pour	ADP	pour
elle	PRON	lui
,	PUNCT	,
vous	PRON	vous
blâmeriez	VERB	blâmer
son	DET	son
amant	NOUN	amant
,	PUNCT	,
vous	PRON	vous
penseriez	VERB	penser
du	ADP	de
mal	NOUN	mal
de	ADP	de
sa	DET	son
rivale	NOUN	rival
.	PUNCT	.
Quel	DET	quel
mortel	NOUN	mortel
peut	VERB	pouvoir
répondre	VERB	répondre
de	ADP	de
soi	PRON	soi
?	PUNCT	?
Croyez	VERB	croire
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
marquis	NOUN	marquis
,	PUNCT	,
que	SCONJ	que
vous	PRON	vous
avez	AUX	avoir
été	AUX	être
coupable	ADJ	coupable
impunément	ADV	impunément
;	PUNCT	;
cela	PRON	cela
vous	PRON	vous
enhardira	VERB	enhardir
peut-être	ADV	peut-être
à	ADP	à
faire	VERB	faire
la	DET	le
même	ADJ	même
faute	NOUN	faute
.	PUNCT	.
