 	SPACE	 
AMILEC	PROPN	AMILEC
,	PUNCT	,
OU	CCONJ	ou
LA	DET	le
GRAINE	NOUN	graine
D'	ADP	de
HOMMES	NOUN	homme
.	PUNCT	.

	SPACE	

IL	PRON	il
y	PRON	y
avait	VERB	avoir
sept	NUM	sept
heures	NOUN	heure
que	SCONJ	que
j'	PRON	je
étais	AUX	être
enferme	VERB	enferme
dans	ADP	dans
mon	DET	mon
Cabinet	NOUN	cabinet
.	PUNCT	.
J'	PRON	je
y	PRON	y
étais	AUX	être
opiniàtrement	ADV	opiniàtrement
colé	VERB	coler
sur	ADP	sur
un	DET	un
Volume	NOUN	volume
assez	ADV	assez
ample	ADJ	ample
,	PUNCT	,
où	PRON	où
il	PRON	il
est	AUX	être
parlé	VERB	parler
de	ADP	de
la	DET	le
génération	NOUN	génération
.	PUNCT	.
Je	PRON	je
le	PRON	le
parcourus	VERB	parcourir
avec	ADP	avec
toute	ADJ	tout
l'	DET	le
avidité	NOUN	avidité
dont	PRON	dont
est	AUX	être
capable	ADJ	capable
un	DET	un
homme	NOUN	homme
qui	PRON	qui
ne	ADV	ne
sçait	VERB	sçer
rien	PRON	rien
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
brule	VERB	brule
d'	ADP	de
apprendre	VERB	apprendre
.	PUNCT	.

	SPACE	

Que	PRON	que
me	PRON	me
resta	VERB	rester
-t	PRON	-t
-il	PRON	il
de	ADP	de
cette	DET	ce
étude	NOUN	étude
?	PUNCT	?
ce	PRON	ce
qui	PRON	qui
reste	VERB	reste
de	ADP	de
toutes	ADJ	tout
celles	PRON	celui
de	ADP	de
ce	DET	ce
genre	NOUN	genre
:	PUNCT	:
des	DET	un
doutes	NOUN	doute
.	PUNCT	.

	SPACE	

Rebuté	VERB	rebuter
de	ADP	de
ce	DET	ce
pénible	ADJ	pénible
exercice	NOUN	exercice
,	PUNCT	,
aussi	ADV	aussi
ignorant	VERB	ignorer
que	SCONJ	que
je	PRON	je
l'	PRON	l'
étais	AUX	être
auparavant	ADV	auparavant
,	PUNCT	,
je	PRON	je
jetai	VERB	jeter
là	ADV	là
le	DET	le
volume	NOUN	volume
,	PUNCT	,
et	CCONJ	et
me	PRON	me
voilà	VERB	voilà
à	ADP	à
invectiver	VERB	invectiver
contre	ADP	contre
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
s'	PRON	se
appelle	VERB	appeler
Physicien	NOUN	physicien
,	PUNCT	,
Naturaliste	NOUN	naturaliste
,	PUNCT	,
Médecin	NOUN	médecin
,	PUNCT	,
Philosophe	NOUN	philosophe
,	PUNCT	,
etc.	ADV	etc.

	SPACE	

O	ADP	o
homme	NOUN	homme
,	PUNCT	,
m'	PRON	me
écriai	VERB	écrier
-	PUNCT	-
je	PRON	je
,	PUNCT	,
que	SCONJ	que
ta	DET	ton
raison	NOUN	raison
est	AUX	être
défectueuse	ADJ	défectueux
,	PUNCT	,
que	SCONJ	que
ta	DET	ton
pénétration	NOUN	pénétration
est	AUX	être
peu	ADV	peu
active	ADJ	actif
,	PUNCT	,
que	SCONJ	que
ta	DET	ton
science	NOUN	science
est-bornée	VERB	est-borner
!	PUNCT	!
Tu	PRON	tu
entres	VERB	entrer
par	ADP	par
une	DET	un
voie	NOUN	voie
obscure	ADJ	obscur
dans	ADP	dans
la	DET	le
vie	NOUN	vie
,	PUNCT	,
et	CCONJ	et
tu	PRON	tu
n'	ADV	n'
en	PRON	en
sors	VERB	sortir
que	ADV	que
pour	ADP	pour
te	PRON	te
plonger	VERB	plonger
dans	ADP	dans
une	DET	un
nuit	NOUN	nuit
encore	ADV	encore
plus	ADV	plus
profonde	ADJ	profond
.	PUNCT	.
Tu	PRON	tu
te	PRON	te
trouves	VERB	trouver
sur	ADP	sur
la	DET	le
terre	NOUN	terre
,	PUNCT	,
sans	ADP	sans
sçavoir	VERB	sçavoir
comment	ADV	comment
on	PRON	on
t'	PRON	te
y	PRON	y
a	AUX	avoir
placé	VERB	placer
;	PUNCT	;
tu	PRON	tu
y	PRON	y
restes	VERB	rester
,	PUNCT	,
sans	ADP	sans
sçavoir	VERB	sçavoir
quand	SCONJ	quand
tu	PRON	tu
la	PRON	le
quitteras	VERB	quitter
;	PUNCT	;
tu	PRON	tu
la	PRON	le
quittes	VERB	quitter
,	PUNCT	,
sans	ADP	sans
sçavoir	VERB	sçavoir
où	ADV	où
tu	PRON	tu
vas	VERB	aller
.	PUNCT	.

	SPACE	

Dans	ADP	dans
toi	PRON	toi
tu	PRON	tu
ne	ADV	ne
connais	VERB	connaître
rien	PRON	rien
