 	SPACE	 
AVANT-PROPOS	PROPN	AVANT-PROPOS
.	PUNCT	.

	SPACE	

Quoiqu'	SCONJ	quoique
il	PRON	il
paraisse	VERB	paraître
,	PUNCT	,
par	ADP	par
le	DET	le
commencement	NOUN	commencement
de	ADP	de
ce	DET	ce
roman	NOUN	roman
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
ait	AUX	avoir
été	AUX	être
composé	VERB	composer
sous	ADP	sous
le	DET	le
roi	NOUN	roi
Jean	PROPN	Jean
,	PUNCT	,
les	DET	le
plus	ADV	plus
fortes	ADJ	fort
raisons	NOUN	raison
nous	PRON	nous
portent	VERB	porter
à	ADP	à
croire	VERB	croire
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
peut	VERB	pouvoir
l'	PRON	l'
avoir	AUX	avoir
été	AUX	être
que	ADV	que
sous	ADP	sous
Charles	PROPN	Charles
VI	NUM	VI
.	PUNCT	.

	SPACE	

La	DET	le
première	ADJ	premier
,	PUNCT	,
c'	PRON	ce
est	VERB	être
que	SCONJ	que
dans	ADP	dans
le	DET	le
chapitre	NOUN	chapitre
18	NUM	18
,	PUNCT	,
la	DET	le
dame	NOUN	dame
des	ADP	de
belles-Cousines	NOUN	belles-cousine
appelle	VERB	appeler
ses	DET	son
beaux	NOUN	beau
-	NOUN	-
oncles	NOUN	oncle
,	PUNCT	,
les	DET	le
ducs	NOUN	duc
d'	ADP	de
Anjou	PROPN	Anjou
,	PUNCT	,
de	ADP	de
Berry	PROPN	Berry
,	PUNCT	,
de	ADP	de
Bourgogne	PROPN	Bourgogne
;	PUNCT	;
et	CCONJ	et
que	SCONJ	que
la	DET	le
reine	NOUN	reine
régnante	ADJ	régnant
l'	PRON	l'
appelle	VERB	appeler
belle-Cousine	PROPN	belle-Cousine
,	PUNCT	,
au	ADP	au
lieu	NOUN	lieu
de	ADP	de
l'	PRON	l'
appeler	VERB	appeler
belle-nièce	NOUN	belle-nièce
.	PUNCT	.

	SPACE	

Secondement	ADV	secondement
,	PUNCT	,
on	PRON	on
voit	VERB	voir
cités	VERB	citer
dans	ADP	dans
le	DET	le
roman	NOUN	roman
plusieurs	DET	plusieurs
grands	ADJ	grand
personnages	NOUN	personnage
