 	SPACE	 
AVANT-PROPOS	PROPN	AVANT-PROPOS
.	PUNCT	.

	SPACE	

Ce	DET	ce
Roman	NOUN	roman
,	PUNCT	,
réimprimé	VERB	réimprimer
en	ADP	en
1725	NUM	1725
,	PUNCT	,
est	AUX	être
enrichi	VERB	enrichir
de	ADP	de
notes	NOUN	note
très	ADJ	trè
-	ADJ	-
instructives	ADJ	instructif
.	PUNCT	.
Ces	DET	ce
notes	NOUN	note
eurent	VERB	avoir
beaucoup	ADV	beaucoup
plus	ADV	plus
de	ADP	de
mérite	NOUN	mérite
dans	ADP	dans
le	DET	le
temps	NOUN	temps
de	ADP	de
cette	DET	ce
réimpression	NOUN	réimpression
,	PUNCT	,
qu'	SCONJ	que
elles	PRON	lui
n'	ADV	n'
en	PRON	en
auraient	VERB	avoir
aujourd'hui	ADV	aujourd'hui
,	PUNCT	,
cette	DET	ce
branche	NOUN	branche
de	ADP	de
la	DET	le
littérature	NOUN	littérature
française	ADJ	français
ayant	AUX	avoir
été	AUX	être
éclairée	VERB	éclairer
depuis	ADP	depuis
cette	DET	ce
époque	NOUN	époque
par	ADP	par
les	DET	le
belles	ADJ	bel
et	CCONJ	et
savantes	ADJ	savant
recherches	NOUN	recherche
des	ADP	de
MM.	NOUN	mm.
de	ADP	de
Paulmy	PROPN	Paulmy
,	PUNCT	,
de	ADP	de
Sainte-Palaye	PROPN	Sainte-Palaye
,	PUNCT	,
et	CCONJ	et
de	ADP	de
plusieurs	DET	plusieurs
autres	ADJ	autre
littérateurs	NOUN	littérateur
d'	ADP	de
un	DET	un
mérite	NOUN	mérite
supérieur	ADJ	supérieur
:	PUNCT	:
mais	CCONJ	mais
ce	PRON	ce
que	PRON	que
nous	PRON	nous
avons	AUX	avoir
acquis	VERB	acquérir
depuis	ADP	depuis
en	ADP	en
1725	NUM	1725
diminue	VERB	diminue
point	NOUN	point
le	DET	le
prix	NOUN	prix
de	ADP	de
ce	DET	ce
premier	ADJ	premier
travail	NOUN	travail
.	PUNCT	.

	SPACE	

L'	DET	le
autographe	ADJ	autographe
de	ADP	de
ce	DET	ce
roman	NOUN	roman
est	AUX	être
aujourd'hui	ADV	aujourd'hui
compris	VERB	comprendre
dans	ADP	dans
