 	SPACE	 
LE	DET	le
TEMPS	NOUN	temps
ET	CCONJ	et
LA	DET	le
PATIENCE	NOUN	patience
,	PUNCT	,
CONTE	NOUN	conte
MORAL	ADJ	moral
.	PUNCT	.

	SPACE	

PREMIERE	ADJ	premier
PARTIE	NOUN	partie
.	PUNCT	.

	SPACE	

L	DET	l
E	PROPN	E
Royaume	NOUN	royaume
d’	ADP	d’
Angole	PROPN	Angole
était	AUX	être
gouverné	VERB	gouverner
,	PUNCT	,
il	PRON	il
y	PRON	y
a	VERB	avoir
quelque	DET	quelque
temps	NOUN	temps
,	PUNCT	,
par	ADP	par
un	DET	un
Roi	NOUN	roi
extrêmement	ADV	extrêmement
âgé	ADJ	âgé
,	PUNCT	,
et	CCONJ	et
aussi	ADV	aussi
sage	ADJ	sage
qu’	SCONJ	qu’
il	PRON	il
était	AUX	être
vieux	ADJ	vieux
.	PUNCT	.
Ce	DET	ce
Roi	NOUN	roi
,	PUNCT	,
veuf	ADJ	veuf
depuis	ADP	depuis
plusieurs	DET	plusieurs
années	NOUN	année
,	PUNCT	,
satisfait	ADJ	satisfait
d’	ADP	d’
être	AUX	être
père	NOUN	père
de	ADP	de
deux	NUM	deux
aimables	ADJ	aimable
Princes	NOUN	prince
,	PUNCT	,
avait	AUX	avoir
renoncé	VERB	renoncer
à	ADP	à
un	DET	un
second	ADJ	second
engagement	NOUN	engagement
,	PUNCT	,
et	CCONJ	et
bornait	VERB	borner
ses	DET	son
soins	NOUN	soin
,	PUNCT	,
ainsi	ADV	ainsi
que	SCONJ	que
ses	DET	son
plaisirs	NOUN	plaisir
,	PUNCT	,
à	ADP	à
l’	DET	l’
éducation	NOUN	éducation
de	ADP	de
ses	DET	son
fils	NOUN	fils
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
hélas	INTJ	héler
qui	PRON	qui
peut	VERB	pouvoir
compter	VERB	compter
sur	ADP	sur
la	DET	le
résolution	NOUN	résolution
la	DET	le
plus	ADV	plus
justement	ADV	justement
formée	VERB	former
,	PUNCT	,
puisqu’	SCONJ	puisqu’
un	DET	un
Monarque	NOUN	monarque
si	ADV	si
sage	ADJ	sage
et	CCONJ	et
si	ADV	si
prudent	ADJ	prudent
perdit	VERB	perdre
ces	DET	ce
qualités	NOUN	qualité
aux	ADP	à
premiers	ADJ	premier
regards	NOUN	regard
d’	ADP	d’
une	DET	un
jeune	ADJ	jeune
fille	NOUN	fille
,	PUNCT	,
dont	PRON	dont
la	DET	le
naissance	NOUN	naissance
était	AUX	être
aussi	ADV	aussi
basse	ADJ	bas
que	SCONJ	que
sa	DET	son
beauté	NOUN	beauté
était	AUX	être
rare	ADJ	rare
?	PUNCT	?

	SPACE	

Un	DET	un
coup	NOUN	coup
d’	ADP	d’
œil	NOUN	œil
fut	AUX	être
suffisant	ADJ	suffisant
pour	ADP	pour
effacer	VERB	effacer
de	ADP	de
son	DET	son
esprit	NOUN	esprit
la	DET	le
disproportion	NOUN	disproportion
que	PRON	que
le	DET	le
rang	NOUN	rang
et	CCONJ	et
l’	DET	l’
âge	NOUN	âge
mettaient	VERB	mettre
entre	ADP	entre
lui	PRON	lui
et	CCONJ	et
elle	PRON	lui
.	PUNCT	.

	SPACE	

La	DET	le
tendresse	NOUN	tendresse
qu’	PRON	qu’
il	PRON	il
avait	VERB	avoir
pour	ADP	pour
ses	DET	son
enfants	NOUN	enfant
,	PUNCT	,
ne	ADV	ne
combattit	VERB	combattre
pas	ADV	pas
un	DET	un
instant	NOUN	instant
cette	DET	ce
nouvelle	ADJ	nouveau
passion	NOUN	passion
;	PUNCT	;
elle	PRON	lui
devint	VERB	devenir
si	ADV	si
violente	ADJ	violent
dès	ADP	dès
sa	DET	son
naissance	NOUN	naissance
,	PUNCT	,
que	SCONJ	que
,	PUNCT	,
sans	ADP	sans
réfléchir	VERB	réfléchir
à	ADP	à
ce	PRON	ce
qu’	PRON	qu’
une	DET	un
telle	ADJ	tel
alliance	NOUN	alliance
pouvait	VERB	pouvoir
avoir	VERB	avoir
de	DET	de
fâcheux	ADJ	fâcheux
pour	ADP	pour
sa	DET	son
réputation	NOUN	réputation
,	PUNCT	,
ou	CCONJ	ou
pour	ADP	pour
les	DET	le
intérêts	NOUN	intérêt
de	ADP	de
sa	DET	son
famille	NOUN	famille
,	PUNCT	,
il	PRON	il
épousa	VERB	épouser
la	DET	le
Belle	PROPN	Belle
.	PUNCT	.
Mais	CCONJ	mais
peu	ADV	peu
satisfait	ADJ	satisfait
que	SCONJ	que
le	DET	le
seul	ADJ	seul
hymen	NOUN	hymen
l’	PRON	l’
en	PRON	en
eût	AUX	avoir
rendu	VERB	rendre
