 	SPACE	 
La	DET	le
félicité	NOUN	félicité
est	AUX	être
un	DET	un
être	NOUN	être
qui	PRON	qui
fait	AUX	faire
mouvoir	VERB	mouvoir
tout	ADJ	tout
l'	DET	le
univers	NOUN	univers
;	PUNCT	;
les	DET	le
poète(s	NOUN	poète(
)	NOUN	)
la	PRON	le
chantent	VERB	chanter
,	PUNCT	,
les	DET	le
philosophes	NOUN	philosophe
la	PRON	le
définissent	VERB	définir
,	PUNCT	,
les	DET	le
petits	NOUN	petit
la	PRON	le
cherchent	VERB	chercher
bassement	ADV	bassement
chez	ADP	chez
les	DET	le
grands	ADJ	grand
,	PUNCT	,
les	DET	le
grands	NOUN	grand
l	PRON	l
'	PRON	'
envient	VERB	envier
aux	ADP	à
petits	ADJ	petit
,	PUNCT	,
les	DET	le
jeunes	ADJ	jeune
gens	NOUN	gens
la	PRON	le
défigurent	VERB	défigurer
,	PUNCT	,
les	DET	le
vieillards	NOUN	vieillard
en	PRON	en
parlent	VERB	parler
souvent	ADV	souvent
sans	ADP	sans
l	PRON	l
'	PRON	'
avoir	AUX	avoir
connue	VERB	connaître
;	PUNCT	;
les	DET	le
hommes	NOUN	homme
,	PUNCT	,
pour	ADP	pour
l	PRON	l
'	PRON	'
obtenir	VERB	obtenir
,	PUNCT	,
craient	VERB	craier
devoir	VERB	devoir
la	PRON	le
brusquer	VERB	brusquer
;	PUNCT	;
les	DET	le
femmes	NOUN	femme
,	PUNCT	,
qui	PRON	qui
ordinairement	ADV	ordinairement
ont	VERB	avoir
le	DET	le
cœur	NOUN	cœur
bon	ADJ	bon
,	PUNCT	,
essayent	VERB	essayer
de	ADP	de
se	PRON	se
l	PRON	l
'	PRON	'
assurer	VERB	assurer
en	ADP	en
tâchant	VERB	tâcher
de	ADP	de
la	PRON	le
procurer	VERB	procurer
;	PUNCT	;
l	DET	l
'	DET	'
homme	NOUN	homme
timide	ADJ	timide
la	PRON	le
rebute	VERB	rebute
,	PUNCT	,
le	DET	le
téméraire	NOUN	téméraire
la	DET	le
révolte	VERB	révolte
,	PUNCT	,
les	DET	le
prudes	NOUN	prude
la	PRON	le
vaient	VERB	vaier
sans	ADP	sans
pouvoir	VERB	pouvoir
la	PRON	le
joindre	VERB	joindre
,	PUNCT	,
les	DET	le
coquettes	NOUN	coquette
la	PRON	le
laissent	VERB	laisser
sans	ADP	sans
la	PRON	le
voir	VERB	voir
;	PUNCT	;
tout	ADJ	tout
le	DET	le
monde	NOUN	monde
la	PRON	le
nomme	VERB	nomme
,	PUNCT	,
la	PRON	le
désire	VERB	désire
,	PUNCT	,
la	PRON	le
cherche	VERB	cherche
;	PUNCT	;
presque	ADV	presque
personne	PRON	personne
ne	ADV	ne
la	PRON	le
trouve	VERB	trouve
,	PUNCT	,
presque	ADV	presque
personne	PRON	personne
n	ADV	n
'	ADV	'
en	PRON	en
jouit	VERB	jouir
:	PUNCT	:
elle	PRON	lui
existe	VERB	existe
pourtant	ADV	pourtant
;	PUNCT	;
chacun	PRON	chacun
la	PRON	le
porte	VERB	porte
dans	ADP	dans
son	DET	son
cœur	NOUN	cœur
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
l	PRON	l
'	PRON	'
aperçoit	VERB	apercevoir
que	ADV	que
dans	ADP	dans
les	DET	le
objets	NOUN	objet
étrangers	ADJ	étranger
.	PUNCT	.
Plus	ADV	plus
on	PRON	on
s	PRON	s
'	PRON	'
écarte	VERB	écarte
de	ADP	de
soi	PRON	soi
-	PRON	-
même	PRON	même
,	PUNCT	,
pluson	ADV	pluson
s	PRON	s
'	PRON	'
écarte	VERB	écarte
du	ADP	de
bonheur	NOUN	bonheur
:	PUNCT	:
c	PRON	c
'	PRON	'
est	AUX	être
ce	PRON	ce
que	PRON	que
je	PRON	je
vais	VERB	aller
prouver	VERB	prouver
par	ADP	par
l	DET	l
'	DET	'
histoire	NOUN	histoire
d	ADP	d
'	ADP	'
un	DET	un
père	NOUN	père
et	CCONJ	et
d	ADP	d
'	ADP	'
une	DET	un
mère	NOUN	mère
,	PUNCT	,
qui	PRON	qui
,	PUNCT	,
revenus	VERB	revenir
de	ADP	de
leurs	DET	leur
erreurs	NOUN	erreur
,	PUNCT	,
en	PRON	en
firent	VERB	faire
le	DET	le
récit	NOUN	récit
à	ADP	à
leurs	DET	leur
enfants	NOUN	enfant
,	PUNCT	,
et	CCONJ	et
sacrifierent	VERB	sacrifierer
leur	DET	leur
amour	NOUN	amour
-	NOUN	-
propre	NOUN	propre
au	ADP	au
désir	NOUN	désir
de	ADP	de
les	PRON	le
instruire	VERB	instruire
.	PUNCT	.
Thémidore	PROPN	Thémidore
et	CCONJ	et
Zélamire	PROPN	Zélamire
étaient	AUX	être
deux	NUM	deux
époux	NOUN	époux
qui	PRON	qui
s	PRON	s
'	PRON	'
étaient	AUX	être
mariés	VERB	marier
par	ADP	par
convenance	NOUN	convenance
,	PUNCT	,
s	PRON	s
'	PRON	'
étaient	AUX	être
estimés	VERB	estimer
sans	ADP	sans
s	PRON	s
'	PRON	'
aimer	VERB	aimer
,	PUNCT	,
et	CCONJ	et
en	PRON	en
avaient	AUX	avoir
aimé	VERB	aimer
d	DET	d
'	DET	'
autres	ADJ	autre
sans	ADP	sans
les	PRON	le
estimer	VERB	estimer
.	PUNCT	.
Ils	PRON	il
avaient	AUX	avoir
eu	VERB	avoir
des	DET	un
enfants	NOUN	enfant
par	ADP	par
amour	NOUN	amour
pour	ADP	pour
leur	DET	leur
nom	NOUN	nom
,	PUNCT	,
s	PRON	s
'	PRON	'
étaient	AUX	être
ensuite	ADV	ensuite
négligés	VERB	négliger
par	ADP	par
dissipation	NOUN	dissipation
,	PUNCT	,
et	CCONJ	et
s	PRON	s
'	PRON	'
étaient	AUX	être
fait	VERB	faire
des	DET	un
infidélités	NOUN	infidélité
réciproques	ADJ	réciproque
;	PUNCT	;
le	DET	le
mari	NOUN	mari
,	PUNCT	,
par	ADP	par
air	NOUN	air
et	CCONJ	et
par	ADP	par
mode	NOUN	mode
;	PUNCT	;
la	DET	le
femme	NOUN	femme
,	PUNCT	,
par	ADP	par
vanité	NOUN	vanité
et	CCONJ	et
par	ADP	par
vengeance	NOUN	vengeance
.	PUNCT	.
L	DET	l
'	DET	'
âge	NOUN	âge
les	PRON	le
rassembla	VERB	rassembler
;	PUNCT	;
ils	PRON	il
reconnurent	VERB	reconnaître
leurs	DET	leur
erreurs	NOUN	erreur
,	PUNCT	,
en	ADP	en
cessant	VERB	cesser
de	ADP	de
les	PRON	le
faire	AUX	faire
aimer	VERB	aimer
aux	ADP	à
autres	PRON	autre
;	PUNCT	;
l	DET	l
'	DET	'
amour	NOUN	amour
-	NOUN	-
propre	NOUN	propre
leur	PRON	leur
avait	AUX	avoir
donné	VERB	donner
des	DET	un
faiblesses	NOUN	faiblesse
,	PUNCT	,
l	DET	l
'	DET	'
amour	NOUN	amour
-	NOUN	-
propre	NOUN	propre
les	PRON	le
en	PRON	en
avait	AUX	avoir
corrigés	VERB	corriger
:	PUNCT	:
ils	PRON	il
avaient	AUX	avoir
cherché	VERB	chercher
le	DET	le
monde	NOUN	monde
pour	ADP	pour
y	PRON	y
trouver	VERB	trouver
des	DET	un
louanges	NOUN	louange
,	PUNCT	,
ils	PRON	il
l	PRON	l
'	PRON	'
avaient	AUX	avoir
quitté	VERB	quitter
pour	ADP	pour
éviter	VERB	éviter
des	DET	un
ridicules	NOUN	ridicule
;	PUNCT	;
ils	PRON	il
s	PRON	s
'	PRON	'
étaient	AUX	être
désunis	VERB	désunir
par	ADP	par
ennui	NOUN	ennui
,	PUNCT	,
et	CCONJ	et
s	PRON	s
'	PRON	'
étaient	AUX	être
réunis	VERB	réunir
par	ADP	par
ressource	NOUN	ressource
.	PUNCT	.
Ils	PRON	il
