 	SPACE	 
Lorsque	SCONJ	lorsque
j'	PRON	je
étais	VERB	être
dans	ADP	dans
la	DET	le
ville	NOUN	ville
de	ADP	de
Bénarès	PROPN	Bénarès
sur	ADP	sur
le	DET	le
rivage	NOUN	rivage
du	ADP	de
Gange	PROPN	Gange
,	PUNCT	,
ancienne	ADJ	ancien
patrie	NOUN	patrie
des	ADP	de
brachmanes	NOUN	brachmane
,	PUNCT	,
je	PRON	je
tâchai	VERB	tâcher
de	ADP	de
m'	PRON	me
instruire	VERB	instruire
.	PUNCT	.
J'	PRON	je
entendais	VERB	entendre
passablement	ADV	passablement
l'	DET	le
indien	NOUN	indien
;	PUNCT	;
j'	PRON	je
écoutais	VERB	écouter
beaucoup	ADV	beaucoup
,	PUNCT	,
et	CCONJ	et
remarquais	VERB	remarquer
tout	PRON	tout
.	PUNCT	.
J'	PRON	je
étais	AUX	être
logé	VERB	loger
chez	ADP	chez
mon	DET	mon
correspondant	NOUN	correspondant
Omri	PROPN	Omri
;	PUNCT	;
c'	PRON	ce
était	AUX	être
le	DET	le
plus	ADV	plus
digne	ADJ	digne
homme	NOUN	homme
que	PRON	que
j'	PRON	je
aie	AUX	avoir
jamais	ADV	jamais
connu	VERB	connaître
.	PUNCT	.

	SPACE	

Il	PRON	il
était	AUX	être
de	ADP	de
la	DET	le
religion	NOUN	religion
des	ADP	de
bramins	NOUN	bramin
,	PUNCT	,
j'	PRON	je
ai	VERB	avoir
l'	DET	le
honneur	NOUN	honneur
d'	ADP	de
être	AUX	être
musulman	ADJ	musulman
:	PUNCT	:
jamais	ADV	jamais
nous	PRON	nous
n'	ADV	n'
avons	AUX	avoir
eu	VERB	avoir
une	DET	un
parole	NOUN	parole
plus	ADV	plus
haute	ADJ	haut
que	SCONJ	que
l'	DET	le
autre	PRON	autre
au	ADP	au
sujet	NOUN	sujet
de	ADP	de
Mahomet	PROPN	Mahomet
et	CCONJ	et
de	ADP	de
Brama	PROPN	Brama
.	PUNCT	.
Nous	PRON	nous
faisions	VERB	faire
nos	DET	notre
ablutions	NOUN	ablution
chacun	PRON	chacun
de	ADP	de
notre	DET	notre
côté	NOUN	côté
,	PUNCT	,
nous	PRON	nous
buvions	VERB	boire
de	ADP	de
la	DET	le
même	ADJ	même
limonade	NOUN	limonade
,	PUNCT	,
nous	PRON	nous
mangions	VERB	manger
du	DET	de
même	ADJ	même
riz	NOUN	riz
,	PUNCT	,
comme	ADP	comme
deux	NUM	deux
frères	NOUN	frère
.	PUNCT	.

	SPACE	

Un	DET	un
jour	NOUN	jour
,	PUNCT	,
nous	PRON	nous
allâmes	VERB	aller
ensemble	ADV	ensemble
à	ADP	à
la	DET	le
pagode	NOUN	pagode
de	ADP	de
Gavani	PROPN	Gavani
.	PUNCT	.
Nous	PRON	nous
y	PRON	y
vîmes	VERB	voir
plusieurs	DET	plusieurs
bandes	NOUN	bande
de	ADP	de
fakirs	NOUN	fakir
,	PUNCT	,
dont	PRON	dont
les	DET	le
uns	PRON	un
étaient	AUX	être
des	DET	un
janguis	NOUN	jangui
,	PUNCT	,
c'	ADV	c'
est	ADV	est
-	ADV	-
à	ADV	à
-	ADV	-
dire	ADV	dire
des	DET	un
fakirs	NOUN	fakir
contemplatifs	ADJ	contemplatif
,	PUNCT	,
et	CCONJ	et
les	DET	le
autres	PRON	autre
,	PUNCT	,
des	DET	un
disciples	NOUN	disciple
des	ADP	de
anciens	ADJ	ancien
gymnosophistes	NOUN	gymnosophiste
,	PUNCT	,
qui	PRON	qui
menaient	VERB	mener
une	DET	un
vie	NOUN	vie
active	ADJ	actif
.	PUNCT	.
Ils	PRON	il
ont	VERB	avoir
,	PUNCT	,
comme	SCONJ	comme
on	PRON	on
sait	VERB	savoir
,	PUNCT	,
une	DET	un
langue	NOUN	langue
savante	ADJ	savant
,	PUNCT	,
qui	PRON	qui
est	AUX	être
celle	PRON	celui
des	ADP	de
plus	ADV	plus
anciens	ADJ	ancien
brachmanes	NOUN	brachmane
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
dans	ADP	dans
cette	DET	ce
langue	NOUN	langue
,	PUNCT	,
un	DET	un
livre	NOUN	livre
qu'	PRON	qu'
ils	PRON	il
appellent	VERB	appeler
le	DET	le
Veidam	PROPN	Veidam
.	PUNCT	.
C'	PRON	ce
est	AUX	être
assurément	ADV	assurément
le	DET	le
plus	ADV	plus
ancien	ADJ	ancien
livre	NOUN	livre
de	ADP	de
toute	ADJ	tout
l'	DET	le
Asie	PROPN	Asie
,	PUNCT	,
sans	ADP	sans
en	PRON	en
excepter	VERB	excepter
le	DET	le
Zend	PROPN	Zend
-	PROPN	-
Avesta	PROPN	Avesta
.	PUNCT	.

	SPACE	

Je	PRON	je
passai	VERB	passer
devant	ADP	devant
un	DET	un
fakir	NOUN	fakir
qui	PRON	qui
lisait	VERB	lire
ce	DET	ce
livre	NOUN	livre
.	PUNCT	.
«	PUNCT	«
Ah	ADV	ah
malheureux	ADJ	malheureux
infidèle	NOUN	infidèle
s'	PRON	se
écria	VERB	écrier
-t	PRON	-t
-il	PRON	il
,	PUNCT	,
tu	PRON	tu
m'	PRON	me
as	AUX	avoir
fait	AUX	faire
perdre	VERB	perdre
le	DET	le
nombre	NOUN	nombre
des	ADP	de
voyelles	NOUN	voyelle
que	PRON	que
je	PRON	je
comptais	VERB	compter
;	PUNCT	;
et	CCONJ	et
de	ADP	de
cette	DET	ce
affaire	NOUN	affaire
-là	NOUN	-là
mon	DET	mon
âme	NOUN	âme
passera	VERB	passer
dans	ADP	dans
le	DET	le
corps	NOUN	corps
d'	ADP	de
un	DET	un
lièvre	NOUN	lièvre
,	PUNCT	,
au	ADP	au
lieu	NOUN	lieu
d'	ADP	de
aller	VERB	aller
dans	ADP	dans
celui	PRON	celui
d'	ADP	de
un	DET	un
perroquet	NOUN	perroquet
,	PUNCT	,
comme	SCONJ	comme
j'	PRON	je
avais	VERB	avoir
tout	DET	tout
lieu	NOUN	lieu
de	ADP	de
m'	PRON	me
en	PRON	en
flatter	VERB	flatter
.	PUNCT	.
»	PUNCT	»
Je	PRON	je
lui	PRON	lui
donnai	VERB	donner
une	DET	un
roupie	NOUN	roupie
pour	ADP	pour
le	PRON	le
consoler	VERB	consoler
.	PUNCT	.
À	ADP	à
quelques	DET	quelque
pas	NOUN	pas
de	ADP	de
là	ADV	là
,	PUNCT	,
ayant	AUX	avoir
eu	VERB	avoir
le	DET	le
malheur	NOUN	malheur
d'	ADP	de
éternuer	VERB	éternuer
,	PUNCT	,
le	DET	le
bruit	NOUN	bruit
que	PRON	que
je	PRON	je
fis	VERB	faire
réveilla	VERB	réveiller
un	DET	un
fakir	NOUN	fakir
qui	PRON	qui
était	AUX	être
en	ADP	en
extase	NOUN	extase
.	PUNCT	.
«	PUNCT	«
Où	ADV	où
suis	VERB	suivre
-je	PRON	je
?	PUNCT	?
dit	VERB	dire
-il	PRON	il
;	PUNCT	;
quelle	DET	quel
horrible	ADJ	horrible
chute	NOUN	chute
je	PRON	je
ne	ADV	ne
vois	VERB	voir
plus	ADV	plus
le	DET	le
bout	NOUN	bout
de	ADP	de
mon	DET	mon
nez	NOUN	nez
:	PUNCT	:
la	DET	le
lumière	NOUN	lumière
céleste	ADJ	céleste
est	AUX	être
disparue	VERB	disparaître
.	PUNCT	.

	SPACE	

---	PUNCT	---
Si	SCONJ	si
je	PRON	je
suis	AUX	être
cause	NOUN	cause
,	PUNCT	,
lui	PRON	lui
dis	VERB	dire
-je	PRON	je
,	PUNCT	,
que	SCONJ	que
vous	PRON	vous
voyez	VERB	voir
enfin	ADV	enfin
plus	ADV	plus
loin	ADV	loin
que	SCONJ	que
le	DET	le
bout	NOUN	bout
de	ADP	de
votre	DET	votre
nez	NOUN	nez
,	PUNCT	,
voilà	VERB	voilà
une	DET	un
roupie	NOUN	roupie
pour	ADP	pour
réparer	VERB	réparer
le	DET	le
mal	NOUN	mal
que	PRON	que
j'	PRON	je
ai	AUX	avoir
fait	VERB	faire
;	PUNCT	;
reprenez	VERB	reprendre
votre	DET	votre
lumière	NOUN	lumière
céleste	ADJ	céleste
.	PUNCT	.
»	PUNCT	»
M'	PRON	me
étant	AUX	être
ainsi	ADV	ainsi
tiré	VERB	tirer
d'	ADP	de
affaire	NOUN	affaire
discrètement	ADV	discrètement
,	PUNCT	,
je	PRON	je
passai	VERB	passer
aux	ADP	à
autres	ADJ	autre
gymnosophistes	NOUN	gymnosophiste
;	PUNCT	;
il	PRON	il
y	PRON	y
en	PRON	en
eut	VERB	avoir
plusieurs	DET	plusieurs
qui	PRON	qui
m'	PRON	me
apportèrent	VERB	apporter
de	DET	de
petits	ADJ	petit
clous	NOUN	clou
fort	ADV	fort
jolis	ADJ	joli
,	PUNCT	,
pour	ADP	pour
m'	PRON	me
enfoncer	VERB	enfoncer
dans	ADP	dans
les	DET	le
bras	NOUN	bras
et	CCONJ	et
dans	ADP	dans
les	DET	le
cuisses	NOUN	cuisse
en	ADP	en
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
Brama	PROPN	Brama
.	PUNCT	.
J'	PRON	je
achetai	VERB	acheter
leurs	DET	leur
clous	NOUN	clou
,	PUNCT	,
dont	PRON	dont
j'	PRON	je
ai	AUX	avoir
fait	AUX	faire
clouer	VERB	clouer
mes	DET	mon
tapis	NOUN	tapis
.	PUNCT	.
D'	DET	d'
autres	ADJ	autre
dansaient	VERB	danser
sur	ADP	sur
les	DET	le
mains	NOUN	main
;	PUNCT	;
d'	DET	d'
autres	ADJ	autre
voltigeaient	VERB	voltiger
sur	ADP	sur
la	DET	le
corde	NOUN	corde
lâche	ADJ	lâche
;	PUNCT	;
d'	DET	d'
autres	ADJ	autre
allaient	VERB	aller
toujours	ADV	toujours
à	ADP	à
cloche	NOUN	cloche
-	NOUN	-
pied	NOUN	pied
.	PUNCT	.
Il	PRON	il
y	PRON	y
en	PRON	en
avait	VERB	avoir
qui	PRON	qui
portaient	VERB	porter
des	DET	un
chaînes	NOUN	chaîne
;	PUNCT	;
d'	DET	d'
autres	ADJ	autre
,	PUNCT	,
un	DET	un
bât	NOUN	bât
;	PUNCT	;
