 	SPACE	 
CHAPITRE	NOUN	chapitre
PREMIER	ADJ	premier
Comment	ADV	comment
Candide	PROPN	Candide
fut	AUX	être
élevé	VERB	élever
dans	ADP	dans
un	DET	un
beau	ADJ	beau
château	NOUN	château
,	PUNCT	,
et	CCONJ	et
comment	ADV	comment
il	PRON	il
fut	AUX	être
chassé	VERB	chasser
d'	ADP	de
icelui	PROPN	icelui
.	PUNCT	.

	SPACE	

Il	PRON	il
y	PRON	y
avait	VERB	avoir
en	ADP	en
Westphalie	PROPN	Westphalie
,	PUNCT	,
dans	ADP	dans
le	DET	le
château	NOUN	château
de	ADP	de
M.	NOUN	m.
le	DET	le
baron	NOUN	baron
de	ADP	de
Thunder	PROPN	Thunder
-	PROPN	-
ten	PROPN	ten
-	PROPN	-
tronckh	PROPN	tronckh
,	PUNCT	,
un	DET	un
jeune	ADJ	jeune
garçon	NOUN	garçon
à	ADP	à
qui	PRON	qui
la	DET	le
nature	NOUN	nature
avait	AUX	avoir
donné	VERB	donner
les	DET	le
mœurs	NOUN	mœur
les	DET	le
plus	ADV	plus
douces	ADJ	doux
.	PUNCT	.
Sa	DET	son
physionomie	NOUN	physionomie
annonçait	VERB	annoncer
son	DET	son
âme	NOUN	âme
.	PUNCT	.
Il	PRON	il
avait	VERB	avoir
le	DET	le
jugement	NOUN	jugement
assez	ADV	assez
droit	ADJ	droit
,	PUNCT	,
avec	ADP	avec
l'	DET	le
esprit	NOUN	esprit
le	DET	le
plus	ADV	plus
simple	ADJ	simple
;	PUNCT	;
c'	PRON	ce
est	AUX	être
,	PUNCT	,
je	PRON	je
crois	VERB	croire
,	PUNCT	,
pour	ADP	pour
cette	DET	ce
raison	NOUN	raison
qu'	SCONJ	que
on	PRON	on
le	PRON	le
nommait	VERB	nommer
Candide	PROPN	Candide
.	PUNCT	.

	SPACE	

Les	DET	le
anciens	ADJ	ancien
domestiques	NOUN	domestique
de	ADP	de
la	DET	le
maison	NOUN	maison
soupçonnaient	VERB	soupçonner
qu'	SCONJ	que
il	PRON	il
était	AUX	être
fils	NOUN	fils
de	ADP	de
la	DET	le
sœur	NOUN	sœur
de	ADP	de
M.	NOUN	m.
le	DET	le
baron	NOUN	baron
et	CCONJ	et
d'	ADP	de
un	DET	un
bon	ADJ	bon
et	CCONJ	et
honnête	ADJ	honnête
gentilhomme	NOUN	gentilhomme
du	ADP	de
voisinage	NOUN	voisinage
,	PUNCT	,
que	PRON	que
cette	DET	ce
demoiselle	NOUN	demoiselle
ne	ADV	ne
voulut	VERB	vouloir
jamais	ADV	jamais
épouser	VERB	épouser
parce	SCONJ	parce
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
avait	AUX	avoir
pu	VERB	pouvoir
prouver	VERB	prouver
que	SCONJ	que
soixante	NUM	soixante
et	CCONJ	et
onze	NUM	onze
quartiers	NOUN	quartier
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
le	DET	le
reste	NOUN	reste
de	ADP	de
son	DET	son
arbre	NOUN	arbre
généalogique	ADJ	généalogique
avait	AUX	avoir
été	AUX	être
perdu	VERB	perdre
par	ADP	par
l'	DET	le
injure	NOUN	injure
du	ADP	de
temps	NOUN	temps
.	PUNCT	.

	SPACE	

Monsieur	NOUN	Monsieur
le	DET	le
baron	NOUN	baron
était	AUX	être
un	PRON	un
des	ADP	de
plus	ADV	plus
puissants	ADJ	puissant
seigneurs	NOUN	seigneur
de	ADP	de
la	DET	le
Westphalie	PROPN	Westphalie
,	PUNCT	,
car	CCONJ	car
son	DET	son
château	NOUN	château
avait	VERB	avoir
une	DET	un
porte	NOUN	porte
et	CCONJ	et
des	DET	un
fenêtres	NOUN	fenêtre
.	PUNCT	.
Sa	DET	son
grande	ADJ	grand
salle	NOUN	salle
même	ADV	même
était	AUX	être
ornée	VERB	orner
d'	ADP	de
une	DET	un
tapisserie	NOUN	tapisserie
.	PUNCT	.
Tous	ADJ	tout
les	DET	le
chiens	NOUN	chien
de	ADP	de
ses	DET	son
basses-cours	NOUN	basse-cour
composaient	VERB	composer
une	DET	un
meute	NOUN	meute
dans	ADP	dans
le	DET	le
besoin	NOUN	besoin
;	PUNCT	;
ses	DET	son
palefreniers	NOUN	palefrenier
étaient	AUX	être
ses	DET	son
piqueurs	NOUN	piqueur
;	PUNCT	;
le	DET	le
vicaire	NOUN	vicaire
du	ADP	de
village	NOUN	village
était	AUX	être
son	DET	son
grand	ADJ	grand
aumônier	NOUN	aumônier
.	PUNCT	.
Ils	PRON	il
l'	PRON	l'
appelaient	VERB	appeler
tous	ADJ	tout
monseigneur	NOUN	monseigneur
,	PUNCT	,
et	CCONJ	et
ils	PRON	il
riaient	VERB	rire
quand	SCONJ	quand
il	PRON	il
faisait	VERB	faire
des	DET	un
contes	NOUN	conte
.	PUNCT	.

	SPACE	

Madame	NOUN	monsieur
la	DET	le
baronne	NOUN	baronne
,	PUNCT	,
qui	PRON	qui
pesait	VERB	peser
environ	ADV	environ
trois	NUM	trois
cent	NUM	cent
cinquante	NUM	cinquante
livres	NOUN	livre
,	PUNCT	,
s'	PRON	se
attirait	VERB	attirer
par	ADP	par
là	ADV	là
une	DET	un
très	ADV	très
grande	ADJ	grand
considération	NOUN	considération
,	PUNCT	,
et	CCONJ	et
faisait	VERB	faire
les	DET	le
honneurs	NOUN	honneur
de	ADP	de
la	DET	le
maison	NOUN	maison
avec	ADP	avec
une	DET	un
dignité	NOUN	dignité
qui	PRON	qui
la	PRON	le
rendait	VERB	rendre
encore	ADV	encore
plus	ADV	plus
respectable	ADJ	respectable
.	PUNCT	.
Sa	DET	son
fille	NOUN	fille
Cunégonde	PROPN	Cunégonde
,	PUNCT	,
âgée	ADJ	âgé
de	ADP	de
dix-sept	NUM	dix-sept
ans	NOUN	an
,	PUNCT	,
était	AUX	être
haute	ADJ	haut
en	ADP	en
couleur	NOUN	couleur
,	PUNCT	,
fraîche	ADJ	frais
,	PUNCT	,
grasse	ADJ	gras
,	PUNCT	,
appétissante	ADJ	appétissant
.	PUNCT	.
Le	DET	le
fils	NOUN	fils
du	ADP	de
baron	NOUN	baron
paraissait	VERB	paraître
en	ADP	en
tout	DET	tout
digne	ADJ	digne
de	ADP	de
son	DET	son
père	NOUN	père
.	PUNCT	.
Le	DET	le
précepteur	NOUN	précepteur
Pangloss	PROPN	Pangloss
était	AUX	être
l'	DET	le
oracle	NOUN	oracle
de	ADP	de
la	DET	le
maison	NOUN	maison
,	PUNCT	,
et	CCONJ	et
le	DET	le
petit	ADJ	petit
Candide	PROPN	Candide
écoutait	VERB	écouter
ses	DET	son
leçons	NOUN	leçon
avec	ADP	avec
toute	ADJ	tout
la	DET	le
bonne	ADJ	bon
foi	NOUN	foi
de	ADP	de
son	DET	son
âge	NOUN	âge
et	CCONJ	et
de	ADP	de
son	DET	son
caractère	NOUN	caractère
.	PUNCT	.

	SPACE	

Pangloss	PROPN	Pangloss
enseignait	VERB	enseigner
la	DET	le
métaphysico	NOUN	métaphysico
-	ADJ	-
théologo	ADJ	théologo
-	ADJ	-
cosmolo	NOUN	cosmolo
-	NOUN	-
nigologie	NOUN	nigologie
.	PUNCT	.
Il	PRON	il
prouvait	VERB	prouver
admirablement	ADV	admirablement
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
y	PRON	y
a	VERB	avoir
point	NOUN	point
d'	DET	d'
effet	NOUN	effet
sans	ADP	sans
cause	NOUN	cause
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
,	PUNCT	,
dans	ADP	dans
ce	DET	ce
meilleur	PRON	meilleur
des	ADP	de
mondes	NOUN	monde
possibles	ADJ	possible
,	PUNCT	,
le	DET	le
château	NOUN	château
de	ADP	de
monseigneur	NOUN	monseigneur
le	DET	le
baron	NOUN	baron
était	AUX	être
le	DET	le
plus	ADV	plus
beau	ADJ	beau
des	ADP	de
châteaux	NOUN	château
et	CCONJ	et
madame	NOUN	monsieur
la	DET	le
meilleure	ADJ	meilleur
des	ADP	de
baronnes	NOUN	baronne
possibles	ADJ	possible
.	PUNCT	.

	SPACE	

«	PUNCT	«
Il	PRON	il
est	AUX	être
démontré	VERB	démontrer
,	PUNCT	,
disait	VERB	dire
-il	PRON	il
,	PUNCT	,
que	SCONJ	que
les	DET	le
choses	NOUN	chose
ne	ADV	ne
peuvent	VERB	pouvoir
être	VERB	être
autrement	ADV	autrement
:	PUNCT	:
car	CCONJ	car
,	PUNCT	,
tout	PRON	tout
étant	AUX	être
fait	VERB	faire
pour	ADP	pour
une	DET	un
fin	NOUN	fin
,	PUNCT	,
tout	PRON	tout
est	AUX	être
nécessairement	ADV	nécessairement
pour	ADP	pour
la	DET	le
meilleure	ADJ	meilleur
fin	NOUN	fin
.	PUNCT	.
Remarquez	VERB	remarquer
bien	ADV	bien
que	SCONJ	que
les	DET	le
nez	NOUN	nez
ont	AUX	avoir
été	AUX	être
faits	VERB	faire
pour	ADP	pour
porter	VERB	porter
des	DET	un
lunettes	NOUN	lunette
,	PUNCT	,
aussi	ADV	aussi
avons	VERB	avoir
-nous	PRON	nous
des	DET	un
lunettes	NOUN	lunette
.	PUNCT	.
Les	DET	le
jambes	NOUN	jambe
sont	AUX	être
visiblement	ADV	visiblement
