 	SPACE	 
Érasme	PROPN	Érasme
fit	VERB	faire
,	PUNCT	,
au	ADP	au
xvie	ADJ	xvi
siècle	NOUN	siècle
,	PUNCT	,
l'	DET	le
éloge	NOUN	éloge
de	ADP	de
la	DET	le
Folie	PROPN	Folie
.	PUNCT	.
Vous	PRON	vous
m'	PRON	me
ordonnez	VERB	ordonner
de	ADP	de
vous	PRON	vous
faire	VERB	faire
l'	DET	le
éloge	NOUN	éloge
de	ADP	de
la	DET	le
Raison	PROPN	Raison
.	PUNCT	.
Cette	DET	ce
Raison	NOUN	raison
n'	ADV	n'
est	AUX	être
fêtée	VERB	fêter
en	ADP	en
effet	NOUN	effet
tout	ADV	tout
au	ADP	au
plus	ADV	plus
que	SCONJ	que
deux	NUM	deux
cents	DET	cent
ans	NOUN	an
après	ADP	après
son	DET	son
ennemie	NOUN	ennemi
,	PUNCT	,
souvent	ADV	souvent
beaucoup	ADV	beaucoup
plus	ADV	plus
tard	ADV	tard
;	PUNCT	;
et	CCONJ	et
il	PRON	il
y	PRON	y
a	VERB	avoir
des	DET	un
nations	NOUN	nation
chez	ADP	chez
lesquelles	PRON	lequel
on	PRON	on
ne	ADV	ne
l'	PRON	l'
a	AUX	avoir
point	ADV	point
encore	ADV	encore
vue	VERB	voir
.	PUNCT	.

	SPACE	

Elle	PRON	lui
était	AUX	être
si	ADV	si
inconnue	ADJ	inconnu
chez	ADP	chez
nous	PRON	nous
du	ADP	de
temps	NOUN	temps
de	ADP	de
nos	DET	notre
druides	NOUN	druide
quelle	ADJ	quell
n'	ADV	n'
avait	VERB	avoir
pas	ADV	pas
même	ADV	même
de	DET	de
nom	NOUN	nom
dans	ADP	dans
notre	DET	notre
langue	NOUN	langue
.	PUNCT	.
César	PROPN	César
ne	ADV	ne
l'	PRON	l'
apporta	VERB	apporter
ni	CCONJ	ni
en	ADP	en
Suisse	PROPN	Suisse
,	PUNCT	,
ni	CCONJ	ni
à	ADP	à
Autun	PROPN	Autun
,	PUNCT	,
ni	CCONJ	ni
à	ADP	à
Paris	PROPN	Paris
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
était	AUX	être
alors	ADV	alors
qu'	ADV	qu'
un	DET	un
hameau	NOUN	hameau
de	ADP	de
pêcheurs	NOUN	pêcheur
,	PUNCT	,
et	CCONJ	et
lui-même	PRON	lui-même
ne	ADV	ne
la	PRON	le
connut	VERB	connaître
guère	ADV	guère
.	PUNCT	.

	SPACE	

Il	PRON	il
avait	VERB	avoir
tant	ADV	tant
de	ADP	de
grandes	ADJ	grand
qualités	NOUN	qualité
que	PRON	que
la	DET	le
Raison	NOUN	raison
ne	ADV	ne
put	VERB	pouvoir
trouver	VERB	trouver
de	DET	de
place	NOUN	place
dans	ADP	dans
la	DET	le
foule	NOUN	foule
.	PUNCT	.
Ce	DET	ce
magnanime	ADJ	magnanime
insensé	NOUN	insensé
sortit	VERB	sortir
de	ADP	de
notre	DET	notre
pays	NOUN	pays
dévasté	VERB	dévaster
pour	ADP	pour
aller	VERB	aller
dévaster	VERB	dévaster
le	DET	le
sien	PRON	sien
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
se	PRON	se
faire	AUX	faire
donner	VERB	donner
vingt-trois	NUM	vingt-trois
coups	NOUN	coup
de	ADP	de
