 	SPACE	 
CHAPITRE	NOUN	chapitre
I.	ADJ	i.

	SPACE	

Ah	ADV	ah
  	SPACE	  
la	DET	le
fatalité	NOUN	fatalité
gouverne	VERB	gouverne
irrémissiblement	ADV	irrémissiblement
toutes	ADJ	tout
les	DET	le
choses	NOUN	chose
de	ADP	de
ce	DET	ce
monde	NOUN	monde
.	PUNCT	.
J'	PRON	je
en	PRON	en
juge	VERB	juger
,	PUNCT	,
comme	ADP	comme
de	ADP	de
raison	NOUN	raison
,	PUNCT	,
par	ADP	par
mon	DET	mon
aventure	NOUN	aventure
.	PUNCT	.

	SPACE	

Milord	PROPN	Milord
Chesterfield	PROPN	Chesterfield
,	PUNCT	,
qui	PRON	qui
m'	PRON	me
aimait	VERB	aimer
fort	ADV	fort
,	PUNCT	,
m'	PRON	me
avait	AUX	avoir
promis	VERB	promettre
de	ADP	de
me	PRON	me
faire	VERB	faire
du	DET	de
bien	NOUN	bien
.	PUNCT	.
Il	PRON	il
vaquait	VERB	vaquer
un	DET	un
bon	ADJ	bon
preferment	NOUN	preferment
à	ADP	à
sa	DET	son
nomination	NOUN	nomination
.	PUNCT	.
Je	PRON	je
cours	VERB	courir
du	ADP	de
fond	NOUN	fond
de	ADP	de
ma	DET	mon
province	NOUN	province
à	ADP	à
Londres	PROPN	Londres
 	SPACE	 
;	PUNCT	;
je	PRON	je
me	PRON	me
présente	VERB	présente
à	ADP	à
milord	PROPN	milord
 	SPACE	 
;	PUNCT	;
je	PRON	je
le	PRON	le
fais	VERB	faire
souvenir	VERB	souvenir
de	ADP	de
ses	DET	son
promesses	NOUN	promesse
 	SPACE	 
;	PUNCT	;
il	PRON	il
me	PRON	me
serre	VERB	serre
la	DET	le
main	NOUN	main
avec	ADP	avec
amitié	NOUN	amitié
,	PUNCT	,
et	CCONJ	et
me	PRON	me
dit	VERB	dire
qu'	SCONJ	que
en	ADP	en
effet	NOUN	effet
j'	PRON	je
ai	VERB	avoir
bien	ADV	bien
mauvais	ADJ	mauvais
visage	NOUN	visage
.	PUNCT	.
Je	PRON	je
lui	PRON	lui
réponds	VERB	répondre
que	SCONJ	que
mon	DET	mon
plus	ADV	plus
grand	ADJ	grand
mal	NOUN	mal
est	AUX	être
la	DET	le
pauvreté	NOUN	pauvreté
.	PUNCT	.
Il	PRON	il
me	PRON	me
réplique	VERB	réplique
qu'	SCONJ	que
il	PRON	il
veut	VERB	vouloir
me	PRON	me
faire	AUX	faire
guérir	VERB	guérir
,	PUNCT	,
et	CCONJ	et
me	PRON	me
donne	VERB	donne
sur-le-champ	ADV	sur-le-champ
une	DET	un
lettre	NOUN	lettre
pour	ADP	pour
M.	NOUN	m.
Sidrac	PROPN	Sidrac
,	PUNCT	,
près	ADV	près
de	ADP	de
Guildhall	PROPN	Guildhall
.	PUNCT	.

	SPACE	

Je	PRON	je
ne	ADV	ne
doute	VERB	doute
pas	ADV	pas
que	SCONJ	que
M.	NOUN	m.
Sidrac	PROPN	Sidrac
ne	ADV	ne
soit	AUX	être
celui	PRON	celui
qui	PRON	qui
doit	VERB	devoir
m'	PRON	me
expédier	VERB	expédier
les	DET	le
provisions	NOUN	provision
de	ADP	de
ma	DET	mon
cure	NOUN	cure
.	PUNCT	.
Je	PRON	je
vole	VERB	vole
chez	ADP	chez
lui	PRON	lui
.	PUNCT	.
M.	NOUN	m.
Sidrac	PROPN	Sidrac
,	PUNCT	,
qui	PRON	qui
était	AUX	être
le	DET	le
chirurgien	NOUN	chirurgien
de	ADP	de
milord	PROPN	milord
,	PUNCT	,
se	PRON	se
met	VERB	mettre
incontinent	ADV	incontinent
en	ADP	en
devoir	NOUN	devoir
de	ADP	de
me	PRON	me
sonder	VERB	sonder
,	PUNCT	,
et	CCONJ	et
m'	PRON	me
assure	VERB	assure
que	SCONJ	que
,	PUNCT	,
si	SCONJ	si
j'	PRON	je
ai	VERB	avoir
la	DET	le
pierre	NOUN	pierre
,	PUNCT	,
il	PRON	il
me	PRON	me
taillera	VERB	tailler
très	ADV	très
-	ADV	-
heureusement	ADV	heureusement
.	PUNCT	.

	SPACE	

Il	PRON	il
faut	VERB	falloir
savoir	VERB	savoir
que	SCONJ	que
milord	PROPN	milord
avait	AUX	avoir
entendu	VERB	entendre
que	SCONJ	que
j'	PRON	je
avais	VERB	avoir
un	DET	un
grand	ADJ	grand
mal	NOUN	mal
à	ADP	à
la	DET	le
vessie	NOUN	vessie
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
il	PRON	il
avait	AUX	avoir
voulu	VERB	vouloir
,	PUNCT	,
selon	ADP	selon
sa	DET	son
générosité	NOUN	générosité
ordinaire	ADJ	ordinaire
,	PUNCT	,
me	PRON	me
faire	AUX	faire
tailler	VERB	tailler
à	ADP	à
ses	DET	son
dépens	NOUN	dépens
.	PUNCT	.
Il	PRON	il
était	AUX	être
sourd	ADJ	sourd
,	PUNCT	,
aussi	ADV	aussi
bien	ADV	bien
que	SCONJ	que
monsieur	NOUN	Monsieur
son	DET	son
frère	NOUN	frère
,	PUNCT	,
et	CCONJ	et
je	PRON	je
n'	ADV	n'
en	PRON	en
étais	AUX	être
pas	ADV	pas
encore	ADV	encore
instruit	VERB	instruire
.	PUNCT	.

	SPACE	

Pendant	ADP	pendant
le	DET	le
temps	NOUN	temps
que	PRON	que
je	PRON	je
perdis	VERB	perdre
à	ADP	à
défendre	VERB	défendre
ma	DET	mon
vessie	NOUN	vessie
contre	ADP	contre
M.	NOUN	m.
Sidrac	PROPN	Sidrac
,	PUNCT	,
qui	PRON	qui
voulait	VERB	vouloir
me	PRON	me
sonder	VERB	sonder
à	ADP	à
toute	DET	tout
force	NOUN	force
,	PUNCT	,
un	PRON	un
des	ADP	de
cinquante	NUM	cinquante
-	NUM	-
deux	NUM	deux
compétiteurs	NOUN	compétiteur
qui	PRON	qui
prétendaient	VERB	prétendre
au	ADP	au
même	ADJ	même
bénéfice	NOUN	bénéfice
arriva	VERB	arriver
chez	ADP	chez
milord	PROPN	milord
,	PUNCT	,
demanda	VERB	demander
ma	DET	mon
cure	NOUN	cure
,	PUNCT	,
et	CCONJ	et
l'	PRON	l'
emporta	VERB	emporter
.	PUNCT	.

	SPACE	

J'	PRON	je
étais	AUX	être
amoureux	ADJ	amoureux
de	ADP	de
Miss	NOUN	miss
Fidler	PROPN	Fidler
,	PUNCT	,
que	PRON	que
je	PRON	je
devais	VERB	devoir
épouser	VERB	épouser
dès	ADP	dès
que	SCONJ	que
je	PRON	je
serais	AUX	être
curé	NOUN	curé
 	SPACE	 
;	PUNCT	;
mon	DET	mon
rival	NOUN	rival
eut	VERB	avoir
ma	DET	mon
place	NOUN	place
et	CCONJ	et
ma	DET	mon
maîtresse	NOUN	maîtresse
.	PUNCT	.

	SPACE	

Le	DET	le
comte	NOUN	comte
,	PUNCT	,
ayant	AUX	avoir
appris	VERB	apprendre
mon	DET	mon
désastre	NOUN	désastre
et	CCONJ	et
sa	DET	son
méprise	NOUN	méprise
,	PUNCT	,
me	PRON	me
promit	VERB	promettre
de	ADP	de
tout	PRON	tout
réparer	VERB	réparer
 	SPACE	 
;	PUNCT	;
mais	CCONJ	mais
il	PRON	il
mourut	VERB	mourir
deux	NUM	deux
jours	NOUN	jour
après	ADV	après
.	PUNCT	.

	SPACE	

M.	NOUN	m.
Sidrac	PROPN	Sidrac
me	PRON	me
fit	VERB	faire
voir	VERB	voir
,	PUNCT	,
clair	ADJ	clair
comme	ADP	comme
le	DET	le
jour	NOUN	jour
,	PUNCT	,
que	SCONJ	que
mon	DET	mon
bon	ADJ	bon
protecteur	NOUN	protecteur
ne	ADV	ne
pouvait	VERB	pouvoir
pas	ADV	pas
vivre	VERB	vivre
une	DET	un
minute	NOUN	minute
de	ADP	de
plus	ADV	plus
,	PUNCT	,
vu	VERB	voir
la	DET	le
constitution	NOUN	constitution
présente	ADJ	présent
de	ADP	de
ses	DET	son
organes	NOUN	organe
,	PUNCT	,
et	CCONJ	et
me	PRON	me
prouva	VERB	prouver
que	SCONJ	que
sa	DET	son
surdité	NOUN	surdité
ne	ADV	ne
venait	VERB	venir
que	ADV	que
de	ADP	de
l'	DET	le
extrême	ADJ	extrême
sécheresse	NOUN	sécheresse
de	ADP	de
la	DET	le
corde	NOUN	corde
et	CCONJ	et
du	ADP	de
tambour	NOUN	tambour
de	ADP	de
son	DET	son
oreille	NOUN	oreille
.	PUNCT	.
Il	PRON	il
m'	PRON	me
offrit	VERB	offrir
même	ADV	même
d'	ADP	de
endurcir	VERB	endurcir
mes	DET	mon
deux	NUM	deux
oreilles	NOUN	oreille
avec	ADP	avec
de	ADP	de
l'	DET	le
esprit-de-vin	NOUN	esprit-de-vin
,	PUNCT	,
de	ADP	de
façon	NOUN	façon
à	ADP	à
me	PRON	me
rendre	VERB	rendre
plus	ADV	plus
sourd	ADJ	sourd
qu'	SCONJ	que
aucun	DET	aucun
pair	NOUN	pair
du	ADP	de
royaume	NOUN	royaume
.	PUNCT	.

	SPACE	

Je	PRON	je
compris	VERB	comprendre
que	SCONJ	que
M.	NOUN	m.
Sidrac	PROPN	Sidrac
était	AUX	être
un	DET	un
très	ADV	très
-	NOUN	-
savant	ADJ	savant
