 	SPACE	 
Je	PRON	je
naquis	VERB	naître
dans	ADP	dans
la	DET	le
ville	NOUN	ville
de	ADP	de
Candie	PROPN	Candie
,	PUNCT	,
en	ADP	en
1600	NUM	1600
.	PUNCT	.
Mon	DET	mon
père	NOUN	père
en	PRON	en
était	AUX	être
gouverneur	NOUN	gouverneur
;	PUNCT	;
et	CCONJ	et
je	PRON	je
me	PRON	me
souviens	VERB	souvenir
qu'	SCONJ	que
un	DET	un
poète	NOUN	poète
médiocre	ADJ	médiocre
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
était	AUX	être
pas	ADV	pas
médiocrement	ADV	médiocrement
dur	ADJ	dur
,	PUNCT	,
nommé	VERB	nommer
Iro	PROPN	Iro
,	PUNCT	,
fit	VERB	faire
de	DET	de
mauvais	ADJ	mauvais
vers	NOUN	vers
à	ADP	à
ma	DET	mon
louange	NOUN	louange
,	PUNCT	,
dans	ADP	dans
lesquels	PRON	lequel
il	PRON	il
me	PRON	me
faisait	VERB	faire
descendre	VERB	descendre
de	ADP	de
Minos	PROPN	Minos
en	ADP	en
droite	ADJ	droit
ligne	NOUN	ligne
;	PUNCT	;
mais	CCONJ	mais
mon	DET	mon
père	NOUN	père
ayant	AUX	avoir
été	AUX	être
disgracié	VERB	disgracier
,	PUNCT	,
il	PRON	il
fit	VERB	faire
d'	DET	d'
autres	ADJ	autre
vers	NOUN	vers
où	PRON	où
je	PRON	je
ne	ADV	ne
descendais	VERB	descendre
plus	ADV	plus
que	SCONJ	que
de	ADP	de
Pasiphaé	PROPN	Pasiphaé
et	CCONJ	et
de	ADP	de
son	DET	son
amant	NOUN	amant
.	PUNCT	.
C'	PRON	ce
était	AUX	être
un	DET	un
bien	ADV	bien
méchant	ADJ	méchant
homme	NOUN	homme
que	SCONJ	que
cet	DET	ce
Iro	PROPN	Iro
,	PUNCT	,
et	CCONJ	et
le	DET	le
plus	ADV	plus
ennuyeux	ADJ	ennuyeux
coquin	NOUN	coquin
qui	PRON	qui
fût	AUX	être
dans	ADP	dans
l'	DET	le
île	NOUN	île
.	PUNCT	.

	SPACE	

Mon	DET	mon
père	NOUN	père
m'	PRON	me
envoya	VERB	envoyer
,	PUNCT	,
à	ADP	à
l'	DET	le
âge	NOUN	âge
de	ADP	de
quinze	NUM	quinze
ans	NOUN	an
,	PUNCT	,
étudier	VERB	étudier
à	ADP	à
Rome	PROPN	Rome
.	PUNCT	.
J'	PRON	je
arrivai	VERB	arriver
dans	ADP	dans
l'	DET	le
espérance	NOUN	espérance
d'	ADP	de
apprendre	VERB	apprendre
toutes	ADJ	tout
les	DET	le
vérités	NOUN	vérité
;	PUNCT	;
car	CCONJ	car
jusque-là	ADV	jusque-là
on	PRON	on
m'	PRON	me
avait	AUX	avoir
enseigné	VERB	enseigner
tout	ADJ	tout
le	DET	le
contraire	NOUN	contraire
,	PUNCT	,
selon	ADP	selon
l'	DET	le
usage	NOUN	usage
de	ADP	de
ce	DET	ce
bas	ADJ	bas
monde	NOUN	monde
,	PUNCT	,
depuis	ADP	depuis
la	DET	le
Chine	PROPN	Chine
jusqu'	ADP	jusque
