 	SPACE	 
Platon	PROPN	Platon
rêvait	VERB	rêver
beaucoup	ADV	beaucoup
,	PUNCT	,
et	CCONJ	et
on	PRON	on
n'	ADV	n'
a	AUX	avoir
pas	ADV	pas
moins	ADV	moins
rêvé	VERB	rêver
depuis	ADP	depuis
.	PUNCT	.
Il	PRON	il
avait	AUX	avoir
songé	VERB	songer
que	SCONJ	que
la	DET	le
nature	NOUN	nature
humaine	ADJ	humain
était	AUX	être
autrefois	ADV	autrefois
double	ADJ	double
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
en	ADP	en
punition	NOUN	punition
de	ADP	de
ses	DET	son
fautes	NOUN	faute
elle	PRON	lui
fut	AUX	être
divisée	VERB	diviser
en	ADP	en
mâle	NOUN	mâle
et	CCONJ	et
femelle	NOUN	femelle
.	PUNCT	.

	SPACE	

Il	PRON	il
avait	AUX	avoir
prouvé	VERB	prouver
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
peut	VERB	pouvoir
y	PRON	y
avoir	VERB	avoir
que	ADV	que
cinq	NUM	cinq
mondes	NOUN	monde
parfaits	ADJ	parfait
,	PUNCT	,
parce	SCONJ	parce
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
y	PRON	y
a	VERB	avoir
que	ADV	que
cinq	NUM	cinq
corps	NOUN	corps
réguliers	ADJ	régulier
en	ADP	en
mathématiques	NOUN	mathématique
.	PUNCT	.
Sa	DET	son
république	NOUN	république
fut	AUX	être
un	PRON	un
de	ADP	de
ses	DET	son
grands	ADJ	grand
rêves	NOUN	rêve
.	PUNCT	.
Il	PRON	il
avait	AUX	avoir
rêvé	VERB	rêver
encore	ADV	encore
que	SCONJ	que
le	DET	le
dormir	NOUN	dormir
naît	VERB	naître
de	ADP	de
la	DET	le
veille	NOUN	veille
,	PUNCT	,
et	CCONJ	et
la	DET	le
veille	NOUN	veille
du	ADP	de
dormir	VERB	dormir
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
on	PRON	on
perd	VERB	perdre
sûrement	ADV	sûrement
la	DET	le
vue	NOUN	vue
en	ADP	en
regardant	VERB	regarder
une	DET	un
éclipse	NOUN	éclipse
ailleurs	ADV	ailleurs
que	SCONJ	que
dans	ADP	dans
un	DET	un
bassin	NOUN	bassin
d'	ADP	de
eau	NOUN	eau
.	PUNCT	.
Les	DET	le
rêves	NOUN	rêve
alors	ADV	alors
donnaient	VERB	donner
une	DET	un
grande	ADJ	grand
réputation	NOUN	réputation
.	PUNCT	.

	SPACE	

Voici	VERB	voici
un	PRON	un
de	ADP	de
ses	DET	son
songes	NOUN	songe
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
est	AUX	être
pas	ADV	pas
un	PRON	un
des	ADP	de
moins	ADV	moins
intéressants	ADJ	intéressant
.	PUNCT	.
Il	PRON	il
lui	PRON	lui
sembla	VERB	sembler
que	SCONJ	que
le	DET	le
grand	ADJ	grand
Démiourgos	PROPN	Démiourgos
,	PUNCT	,
l'	DET	le
éternel	ADJ	éternel
Géomètre	NOUN	géomètre
,	PUNCT	,
ayant	AUX	avoir
peuplé	VERB	peupler
l'	DET	le
espace	NOUN	espace
infini	ADJ	infini
de	ADP	de
globes	NOUN	globe
innombrables	ADJ	innombrable
,	PUNCT	,
voulut	VERB	vouloir
éprouver	VERB	éprouver
la	DET	le
science	NOUN	science
des	ADP	de
génies	NOUN	génie
qui	PRON	qui
avaient	AUX	avoir
été	AUX	être
témoins	NOUN	témoin
de	ADP	de
ses	DET	son
ouvrages	NOUN	ouvrage
.	PUNCT	.
Il	PRON	il
donna	VERB	donner
à	ADP	à
chacun	PRON	chacun
d'	ADP	de
entre	ADP	entre
eux	PRON	lui
un	DET	un
petit	ADJ	petit
morceau	NOUN	morceau
de	ADP	de
matière	NOUN	matière
à	ADP	à
arranger	VERB	arranger
,	PUNCT	,
à	ADP	à
peu	ADV	peu
près	ADV	près
comme	ADP	comme
Phidias	PROPN	Phidias
et	CCONJ	et
Zeuxis	PROPN	Zeuxis
auraient	AUX	avoir
donné	VERB	donner
des	DET	un
statues	NOUN	statue
et	CCONJ	et
des	DET	un
tableaux	NOUN	tableau
à	ADP	à
faire	VERB	faire
à	ADP	à
leurs	DET	leur
disciples	NOUN	disciple
,	PUNCT	,
s'	SCONJ	s'
il	PRON	il
est	AUX	être
permis	VERB	permettre
de	ADP	de
comparer	VERB	comparer
les	DET	le
petites	ADJ	petit
choses	NOUN	chose
aux	ADP	à
grandes	ADJ	grand
.	PUNCT	.

	SPACE	

Démogorgon	PROPN	Démogorgon
eut	VERB	avoir
en	ADP	en
partage	NOUN	partage
le	DET	le
morceau	NOUN	morceau
de	ADP	de
boue	NOUN	boue
qu'	PRON	qu'
on	PRON	on
appelle	VERB	appeler
la	DET	le
terre	NOUN	terre
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
l'	PRON	l'
ayant	AUX	avoir
arrangé	VERB	arranger
de	ADP	de
la	DET	le
manière	NOUN	manière
qu'	PRON	qu'
on	PRON	on
le	PRON	le
voit	VERB	voir
aujourd'hui	ADV	aujourd'hui
,	PUNCT	,
il	PRON	il
prétendait	VERB	prétendre
avoir	AUX	avoir
fait	VERB	faire
un	DET	un
chef	NOUN	chef
-	NOUN	-
d'	DET	d'
œuvre	NOUN	œuvre
.	PUNCT	.
Il	PRON	il
pensait	VERB	penser
avoir	AUX	avoir
subjugué	VERB	subjuguer
l'	DET	le
envie	NOUN	envie
,	PUNCT	,
et	CCONJ	et
attendait	VERB	attendre
des	DET	un
éloges	NOUN	éloge
,	PUNCT	,
même	ADV	même
de	ADP	de
ses	DET	son
confrères	NOUN	confrère
;	PUNCT	;
il	PRON	il
fut	AUX	être
bien	ADV	bien
surpris	VERB	surprendre
d'	ADP	de
être	AUX	être
reçu	VERB	recevoir
d'	ADP	de
eux	PRON	lui
avec	ADP	avec
des	DET	un
huées	NOUN	huée
.	PUNCT	.

	SPACE	

L'	DET	le
un	PRON	un
d'	ADP	de
eux	PRON	lui
,	PUNCT	,
qui	PRON	qui
était	AUX	être
un	DET	un
fort	ADV	fort
mauvais	ADJ	mauvais
plaisant	NOUN	plaisant
,	PUNCT	,
lui	PRON	lui
dit	VERB	dire
:	PUNCT	:
«	PUNCT	«
Vraiment	ADV	vraiment
vous	PRON	vous
avez	AUX	avoir
fort	ADV	fort
bien	ADV	bien
opéré	VERB	opérer
:	PUNCT	:
vous	PRON	vous
avez	AUX	avoir
séparé	VERB	séparer
votre	DET	votre
monde	NOUN	monde
en	ADP	en
deux	NUM	deux
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
avez	AUX	avoir
mis	VERB	mettre
un	DET	un
grand	ADJ	grand
espace	NOUN	espace
d'	ADP	de
eau	NOUN	eau
entre	ADP	entre
les	DET	le
deux	NUM	deux
hémisphères	NOUN	hémisphère
,	PUNCT	,
afin	ADP	afin
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
y	PRON	y
eût	VERB	avoir
point	NOUN	point
de	ADP	de
communication	NOUN	communication
de	ADP	de
l'	DET	le
un	PRON	un
à	ADP	à
l'	DET	le
autre	PRON	autre
.	PUNCT	.
On	PRON	on
gèlera	VERB	geler
de	ADP	de
froid	NOUN	froid
sous	ADP	sous
vos	DET	votre
deux	NUM	deux
pôles	NOUN	pôle
,	PUNCT	,
on	PRON	on
mourra	VERB	mourir
de	ADP	de
chaud	ADJ	chaud
sous	ADP	sous
votre	DET	votre
ligne	NOUN	ligne
équinoxiale	ADJ	équinoxial
.	PUNCT	.
Vous	PRON	vous
avez	AUX	avoir
prudemment	ADV	prudemment
établi	VERB	établir
de	DET	de
grands	ADJ	grand
déserts	NOUN	désert
de	ADP	de
sables	NOUN	sable
,	PUNCT	,
pour	ADP	pour
que	SCONJ	que
les	DET	le
passants	NOUN	passant
y	PRON	y
mourussent	VERB	mourir
de	ADP	de
faim	NOUN	faim
et	CCONJ	et
de	ADP	de
soif	NOUN	soif
.	PUNCT	.
Je	PRON	je
suis	AUX	être
assez	ADV	assez
content	ADJ	content
de	ADP	de
vos	DET	votre
moutons	NOUN	mouton
,	PUNCT	,
de	ADP	de
vos	DET	votre
vaches	NOUN	vache
et	CCONJ	et
de	ADP	de
vos	DET	votre
poules	NOUN	poule
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
franchement	ADV	franchement
,	PUNCT	,
je	PRON	je
ne	ADV	ne
le	PRON	le
suis	AUX	être
pas	ADV	pas
trop	ADV	trop
de	ADP	de
vos	DET	votre
serpents	NOUN	serpent
et	CCONJ	et
de	ADP	de
vos	DET	votre
araignées	NOUN	araignée
