 	SPACE	 
CHAPITRE	NOUN	chapitre
I.	ADJ	i.

	SPACE	

COMMENT	ADV	comment
LA	DET	le
PRINCESSE	NOUN	princesse
AMASIDE	ADJ	amasid
RENCONTRE	VERB	rencontre
UN	DET	un
BŒUF	NOUN	bœuf
.	PUNCT	.

	SPACE	

La	DET	le
jeune	ADJ	jeune
princesse	NOUN	princesse
Amaside	PROPN	Amaside
,	PUNCT	,
fille	NOUN	fille
d'	ADP	de
Amasis	PROPN	Amasis
,	PUNCT	,
roi	NOUN	roi
de	ADP	de
Tanis	PROPN	Tanis
en	ADP	en
Égypte	PROPN	Égypte
,	PUNCT	,
se	PRON	se
promenait	VERB	promener
sur	ADP	sur
le	DET	le
chemin	NOUN	chemin
de	ADP	de
Péluse	PROPN	Péluse
avec	ADP	avec
les	DET	le
dames	NOUN	dame
de	ADP	de
sa	DET	son
suite	NOUN	suite
.	PUNCT	.
Elle	PRON	lui
était	AUX	être
plongée	VERB	plonger
dans	ADP	dans
une	DET	un
tristesse	NOUN	tristesse
profonde	ADJ	profond
;	PUNCT	;
les	DET	le
larmes	NOUN	larme
coulaient	VERB	couler
de	ADP	de
ses	DET	son
beaux	ADJ	beal
yeux	NOUN	oeil
.	PUNCT	.
On	PRON	on
sait	VERB	savoir
quel	ADJ	quel
était	AUX	être
le	DET	le
sujet	NOUN	sujet
de	ADP	de
sa	DET	son
douleur	NOUN	douleur
,	PUNCT	,
et	CCONJ	et
combien	ADV	combien
elle	PRON	lui
craignait	VERB	craindre
de	ADP	de
déplaire	VERB	déplaire
au	ADP	au
roi	NOUN	roi
son	DET	son
père	NOUN	père
par	ADP	par
sa	DET	son
douleur	NOUN	douleur
même	ADV	même
.	PUNCT	.
Le	DET	le
vieillard	NOUN	vieillard
Mambrès	PROPN	Mambrès
,	PUNCT	,
ancien	ADJ	ancien
mage	NOUN	mage
et	CCONJ	et
eunuque	NOUN	eunuque
des	ADP	de
pharaons	NOUN	pharaon
,	PUNCT	,
était	VERB	être
auprès	ADV	auprès
d'	ADP	de
elle	PRON	lui
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
la	PRON	le
quittait	VERB	quitter
presque	ADV	presque
jamais	ADV	jamais
.	PUNCT	.
Il	PRON	il
la	PRON	le
vit	VERB	voir
naître	VERB	naître
,	PUNCT	,
il	PRON	il
l'	PRON	l'
éleva	VERB	élever
,	PUNCT	,
il	PRON	il
lui	PRON	lui
enseigna	VERB	enseigner
tout	ADJ	tout
ce	PRON	ce
qu'	PRON	qu'
il	PRON	il
est	AUX	être
permis	VERB	permettre
à	ADP	à
une	DET	un
belle	ADJ	bel
princesse	NOUN	princesse
de	ADP	de
savoir	VERB	savoir
des	DET	un
sciences	NOUN	science
de	ADP	de
l'	DET	le
Égypte	PROPN	Égypte
.	PUNCT	.

	SPACE	

L'	DET	le
esprit	NOUN	esprit
d'	ADP	de
Amaside	PROPN	Amaside
égalait	VERB	égaler
sa	DET	son
beauté	NOUN	beauté
;	PUNCT	;
elle	PRON	lui
était	AUX	être
aussi	ADV	aussi
sensible	ADJ	sensible
,	PUNCT	,
aussi	ADV	aussi
tendre	ADJ	tendre
que	SCONJ	que
charmante	ADJ	charmant
,	PUNCT	,
et	CCONJ	et
c'	PRON	ce
était	AUX	être
cette	DET	ce
sensibilité	NOUN	sensibilité
qui	PRON	qui
lui	PRON	lui
coûtait	VERB	coûter
tant	ADV	tant
de	ADP	de
pleurs	NOUN	pleur
.	PUNCT	.

	SPACE	

La	DET	le
princesse	NOUN	princesse
était	AUX	être
âgée	ADJ	âgé
de	ADP	de
vingt-quatre	NUM	vingt-quatre
ans	NOUN	an
;	PUNCT	;
le	DET	le
mage	NOUN	mage
Mambrès	PROPN	Mambrès
en	PRON	en
avait	VERB	avoir
environ	ADV	environ
treize	NUM	treize
cents	NOUN	cent
.	PUNCT	.

	SPACE	

C'	PRON	ce
était	AUX	être
lui	PRON	lui
,	PUNCT	,
comme	SCONJ	comme
on	PRON	on
sait	VERB	savoir
,	PUNCT	,
qui	PRON	qui
avait	AUX	avoir
eu	VERB	avoir
avec	ADP	avec
le	DET	le
grand	ADJ	grand
Moïse	PROPN	Moïse
cette	DET	ce
dispute	NOUN	dispute
fameuse	ADJ	fameux
dans	ADP	dans
laquelle	PRON	lequel
la	DET	le
victoire	NOUN	victoire
fut	AUX	être
longtemps	ADV	longtemps
balancée	VERB	balancer
entre	ADP	entre
ces	DET	ce
deux	NUM	deux
profonds	ADJ	profond
philosophes	NOUN	philosophe
.	PUNCT	.
Si	SCONJ	si
Mambrès	PROPN	Mambrès
succomba	VERB	succomber
,	PUNCT	,
ce	PRON	ce
ne	ADV	ne
fut	AUX	être
que	ADV	que
par	ADP	par
la	DET	le
protection	NOUN	protection
visible	ADJ	visible
des	ADP	de
puissances	NOUN	puissance
célestes	ADJ	céleste
,	PUNCT	,
qui	PRON	qui
favorisèrent	VERB	favoriser
son	DET	son
rival	NOUN	rival
:	PUNCT	:
il	PRON	il
fallut	VERB	falloir
des	DET	un
dieux	NOUN	dieu
pour	ADP	pour
vaincre	VERB	vaincre
Mambrès	PROPN	Mambrès
.	PUNCT	.
L'	DET	le
âge	NOUN	âge
affaiblit	VERB	affaiblir
cette	DET	ce
tête	NOUN	tête
si	ADV	si
supérieure	ADJ	supérieur
aux	ADP	à
autres	ADJ	autre
têtes	NOUN	tête
,	PUNCT	,
et	CCONJ	et
cette	DET	ce
puissance	NOUN	puissance
qui	PRON	qui
avait	AUX	avoir
résidé	VERB	résider
à	ADP	à
la	DET	le
puissance	NOUN	puissance
universelle	ADJ	universel
;	PUNCT	;
mais	CCONJ	mais
il	PRON	il
lui	PRON	lui
resta	VERB	rester
toujours	ADV	toujours
un	DET	un
grand	ADJ	grand
fonds	NOUN	fonds
de	ADP	de
raison	NOUN	raison
:	PUNCT	:
il	PRON	il
ressemblait	VERB	ressembler
à	ADP	à
ces	DET	ce
bâtiments	NOUN	bâtiment
immenses	ADJ	immense
de	ADP	de
l'	DET	le
antique	ADJ	antique
Égypte	PROPN	Égypte
,	PUNCT	,
dont	PRON	dont
les	DET	le
ruines	NOUN	ruine
attestent	VERB	attester
la	DET	le
grandeur	NOUN	grandeur
.	PUNCT	.
Mambrès	PROPN	Mambrès
était	AUX	être
encore	ADV	encore
fort	ADV	fort
bon	ADJ	bon
pour	ADP	pour
le	DET	le
conseil	NOUN	conseil
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
quoiqu'	SCONJ	quoique
un	DET	un
peu	ADV	peu
vieux	ADJ	vieux
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
l'	DET	le
âme	NOUN	âme
très	ADJ	trè
-	ADJ	-
complaisante	ADJ	complaisant
.	PUNCT	.

	SPACE	

Amasis	PROPN	Amasis
le	PRON	le
fit	VERB	faire
surintendant	NOUN	surintendant
de	ADP	de
la	DET	le
maison	NOUN	maison
de	ADP	de
sa	DET	son
fille	NOUN	fille
,	PUNCT	,
et	CCONJ	et
il	PRON	il
s'	PRON	se
acquittait	VERB	acquitter
de	ADP	de
cette	DET	ce
charge	NOUN	charge
avec	ADP	avec
sa	DET	son
sagesse	NOUN	sagesse
ordinaire	ADJ	ordinaire
:	PUNCT	:
la	DET	le
belle	ADJ	bel
Amaside	PROPN	Amaside
l'	PRON	l'
attendrissait	VERB	attendrir
par	ADP	par
ses	DET	son
soupirs	NOUN	soupir
.	PUNCT	.
«	PUNCT	«
Ô	PUNCT	ô
mon	DET	mon
amant	NOUN	amant
mon	DET	mon
jeune	ADJ	jeune
et	CCONJ	et
cher	ADJ	cher
amant	NOUN	amant
s'	PRON	se
écriait	VERB	écrier
-elle	PRON	lui
quelquefois	ADV	quelquefois
;	PUNCT	;
ô	NOUN	ö
le	DET	le
plus	ADV	plus
grand	ADJ	grand
des	ADP	de
vainqueurs	NOUN	vainqueur
,	PUNCT	,
le	DET	le
plus	ADV	plus
accompli	ADJ	accompli
,	PUNCT	,
le	DET	le
plus	ADV	plus
beau	ADJ	beau
des	ADP	de
hommes	NOUN	homme
quoi	PRON	quoi
depuis	ADP	depuis
près	ADV	près
de	ADP	de
sept	NUM	sept
ans	NOUN	an
tu	PRON	tu
as	AUX	avoir
disparu	VERB	disparaître
de	ADP	de
la	DET	le
terre	NOUN	terre
Quel	DET	quel
dieu	NOUN	dieu
t'	PRON	te
a	AUX	avoir
enlevé	VERB	enlever
à	ADP	à
ta	DET	ton
tendre	ADJ	tendre
Amaside	PROPN	Amaside
?	PUNCT	?
L'	DET	le
univers	NOUN	univers
aurait	AUX	avoir
célébré	VERB	célébrer
et	CCONJ	et
pleuré	VERB	pleurer
ton	DET	ton
trépas	NOUN	trépas
.	PUNCT	.
Tu	PRON	tu
n'	ADV	n'
es	AUX	être
point	ADV	point
mort	ADJ	mort
,	PUNCT	,
les	DET	le
savants	ADJ	savant
prophètes	NOUN	prophète
de	ADP	de
l'	DET	le
Égypte	PROPN	Égypte
en	PRON	en
conviennent	VERB	convenir
;	PUNCT	;
mais	CCONJ	mais
tu	PRON	tu
es	AUX	être
mort	VERB	mourir
pour	ADP	pour
moi	PRON	moi
,	PUNCT	,
je	PRON	je
suis	AUX	être
seule	ADJ	seul
