 
	SPACE	 

MÉLISSANDRE	NOUN	mélissandre
DE	ADP	de
NOVES	NOUN	nove
À	ADP	à
TIBURCE	PROPN	TIBURCE
GARDANNE	PROPN	GARDANNE

	SPACE	

Maison	NOUN	maison
de	ADP	de
Pétrarque	PROPN	Pétrarque
,	PUNCT	,
île	NOUN	île
de	ADP	de
Sorgues	PROPN	Sorgues
,	PUNCT	,
à	ADP	à
Vaucluse	PROPN	Vaucluse

	SPACE	

Château	NOUN	château
de	ADP	de
Saint-Estève	PROPN	Saint-Estève
,	PUNCT	,
octobre	NOUN	octobre
2	NUM	2
.	PUNCT	.

	SPACE	

Prenez	VERB	prendre
garde	NOUN	garde
,	PUNCT	,
mon	DET	mon
illustre	ADJ	illustre
ami	NOUN	ami
,	PUNCT	,
vous	PRON	vous
me	PRON	me
faites	VERB	faire
la	DET	le
cour	NOUN	cour
!	PUNCT	!
Seule	ADJ	seul
ici	ADV	ici
jusqu'	ADP	jusque
à	ADP	à
demain	ADV	demain
,	PUNCT	,
je	PRON	je
vous	PRON	vous
défends	VERB	défendre
toute	DET	tout
visite	NOUN	visite
.	PUNCT	.
Cependant	ADV	cependant
je	PRON	je
me	PRON	me
laisse	VERB	laisse
attendrir	VERB	attendrir
sur	ADP	sur
un	DET	un
point	NOUN	point
qui	PRON	qui
touche	VERB	touche
ma	DET	mon
vanité	NOUN	vanité
.	PUNCT	.
Je	PRON	je
consens	VERB	consentir
,	PUNCT	,
puisque	SCONJ	puisque
,	PUNCT	,
selon	ADP	selon
vous	PRON	vous
,	PUNCT	,
je	PRON	je
sais	VERB	savoir
décrire	VERB	décrire
mieux	ADV	mieux
que	SCONJ	que
vous	PRON	vous
ne	ADV	ne
savez	VERB	savoir
peindre	VERB	peindre
,	PUNCT	,
à	ADP	à
tracer	VERB	tracer
une	DET	un
esquisse	NOUN	esquisse
du	ADP	de
gai	ADJ	gai
manoir	NOUN	manoir
paternel	ADJ	paternel
.	PUNCT	.
J'	PRON	je
y	PRON	y
mets	VERB	mettre
une	DET	un
condition	NOUN	condition
:	PUNCT	:
vous	PRON	vous
m'	PRON	me
enverrez	VERB	envoyer
,	PUNCT	,
en	ADP	en
retour	NOUN	retour
,	PUNCT	,
deux	NUM	deux
sonnets	NOUN	sonnet
de	ADP	de
Pétrarque	PROPN	Pétrarque
illustrés	VERB	illustrer
.	PUNCT	.

	SPACE	

Payez	VERB	payer
votre	DET	votre
compliment	NOUN	compliment
ce	PRON	ce
qu'	PRON	qu'
il	PRON	il
vaut	VERB	valoir
,	PUNCT	,
signé	VERB	signer
par	ADP	par
vous	PRON	vous
.	PUNCT	.

	SPACE	

Voici	VERB	voici
mon	DET	mon
paysage	NOUN	paysage
:	PUNCT	:

	SPACE	

«	PUNCT	«
Entre	ADP	entre
les	DET	le
rives	NOUN	rive
changeantes	ADJ	changeant
,	PUNCT	,
sablonneuses	ADJ	sablonneux
,	PUNCT	,
dévastées	ADJ	dévasté
,	PUNCT	,
de	ADP	de
la	DET	le
Durance	PROPN	Durance
et	CCONJ	et
les	DET	le
versants	NOUN	versant
nus	ADJ	nu
des	ADP	de
Alpines	PROPN	Alpines
,	PUNCT	,
s'	PRON	se
étend	VERB	étendre
l'	DET	le
une	PRON	un
des	ADP	de
plaines	NOUN	plaine
les	DET	le
plus	ADV	plus
riches	ADJ	riche
de	ADP	de
notre	DET	notre
Provence	PROPN	Provence
.	PUNCT	.

	SPACE	

«	PUNCT	«
Oasis	NOUN	oasis
dans	ADP	dans
laquelle	PRON	lequel
se	PRON	se
cache	VERB	cache
le	DET	le
châtelet	NOUN	châtelet
de	ADP	de
Saint-Estève	PROPN	Saint-Estève
.	PUNCT	.

	SPACE	

«	PUNCT	«
Au	ADP	au
milieu	NOUN	milieu
des	ADP	de
vastes	ADJ	vaste
prairies	NOUN	prairie
,	PUNCT	,
un	DET	un
canal	NOUN	canal
répand	VERB	répandre
le	DET	le
limon	NOUN	limon
jaune	ADJ	jaune
et	CCONJ	et
fertile	ADJ	fertile
du	ADP	de
fleuve	NOUN	fleuve
.	PUNCT	.

	SPACE	

«	PUNCT	«
L'	DET	le
eau	NOUN	eau
chante	VERB	cher
plus	ADV	plus
clair	ADJ	clair
,	PUNCT	,
coule	VERB	coule
plus	ADV	plus
vite	ADV	vite
,	PUNCT	,
devient	VERB	devenir
plus	ADV	plus
légère	ADJ	léger
lorsqu'	SCONJ	lorsque
elle	PRON	lui
pénètre	VERB	pénétrer
dans	ADP	dans
nos	DET	notre
vergers	NOUN	verger
,	PUNCT	,
tandis	ADV	tandis
que	SCONJ	que
les	DET	le
oiseaux	NOUN	oiseau
gazouillent	VERB	gazouiller
plus	ADV	plus
lourdement	ADV	lourdement
dans	ADP	dans
les	DET	le
arbres	NOUN	arbre
aux	ADP	à
fruits	NOUN	fruit
nombreux	ADJ	nombreux
.	PUNCT	.

	SPACE	

«	PUNCT	«
Des	DET	un
platanes	NOUN	platane
centenaires	ADJ	centenaire
entourent	VERB	entourer
le	DET	le
château	NOUN	château
et	CCONJ	et
retiennent	VERB	retenir
la	DET	le
fraîcheur	NOUN	fraîcheur
qui	PRON	qui
monte	VERB	monte
des	ADP	de
jardins	NOUN	jardin
arrosés	VERB	arroser
.	PUNCT	.
»	PUNCT	»

	SPACE	

TIBURCE	PROPN	TIBURCE
GARDANNE	NOUN	gardanne
À	ADP	à
MADAME	NOUN	monsieur
DE	ADP	de
NOVES	NOUN	nove

	SPACE	

Maison	NOUN	maison
de	ADP	de
Pétrarque	PROPN	Pétrarque
.	PUNCT	.

	SPACE	

Je	PRON	je
ne	ADV	ne
suis	AUX	être
point	ADV	point
changeant	ADJ	changeant
comme	ADP	comme
la	DET	le
Durance	PROPN	Durance
,	PUNCT	,
pourtant	ADV	pourtant
mon	DET	mon
cœur	NOUN	cœur
est	AUX	être
dévasté	VERB	dévaster
!	PUNCT	!
Pas	ADV	pas
un	DET	un
rameau	NOUN	rameau
ne	ADV	ne
me	PRON	me
prête	VERB	prête
son	DET	son
ombre	NOUN	ombre
;	PUNCT	;
ce	PRON	ce
qui	PRON	qui
chante	VERB	cher
en	ADP	en
moi	PRON	moi
ne	ADV	ne
trouve	VERB	trouve
point	PRON	point
de	ADP	de
fruits	NOUN	fruit
qui	PRON	qui
le	PRON	le
nourrissent	VERB	nourrir
.	PUNCT	.
Dans	ADP	dans
ma	DET	mon
course	NOUN	course
à	ADP	à
travers	NOUN	travers
une	DET	un
existence	NOUN	existence
aride	ADJ	aride
,	PUNCT	,
je	PRON	je
ne	ADV	ne
rencontrerai	VERB	rencontrer
jamais	ADV	jamais
une	DET	un
oasis	NOUN	oasis
...	PUNCT	...

	SPACE	

Vous	PRON	vous
avez	AUX	avoir
ordonné	VERB	ordonner
,	PUNCT	,
madame	NOUN	monsieur
,	PUNCT	,
à	ADP	à
votre	DET	votre
serviteur	NOUN	serviteur
,	PUNCT	,
d'	ADP	de
illustrer	VERB	illustrer
pour	ADP	pour
vous	PRON	vous
des	DET	un
sonnets	NOUN	sonnet
de	ADP	de
Pétrarque	PROPN	Pétrarque
et	CCONJ	et
de	ADP	de
vous	PRON	vous
les	PRON	le
envoyer	VERB	envoyer
.	PUNCT	.
Ils	PRON	il
sont	VERB	être
là	ADV	là
.	PUNCT	.
Ai	AUX	avoir
-je	PRON	je
réussi	VERB	réussir
à	ADP	à
traduire	VERB	traduire
les	DET	le
révoltes	NOUN	révolte
douloureuses	ADJ	douloureux
,	PUNCT	,
les	DET	le
langueurs	NOUN	langueur
molles	ADJ	mou
,	PUNCT	,
la	DET	le
désespérance	NOUN	désespérance
attendrie	VERB	attendrir
de	ADP	de
mon	DET	mon
Maître	NOUN	maître
en	ADP	en
la	DET	le
souffrance	NOUN	souffrance
d'	ADP	de
aimer	VERB	aimer
?	PUNCT	?

	SPACE	

J'	PRON	je
ai	AUX	avoir
dessiné	VERB	dessiner
avec	ADP	avec
émotion	NOUN	émotion
les	DET	le
traits	NOUN	trait
de	ADP	de
Laure	PROPN	Laure
;	PUNCT	;
me	PRON	me
pardonnerez	VERB	pardonner
-vous	PRON	vous
leur	DET	leur
ressemblance	NOUN	ressemblance
?	PUNCT	?

	SPACE	

Voici	VERB	voici
les	DET	le
deux	NUM	deux
strophes	NOUN	strophe
des	ADP	de
sonnets	NOUN	sonnet
que	PRON	que
j'	PRON	je
ai	AUX	avoir
choisis	VERB	choisir
:	PUNCT	:

	SPACE	

«	PUNCT	«
Quelle	DET	quel
nymphe	NOUN	nymphe
à	ADP	à
la	DET	le
fontaine	NOUN	fontaine
,	PUNCT	,
quelle	DET	quel
déesse	NOUN	déesse
au	ADP	au
bois	NOUN	bois
déroule	VERB	déroule
une	DET	un
tresse	NOUN	tresse
d'	ADP	de
or	NOUN	or
si	ADV	si
fin	ADJ	fin
,	PUNCT	,
et	CCONJ	et
quelle	DET	quel
mortelle	ADJ	mortel
possède	VERB	posséder
les	DET	le
vertus	NOUN	vertu
assemblées	VERB	assembler
dans	ADP	dans
son	DET	son
âme	NOUN	âme
?	PUNCT	?
»	PUNCT	»

	SPACE	

Et	CCONJ	et
puis	CCONJ	puis
:	PUNCT	:

	SPACE	

«	PUNCT	«
Ne	ADV	ne
sait	VERB	savoir
point	ADV	point
comme	SCONJ	comme
amour	NOUN	amour
guérit	VERB	guérir
et	CCONJ	et
tue	VERB	taire
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
sait	VERB	savoir
comme	ADP	comme
doucement	ADV	doucement
Laure	PROPN	Laure
soupire	VERB	soupire
,	PUNCT	,
comme	SCONJ	comme
doucement	ADV	doucement
elle	PRON	lui
parle	VERB	parle
et	CCONJ	et
doucement	ADV	doucement
elle	PRON	lui
rit	VERB	rire
.	PUNCT	.
»	PUNCT	»

	SPACE	

MÉLISSANDRE	PROPN	MÉLISSANDRE
À	ADP	à
