 
	SPACE	 

Vers	ADP	vers
trois	NUM	trois
heures	NOUN	heure
de	ADP	de
l'	DET	le
après-midi	NOUN	après-midi
,	PUNCT	,
dans	ADP	dans
le	DET	le
mois	NOUN	mois
d'	ADP	de
octobre	NOUN	octobre
de	ADP	de
l'	DET	le
année	NOUN	année
1844	NUM	1844
,	PUNCT	,
un	DET	un
homme	NOUN	homme
âgé	ADJ	âgé
d'	ADP	de
une	DET	un
soixantaine	NOUN	soixantaine
d'	ADP	de
années	NOUN	année
,	PUNCT	,
mais	CCONJ	mais
à	ADP	à
qui	PRON	qui
tout	ADJ	tout
le	DET	le
monde	NOUN	monde
eût	AUX	avoir
donné	VERB	donner
plus	ADV	plus
que	SCONJ	que
cet	DET	ce
âge	NOUN	âge
,	PUNCT	,
allait	VERB	aller
le	DET	le
long	ADV	long
du	ADP	de
boulevard	NOUN	boulevard
des	ADP	de
Italiens	NOUN	italien
,	PUNCT	,
le	DET	le
nez	NOUN	nez
à	ADP	à
la	DET	le
piste	NOUN	piste
,	PUNCT	,
les	DET	le
lèvres	NOUN	lèvre
papelardes	ADJ	papelarde
,	PUNCT	,
comme	ADP	comme
un	DET	un
négociant	NOUN	négociant
qui	PRON	qui
vient	VERB	venir
de	ADP	de
conclure	VERB	conclure
une	DET	un
excellente	ADJ	excellent
affaire	NOUN	affaire
,	PUNCT	,
ou	CCONJ	ou
comme	ADP	comme
un	DET	un
garçon	NOUN	garçon
content	ADJ	content
de	ADP	de
lui-même	PRON	lui-même
au	ADP	au
sortir	NOUN	sortir
d'	ADP	de
un	DET	un
boudoir	NOUN	boudoir
.	PUNCT	.
C'	PRON	ce
est	AUX	être
à	ADP	à
Paris	PROPN	Paris
la	DET	le
plus	ADV	plus
grande	ADJ	grand
expression	NOUN	expression
connue	VERB	connaître
de	ADP	de
la	DET	le
satisfaction	NOUN	satisfaction
personnelle	ADJ	personnel
chez	ADP	chez
l'	DET	le
homme	NOUN	homme
.	PUNCT	.
En	ADP	en
apercevant	VERB	apercevoir
de	ADP	de
loin	ADV	loin
ce	DET	ce
vieillard	NOUN	vieillard
,	PUNCT	,
les	DET	le
personnes	NOUN	personne
qui	PRON	qui
sont	VERB	être
là	ADV	là
tous	ADJ	tout
les	DET	le
jours	NOUN	jour
assises	VERB	asseoir
sur	ADP	sur
des	DET	un
chaises	NOUN	chaise
,	PUNCT	,
livrées	VERB	livrer
au	ADP	au
plaisir	NOUN	plaisir
d'	ADP	de
analyser	VERB	analyser
les	DET	le
passants	NOUN	passant
,	PUNCT	,
laissaient	VERB	laisser
toutes	ADJ	tout
poindre	VERB	poindre
dans	ADP	dans
leurs	DET	leur
physionomies	NOUN	physionomie
ce	DET	ce
sourire	NOUN	sourire
particulier	ADJ	particulier
aux	ADP	à
gens	NOUN	gens
de	ADP	de
Paris	PROPN	Paris
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
dit	VERB	dire
tant	ADV	tant
de	ADP	de
choses	NOUN	chose
ironiques	ADJ	ironique
,	PUNCT	,
moqueuses	ADJ	moqueur
ou	CCONJ	ou
compatissantes	ADJ	compatissant
,	PUNCT	,
mais	CCONJ	mais
qui	PRON	qui
,	PUNCT	,
pour	ADP	pour
animer	VERB	animer
le	DET	le
visage	NOUN	visage
du	ADP	de
Parisien	PROPN	Parisien
,	PUNCT	,
blasé	VERB	blaser
sur	ADP	sur
tous	ADJ	tout
les	DET	le
spectacles	NOUN	spectacle
possibles	ADJ	possible
,	PUNCT	,
exigent	VERB	exiger
de	DET	de
hautes	ADJ	haut
curiosités	NOUN	curiosité
vivantes	ADJ	vivant
.	PUNCT	.
Un	DET	un
mot	NOUN	mot
fera	AUX	faire
comprendre	VERB	comprendre
et	CCONJ	et
la	DET	le
valeur	NOUN	valeur
archéologique	ADJ	archéologique
de	ADP	de
ce	DET	ce
bonhomme	NOUN	bonhomme
et	CCONJ	et
la	DET	le
raison	NOUN	raison
du	ADP	de
sourire	NOUN	sourire
qui	PRON	qui
se	PRON	se
répétait	VERB	répéter
comme	ADP	comme
un	DET	un
écho	NOUN	écho
dans	ADP	dans
tous	ADJ	tout
les	DET	le
yeux	NOUN	oeil
.	PUNCT	.
On	PRON	on
demandait	VERB	demander
à	ADP	à
Hyacinthe	PROPN	Hyacinthe
,	PUNCT	,
un	DET	un
acteur	NOUN	acteur
célèbre	ADJ	célèbre
par	ADP	par
ses	DET	son
saillies	NOUN	saillie
,	PUNCT	,
où	PRON	où
il	PRON	il
faisait	VERB	faire
faire	VERB	faire
les	DET	le
chapeaux	NOUN	chapeau
à	ADP	à
la	DET	le
vue	NOUN	vue
desquels	PRON	desquels
la	DET	le
salle	NOUN	salle
pouffe	VERB	pouffe
de	ADP	de
rire	NOUN	rire
:	PUNCT	:
«	PUNCT	«
—	PUNCT	—
Je	PRON	je
ne	ADV	ne
les	PRON	le
fais	VERB	faire
point	ADV	point
faire	VERB	faire
,	PUNCT	,
je	PRON	je
les	PRON	le
garde	VERB	garde
?	PUNCT	?
»	PUNCT	»
répondit	VERB	répondre
-il	PRON	il
.	PUNCT	.
Eh	INTJ	Eh
bien	ADV	bien
!	PUNCT	!
il	PRON	il
se	PRON	se
rencontre	VERB	rencontre
dans	ADP	dans
le	DET	le
million	NOUN	million
d'	ADP	de
acteurs	NOUN	acteur
qui	PRON	qui
composent	VERB	composer
la	DET	le
grande	ADJ	grand
troupe	NOUN	troupe
de	ADP	de
Paris	PROPN	Paris
,	PUNCT	,
des	DET	un
Hyacinthes	NOUN	hyacinthe
sans	ADP	sans
le	PRON	le
savoir	VERB	savoir
qui	PRON	qui
gardent	VERB	garder
sur	ADP	sur
eux	PRON	lui
tous	ADJ	tout
les	DET	le
ridicules	NOUN	ridicule
d'	ADP	de
un	DET	un
temps	NOUN	temps
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
vous	PRON	vous
apparaissent	VERB	apparaître
comme	ADP	comme
la	DET	le
personnification	NOUN	personnification
de	ADP	de
toute	ADJ	tout
une	DET	un
époque	NOUN	époque
pour	ADP	pour
vous	PRON	vous
arracher	VERB	arracher
une	DET	un
bouffée	NOUN	bouffée
de	ADP	de
gaieté	NOUN	gaieté
quand	SCONJ	quand
vous	PRON	vous
vous	PRON	vous
promenez	VERB	promener
en	ADP	en
dévorant	VERB	dévorer
quelque	DET	quelque
chagrin	NOUN	chagrin
amer	ADJ	amer
causé	VERB	causer
par	ADP	par
la	DET	le
trahison	NOUN	trahison
d'	ADP	de
un	DET	un
ex-ami	NOUN	ex-ami
.	PUNCT	.

	SPACE	

En	ADP	en
conservant	VERB	conserver
dans	ADP	dans
quelques	DET	quelque
détails	NOUN	détail
de	ADP	de
sa	DET	son
mise	NOUN	mise
une	DET	un
fidélité	NOUN	fidélité
quand	ADV	quand
même	ADV	même
aux	ADP	à
modes	NOUN	mode
de	ADP	de
l'	DET	le
an	NOUN	an
1806	NUM	1806
,	PUNCT	,
ce	DET	ce
passant	NOUN	passant
rappelait	VERB	rappeler
l'	DET	le
Empire	PROPN	Empire
sans	ADP	sans
être	AUX	être
par	ADP	par
trop	ADV	trop
caricature	NOUN	caricature
.	PUNCT	.
Pour	ADP	pour
les	DET	le
observateurs	NOUN	observateur
,	PUNCT	,
cette	DET	ce
finesse	NOUN	finesse
rend	VERB	rendre
ces	DET	ce
sortes	NOUN	sorte
d'	ADP	de
évocations	NOUN	évocation
extrêmement	ADV	extrêmement
précieuses	ADJ	précieux
.	PUNCT	.
Mais	CCONJ	mais
cet	DET	ce
ensemble	NOUN	ensemble
de	ADP	de
petites	ADJ	petit
choses	NOUN	chose
voulait	VERB	vouloir
l'	DET	le
attention	NOUN	attention
analytique	ADJ	analytique
dont	PRON	dont
sont	AUX	être
doués	VERB	douer
les	DET	le
connaisseurs	NOUN	connaisseur
en	ADP	en
flânerie	NOUN	flânerie
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
pour	ADP	pour
exciter	VERB	exciter
le	DET	le
rire	NOUN	rire
à	ADP	à
distance	NOUN	distance
,	PUNCT	,
le	DET	le
passant	NOUN	passant
devait	VERB	devoir
offrir	VERB	offrir
une	PRON	un
de	ADP	de
ces	DET	ce
énormités	NOUN	énormité
à	ADP	à
crever	VERB	crever
les	DET	le
yeux	NOUN	oeil
,	PUNCT	,
comme	SCONJ	comme
on	PRON	on
dit	VERB	dire
,	PUNCT	,
et	CCONJ	et
que	PRON	que
les	DET	le
acteurs	NOUN	acteur
recherchent	VERB	rechercher
pour	ADP	pour
assurer	VERB	assurer
le	DET	le
succès	NOUN	succès
de	ADP	de
leurs	DET	leur
entrées	NOUN	entrée
.	PUNCT	.
Ce	DET	ce
vieillard	NOUN	vieillard
,	PUNCT	,
sec	ADJ	sec
et	CCONJ	et
maigre	ADJ	maigre
,	PUNCT	,
portait	VERB	porter
un	DET	un
spencer	NOUN	spencer
couleur	NOUN	couleur
noisette	ADJ	noisette
sur	ADP	sur
un	DET	un
habit	NOUN	habit
verdâtre	ADJ	verdâtre
à	ADP	à
boutons	NOUN	bouton
de	ADP	de
métal	NOUN	métal
blanc	ADJ	blanc
!	PUNCT	!
...	PUNCT	...
Un	DET	un
homme	NOUN	homme
en	ADP	en
spencer	NOUN	spencer
,	PUNCT	,
en	ADP	en
1844	NUM	1844
,	PUNCT	,
c'	PRON	ce
est	VERB	être
,	PUNCT	,
voyez	VERB	voir
-vous	PRON	vous
,	PUNCT	,
comme	ADP	comme
si	SCONJ	si
Napoléon	PROPN	Napoléon
eût	AUX	avoir
daigné	VERB	daigner
ressusciter	VERB	ressusciter
pour	ADP	pour
deux	NUM	deux
heures	NOUN	heure
.	PUNCT	.

	SPACE	

Le	DET	le
spencer	NOUN	spencer
fut	AUX	être
inventé	VERB	inventer
,	PUNCT	,
comme	SCONJ	comme
son	DET	son
nom	NOUN	nom
l'	PRON	l'
indique	VERB	indique
,	PUNCT	,
par	ADP	par
un	DET	un
lord	NOUN	lord
