 
	SPACE	 

Chapitre	NOUN	chapitre
I	ADJ	i

	SPACE	

Vous	PRON	vous
est	AUX	être
-il	PRON	il
arrivé	VERB	arriver
,	PUNCT	,
le	DET	le
soir	NOUN	soir
,	PUNCT	,
vers	ADP	vers
minuit	NOUN	minuit
,	PUNCT	,
de	ADP	de
manquer	VERB	manquer
le	DET	le
dernier	ADJ	dernier
omnibus	NOUN	omnibus
de	ADP	de
la	DET	le
ligne	NOUN	ligne
qui	PRON	qui
conduit	VERB	conduire
à	ADP	à
votre	DET	votre
domicile	NOUN	domicile
?	PUNCT	?
Si	SCONJ	si
vous	PRON	vous
n'	ADV	n'
êtes	AUX	être
pas	ADV	pas
obligé	ADJ	obliger
de	ADP	de
régler	VERB	régler
strictement	ADV	strictement
vos	DET	votre
dépenses	NOUN	dépense
sur	ADP	sur
votre	DET	votre
budget	NOUN	budget
de	ADP	de
recettes	NOUN	recette
,	PUNCT	,
vous	PRON	vous
en	PRON	en
avez	AUX	avoir
été	AUX	être
quitte	ADJ	quitte
pour	ADP	pour
prendre	VERB	prendre
un	DET	un
fiacre	NOUN	fiacre
.	PUNCT	.
Mais	CCONJ	mais
si	SCONJ	si
,	PUNCT	,
au	ADP	au
contraire	NOUN	contraire
,	PUNCT	,
votre	DET	votre
modeste	ADJ	modeste
fortune	NOUN	fortune
vous	PRON	vous
interdit	VERB	interdire
ce	DET	ce
léger	ADJ	léger
extra	NOUN	extra
,	PUNCT	,
il	PRON	il
vous	PRON	vous
a	AUX	avoir
fallu	VERB	falloir
revenir	VERB	revenir
à	ADP	à
pied	NOUN	pied
,	PUNCT	,
traverser	VERB	traverser
Paris	PROPN	Paris
en	ADP	en
pataugeant	VERB	patauger
dans	ADP	dans
la	DET	le
boue	NOUN	boue
,	PUNCT	,
quelquefois	ADV	quelquefois
sous	ADP	sous
une	DET	un
pluie	NOUN	pluie
battante	ADJ	battant
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
avez	VERB	avoir
cent	NUM	cent
fois	NOUN	fois
en	ADP	en
route	NOUN	route
maugréé	VERB	maugréer
contre	ADP	contre
la	DET	le
Compagnie	NOUN	compagnie
qui	PRON	qui
n'	ADV	n'
en	PRON	en
peut	VERB	pouvoir
mais	CCONJ	mais
,	PUNCT	,
car	CCONJ	car
il	PRON	il
faut	VERB	falloir
bien	ADV	bien
qu'	SCONJ	que
après	ADP	après
seize	NUM	seize
heures	NOUN	heure
de	ADP	de
travail	NOUN	travail
,	PUNCT	,
elle	PRON	lui
accorde	VERB	accorde
un	DET	un
peu	NOUN	peu
de	ADP	de
repos	NOUN	repos
à	ADP	à
ses	DET	son
chevaux	NOUN	cheval
et	CCONJ	et
à	ADP	à
ses	DET	son
employés	NOUN	employé
.	PUNCT	.

	SPACE	

Il	PRON	il
y	PRON	y
a	VERB	avoir
plusieurs	DET	plusieurs
façons	NOUN	façon
de	ADP	de
la	PRON	le
manquer	VERB	manquer
,	PUNCT	,
cette	DET	ce
bienheureuse	ADJ	bienheureux
voiture	NOUN	voiture
,	PUNCT	,
la	DET	le
suprême	ADJ	suprême
espérance	NOUN	espérance
des	ADP	de
attardés	NOUN	attardé
.	PUNCT	.

	SPACE	

Quand	SCONJ	quand
on	PRON	on
l'	PRON	l'
attend	VERB	attendre
au	ADP	au
passage	NOUN	passage
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
après	ADP	après
avoir	AUX	avoir
adressé	VERB	adresser
au	ADP	au
cocher	NOUN	cocher
des	DET	un
signes	NOUN	signe
inutiles	ADJ	inutile
,	PUNCT	,
on	PRON	on
voit	VERB	voir
apparaître	VERB	apparaître
en	ADP	en
lettres	NOUN	lettre
blanches	ADJ	blanc
se	PRON	se
détachant	VERB	détacher
sur	ADP	sur
un	DET	un
fond	NOUN	fond
bleu	ADJ	bleu
le	DET	le
mot	NOUN	mot
redouté	VERB	redouter
,	PUNCT	,
le	DET	le
désolant	VERB	désoler
:	PUNCT	:
Complet	ADJ	complet
,	PUNCT	,
on	PRON	on
enrage	VERB	enrager
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
après	ADP	après
tout	ADV	tout
,	PUNCT	,
on	PRON	on
s'	PRON	se
y	PRON	y
attendait	VERB	attendre
un	DET	un
peu	ADV	peu
;	PUNCT	;
on	PRON	on
fait	VERB	faire
contre	ADP	contre
fortune	NOUN	fortune
bon	ADJ	bon
cœur	NOUN	cœur
,	PUNCT	,
et	CCONJ	et
l'	PRON	l'
on	PRON	on
continue	VERB	continue
à	ADP	à
cheminer	VERB	cheminer
.	PUNCT	.
On	PRON	on
se	PRON	se
flatte	VERB	flatte
vaguement	ADV	vaguement
qu'	SCONJ	que
il	PRON	il
en	PRON	en
passera	VERB	passer
encore	ADV	encore
une	DET	un
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
soutenu	VERB	soutenir
par	ADP	par
cette	DET	ce
illusion	NOUN	illusion
,	PUNCT	,
on	PRON	on
finit	VERB	finir
par	ADP	par
arriver	VERB	arriver
pédestrement	ADV	pédestrement
au	ADP	au
logis	NOUN	logis
sans	ADP	sans
trop	ADV	trop
s'	PRON	se
apercevoir	VERB	apercevoir
de	ADP	de
la	DET	le
fatigue	NOUN	fatigue
.	PUNCT	.

	SPACE	

Le	DET	le
pis	NOUN	pis
,	PUNCT	,
c'	PRON	ce
est	VERB	être
de	ADP	de
se	PRON	se
présenter	VERB	présenter
à	ADP	à
la	DET	le
station	NOUN	station
,	PUNCT	,
tête	NOUN	tête
de	ADP	de
ligne	NOUN	ligne
,	PUNCT	,
juste	ADV	juste
au	ADP	au
moment	NOUN	moment
où	PRON	où
vient	VERB	venir
de	ADP	de
se	PRON	se
remplir	VERB	remplir
l'	DET	le
unique	ADJ	unique
omnibus	NOUN	omnibus
en	ADP	en
partance	NOUN	partance
.	PUNCT	.
Pas	ADV	pas
moyen	ADJ	moyen
de	ADP	de
s'	PRON	se
y	PRON	y
tromper	VERB	tromper
;	PUNCT	;
c'	PRON	ce
est	AUX	être
bien	ADV	bien
le	DET	le
dernier	ADJ	dernier
.	PUNCT	.
Le	DET	le
préposé	NOUN	préposé
qui	PRON	qui
tourne	VERB	tourne
la	DET	le
manivelle	NOUN	manivelle
pour	ADP	pour
fermer	VERB	fermer
la	DET	le
devanture	NOUN	devanture
du	ADP	de
bureau	NOUN	bureau
vous	PRON	vous
a	AUX	avoir
répondu	VERB	répondre
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
y	PRON	y
en	PRON	en
a	VERB	avoir
plus	ADV	plus
d'	DET	d'
autre	PRON	autre
,	PUNCT	,
et	CCONJ	et
les	DET	le
voyageurs	NOUN	voyageur
qui	PRON	qui
vous	PRON	vous
ont	AUX	avoir
devancé	VERB	devancer
vous	PRON	vous
rient	VERB	rire
au	ADP	au
nez	NOUN	nez
quand	SCONJ	quand
vous	PRON	vous
leur	PRON	leur
demandez	VERB	demander
poliment	ADV	poliment
s'	SCONJ	s'
il	PRON	il
ne	ADV	ne
reste	VERB	reste
plus	ADV	plus
une	DET	un
seule	ADJ	seul
petite	ADJ	petit
place	NOUN	place
.	PUNCT	.

	SPACE	

L'	DET	le
arrêt	NOUN	arrêt
est	AUX	être
sans	ADP	sans
appel	NOUN	appel
.	PUNCT	.
Vous	PRON	vous
n'	ADV	n'
avez	VERB	avoir
plus	ADV	plus
d'	DET	d'
autre	ADJ	autre
moyen	NOUN	moyen
de	ADP	de
transport	NOUN	transport
que	SCONJ	que
vos	DET	votre
jambes	NOUN	jambe
,	PUNCT	,
et	CCONJ	et
il	PRON	il
faudra	VERB	falloir
qu'	SCONJ	que
elles	PRON	lui
vous	PRON	vous
portent	VERB	porter
jusqu'	ADP	jusque
à	ADP	à
destination	NOUN	destination
,	PUNCT	,
car	CCONJ	car
vous	PRON	vous
ne	ADV	ne
le	PRON	le
rattraperez	VERB	rattraper
pas	ADV	pas
en	ADP	en
route	NOUN	route
,	PUNCT	,
ce	DET	ce
maudit	ADJ	maudire
véhicule	NOUN	véhicule
sur	ADP	sur
lequel	PRON	lequel
vous	PRON	vous
comptiez	VERB	compter
pour	ADP	pour
éviter	VERB	éviter
une	DET	un
longue	ADJ	long
étape	NOUN	étape
.	PUNCT	.

	SPACE	

C'	PRON	ce
est	AUX	être
ainsi	ADV	ainsi
qu'	SCONJ	que
un	DET	un
soir	NOUN	soir
de	ADP	de
cet	DET	ce
hiver	NOUN	hiver
,	PUNCT	,
à	ADP	à
minuit	NOUN	minuit
moins	ADV	moins
un	DET	un
quart	NOUN	quart
,	PUNCT	,
au	ADP	au
coin	NOUN	coin
du	ADP	de
boulevard	NOUN	boulevard
Saint-Germain	PROPN	Saint-Germain
et	CCONJ	et
de	ADP	de
la	DET	le
rue	NOUN	rue
du	ADP	de
Cardinal	PROPN	Cardinal
-	PROPN	-
Lemoine	PROPN	Lemoine
,	PUNCT	,
à	ADP	à
l'	DET	le
instant	NOUN	instant
précis	ADJ	précis
où	PRON	où
le	DET	le
cocher	NOUN	cocher
de	ADP	de
l'	DET	le
omnibus	NOUN	omnibus
vert	ADJ	vert
qui	PRON	qui
va	VERB	aller
de	ADP	de
la	DET	le
Halle	NOUN	halle
aux	ADP	à
vins	NOUN	vin
à	ADP	à
la	DET	le
place	NOUN	place
Pigalle	PROPN	Pigalle
grimpait	VERB	grimper
sur	ADP	sur
son	DET	son
siège	NOUN	siège
,	PUNCT	,
une	DET	un
femme	NOUN	femme
arriva	VERB	arriver
tout	ADV	tout
essoufflée	VERB	essouffler
,	PUNCT	,
une	DET	un
femme	NOUN	femme
convenablement	ADV	convenablement
vêtue	VERB	vêtir
,	PUNCT	,
et	CCONJ	et
encore	ADV	encore
jeune	ADJ	jeune
,	PUNCT	,
autant	ADV	autant
qu'	SCONJ	que
on	PRON	on
en	PRON	en
pouvait	VERB	pouvoir
juger	VERB	juger
à	ADP	à
sa	DET	son
tournure	NOUN	tournure
