 
	SPACE	 

PREMIÈRE	ADJ	premier
PARTIE	NOUN	partie

	SPACE	

I	ADJ	i
--	PUNCT	--
LA	DET	le
FABRIQUE	NOUN	fabrique

	SPACE	

Je	PRON	je
suis	AUX	être
né	VERB	naître
le	DET	le
13	NUM	13
mai	NOUN	mai
18	NUM	18
...	PUNCT	...
,	PUNCT	,
dans	ADP	dans
une	DET	un
ville	NOUN	ville
du	ADP	de
Languedoc	PROPN	Languedoc
où	PRON	où
l'	PRON	l'
on	PRON	on
trouve	VERB	trouve
,	PUNCT	,
comme	ADP	comme
dans	ADP	dans
toutes	ADJ	tout
les	DET	le
villes	NOUN	ville
du	ADP	de
Midi	PROPN	Midi
,	PUNCT	,
beaucoup	ADV	beaucoup
de	ADP	de
soleil	NOUN	soleil
,	PUNCT	,
pas	ADV	pas
mal	ADV	mal
de	ADP	de
poussière	NOUN	poussière
,	PUNCT	,
un	DET	un
couvent	NOUN	couvent
de	ADP	de
carmélites	NOUN	carmélite
et	CCONJ	et
deux	NUM	deux
ou	CCONJ	ou
trois	NUM	trois
monuments	NOUN	monument
romains	ADJ	romain
.	PUNCT	.

	SPACE	

Mon	DET	mon
père	NOUN	père
,	PUNCT	,
M.	NOUN	m.
Eyssette	PROPN	Eyssette
,	PUNCT	,
qui	PRON	qui
faisait	VERB	faire
à	ADP	à
cette	DET	ce
époque	NOUN	époque
le	DET	le
commerce	NOUN	commerce
des	ADP	de
foulards	NOUN	foulard
,	PUNCT	,
avait	VERB	avoir
,	PUNCT	,
aux	ADP	à
portes	NOUN	porte
de	ADP	de
la	DET	le
ville	NOUN	ville
,	PUNCT	,
une	DET	un
grande	ADJ	grand
fabrique	NOUN	fabrique
dans	ADP	dans
un	DET	un
pan	NOUN	pan
de	ADP	de
laquelle	PRON	lequel
il	PRON	il
s'	PRON	se
était	AUX	être
taillé	VERB	tailler
une	DET	un
habitation	NOUN	habitation
commode	ADJ	commode
,	PUNCT	,
tout	ADV	tout
ombragée	VERB	ombrager
de	ADP	de
platanes	NOUN	platane
,	PUNCT	,
et	CCONJ	et
séparée	VERB	séparer
des	ADP	de
ateliers	NOUN	atelier
par	ADP	par
un	DET	un
vaste	ADJ	vaste
jardin	NOUN	jardin
.	PUNCT	.

	SPACE	

C'	PRON	ce
est	AUX	être
là	ADV	là
que	PRON	que
je	PRON	je
suis	AUX	être
venu	VERB	venir
au	ADP	au
monde	NOUN	monde
et	CCONJ	et
que	SCONJ	que
j'	PRON	je
ai	AUX	avoir
passé	VERB	passer
les	DET	le
premières	ADJ	premier
,	PUNCT	,
les	DET	le
seules	ADJ	seul
bonnes	ADJ	bon
années	NOUN	année
de	ADP	de
ma	DET	mon
vie	NOUN	vie
.	PUNCT	.

	SPACE	

Aussi	ADV	aussi
ma	DET	mon
mémoire	NOUN	mémoire
reconnaissante	ADJ	reconnaissant
a	AUX	avoir
-t	PRON	-t
-elle	PRON	lui
gardé	VERB	garder
du	ADP	de
jardin	NOUN	jardin
,	PUNCT	,
de	ADP	de
la	DET	le
fabrique	NOUN	fabrique
et	CCONJ	et
des	ADP	de
platanes	NOUN	platane
un	DET	un
impérissable	ADJ	impérissable
souvenir	NOUN	souvenir
,	PUNCT	,
et	CCONJ	et
lorsque	SCONJ	lorsque
à	ADP	à
la	DET	le
ruine	NOUN	ruine
de	ADP	de
mes	DET	mon
parents	NOUN	parent
il	PRON	il
m'	PRON	me
a	AUX	avoir
fallu	VERB	falloir
me	PRON	me
séparer	VERB	séparer
de	ADP	de
ces	DET	ce
choses	NOUN	chose
,	PUNCT	,
je	PRON	je
les	PRON	le
ai	AUX	avoir
positivement	ADV	positivement
regrettées	VERB	regretter
comme	ADP	comme
des	DET	un
êtres	NOUN	être
.	PUNCT	.

	SPACE	

Je	PRON	je
dois	VERB	devoir
dire	VERB	dire
,	PUNCT	,
pour	ADP	pour
commencer	VERB	commencer
,	PUNCT	,
que	SCONJ	que
ma	DET	mon
naissance	NOUN	naissance
ne	ADV	ne
porta	VERB	porter
pas	ADV	pas
bonheur	NOUN	bonheur
à	ADP	à
la	DET	le
maison	NOUN	maison
Eyssette	PROPN	Eyssette
.	PUNCT	.
La	DET	le
vieille	ADJ	vieux
Annou	PROPN	Annou
,	PUNCT	,
notre	DET	notre
cuisinière	NOUN	cuisinière
,	PUNCT	,
m'	PRON	me
a	AUX	avoir
souvent	ADV	souvent
conté	VERB	conter
depuis	ADP	depuis
comme	ADP	comme
quoi	PRON	quoi
mon	DET	mon
père	NOUN	père
,	PUNCT	,
en	ADP	en
voyage	NOUN	voyage
à	ADP	à
ce	DET	ce
moment	NOUN	moment
,	PUNCT	,
reçut	VERB	recevoir
en	ADP	en
même	ADJ	même
temps	NOUN	temps
la	DET	le
nouvelle	NOUN	nouvelle
de	ADP	de
mon	DET	mon
apparition	NOUN	apparition
dans	ADP	dans
le	DET	le
monde	NOUN	monde
et	CCONJ	et
celle	PRON	celui
de	ADP	de
la	DET	le
disparition	NOUN	disparition
d'	ADP	de
un	PRON	un
de	ADP	de
ses	DET	son
clients	NOUN	client
de	ADP	de
Marseille	PROPN	Marseille
,	PUNCT	,
qui	PRON	qui
lui	PRON	lui
emportait	VERB	emporter
plus	ADV	plus
de	ADP	de
quarante	DET	quarante
mille	DET	mille
francs	NOUN	franc
;	PUNCT	;
si	ADV	si
bien	ADV	bien
que	SCONJ	que
M.	NOUN	m.
Eyssette	PROPN	Eyssette
,	PUNCT	,
heureux	ADJ	heureux
et	CCONJ	et
désolé	ADJ	désolé
du	ADP	de
même	ADJ	même
coup	NOUN	coup
,	PUNCT	,
se	PRON	se
demandait	VERB	demander
,	PUNCT	,
comme	ADP	comme
l'	DET	le
autre	PRON	autre
,	PUNCT	,
s'	SCONJ	s'
il	PRON	il
devait	VERB	devoir
pleurer	VERB	pleurer
pour	ADP	pour
la	DET	le
disparition	NOUN	disparition
du	ADP	de
client	NOUN	client
de	ADP	de
Marseille	PROPN	Marseille
,	PUNCT	,
ou	CCONJ	ou
rire	VERB	rire
pour	ADP	pour
l'	DET	le
heureuse	ADJ	heureux
arrivée	NOUN	arrivée
du	ADP	de
Petit	ADJ	petit
Daniel	PROPN	Daniel
...	PUNCT	...
Il	PRON	il
fallait	VERB	falloir
pleurer	VERB	pleurer
,	PUNCT	,
mon	DET	mon
bon	ADJ	bon
monsieur	NOUN	Monsieur
Eyssette	PROPN	Eyssette
,	PUNCT	,
il	PRON	il
fallait	VERB	falloir
pleurer	VERB	pleurer
doublement	ADV	doublement
.	PUNCT	.

	SPACE	

C'	PRON	ce
est	AUX	être
une	DET	un
vérité	NOUN	vérité
,	PUNCT	,
je	PRON	je
fus	AUX	être
la	DET	le
mauvaise	ADJ	mauvais
étoile	NOUN	étoile
de	ADP	de
mes	DET	mon
parents	NOUN	parent
.	PUNCT	.
Du	ADP	de
jour	NOUN	jour
de	ADP	de
ma	DET	mon
naissance	NOUN	naissance
,	PUNCT	,
d'	DET	d'
incroyables	ADJ	incroyable
malheurs	NOUN	malheur
les	PRON	le
assaillirent	VERB	assaillir
par	ADP	par
vingt	NUM	vingt
endroits	NOUN	endroit
.	PUNCT	.
D'	ADP	de
abord	NOUN	abord
nous	PRON	nous
eûmes	VERB	avoir
donc	ADV	donc
le	DET	le
client	NOUN	client
de	ADP	de
Marseille	PROPN	Marseille
,	PUNCT	,
puis	CCONJ	puis
deux	NUM	deux
fois	NOUN	fois
le	DET	le
feu	NOUN	feu
dans	ADP	dans
la	DET	le
même	ADJ	même
année	NOUN	année
,	PUNCT	,
puis	CCONJ	puis
la	DET	le
grève	NOUN	grève
des	ADP	de
ourdisseuses	NOUN	ourdisseur
,	PUNCT	,
puis	CCONJ	puis
notre	DET	notre
brouille	NOUN	brouille
avec	ADP	avec
l'	DET	le
oncle	NOUN	oncle
Baptiste	PROPN	Baptiste
?	PUNCT	?
,	PUNCT	,
puis	CCONJ	puis
un	DET	un
procès	NOUN	procès
très	ADV	très
coûteux	ADJ	coûteux
avec	ADP	avec
nos	DET	notre
marchands	NOUN	marchand
de	ADP	de
couleurs	NOUN	couleur
,	PUNCT	,
puis	CCONJ	puis
,	PUNCT	,
enfin	ADV	enfin
,	PUNCT	,
la	DET	le
révolution	NOUN	révolution
de	ADP	de
18	PRON	18
...	PUNCT	...
,	PUNCT	,
qui	PRON	qui
nous	PRON	nous
donna	VERB	donner
le	DET	le
coup	NOUN	coup
de	ADP	de
grâce	NOUN	grâce
.	PUNCT	.

	SPACE	

À	ADP	à
partir	VERB	partir
de	ADP	de
ce	DET	ce
moment	NOUN	moment
,	PUNCT	,
la	DET	le
fabrique	NOUN	fabrique
ne	ADV	ne
battit	VERB	battre
plus	ADV	plus
que	ADV	que
d'	ADP	de
une	DET	un
aile	NOUN	aile
;	PUNCT	;
petit	ADJ	petit
à	ADP	à
petit	ADJ	petit
,	PUNCT	,
les	DET	le
ateliers	NOUN	atelier
se	PRON	se
vidèrent	VERB	vider
:	PUNCT	:
chaque	DET	chaque
semaine	NOUN	semaine
un	DET	un
métier	NOUN	métier
à	ADP	à
bas	NOUN	bas
,	PUNCT	,
chaque	DET	chaque
mois	NOUN	mois
une	DET	un
table	NOUN	table
d'	ADP	de
impression	NOUN	impression
de	ADP	de
moins	ADV	moins
.	PUNCT	.
C'	PRON	ce
était	AUX	être
pitié	NOUN	pitié
de	ADP	de
voir	VERB	voir
la	DET	le
vie	NOUN	vie
s'	PRON	se
en	PRON	en
aller	VERB	aller
de	ADP	de
notre	DET	notre
maison	NOUN	maison
comme	ADP	comme
d'	ADP	de
un	DET	un
corps	NOUN	corps
malade	ADJ	malade
,	PUNCT	,
lentement	ADV	lentement
,	PUNCT	,
tous	ADJ	tout
les	DET	le
jours	NOUN	jour
un	DET	un
peu	ADV	peu
.	PUNCT	.
Une	DET	un
fois	NOUN	fois
,	PUNCT	,
on	PRON	on
n'	ADV	n'
entra	VERB	entrer
