CHAPITRE	NOUN	chapitre
PREMIER	ADJ	premier
PREMIERS	ADJ	premier
SIGNES	NOUN	signe
Je	PRON	je
suis	AUX	être
toute	ADV	toute
petite	ADJ	petit
.	PUNCT	.
On	PRON	on
m'	PRON	me
a	AUX	avoir
dit	VERB	dire
que	SCONJ	que
j'	PRON	je
avais	VERB	avoir
deux	NUM	deux
ans	NOUN	an
et	CCONJ	et
demi	NOUN	demi
.	PUNCT	.
Je	PRON	je
sais	VERB	savoir
que	SCONJ	que
je	PRON	je
me	PRON	me
nomme	VERB	nomme
Charlotte	PROPN	Charlotte
Villeroy	PROPN	Villeroy
,	PUNCT	,
mais	CCONJ	mais
on	PRON	on
m'	PRON	me
appelle	VERB	appeler
Toutoune	PROPN	Toutoune
,	PUNCT	,
mot	NOUN	mot
qui	PRON	qui
vient	VERB	venir
de	ADP	de
toutou	NOUN	toutou
,	PUNCT	,
parce	SCONJ	parce
que	SCONJ	que
j'	PRON	je
ai	VERB	avoir
le	DET	le
museau	NOUN	museau
d'	ADP	de
un	DET	un
enfant	NOUN	enfant
de	ADP	de
chien	NOUN	chien
-	NOUN	-
loup	NOUN	loup
.	PUNCT	.
Comme	SCONJ	comme
je	PRON	je
joue	VERB	joue
depuis	ADP	depuis
ce	DET	ce
matin	NOUN	matin
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
la	DET	le
première	ADJ	premier
fois	NOUN	fois
,	PUNCT	,
avec	ADP	avec
les	DET	le
petits	ADJ	petit
qui	PRON	qui
habitent	VERB	habiter
l'	DET	le
appartement	NOUN	appartement
au-dessus	ADV	au-dessus
du	ADP	de
nôtre	NOUN	nôtre
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
ce	PRON	ce
sont	AUX	être
deux	NUM	deux
garçons	NOUN	garçon
pas	ADV	pas
plus	ADV	plus
hauts	ADJ	haut
que	SCONJ	que
moi	PRON	moi
,	PUNCT	,
en	ADP	en
robe	NOUN	robe
comme	ADP	comme
moi	PRON	moi
,	PUNCT	,
ils	PRON	il
m'	PRON	me
ont	AUX	avoir
demandé	VERB	demander
,	PUNCT	,
voyant	VERB	voir
mes	DET	mon
cheveux	NOUN	cheveu
coupés	VERB	couper
et	CCONJ	et
mes	DET	mon
mouvements	NOUN	mouvement
brusques	ADJ	brusque
,	PUNCT	,
si	SCONJ	si
j'	PRON	je
étais	AUX	être
un	DET	un
garçon	NOUN	garçon
ou	CCONJ	ou
une	DET	un
fille	NOUN	fille
.	PUNCT	.
J'	PRON	je
ai	AUX	avoir
répondu	VERB	répondre
:	PUNCT	:
«	PUNCT	«
Sais	VERB	savoir
pas	ADV	pas
.	PUNCT	.
»	PUNCT	»
Ils	PRON	il
ont	AUX	avoir
dit	VERB	dire
:	PUNCT	:
«	PUNCT	«
Va	VERB	aller
demander	VERB	demander
à	ADP	à
ton	DET	ton
père	NOUN	père
.	PUNCT	.
»	PUNCT	»
Et	CCONJ	et
je	PRON	je
suis	AUX	être
descendue	VERB	descendre
toute	ADV	toute
seule	ADJ	seul
dans	ADP	dans
les	DET	le
escaliers	NOUN	escalier
,	PUNCT	,
pour	ADP	pour
poser	VERB	poser
la	DET	le
question	NOUN	question
.	PUNCT	.
Arrivée	VERB	arriver
à	ADP	à
notre	DET	notre
porte	NOUN	porte
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
cogné	VERB	cogner
,	PUNCT	,
appelé	VERB	appeler
,	PUNCT	,
car	CCONJ	car
la	DET	le
sonnette	NOUN	sonnette
est	AUX	être
trop	ADV	trop
haute	ADJ	haut
.	PUNCT	.
Ma	DET	mon
bonne	NOUN	bonne
est	AUX	être
venue	VERB	venir
m'	PRON	me
ouvrir	VERB	ouvrir
,	PUNCT	,
tout	ADV	tout
effrayée	VERB	effrayer
.	PUNCT	.
Mais	CCONJ	mais
je	PRON	je
ne	ADV	ne
me	PRON	me
suis	AUX	être
pas	ADV	pas
arrêtée	VERB	arrêter
.	PUNCT	.
J'	PRON	je
ai	AUX	avoir
couru	VERB	courir
,	PUNCT	,
essoufflée	VERB	essouffler
,	PUNCT	,
