 
	SPACE	 

Première	ADJ	premier
partie	NOUN	partie

	SPACE	

I	ADJ	i

	SPACE	

Jacques	PROPN	Jacques
Simiès	PROPN	Simiès
ouvrit	VERB	ouvrir
un	DET	un
œil	NOUN	œil
,	PUNCT	,
puis	CCONJ	puis
l'	DET	le
autre	PRON	autre
,	PUNCT	,
bâilla	VERB	bâiller
,	PUNCT	,
s'	PRON	se
étira	VERB	étirer
et	CCONJ	et
demanda	VERB	demander
à	ADP	à
son	DET	son
valet	NOUN	valet
de	ADP	de
chambre	NOUN	chambre
,	PUNCT	,
Lazare	PROPN	Lazare
,	PUNCT	,
qui	PRON	qui
venait	VERB	venir
écarter	VERB	écarter
les	DET	le
persiennes	NOUN	persienne
 	SPACE	 
:	PUNCT	:

	SPACE	

—	PUNCT	—
 	SPACE	 
Lazare	PROPN	Lazare
,	PUNCT	,
quelle	DET	quel
heure	NOUN	heure
est	VERB	être
-il	PRON	il
 	SPACE	 
?	PUNCT	?

	SPACE	

—	PUNCT	—
 	SPACE	 
Monsieur	NOUN	Monsieur
,	PUNCT	,
il	PRON	il
est	VERB	être
dix	NUM	dix
heures	NOUN	heure
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Quel	DET	quel
temps	NOUN	temps
fait	VERB	faire
-il	PRON	il
 	SPACE	 
?	PUNCT	?

	SPACE	

—	PUNCT	—
 	SPACE	 
Ni	CCONJ	ni
beau	ADJ	beau
ni	CCONJ	ni
laid	ADJ	laid
,	PUNCT	,
monsieur	NOUN	Monsieur
,	PUNCT	,
et	CCONJ	et
le	DET	le
baromètre	NOUN	baromètre
est	AUX	être
au	ADP	au
variable	NOUN	variable
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Bien	ADV	bien
,	PUNCT	,
comme	SCONJ	comme
cela	PRON	cela
tu	PRON	tu
ne	ADV	ne
te	PRON	te
compromets	VERB	compromettre
pas	ADV	pas
.	PUNCT	.
Y	PRON	y
a	VERB	avoir
-t	PRON	-t
-il	PRON	il
des	DET	un
lettres	NOUN	lettre
 	SPACE	 
?	PUNCT	?

	SPACE	

—	PUNCT	—
 	SPACE	 
Pas	ADV	pas
beaucoup	ADV	beaucoup
 	SPACE	 
:	PUNCT	:
voici	VERB	voici
le	DET	le
courrier	NOUN	courrier
d'	ADP	de
ailleurs	ADV	ailleurs
,	PUNCT	,
Monsieur	NOUN	Monsieur
peut	VERB	pouvoir
voir	VERB	voir
.	PUNCT	.

	SPACE	

Et	CCONJ	et
Lazare	PROPN	Lazare
déposa	VERB	déposer
sur	ADP	sur
la	DET	le
table	NOUN	table
de	ADP	de
nuit	NOUN	nuit
quelques	DET	quelque
journaux	NOUN	journal
et	CCONJ	et
quelques	DET	quelque
enveloppes	NOUN	enveloppe
médiocrement	ADV	médiocrement
garnies	VERB	garnir
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Tant	ADV	tant
que	SCONJ	que
cela	PRON	cela
 	SPACE	 
?	PUNCT	?
fit	VERB	faire
indolemment	ADV	indolemment
le	DET	le
viveur	NOUN	viveur
en	ADP	en
s'	PRON	se
étirant	VERB	étirer
de	ADP	de
plus	ADV	plus
belle	ADJ	bel
.	PUNCT	.
Bah	ADV	bah
 	SPACE	 
!	PUNCT	!
à	ADP	à
tout	ADV	tout
à	ADP	à
l'	DET	le
heure	NOUN	heure
les	DET	le
affaires	NOUN	affaire
sérieuses	ADJ	sérieux
.	PUNCT	.
Lazare	PROPN	Lazare
,	PUNCT	,
j'	PRON	je
ai	VERB	avoir
faim	NOUN	faim
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Je	PRON	je
vais	VERB	aller
apporter	VERB	apporter
à	ADP	à
Monsieur	NOUN	Monsieur
son	DET	son
chocolat	NOUN	chocolat
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Très	ADV	très
cuit	VERB	cuire
surtout	ADV	surtout
.	PUNCT	.
Cette	DET	ce
brute	NOUN	brute
de	ADP	de
Césarine	PROPN	Césarine
m'	PRON	me
envoie	VERB	envoyer
toujours	ADV	toujours
de	ADP	de
l'	DET	le
eau	NOUN	eau
chaude	ADJ	chaud
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Je	PRON	je
vais	VERB	aller
y	PRON	y
veiller	VERB	veiller
,	PUNCT	,
monsieur	NOUN	Monsieur
.	PUNCT	.

	SPACE	

Et	CCONJ	et
,	PUNCT	,
après	ADP	après
avoir	AUX	avoir
laissé	VERB	laisser
entrer	VERB	entrer
lentement	ADV	lentement
dans	ADP	dans
la	DET	le
chambre	NOUN	chambre
un	DET	un
jour	NOUN	jour
atténué	VERB	atténuer
par	ADP	par
les	DET	le
rideaux	NOUN	rideau
de	ADP	de
guipure	NOUN	guipure
,	PUNCT	,
Lazare	PROPN	Lazare
sortit	VERB	sortir
.	PUNCT	.

	SPACE	

Simiès	PROPN	Simiès
referma	VERB	refermer
les	DET	le
yeux	NOUN	oeil
avec	ADP	avec
un	DET	un
indicible	ADJ	indicible
sentiment	NOUN	sentiment
de	ADP	de
bien-être	NOUN	bien-être
,	PUNCT	,
et	CCONJ	et
dans	ADP	dans
son	DET	son
cerveau	NOUN	cerveau
encore	ADV	encore
engourdi	VERB	engourdir
flotta	VERB	flotter
la	DET	le
vision	NOUN	vision
de	ADP	de
la	DET	le
veille	NOUN	veille
.	PUNCT	.

	SPACE	

Ah	VERB	ah
 	SPACE	 
!	PUNCT	!
la	DET	le
bonne	ADJ	bon
soirée	NOUN	soirée
qu'	PRON	qu'
il	PRON	il
avait	AUX	avoir
passée	VERB	passer
au	ADP	au
café	NOUN	café
de	ADP	de
Paris	PROPN	Paris
 	SPACE	 
!	PUNCT	!
Dieu	NOUN	dieu
 	SPACE	 
!	PUNCT	!
qu'	SCONJ	que
on	PRON	on
avait	AUX	avoir
ri	VERB	rire
 	SPACE	 
!	PUNCT	!
Ce	DET	ce
diable	NOUN	diable
de	ADP	de
Pinsonneau	PROPN	Pinsonneau
en	PRON	en
avait	AUX	avoir
-il	PRON	il
raconté	VERB	raconter
des	DET	un
farces	NOUN	farce
de	ADP	de
sa	DET	son
vie	NOUN	vie
de	ADP	de
garnison	NOUN	garnison
 	SPACE	 
!	PUNCT	!
et	CCONJ	et
avait	AUX	avoir
-on	PRON	on
assez	ADV	assez
raillé	VERB	railler
le	DET	le
clergé	NOUN	clergé
,	PUNCT	,
les	DET	le
prêtres	NOUN	prêtre
et	CCONJ	et
les	DET	le
mômeries	NOUN	mômerie
des	ADP	de
cléricaux	NOUN	clérical
 	SPACE	 
!	PUNCT	!
et	CCONJ	et
l'	DET	le
excellent	ADJ	excellent
Moët	PROPN	Moët
qu'	PRON	qu'
on	PRON	on
y	PRON	y
avait	AUX	avoir
sablé	VERB	sabler
,	PUNCT	,
sans	ADP	sans
compter	VERB	compter
le	DET	le
Moselle	PROPN	Moselle
pétillant	ADJ	pétillant
et	CCONJ	et
le	DET	le
Tockay	PROPN	Tockay
exquis	ADJ	exquis
 	SPACE	 
!	PUNCT	!

	SPACE	

Par	ADP	par
exemple	NOUN	exemple
les	DET	le
cigares	NOUN	cigare
laissaient	VERB	laisser
un	DET	un
peu	ADV	peu
à	ADP	à
désirer	VERB	désirer
,	PUNCT	,
mais	CCONJ	mais
Simiès	PROPN	Simiès
était	AUX	être
rendu	VERB	rendre
difficile	ADJ	difficile
par	ADP	par
ceux	PRON	celui
que	PRON	que
lui	PRON	lui
envoyait	VERB	envoyer
son	DET	son
ami	NOUN	ami
de	ADP	de
la	DET	le
Nouvelle	PROPN	Nouvelle
-	PROPN	-
Orléans	PROPN	Orléans
.	PUNCT	.

	SPACE	

Décidément	ADV	décidément
ce	DET	ce
souper	NOUN	souper
et	CCONJ	et
les	DET	le
rires	NOUN	rire
qui	PRON	qui
l'	PRON	l'
avaient	AUX	avoir
accompagné	VERB	accompagner
l'	PRON	l'
avaient	AUX	avoir
creusé	VERB	creuser
 	SPACE	 
;	PUNCT	;
et	CCONJ	et
ce	DET	ce
diable	NOUN	diable
de	ADP	de
Lazare	PROPN	Lazare
qui	PRON	qui
n'	ADV	n'
apportait	VERB	apporter
pas	ADV	pas
son	DET	son
déjeuner	NOUN	déjeuner
,	PUNCT	,
quel	DET	quel
lambin	NOUN	lambin
,	PUNCT	,
quelle	DET	quel
brute	NOUN	brute
 	SPACE	 
!	PUNCT	!
c'	PRON	ce
était	VERB	être
à	ADP	à
lui	PRON	lui
casser	VERB	casser
une	DET	un
canne	NOUN	canne
sur	ADP	sur
le	DET	le
dos	NOUN	dos
 	SPACE	 
!	PUNCT	!

	SPACE	

En	ADP	en
attendant	VERB	attendre
,	PUNCT	,
Simiès	PROPN	Simiès
allait	VERB	aller
lire	VERB	lire
son	DET	son
courrier	NOUN	courrier
 	SPACE	 
;	PUNCT	;
il	PRON	il
se	PRON	se
souleva	VERB	soulever
sur	ADP	sur
son	DET	son
lit	NOUN	lit
pour	ADP	pour
se	PRON	se
mettre	VERB	mettre
sur	ADP	sur
son	DET	son
séant	NOUN	séant
non	ADV	non
sans	ADP	sans
esquisser	VERB	esquisser
une	DET	un
grimace	NOUN	grimace
de	ADP	de
douleur	NOUN	douleur
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Ces	DET	ce
s	AUX	s
...	PUNCT	...
rhumatismes	NOUN	rhumatisme
 	SPACE	 
!	PUNCT	!
gémit	VERB	gémir
-il	PRON	il
.	PUNCT	.

	SPACE	

C'	PRON	ce
est	VERB	être
que	SCONJ	que
celui	PRON	celui
qu'	PRON	qu'
on	PRON	on
appelait	VERB	appeler
jadis	ADV	jadis
le	DET	le
beau	ADJ	beau
Simiès	PROPN	Simiès
avait	VERB	avoir
soixante	NUM	soixante
ans	NOUN	an
,	PUNCT	,
et	CCONJ	et
