 
	SPACE	 

I	NOUN	i
--	PUNCT	--
Le	DET	le
tuteur	NOUN	tuteur

	SPACE	

«	PUNCT	«
 	SPACE	 
Je	PRON	je
veux	VERB	vouloir
me	PRON	me
faire	VERB	faire
la	DET	le
barbe	NOUN	barbe
 	SPACE	 
!	PUNCT	!
 	SPACE	 
»	PUNCT	»

	SPACE	

Ainsi	ADV	ainsi
parlait	VERB	parler
un	DET	un
homme	NOUN	homme
de	ADP	de
dix	NUM	dix
ans	NOUN	an
sonnés	VERB	sonner
,	PUNCT	,
le	DET	le
petit	ADJ	petit
Léopold	PROPN	Léopold
Massereau	PROPN	Massereau
.	PUNCT	.
En	ADP	en
fourrageant	VERB	fourrager
au	ADP	au
fond	NOUN	fond
d'	ADP	de
un	DET	un
tiroir	NOUN	tiroir
,	PUNCT	,
il	PRON	il
avait	AUX	avoir
trouvé	VERB	trouver
une	DET	un
paire	NOUN	paire
de	ADP	de
rasoirs	NOUN	rasoir
usés	VERB	user
jusqu'	ADP	jusque
au	ADP	au
fer	NOUN	fer
.	PUNCT	.
Saisi	VERB	saisir
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
par	ADP	par
le	DET	le
désir	NOUN	désir
de	ADP	de
poser	VERB	poser
en	ADP	en
grand	ADJ	grand
garçon	NOUN	garçon
,	PUNCT	,
il	PRON	il
s'	PRON	se
était	AUX	être
juché	VERB	jucher
sur	ADP	sur
un	DET	un
tabouret	NOUN	tabouret
devant	ADP	devant
la	DET	le
glace	NOUN	glace
ovale	ADJ	ovale
d'	ADP	de
une	DET	un
toilette	NOUN	toilette
d'	ADP	de
acajou	NOUN	acajou
,	PUNCT	,
brandissait	VERB	brandir
le	DET	le
rasoir	NOUN	rasoir
et	CCONJ	et
répétait	VERB	répéter
d'	ADP	de
une	DET	un
voix	NOUN	voix
de	ADP	de
commandement	NOUN	commandement
 	SPACE	 
:	PUNCT	:

	SPACE	

«	PUNCT	«
 	SPACE	 
Je	PRON	je
veux	VERB	vouloir
me	PRON	me
faire	VERB	faire
la	DET	le
barbe	NOUN	barbe
 	SPACE	 
!	PUNCT	!

	SPACE	

—	PUNCT	—
 	SPACE	 
Quoi	PRON	quoi
 	SPACE	 
?	PUNCT	?
quoi	PRON	quoi
 	SPACE	 
?	PUNCT	?
mon	DET	mon
Dieu	NOUN	dieu
 	SPACE	 
!	PUNCT	!
qu'	PRON	qu'
est	AUX	être
-ce	PRON	-ce
que	PRON	que
j'	PRON	je
entends	VERB	entendre
 	SPACE	 
?	PUNCT	?
 	SPACE	 
»	PUNCT	»
s'	PRON	se
écria	VERB	écrier
une	DET	un
voix	NOUN	voix
de	ADP	de
femme	NOUN	femme
tout	ADV	tout
essoufflée	VERB	essouffler
.	PUNCT	.

	SPACE	

Et	CCONJ	et
la	DET	le
porte	NOUN	porte
s'	PRON	se
ouvrit	VERB	ouvrir
devant	ADP	devant
une	DET	un
dame	NOUN	dame
d'	ADP	de
une	DET	un
soixantaine	NOUN	soixantaine
d'	ADP	de
années	NOUN	année
habillée	VERB	habiller
avec	ADP	avec
le	DET	le
soin	NOUN	soin
méthodique	ADJ	méthodique
particulier	ADJ	particulier
à	ADP	à
la	DET	le
province	NOUN	province
.	PUNCT	.

	SPACE	

Entre	ADP	entre
deux	NUM	deux
petits	ADJ	petit
bandeaux	NOUN	bandeau
jaunâtres	ADJ	jaunâtre
appliqués	VERB	appliquer
sur	ADP	sur
ses	DET	son
tempes	NOUN	tempe
et	CCONJ	et
descendant	VERB	descendre
en	ADP	en
festons	NOUN	feston
jusque	ADP	jusque
sur	ADP	sur
les	DET	le
joues	NOUN	joue
,	PUNCT	,
scintillaient	VERB	scintiller
deux	NUM	deux
yeux	NOUN	oeil
jaunâtres	ADJ	jaunâtre
aussi	ADV	aussi
,	PUNCT	,
au	ADP	au
regard	NOUN	regard
inquiet	ADJ	inquiet
,	PUNCT	,
mobile	ADJ	mobile
,	PUNCT	,
et	CCONJ	et
tout	ADV	tout
remplis	VERB	remplir
de	ADP	de
cette	DET	ce
expression	NOUN	expression
particulière	ADJ	particulier
qui	PRON	qui
fait	AUX	faire
dire	VERB	dire
des	DET	un
gens	NOUN	gens
qu'	SCONJ	que
ils	PRON	il
ne	ADV	ne
sont	AUX	être
pas	ADV	pas
commodes	ADJ	commode
.	PUNCT	.

	SPACE	

«	PUNCT	«
 	SPACE	 
Marraine	NOUN	marraine
,	PUNCT	,
je	PRON	je
veux	VERB	vouloir
me	PRON	me
faire	VERB	faire
la	DET	le
barbe	NOUN	barbe
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
La	DET	le
barbe	NOUN	barbe
 	SPACE	 
?	PUNCT	?
Où	ADV	où
as	AUX	avoir
-	PRON	-
tu	PRON	tu
trouvé	VERB	trouver
ce	DET	ce
rasoir	NOUN	rasoir
,	PUNCT	,
vilain	ADJ	vilain
enfant	NOUN	enfant
,	PUNCT	,
enfant	NOUN	enfant
terrible	ADJ	terrible
 	SPACE	 
?	PUNCT	?
 	SPACE	 
»	PUNCT	»

	SPACE	

Il	PRON	il
était	AUX	être
peut-être	ADV	peut-être
terrible	ADJ	terrible
au	ADP	au
moral	NOUN	moral
,	PUNCT	,
le	DET	le
petit	ADJ	petit
Léopold	PROPN	Léopold
 	SPACE	 
;	PUNCT	;
mais	CCONJ	mais
qu'	SCONJ	que
il	PRON	il
était	AUX	être
chétif	ADJ	chétif
au	ADP	au
physique	NOUN	physique
,	PUNCT	,
maigre	ADJ	maigre
,	PUNCT	,
pâlot	ADJ	pâlot
et	CCONJ	et
cependant	ADV	cependant
très	ADV	très
bien	ADV	bien
charpenté	VERB	charpenter
 	SPACE	 
!	PUNCT	!

	SPACE	

«	PUNCT	«
 	SPACE	 
Là	ADV	là
 	SPACE	 
»	PUNCT	»
,	PUNCT	,
dit	VERB	dire
-il	PRON	il
en	ADP	en
montrant	VERB	montrer
le	DET	le
dernier	ADJ	dernier
tiroir	NOUN	tiroir
d'	ADP	de
un	DET	un
vieux	ADJ	vieux
bahut	NOUN	bahut
qui	PRON	qui
,	PUNCT	,
vis-à-vis	ADV	vis-à-vis
de	ADP	de
la	DET	le
toilette	NOUN	toilette
d'	ADP	de
acajou	NOUN	acajou
,	PUNCT	,
avait	VERB	avoir
tout	ADV	tout
à	ADP	à
fait	NOUN	fait
l'	DET	le
air	NOUN	air
d'	ADP	de
un	DET	un
vieux	ADJ	vieux
marquis	NOUN	marquis
en	ADP	en
habit	NOUN	habit
chamarré	VERB	chamarrer
et	CCONJ	et
en	ADP	en
tricorne	NOUN	tricorne
,	PUNCT	,
regardant	VERB	regarder
du	ADP	de
haut	NOUN	haut
de	ADP	de
sa	DET	son
grandeur	NOUN	grandeur
un	DET	un
petit	ADJ	petit
monsieur	NOUN	Monsieur
moderne	ADJ	moderne
en	ADP	en
frac	NOUN	frac
noir	ADJ	noir
et	CCONJ	et
en	ADP	en
tuyau	NOUN	tuyau
de	ADP	de
poêle	NOUN	poêle
.	PUNCT	.

	SPACE	

«	PUNCT	«
 	SPACE	 
Mais	CCONJ	mais
on	PRON	on
n'	ADV	n'
ouvre	VERB	ouvrir
jamais	ADV	jamais
ce	DET	ce
tiroir	NOUN	tiroir
,	PUNCT	,
Léopold	PROPN	Léopold
,	PUNCT	,
jamais	ADV	jamais
 	SPACE	 
;	PUNCT	;
il	PRON	il
y	PRON	y
a	VERB	avoir
plus	ADV	plus
de	ADP	de
deux	NUM	deux
ans	NOUN	an
que	SCONJ	que
je	PRON	je
ne	ADV	ne
l'	PRON	l'
ai	AUX	avoir
ouvert	VERB	ouvrir
.	PUNCT	.
Il	PRON	il
ne	ADV	ne
contient	VERB	contenir
que	ADV	que
des	DET	un
vieilleries	NOUN	vieillerie
.	PUNCT	.
 	SPACE	 
»	PUNCT	»

	SPACE	

Tout	ADV	tout
en	ADP	en
parlant	VERB	parler
,	PUNCT	,
elle	PRON	lui
regardait	VERB	regarder
avec	ADP	avec
inquiétude	NOUN	inquiétude
la	DET	le
main	NOUN	main
de	ADP	de
l'	DET	le
enfant	NOUN	enfant
serrée	VERB	serrer
sur	ADP	sur
le	DET	le
manche	NOUN	manche
du	ADP	de
rasoir	NOUN	rasoir
,	PUNCT	,
et	CCONJ	et
son	DET	son
doigt	NOUN	doigt
touchait	VERB	toucher
fiévreusement	ADV	fiévreusement
au	ADP	au
milieu	NOUN	milieu
de	ADP	de
son	DET	son
front	NOUN	front
un	DET	un
petit	ADJ	petit
objet	NOUN	objet
brillant	ADJ	brillant
qui	PRON	qui
n'	ADV	n'
était	AUX	être
autre	ADJ	autre
qu'	SCONJ	que
une	DET	un
ferronnière	NOUN	ferronnière
.	PUNCT	.

	SPACE	

Oui	ADV	oui
,	PUNCT	,
Mme	NOUN	mme
Caroline	PROPN	Caroline
Massereau	PROPN	Massereau
avait	AUX	avoir
poussé	VERB	pousser
la	DET	le
fidélité	NOUN	fidélité
jusqu'	ADP	jusque
à	ADP	à
garder	VERB	garder
,	PUNCT	,
en	ADP	en
dépit	NOUN	dépit
de	ADP	de
toutes	ADJ	tout
les	DET	le
modes	NOUN	mode
,	PUNCT	,
cette	DET	ce
petite	ADJ	petit
plaque	NOUN	plaque
d'	ADP	de
or	NOUN	or
enfilée	VERB	enfiler
dans	ADP	dans
un	DET	un
cordon	NOUN	cordon
de	ADP	de
soie	NOUN	soie
.	PUNCT	.
Seulement	ADV	seulement
elle	PRON	lui
n'	ADV	n'
était	AUX	être
plus	ADV	plus
l'	DET	le
ornement	NOUN	ornement
de	ADP	de
son	DET	son
front	NOUN	front
,	PUNCT	,
mais	CCONJ	mais
elle	PRON	lui
se	PRON	se
plaçait	VERB	placer
juste	ADV	juste
entre	ADP	entre
les	DET	le
deux	NUM	deux
petits	ADJ	petit
bandeaux	NOUN	bandeau
plats	ADJ	plat
qui	PRON	qui
rétrécissaient	VERB	rétrécir
