 
	SPACE	 

I.	NOUN	i.

	SPACE	

C'	PRON	ce
était	AUX	être
un	DET	un
mardi	NOUN	mardi
,	PUNCT	,
le	DET	le
1er	ADJ	premier
septembre	NOUN	septembre
,	PUNCT	,
le	DET	le
jour	NOUN	jour
de	ADP	de
l'	DET	le
ouverture	NOUN	ouverture
de	ADP	de
la	DET	le
chasse	NOUN	chasse
 	SPACE	 
;	PUNCT	;
il	PRON	il
y	PRON	y
a	VERB	avoir
de	ADP	de
cela	PRON	cela
six	NUM	six
ans	NOUN	an
.	PUNCT	.
On	PRON	on
entendait	VERB	entendre
de	ADP	de
moment	NOUN	moment
en	ADP	en
moment	NOUN	moment
des	DET	un
coups	NOUN	coup
de	ADP	de
fusil	NOUN	fusil
tirés	VERB	tirer
au	ADP	au
loin	ADV	loin
dans	ADP	dans
la	DET	le
campagne	NOUN	campagne
.	PUNCT	.
La	DET	le
chaleur	NOUN	chaleur
était	AUX	être
excessive	ADJ	excessif
 	SPACE	 
;	PUNCT	;
cette	DET	ce
année	NOUN	année
-là	NOUN	-là
,	PUNCT	,
nous	PRON	nous
avons	AUX	avoir
eu	VERB	avoir
deux	NUM	deux
étés	NOUN	été
.	PUNCT	.
Toutes	ADJ	tout
les	DET	le
fenêtres	NOUN	fenêtre
,	PUNCT	,
volets	NOUN	volet
et	CCONJ	et
rideaux	NOUN	rideau
,	PUNCT	,
étaient	AUX	être
prudemment	ADV	prudemment
fermés	VERB	fermer
dans	ADP	dans
le	DET	le
grand	ADJ	grand
salon	NOUN	salon
du	ADP	de
château	NOUN	château
de	ADP	de
la	DET	le
Villeberthier	PROPN	Villeberthier
,	PUNCT	,
où	PRON	où
régnait	VERB	régner
la	DET	le
plus	ADV	plus
fraîche	ADJ	frais
obscurité	NOUN	obscurité
.	PUNCT	.
D'	ADP	de
un	DET	un
côté	NOUN	côté
seulement	ADV	seulement
,	PUNCT	,
le	DET	le
pan	NOUN	pan
des	ADP	de
rideaux	NOUN	rideau
d'	ADP	de
une	DET	un
fenêtre	NOUN	fenêtre
située	VERB	situer
au	ADP	au
nord	NOUN	nord
était	AUX	être
à	ADP	à
demi	ADV	demi
relevé	VERB	relever
 	SPACE	 
;	PUNCT	;
et	CCONJ	et
quelques	DET	quelque
rayons	NOUN	rayon
,	PUNCT	,
ménagés	VERB	ménager
avec	ADP	avec
art	NOUN	art
,	PUNCT	,
venaient	VERB	venir
éclairer	VERB	éclairer
une	DET	un
table	NOUN	table
à	ADP	à
dessiner	VERB	dessiner
devant	ADP	devant
laquelle	PRON	lequel
était	AUX	être
assis	VERB	asseoir
un	DET	un
jeune	ADJ	jeune
homme	NOUN	homme
,	PUNCT	,
et	CCONJ	et
un	DET	un
lit	NOUN	lit
de	ADP	de
repos	NOUN	repos
d'	ADP	de
une	DET	un
forme	NOUN	forme
élégante	ADJ	élégant
,	PUNCT	,
couvert	VERB	couvrir
de	ADP	de
coussins	NOUN	coussin
de	ADP	de
soie	NOUN	soie
bleue	ADJ	bleu
,	PUNCT	,
d'	ADP	de
oreillers	NOUN	oreiller
garnis	VERB	garnir
de	ADP	de
dentelles	NOUN	dentelle
,	PUNCT	,
sur	ADP	sur
lequel	PRON	lequel
était	AUX	être
étendue	VERB	étendre
une	DET	un
jeune	ADJ	jeune
malade	NOUN	malade
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
y	PRON	y
avait	VERB	avoir
que	ADV	que
ces	DET	ce
deux	NUM	deux
personnes	NOUN	personne
dans	ADP	dans
le	DET	le
salon	NOUN	salon
,	PUNCT	,
mais	CCONJ	mais
les	DET	le
autres	ADJ	autre
habitants	NOUN	habitant
du	ADP	de
château	NOUN	château
s'	PRON	se
y	PRON	y
faisaient	AUX	faire
représenter	VERB	représenter
par	ADP	par
leurs	DET	leur
attributs	NOUN	attribut
.	PUNCT	.
On	PRON	on
voyait	VERB	voir
sur	ADP	sur
une	DET	un
chaise	NOUN	chaise
un	DET	un
vaste	ADJ	vaste
panier	NOUN	panier
à	ADP	à
ouvrage	NOUN	ouvrage
couronné	VERB	couronner
d'	ADP	de
une	DET	un
paire	NOUN	paire
de	ADP	de
besicles	NOUN	besicle
scintillantes	ADJ	scintillant
,	PUNCT	,
ce	PRON	ce
qui	PRON	qui
trahissait	VERB	trahir
une	DET	un
mère	NOUN	mère
.	PUNCT	.
Dans	ADP	dans
un	DET	un
angle	NOUN	angle
du	ADP	de
salon	NOUN	salon
se	PRON	se
pavanait	VERB	pavaner
un	DET	un
superbe	ADJ	superbe
cheval	NOUN	cheval
de	ADP	de
bois	NOUN	bois
,	PUNCT	,
ce	PRON	ce
qui	PRON	qui
trahissait	VERB	trahir
un	DET	un
enfant	NOUN	enfant
.	PUNCT	.

	SPACE	

La	DET	le
jeune	ADJ	jeune
malade	NOUN	malade
,	PUNCT	,
pâle	ADJ	pâle
,	PUNCT	,
mais	CCONJ	mais
souriante	ADJ	souriant
,	PUNCT	,
avait	VERB	avoir
la	DET	le
tête	NOUN	tête
appuyée	VERB	appuyer
sur	ADP	sur
un	DET	un
oreiller	NOUN	oreiller
 	SPACE	 
;	PUNCT	;
elle	PRON	lui
restait	VERB	rester
immobile	ADJ	immobile
,	PUNCT	,
et	CCONJ	et
le	DET	le
jeune	ADJ	jeune
homme	NOUN	homme
,	PUNCT	,
assis	VERB	asseoir
en	ADP	en
face	NOUN	face
d'	ADP	de
elle	PRON	lui
,	PUNCT	,
attachait	VERB	attacher
sur	ADP	sur
elle	PRON	lui
de	DET	de
doux	ADJ	doux
et	CCONJ	et
longs	ADJ	long
regards	NOUN	regard
,	PUNCT	,
sous	ADP	sous
prétexte	NOUN	prétexte
de	ADP	de
faire	VERB	faire
son	DET	son
portrait	NOUN	portrait
.	PUNCT	.

	SPACE	

Quelquefois	ADV	quelquefois
même	ADV	même
,	PUNCT	,
il	PRON	il
semblait	VERB	sembler
avoir	AUX	avoir
tout	ADV	tout
à	ADP	à
fait	NOUN	fait
oublié	VERB	oublier
ce	DET	ce
prétexte	NOUN	prétexte
 	SPACE	 
;	PUNCT	;
sa	DET	son
pensée	NOUN	pensée
se	PRON	se
perdait	VERB	perdre
,	PUNCT	,
absorbée	VERB	absorber
par	ADP	par
cette	DET	ce
tendre	ADJ	tendre
contemplation	NOUN	contemplation
.	PUNCT	.
Les	DET	le
plus	ADV	plus
amers	ADJ	amer
et	CCONJ	et
les	DET	le
plus	ADV	plus
joyeux	ADJ	joyeux
souvenirs	NOUN	souvenir
venaient	VERB	venir
l'	DET	le
assaillir	VERB	assaillir
tour	ADV	tour
à	ADP	à
tour	NOUN	tour
 	SPACE	 
:	PUNCT	:
il	PRON	il
levait	VERB	lever
les	DET	le
yeux	NOUN	oeil
au	ADP	au
ciel	NOUN	ciel
avec	ADP	avec
effroi	NOUN	effroi
et	CCONJ	et
puis	CCONJ	puis
il	PRON	il
regardait	VERB	regarder
la	DET	le
jeune	ADJ	jeune
femme	NOUN	femme
avec	ADP	avec
délices	NOUN	délice
,	PUNCT	,
il	PRON	il
essuyait	VERB	essuyer
une	DET	un
larme	NOUN	larme
et	CCONJ	et
puis	CCONJ	puis
il	PRON	il
souriait	VERB	sourire
de	ADP	de
bonheur	NOUN	bonheur
.	PUNCT	.

	SPACE	

Enfin	ADV	enfin
,	PUNCT	,
exprimant	VERB	exprimer
par	ADP	par
un	DET	un
seul	ADJ	seul
mot	NOUN	mot
toutes	ADJ	tout
ses	DET	son
craintes	NOUN	crainte
passées	VERB	passer
et	CCONJ	et
toutes	ADJ	tout
ses	DET	son
joies	NOUN	joie
présentes	ADJ	présent
 	SPACE	 
:	PUNCT	:

	SPACE	

—	PUNCT	—
Est	AUX	être
-ce	PRON	-ce
bien	ADV	bien
vous	PRON	vous
,	PUNCT	,
Marguerite	PROPN	Marguerite
 	SPACE	 
?	PUNCT	?
dit	VERB	dire
-il	PRON	il
en	ADP	en
soupirant	VERB	soupirer
.	PUNCT	.

	SPACE	

—	PUNCT	—
Oh	INTJ	Oh
 	SPACE	 
!	PUNCT	!
vous	PRON	vous
avez	VERB	avoir
raison	NOUN	raison
d'	ADP	de
en	PRON	en
douter	VERB	douter
 	SPACE	 
;	PUNCT	;
cette	DET	ce
fois	NOUN	fois
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
cru	VERB	croire
que	SCONJ	que
j'	PRON	je
allais	VERB	aller
mourir	VERB	mourir
,	PUNCT	,
répondit	VERB	répondre
-elle	PRON	lui
 	SPACE	 
;	PUNCT	;
vrai	ADJ	vrai
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
eu	VERB	avoir
peur	NOUN	peur
.	PUNCT	.

	SPACE	

—	PUNCT	—
Ne	ADV	ne
dites	VERB	dire
pas	ADV	pas
cela	PRON	cela
 	SPACE	 
!	PUNCT	!
s'	PRON	se
écria	VERB	écrier
-t	PRON	-t
-il	PRON	il
.	PUNCT	.

	SPACE	

Et	CCONJ	et
le	DET	le
jeune	ADJ	jeune
homme	NOUN	homme
,	PUNCT	,
cédant	VERB	céder
à	ADP	à
son	DET	son
émotion	NOUN	émotion
,	PUNCT	,
jeta	VERB	jeter
ses	DET	son
pinceaux	NOUN	pinceau
sur	ADP	sur
la	DET	le
table	NOUN	table
et	CCONJ	et
vint	VERB	venir
se	PRON	se
mettre	VERB	mettre
à	ADP	à
genoux	NOUN	genou
devant	ADP	devant
Marguerite	PROPN	Marguerite
.	PUNCT	.

	SPACE	

—	PUNCT	—
Jamais	ADV	jamais
,	PUNCT	,
reprit	VERB	reprendre
-il	PRON	il
,	PUNCT	,
jamais	ADV	jamais
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
pensé	VERB	penser
qu'	SCONJ	que
il	PRON	il
y	PRON	y
eût	VERB	avoir
le	DET	le
moindre	ADJ	moindre
danger	NOUN	danger
dans	ADP	dans
cette	DET	ce
fièvre	NOUN	fièvre
,	PUNCT	,
mais	CCONJ	mais
