 
	SPACE	 

LA	DET	le
MÈRE	NOUN	mère

	SPACE	

Voyons	VERB	voir
,	PUNCT	,
n'	ADV	n'
en	PRON	en
perds	VERB	perdre
pas	ADV	pas
l'	DET	le
appétit	NOUN	appétit
 	SPACE	 
;	PUNCT	;
avec	ADP	avec
ton	DET	ton
Amérique	PROPN	Amérique
,	PUNCT	,
ne	ADV	ne
dirait	VERB	dire
-on	PRON	on
pas	ADV	pas
que	SCONJ	que
mon	DET	mon
Pierrot	PROPN	Pierrot
va	VERB	aller
s'	PRON	se
envoler	VERB	envoler
 	SPACE	 
?	PUNCT	?

	SPACE	

PIERRE	PROPN	PIERRE

	SPACE	

Et	CCONJ	et
que	PRON	que
diriez	VERB	dire
-vous	PRON	vous
,	PUNCT	,
ma	DET	mon
mère	NOUN	mère
,	PUNCT	,
si	SCONJ	si
je	PRON	je
vous	PRON	vous
disais	VERB	dire
que	SCONJ	que
je	PRON	je
suis	AUX	être
décidé	VERB	décider
à	ADP	à
voir	VERB	voir
du	DET	de
pays	NOUN	pays
 	SPACE	 
?	PUNCT	?

	SPACE	

LA	DET	le
MÈRE	PROPN	MÈRE

	SPACE	

Je	PRON	je
dirais	VERB	dire
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
enfant	NOUN	enfant
,	PUNCT	,
que	SCONJ	que
ce	PRON	ce
n'	ADV	n'
est	AUX	être
pas	ADV	pas
à	ADP	à
ton	DET	ton
âge	NOUN	âge
qu'	PRON	qu'
on	PRON	on
va	VERB	aller
courir	VERB	courir
les	DET	le
mondes	NOUN	monde
.	PUNCT	.
Je	PRON	je
te	PRON	te
permets	VERB	permettre
d'	ADP	de
aller	VERB	aller
jusqu'	ADP	jusque
à	ADP	à
Strasbourg	PROPN	Strasbourg
,	PUNCT	,
si	SCONJ	si
ça	PRON	cela
te	PRON	te
fait	VERB	faire
plaisir	NOUN	plaisir
.	PUNCT	.

	SPACE	

PIERRE	PROPN	PIERRE

	SPACE	

Cette	DET	ce
permission	NOUN	permission
me	PRON	me
suffit	VERB	suffire
.	PUNCT	.
Écoutez	VERB	écouter
-moi	PRON	moi
.	PUNCT	.
Et	CCONJ	et
,	PUNCT	,
quand	SCONJ	quand
vous	PRON	vous
m'	PRON	me
aurez	VERB	avoir
entendu	VERB	entendre
,	PUNCT	,
j'	PRON	je
espère	VERB	espérer
que	SCONJ	que
vous	PRON	vous
bénirez	VERB	bénir
mes	DET	mon
projets	NOUN	projet
 	SPACE	 
:	PUNCT	:
J'	PRON	je
étais	AUX	être
encore	ADV	encore
bien	ADV	bien
petit	ADJ	petit
le	DET	le
jour	NOUN	jour
où	PRON	où
le	DET	le
corps	NOUN	corps
de	ADP	de
mon	DET	mon
père	NOUN	père
fut	AUX	être
rapporté	VERB	rapporter
ici	ADV	ici
par	ADP	par
ses	DET	son
camarades	NOUN	camarade
,	PUNCT	,
et	CCONJ	et
pourtant	ADV	pourtant
je	PRON	je
ressentis	VERB	ressentir
un	DET	un
chagrin	NOUN	chagrin
qui	PRON	qui
me	PRON	me
changea	VERB	changer
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
.	PUNCT	.
Je	PRON	je
n'	ADV	n'
avais	AUX	avoir
encore	ADV	encore
pensé	VERB	penser
qu'	ADV	qu'
à	ADP	à
jouer	VERB	jouer
,	PUNCT	,
à	ADP	à
courir	VERB	courir
,	PUNCT	,
parce	SCONJ	parce
que	SCONJ	que
je	PRON	je
n'	ADV	n'
imaginais	VERB	imaginer
pas	ADV	pas
autre	ADJ	autre
chose	NOUN	chose
en	ADP	en
ce	DET	ce
monde	NOUN	monde
.	PUNCT	.
Quand	SCONJ	quand
je	PRON	je
vous	PRON	vous
ai	AUX	avoir
vue	VERB	voir
pleurer	VERB	pleurer
,	PUNCT	,
et	CCONJ	et
surtout	ADV	surtout
,	PUNCT	,
lorsque	SCONJ	lorsque
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
plus	ADV	plus
vu	VERB	voir
le	DET	le
père	NOUN	père
à	ADP	à
sa	DET	son
place	NOUN	place
,	PUNCT	,
je	PRON	je
me	PRON	me
suis	AUX	être
dit	VERB	dire
 	SPACE	 
:	PUNCT	:
Ah	INTJ	Ah
 	SPACE	 
!	PUNCT	!
je	PRON	je
voudrais	VERB	vouloir
être	AUX	être
grand	ADJ	grand
pour	ADP	pour
gagner	VERB	gagner
de	ADP	de
l'	DET	le
argent	NOUN	argent
 	SPACE	 
!	PUNCT	!
Bien	ADV	bien
souvent	ADV	souvent
j'	PRON	je
ai	AUX	avoir
été	VERB	être
pleurer	VERB	pleurer
à	ADP	à
l'	DET	le
entrée	NOUN	entrée
du	ADP	de
bois	NOUN	bois
,	PUNCT	,
puis	CCONJ	puis
un	DET	un
beau	ADJ	beau
jour	NOUN	jour
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
plus	ADV	plus
pleuré	VERB	pleurer
.	PUNCT	.
J'	PRON	je
avais	VERB	avoir
bien	ADV	bien
encore	ADV	encore
du	DET	de
chagrin	NOUN	chagrin
,	PUNCT	,
mais	CCONJ	mais
le	DET	le
désir	NOUN	désir
d'	ADP	de
apprendre	VERB	apprendre
me	PRON	me
consolait	VERB	consoler
.	PUNCT	.
Je	PRON	je
me	PRON	me
figurais	VERB	figurer
être	AUX	être
grand	ADJ	grand
,	PUNCT	,
vous	PRON	vous
ne	ADV	ne
manquiez	VERB	manquer
de	ADP	de
rien	PRON	rien
,	PUNCT	,
Christine	PROPN	Christine
non	ADV	non
plus	ADV	plus
.	PUNCT	.
Tout	ADJ	tout
cela	PRON	cela
n'	ADV	n'
empêche	VERB	empêche
pas	ADV	pas
que	SCONJ	que
j'	PRON	je
ai	VERB	avoir
seulement	ADV	seulement
treize	NUM	treize
ans	NOUN	an
et	CCONJ	et
trois	NUM	trois
mois	NOUN	mois
,	PUNCT	,
et	CCONJ	et
je	PRON	je
me	PRON	me
creuse	VERB	creuse
l'	DET	le
esprit	NOUN	esprit
avec	ADP	avec
M.	NOUN	m.
le	DET	le
curé	NOUN	curé
pour	ADP	pour
savoir	VERB	savoir
l'	DET	le
état	NOUN	état
qui	PRON	qui
va	VERB	aller
le	DET	le
plus	ADV	plus
vite	ADV	vite
.	PUNCT	.
Eh	INTJ	Eh
bien	ADV	bien
 	SPACE	 
!	PUNCT	!
mère	NOUN	mère
,	PUNCT	,
je	PRON	je
l'	PRON	l'
ai	AUX	avoir
trouvé	VERB	trouver
mon	DET	mon
état	NOUN	état
 	SPACE	 
:	PUNCT	:
Je	PRON	je
n'	ADV	n'
irai	VERB	aller
pas	ADV	pas
en	ADP	en
Amérique	PROPN	Amérique
 	SPACE	 
;	PUNCT	;
je	PRON	je
serai	VERB	être
marchand	NOUN	marchand
ambulant	ADJ	ambulant
 	SPACE	 
;	PUNCT	;
mon	DET	mon
apprentissage	NOUN	apprentissage
est	AUX	être
fait	VERB	faire
 	SPACE	 
:	PUNCT	:
regardez	VERB	regarder
-moi	PRON	moi
ces	DET	ce
jambes	NOUN	jambe
-là	NOUN	-là
,	PUNCT	,
et	CCONJ	et
ces	DET	ce
bras	NOUN	bras
,	PUNCT	,
et	CCONJ	et
ces	DET	ce
bonnes	ADJ	bon
épaules	NOUN	épaule
 	SPACE	 
!	PUNCT	!

	SPACE	

Petit	ADJ	petit
Pierre	PROPN	Pierre
,	PUNCT	,
pour	ADP	pour
donner	VERB	donner
plus	ADV	plus
de	ADP	de
poids	NOUN	poids
à	ADP	à
son	DET	son
discours	NOUN	discours
,	PUNCT	,
fit	VERB	faire
trois	NUM	trois
ou	CCONJ	ou
quatre	NUM	quatre
enjambées	NOUN	enjambée
,	PUNCT	,
puis	CCONJ	puis
enleva	VERB	enlever
Christine	PROPN	Christine
,	PUNCT	,
en	ADP	en
criant	VERB	crier
de	ADP	de
sa	DET	son
plus	ADV	plus
grosse	ADJ	gros
voix	NOUN	voix
 	SPACE	 
:	PUNCT	:
bonne	ADJ	bon
marchandise	NOUN	marchandise
à	ADP	à
vendre	VERB	vendre
et	CCONJ	et
pas	ADV	pas
cher	ADJ	cher
,	PUNCT	,
messieurs	NOUN	monsieur
,	PUNCT	,
mesdames	NOUN	madame
.	PUNCT	.

	SPACE	

Christine	PROPN	Christine
perchée	ADJ	percher
sur	ADP	sur
l'	DET	le
épaule	NOUN	épaule
de	ADP	de
son	DET	son
frère	NOUN	frère
riait	VERB	rire
de	ADP	de
tout	ADJ	tout
son	DET	son
cœur	NOUN	cœur
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
si	SCONJ	si
un	PRON	un
de	ADP	de
ces	DET	ce
tristes	ADJ	triste
heureux	NOUN	heureux
du	ADP	de
monde	NOUN	monde
l'	PRON	l'
eût	AUX	avoir
vue	VERB	voir
,	PUNCT	,
je	PRON	je
crois	VERB	croire
bien	ADV	bien
qu'	SCONJ	que
il	PRON	il
eût	AUX	avoir
donné	VERB	donner
une	DET	un
bonne	ADJ	bon
somme	NOUN	somme
pour	ADP	pour
réjouir	VERB	réjouir
son	DET	son
foyer	NOUN	foyer
privé	VERB	priver
de	ADP	de
joies	NOUN	joie
enfantines	ADJ	enfantin
.	PUNCT	.

	SPACE	

LA	DET	le
MÈRE	NOUN	mère

	SPACE	

Tu	PRON	tu
as	VERB	avoir
de	DET	de
bonnes	ADJ	bon
idées	NOUN	idée
,	PUNCT	,
mon	DET	mon
Pierre	PROPN	Pierre
 	SPACE	 
:	PUNCT	:
il	PRON	il
ne	ADV	ne
te	PRON	te
manque	VERB	manque
que	ADV	que
de	ADP	de
l'	DET	le
argent	NOUN	argent
.	PUNCT	.
Où	ADV	où
trouveras	VERB	trouver
-	PRON	-
tu	PRON	tu
l'	DET	le
argent	NOUN	argent
nécessaire	ADJ	nécessaire
pour	ADP	pour
acheter	VERB	acheter
de	ADP	de
la	DET	le
marchandise	NOUN	marchandise
 	SPACE	 
?	PUNCT	?

