 
	SPACE	 

I	NOUN	i

	SPACE	

Pendant	ADP	pendant
que	SCONJ	que
Jaffé	PROPN	Jaffé
se	PRON	se
glissait	VERB	glisser
derrière	ADP	derrière
lui	PRON	lui
,	PUNCT	,
Richard	PROPN	Richard
Brice	PROPN	Brice
rassembla	VERB	rassembler
les	DET	le
rênes	NOUN	rêne
de	ADP	de
ses	DET	son
trotteurs	NOUN	trotteur
.	PUNCT	.
Le	DET	le
train	NOUN	train
qu'	PRON	qu'
il	PRON	il
venait	VERB	venir
de	ADP	de
quitter	VERB	quitter
s'	PRON	se
ébranla	VERB	ébranler
et	CCONJ	et
s'	PRON	se
en	PRON	en
alla	VERB	aller
à	ADP	à
toute	DET	tout
vitesse	NOUN	vitesse
en	ADP	en
lançant	VERB	lancer
à	ADP	à
coups	NOUN	coup
rapides	ADJ	rapide
de	DET	de
petites	ADJ	petit
bouffées	NOUN	bouffée
de	ADP	de
vapeur	NOUN	vapeur
,	PUNCT	,
dans	ADP	dans
la	DET	le
direction	NOUN	direction
opposée	VERB	opposer
à	ADP	à
celle	PRON	celui
que	PRON	que
prenait	VERB	prendre
le	DET	le
phaéton	NOUN	phaéton
.	PUNCT	.
Les	DET	le
volutes	NOUN	volute
élégantes	ADJ	élégant
s'	PRON	se
accrochaient	VERB	accrocher
aux	ADP	à
basses	ADJ	bas
branches	NOUN	branche
des	ADP	de
peupliers	NOUN	peuplier
 	SPACE	 
;	PUNCT	;
on	PRON	on
eût	AUX	avoir
dit	VERB	dire
que	SCONJ	que
,	PUNCT	,
dans	ADP	dans
la	DET	le
tiède	ADJ	tiède
pesanteur	NOUN	pesanteur
de	ADP	de
cette	DET	ce
journée	NOUN	journée
,	PUNCT	,
il	PRON	il
leur	PRON	leur
était	AUX	être
impossible	ADJ	impossible
de	ADP	de
s'	PRON	se
élever	VERB	élever
plus	ADV	plus
haut	ADV	haut
 	SPACE	 
;	PUNCT	;
et	CCONJ	et
elles	PRON	lui
y	PRON	y
restaient	VERB	rester
longtemps	ADV	longtemps
,	PUNCT	,
comme	ADP	comme
embarrassées	VERB	embarrasser
de	ADP	de
disparaître	VERB	disparaître
sans	ADP	sans
attirer	VERB	attirer
l'	DET	le
attention	NOUN	attention
.	PUNCT	.

	SPACE	

Les	DET	le
trotteurs	NOUN	trotteur
avaient	AUX	avoir
pris	VERB	prendre
une	DET	un
belle	ADJ	bel
allure	NOUN	allure
sur	ADP	sur
la	DET	le
route	NOUN	route
sinueuse	ADJ	sinueux
,	PUNCT	,
une	DET	un
vraie	ADJ	vrai
route	NOUN	route
de	ADP	de
France	PROPN	France
,	PUNCT	,
élastique	ADJ	élastique
et	CCONJ	et
ferme	ADJ	ferme
,	PUNCT	,
avec	ADP	avec
juste	ADV	juste
assez	ADV	assez
de	ADP	de
pentes	NOUN	pente
pour	ADP	pour
donner	VERB	donner
de	ADP	de
la	DET	le
variété	NOUN	variété
au	ADP	au
paysage	NOUN	paysage
 	SPACE	 
;	PUNCT	;
un	DET	un
paysage	NOUN	paysage
tout	ADV	tout
vert	ADJ	vert
,	PUNCT	,
extrêmement	ADV	extrêmement
vert	ADJ	vert
,	PUNCT	,
tel	ADJ	tel
qu'	PRON	qu'
on	PRON	on
n'	ADV	n'
en	PRON	en
peut	VERB	pouvoir
voir	VERB	voir
qu'	ADV	qu'
après	ADP	après
de	DET	de
longues	ADJ	long
pluies	NOUN	pluie
d'	ADP	de
été	NOUN	été
.	PUNCT	.
Il	PRON	il
se	PRON	se
déroulait	VERB	dérouler
aimablement	ADV	aimablement
,	PUNCT	,
tantôt	CCONJ	tantôt
à	ADP	à
gauche	NOUN	gauche
,	PUNCT	,
tantôt	CCONJ	tantôt
à	ADP	à
droite	NOUN	droite
,	PUNCT	,
mais	CCONJ	mais
toujours	ADV	toujours
borné	VERB	borner
d'	ADP	de
un	DET	un
côté	NOUN	côté
par	ADP	par
un	DET	un
pan	NOUN	pan
de	ADP	de
colline	NOUN	colline
,	PUNCT	,
où	PRON	où
,	PUNCT	,
pour	ADP	pour
ouvrir	VERB	ouvrir
la	DET	le
route	NOUN	route
,	PUNCT	,
la	DET	le
mine	NOUN	mine
avait	AUX	avoir
fait	VERB	faire
une	DET	un
blessure	NOUN	blessure
toute	ADV	toute
fraîche	ADJ	frais
dans	ADP	dans
le	DET	le
grès	NOUN	grès
couleur	NOUN	couleur
de	ADP	de
rouille	NOUN	rouille
.	PUNCT	.

	SPACE	

La	DET	le
pluie	NOUN	pluie
avait	AUX	avoir
cessé	VERB	cesser
 	SPACE	 
;	PUNCT	;
il	PRON	il
restait	VERB	rester
cependant	ADV	cependant
tant	ADV	tant
d'	ADP	de
humidité	NOUN	humidité
dans	ADP	dans
l'	DET	le
air	NOUN	air
,	PUNCT	,
que	SCONJ	que
les	DET	le
gouttelettes	NOUN	gouttelette
s'	PRON	se
amassaient	VERB	amasser
comme	ADP	comme
un	DET	un
réseau	NOUN	réseau
serré	VERB	serrer
de	ADP	de
fines	ADJ	fin
perles	NOUN	perle
sur	ADP	sur
le	DET	le
nickel	NOUN	nickel
des	ADP	de
harnais	NOUN	harnais
.	PUNCT	.
Une	DET	un
sorte	NOUN	sorte
d'	ADP	de
oppression	NOUN	oppression
délicieuse	ADJ	délicieux
coupait	VERB	couper
légèrement	ADV	légèrement
la	DET	le
respiration	NOUN	respiration
 	SPACE	 
;	PUNCT	;
il	PRON	il
était	AUX	être
à	ADP	à
la	DET	le
fois	NOUN	fois
très	ADV	très
doux	ADJ	doux
et	CCONJ	et
un	DET	un
peu	ADV	peu
difficile	ADJ	difficile
de	ADP	de
vivre	VERB	vivre
dans	ADP	dans
cette	DET	ce
atmosphère	NOUN	atmosphère
saturée	ADJ	saturer
d'	ADP	de
eau	NOUN	eau
.	PUNCT	.
Le	DET	le
ciel	NOUN	ciel
était	AUX	être
gris	ADJ	gris
,	PUNCT	,
sans	ADP	sans
horizon	NOUN	horizon
,	PUNCT	,
et	CCONJ	et
cependant	ADV	cependant
,	PUNCT	,
sous	ADP	sous
l'	DET	le
herbe	NOUN	herbe
vigoureuse	ADJ	vigoureux
,	PUNCT	,
dans	ADP	dans
les	DET	le
pousses	NOUN	pousse
audacieuses	ADJ	audacieux
des	ADP	de
peupliers	NOUN	peuplier
et	CCONJ	et
des	ADP	de
ormes	NOUN	orme
,	PUNCT	,
courait	VERB	courir
une	DET	un
ardeur	NOUN	ardeur
de	ADP	de
vie	NOUN	vie
communicative	ADJ	communicatif
 	SPACE	 
;	PUNCT	;
la	DET	le
sève	NOUN	sève
d'	ADP	de
août	NOUN	août
montait	VERB	monter
de	ADP	de
toutes	DET	tout
parts	NOUN	part
.	PUNCT	.

	SPACE	

La	DET	le
pente	NOUN	pente
s'	PRON	se
était	AUX	être
accentuée	VERB	accentuer
 	SPACE	 
;	PUNCT	;
les	DET	le
chevaux	NOUN	cheval
ne	ADV	ne
songeaient	VERB	songer
point	ADV	point
à	ADP	à
ralentir	VERB	ralentir
leur	DET	leur
allure	NOUN	allure
pourtant	ADV	pourtant
 	SPACE	 
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
tout	ADV	tout
distrait	VERB	distraire
qu'	PRON	qu'
il	PRON	il
fut	AUX	être
,	PUNCT	,
Richard	PROPN	Richard
Brice	PROPN	Brice
y	PRON	y
pensa	VERB	penser
pour	ADP	pour
eux	PRON	lui
 	SPACE	 
;	PUNCT	;
après	ADP	après
les	PRON	le
avoir	AUX	avoir
mis	VERB	mettre
au	ADP	au
pas	NOUN	pas
,	PUNCT	,
il	PRON	il
se	PRON	se
pencha	VERB	pencher
un	DET	un
peu	ADV	peu
en	ADP	en
arrière	ADJ	arrière
.	PUNCT	.

	SPACE	

—	PUNCT	—
Jaffé	PROPN	Jaffé
,	PUNCT	,
dit	VERB	dire
-il	PRON	il
,	PUNCT	,
comment	ADV	comment
va	VERB	aller
ma	DET	mon
mère	NOUN	mère
 	SPACE	 
?	PUNCT	?

	SPACE	

Jaffé	PROPN	Jaffé
s'	PRON	se
inclina	VERB	incliner
légèrement	ADV	légèrement
,	PUNCT	,
de	ADP	de
façon	NOUN	façon
à	ADP	à
se	PRON	se
trouver	VERB	trouver
presque	ADV	presque
face	NOUN	face
à	ADP	à
face	NOUN	face
avec	ADP	avec
son	DET	son
maître	NOUN	maître
.	PUNCT	.

	SPACE	

—	PUNCT	—
Madame	NOUN	monsieur
va	VERB	aller
bien	ADV	bien
,	PUNCT	,
répondit	VERB	répondre
-il	PRON	il
d'	ADP	de
un	DET	un
ton	NOUN	ton
à	ADP	à
la	DET	le
fois	NOUN	fois
familier	ADJ	familier
et	CCONJ	et
respectueux	ADJ	respectueux
,	PUNCT	,
comme	ADP	comme
un	DET	un
ancien	ADJ	ancien
serviteur	NOUN	serviteur
sûr	ADJ	sûr
de	ADP	de
sa	DET	son
situation	NOUN	situation
 	SPACE	 
;	PUNCT	;
seulement	ADV	seulement
,	PUNCT	,
ce	DET	ce
matin	NOUN	matin
,	PUNCT	,
quand	SCONJ	quand
elle	PRON	lui
a	AUX	avoir
reçu	VERB	recevoir
la	DET	le
lettre	NOUN	lettre
de	ADP	de
monsieur	NOUN	Monsieur
,	PUNCT	,
elle	PRON	lui
était	AUX	être
un	DET	un
peu	ADV	peu
...	PUNCT	...

	SPACE	

—	PUNCT	—
Un	DET	un
peu	ADV	peu
quoi	PRON	quoi
 	SPACE	 
?	PUNCT	?
fit	VERB	faire
Brice	PROPN	Brice
avec	ADP	avec
une	DET	un
nuance	NOUN	nuance
de	ADP	de
brusquerie	NOUN	brusquerie
.	PUNCT	.

	SPACE	

—	PUNCT	—
Un	DET	un
peu	ADV	peu
...	PUNCT	...
je	PRON	je
ne	ADV	ne
sais	VERB	savoir
pas	ADV	pas
comment	ADV	comment
m'	PRON	me
exprimer	VERB	exprimer
en	ADP	en
conservant	VERB	conserver
le	DET	le
respect	NOUN	respect
