 
	SPACE	 

I	ADJ	i

	SPACE	

Il	PRON	il
y	PRON	y
avait	VERB	avoir
plus	ADV	plus
de	ADP	de
soixante	NUM	soixante
ans	NOUN	an
que	SCONJ	que
l'	DET	le
empereur	NOUN	empereur
Napoléon	PROPN	Napoléon
,	PUNCT	,
pressé	VERB	presser
d'	ADP	de
argent	NOUN	argent
,	PUNCT	,
avait	AUX	avoir
vendu	VERB	vendre
les	DET	le
provinces	NOUN	province
de	ADP	de
la	DET	le
Louisiane	PROPN	Louisiane
à	ADP	à
la	DET	le
République	NOUN	république
des	ADP	de
États-Unis	PROPN	États-Unis
 	SPACE	 
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
en	ADP	en
dépit	NOUN	dépit
de	ADP	de
l'	DET	le
infiltration	NOUN	infiltration
yankee	ADJ	yankee
,	PUNCT	,
les	DET	le
traditions	NOUN	tradition
des	ADP	de
créoles	NOUN	créole
français	ADJ	français
se	PRON	se
perpétuaient	VERB	perpétuer
.	PUNCT	.

	SPACE	

M.	NOUN	m.
 	SPACE	 
de	ADP	de
 	SPACE	 
Saint-Elme	PROPN	Saint-Elme
,	PUNCT	,
dont	PRON	dont
la	DET	le
plantation	NOUN	plantation
était	AUX	être
située	VERB	situer
à	ADP	à
vingt	NUM	vingt
milles	PRON	milles
de	ADP	de
la	DET	le
Nouvelle	PROPN	Nouvelle
-	PROPN	-
Orléans	PROPN	Orléans
,	PUNCT	,
occupait	VERB	occuper
plus	ADV	plus
de	ADP	de
six	NUM	six
cents	DET	cent
esclaves	NOUN	esclave
qu'	PRON	qu'
il	PRON	il
traitait	VERB	traiter
avec	ADP	avec
une	DET	un
bonté	NOUN	bonté
devenue	VERB	devenir
proverbiale	ADJ	proverbial
.	PUNCT	.

	SPACE	

On	PRON	on
disait	VERB	dire
couramment	ADV	couramment
 	SPACE	 
:	PUNCT	:
Heureux	ADJ	heureux
comme	ADP	comme
un	DET	un
noir	NOUN	noir
de	ADP	de
M.	NOUN	m.
 	SPACE	 
de	ADP	de
 	SPACE	 
Saint-Elme	PROPN	Saint-Elme
.	PUNCT	.

	SPACE	

Ce	DET	ce
matin	NOUN	matin
-là	NOUN	-là
,	PUNCT	,
M.	NOUN	m.
 	SPACE	 
de	ADP	de
 	SPACE	 
Saint-Elme	PROPN	Saint-Elme
se	PRON	se
leva	VERB	lever
de	ADP	de
bonne	ADJ	bon
heure	NOUN	heure
.	PUNCT	.
Il	PRON	il
se	PRON	se
trouvait	VERB	trouver
debout	ADV	debout
au	ADP	au
moment	NOUN	moment
même	ADV	même
où	PRON	où
le	DET	le
commandeur	NOUN	commandeur
de	ADP	de
la	DET	le
plantation	NOUN	plantation
,	PUNCT	,
Vulcain	PROPN	Vulcain
--	PUNCT	--
un	DET	un
pauvre	ADJ	pauvre
diable	NOUN	diable
boiteux	ADJ	boiteux
de	ADP	de
naissance	NOUN	naissance
--	PUNCT	--
soufflait	VERB	souffler
dans	ADP	dans
un	DET	un
coquillage	NOUN	coquillage
pour	ADP	pour
appeler	VERB	appeler
les	DET	le
noirs	NOUN	noir
au	ADP	au
travail	NOUN	travail
et	CCONJ	et
diriger	VERB	diriger
les	DET	le
divers	ADJ	divers
ateliers	NOUN	atelier
de	ADP	de
travailleurs	NOUN	travailleur
vers	ADP	vers
les	DET	le
acréages	NOUN	acréage
de	ADP	de
coton	NOUN	coton
et	CCONJ	et
de	ADP	de
cannes	NOUN	canne
à	ADP	à
sucre	NOUN	sucre
.	PUNCT	.

	SPACE	

Vulcain	PROPN	Vulcain
faisait	AUX	faire
siffler	VERB	siffler
sa	DET	son
«	PUNCT	«
 	SPACE	 
rigoise	NOUN	rigoise
 	SPACE	 
»	PUNCT	»
d'	ADP	de
un	DET	un
air	NOUN	air
de	ADP	de
nonchalance	NOUN	nonchalance
tyrannique	ADJ	tyrannique
,	PUNCT	,
mais	CCONJ	mais
les	DET	le
noirs	NOUN	noir
,	PUNCT	,
confortablement	ADV	confortablement
vêtus	VERB	vêtir
de	ADP	de
pantalons	NOUN	pantalon
de	ADP	de
cotonnade	NOUN	cotonnade
et	CCONJ	et
de	ADP	de
chemises	NOUN	chemise
de	ADP	de
grosse	ADJ	gros
toile	NOUN	toile
,	PUNCT	,
la	DET	le
face	NOUN	face
épanouie	ADJ	épanoui
d'	ADP	de
un	DET	un
large	ADJ	large
sourire	NOUN	sourire
,	PUNCT	,
aux	ADP	à
dents	NOUN	dent
blanches	ADJ	blanc
,	PUNCT	,
hochaient	VERB	hocher
la	DET	le
tête	NOUN	tête
avec	ADP	avec
une	DET	un
bonhomie	NOUN	bonhomie
malicieuse	ADJ	malicieux
et	CCONJ	et
venaient	VERB	venir
s'	PRON	se
aligner	VERB	aligner
en	ADP	en
ordre	NOUN	ordre
en	ADP	en
face	NOUN	face
du	ADP	de
bénévole	NOUN	bénévole
commandeur	NOUN	commandeur
.	PUNCT	.

	SPACE	

Pour	ADP	pour
Vulcain	PROPN	Vulcain
,	PUNCT	,
la	DET	le
«	PUNCT	«
 	SPACE	 
rigoise	NOUN	rigoise
 	SPACE	 
»	PUNCT	»
était	AUX	être
un	DET	un
insigne	NOUN	insigne
luxueux	ADJ	luxueux
,	PUNCT	,
un	DET	un
meuble	NOUN	meuble
de	ADP	de
parade	NOUN	parade
,	PUNCT	,
quelque	DET	quelque
chose	NOUN	chose
de	ADP	de
comparable	ADJ	comparable
au	ADP	au
bâton	NOUN	bâton
de	ADP	de
commandement	NOUN	commandement
que	PRON	que
l'	PRON	l'
on	PRON	on
voit	VERB	voir
figurer	VERB	figurer
aux	ADP	à
mains	NOUN	main
des	ADP	de
généraux	NOUN	général
mestres-de-camp	PROPN	mestres-de-camp
dans	ADP	dans
les	DET	le
tableaux	NOUN	tableau
de	ADP	de
Lebrun	PROPN	Lebrun
ou	CCONJ	ou
d'	ADP	de
Hyacinthe	PROPN	Hyacinthe
Rigault	PROPN	Rigault
.	PUNCT	.

	SPACE	

Si	SCONJ	si
Vulcain	PROPN	Vulcain
avait	AUX	avoir
jeté	VERB	jeter
sa	DET	son
rigoise	NOUN	rigoise
dans	ADP	dans
un	DET	un
buisson	NOUN	buisson
de	ADP	de
cannes	NOUN	canne
infesté	VERB	infester
de	ADP	de
serpents	NOUN	serpent
à	ADP	à
sonnette	NOUN	sonnette
,	PUNCT	,
il	PRON	il
est	VERB	être
hors	ADP	hors
de	ADP	de
doute	NOUN	doute
qu'	SCONJ	que
elle	PRON	lui
lui	PRON	lui
eût	AUX	avoir
été	AUX	être
rendue	VERB	rendre
beaucoup	ADV	beaucoup
plus	ADV	plus
vite	ADV	vite
que	SCONJ	que
le	DET	le
bâton	NOUN	bâton
du	ADP	de
grand	ADJ	grand
Condé	PROPN	Condé
.	PUNCT	.

	SPACE	

Les	DET	le
noirs	NOUN	noir
se	PRON	se
rendirent	VERB	rendre
au	ADP	au
travail	NOUN	travail
avec	ADP	avec
une	DET	un
allégresse	NOUN	allégresse
qui	PRON	qui
eût	AUX	avoir
fait	AUX	faire
réfléchir	VERB	réfléchir
Fourier	PROPN	Fourier
et	CCONJ	et
Kropotkine	PROPN	Kropotkine
et	CCONJ	et
même	ADV	même
Krupp	PROPN	Krupp
et	CCONJ	et
Lebaudy	PROPN	Lebaudy
.	PUNCT	.

	SPACE	

Ces	DET	ce
esclaves	NOUN	esclave
étaient	AUX	être
heureux	ADJ	heureux
parce	SCONJ	parce
qu'	SCONJ	que
on	PRON	on
les	PRON	le
traitait	VERB	traiter
paternellement	ADV	paternellement
.	PUNCT	.

	SPACE	

Après	ADP	après
le	DET	le
départ	NOUN	départ
des	ADP	de
noirs	NOUN	noir
qui	PRON	qui
s'	PRON	se
égaillèrent	VERB	égailler
dans	ADP	dans
l'	DET	le
immense	ADJ	immense
océan	NOUN	océan
des	ADP	de
cultures	NOUN	culture
,	PUNCT	,
la	DET	le
plantation	NOUN	plantation
rentra	VERB	rentrer
pour	ADP	pour
un	DET	un
instant	NOUN	instant
dans	ADP	dans
le	DET	le
silence	NOUN	silence
.	PUNCT	.

	SPACE	

L'	DET	le
habitation	NOUN	habitation
de	ADP	de
M.	NOUN	m.
 	SPACE	 
de	ADP	de
 	SPACE	 
Saint-Elme	PROPN	Saint-Elme
était	AUX	être
fort	ADV	fort
ancienne	ADJ	ancien
.	PUNCT	.
Par	ADP	par
ses	DET	son
chaînes	NOUN	chaîne
de	ADP	de
pierre	NOUN	pierre
blanche	ADJ	blanc
,	PUNCT	,
ses	DET	son
murs	NOUN	mur
de	ADP	de
brique	NOUN	brique
et	CCONJ	et
son	DET	son
toit	NOUN	toit
presque	ADV	presque
vertical	ADJ	vertical
et	CCONJ	et
d'	ADP	de
ardoises	NOUN	ardoise
violettes	ADJ	violet
que	PRON	que
surmontaient	VERB	surmonter
des	DET	un
girouettes	NOUN	girouette
,	PUNCT	,
par	ADP	par
ses	DET	son
deux	NUM	deux
ailes	NOUN	aile
en	ADP	en
avancée	NOUN	avancée
sur	ADP	sur
la	DET	le
cour	NOUN	cour
d'	ADP	de
honneur	NOUN	honneur
que	PRON	que
décoraient	VERB	décorer
un	DET	un
jet	NOUN	jet
d'	ADP	de
eau	NOUN	eau
et	CCONJ	et
des	DET	un
sirènes	NOUN	sirène
de	ADP	de
bronze	NOUN	bronze
,	PUNCT	,
elle	PRON	lui
évoquait	VERB	évoquer
le	DET	le
souvenir	NOUN	souvenir
du	ADP	de
siècle	NOUN	siècle
de	ADP	de
Louis	PROPN	Louis
XIV	NUM	XIV
.	PUNCT	.

	SPACE	

Le	DET	le
parc	NOUN	parc
,	PUNCT	,
dessiné	VERB	dessiner
d'	ADP	de
après	ADP	après
Le	DET	le
Nôtre	PROPN	Nôtre
et	CCONJ	et
retouché	VERB	retoucher
par	ADP	par
la	DET	le
nature	NOUN	nature
qui	PRON	qui
fait	VERB	faire
les	DET	le
forêts	NOUN	forêt
