 
	SPACE	 

I	NOUN	i

	SPACE	

Le	DET	le
livret	NOUN	livret
de	ADP	de
marin	NOUN	marin
de	ADP	de
mon	DET	mon
frère	NOUN	frère
Yves	PROPN	Yves
ressemble	VERB	ressemble
à	ADP	à
tous	ADJ	tout
les	DET	le
autres	ADJ	autre
livrets	NOUN	livret
de	ADP	de
tous	ADJ	tout
les	DET	le
autres	ADJ	autre
marins	NOUN	marin
.	PUNCT	.

	SPACE	

Il	PRON	il
est	AUX	être
recouvert	VERB	recouvrir
d'	ADP	de
un	DET	un
papier	NOUN	papier
parchemin	NOUN	parchemin
de	ADP	de
couleur	NOUN	couleur
jaune	ADJ	jaune
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
comme	SCONJ	comme
il	PRON	il
a	AUX	avoir
beaucoup	ADV	beaucoup
voyagé	VERB	voyager
sur	ADP	sur
la	DET	le
mer	NOUN	mer
,	PUNCT	,
dans	ADP	dans
différents	ADJ	différent
caissons	NOUN	caisson
de	ADP	de
navire	NOUN	navire
,	PUNCT	,
il	PRON	il
manque	VERB	manque
absolument	ADV	absolument
de	ADP	de
fraîcheur	NOUN	fraîcheur
.	PUNCT	.

	SPACE	

En	ADP	en
grosses	ADJ	gros
lettres	NOUN	lettre
,	PUNCT	,
il	PRON	il
y	PRON	y
a	VERB	avoir
sur	ADP	sur
la	DET	le
couverture	NOUN	couverture
:	PUNCT	:

	SPACE	

Kermadec	PROPN	Kermadec
,	PUNCT	,
2091	NUM	2091
.	PUNCT	.
P.	NOUN	p.

	SPACE	

Kermadec	PROPN	Kermadec
,	PUNCT	,
c'	PRON	ce
est	AUX	être
son	DET	son
nom	NOUN	nom
de	ADP	de
famille	NOUN	famille
;	PUNCT	;
2091	NUM	2091
,	PUNCT	,
son	DET	son
numéro	NOUN	numéro
dans	ADP	dans
l'	DET	le
armée	NOUN	armée
de	ADP	de
mer	NOUN	mer
,	PUNCT	,
et	CCONJ	et
P	NOUN	p
,	PUNCT	,
la	DET	le
lettre	NOUN	lettre
initiale	ADJ	initial
de	ADP	de
Paimpol	PROPN	Paimpol
son	DET	son
port	NOUN	port
d'	ADP	de
inscription	NOUN	inscription
.	PUNCT	.

	SPACE	

En	ADP	en
ouvrant	VERB	ouvrir
,	PUNCT	,
on	PRON	on
trouve	VERB	trouve
,	PUNCT	,
à	ADP	à
la	DET	le
première	ADJ	premier
page	NOUN	page
,	PUNCT	,
les	DET	le
indications	NOUN	indication
suivantes	ADJ	suivant
:	PUNCT	:

	SPACE	

«	PUNCT	«
Kermadec	PROPN	Kermadec
(	PUNCT	(
Yves	PROPN	Yves
-	PROPN	-
Marie	PROPN	Marie
)	PUNCT	)
,	PUNCT	,
fils	NOUN	fils
d'	ADP	de
Yves	PROPN	Yves
-	PROPN	-
Marie	PROPN	Marie
et	CCONJ	et
de	ADP	de
Jeanne	PROPN	Jeanne
Danveoch	PROPN	Danveoch
.	PUNCT	.
Né	VERB	naître
le	DET	le
28	NUM	28
août	NOUN	août
1851	NUM	1851
,	PUNCT	,
à	ADP	à
Saint-Pol-de-Léon	PROPN	Saint-Pol-de-Léon
(	PUNCT	(
Finistère	PROPN	Finistère
)	PUNCT	)
.	PUNCT	.
Taille	NOUN	taille
,	PUNCT	,
1	NUM	1
m	NOUN	m
80	NUM	80
.	PUNCT	.
Cheveux	NOUN	cheveu
châtains	ADJ	châtain
,	PUNCT	,
sourcils	NOUN	sourcil
châtains	ADJ	châtain
,	PUNCT	,
yeux	NOUN	oeil
châtains	ADJ	châtain
,	PUNCT	,
nez	NOUN	nez
moyen	ADJ	moyen
,	PUNCT	,
menton	NOUN	menton
ordinaire	ADJ	ordinaire
,	PUNCT	,
front	NOUN	front
ordinaire	ADJ	ordinaire
,	PUNCT	,
visage	NOUN	visage
ovale	ADJ	ovale
.	PUNCT	.
»	PUNCT	»

	SPACE	

«	PUNCT	«
Marques	NOUN	marque
particulières	ADJ	particulier
:	PUNCT	:
tatoué	VERB	tatouer
au	ADP	au
sein	NOUN	sein
gauche	ADJ	gauche
d'	ADP	de
une	DET	un
ancre	NOUN	ancre
et	CCONJ	et
,	PUNCT	,
au	ADP	au
poignet	NOUN	poignet
droit	ADJ	droit
,	PUNCT	,
d'	ADP	de
un	DET	un
bracelet	NOUN	bracelet
avec	ADP	avec
un	DET	un
poisson	NOUN	poisson
.	PUNCT	.
»	PUNCT	»

	SPACE	

Ces	DET	ce
tatouages	NOUN	tatouage
étaient	AUX	être
encore	ADV	encore
de	ADP	de
mode	NOUN	mode
,	PUNCT	,
il	PRON	il
y	PRON	y
a	VERB	avoir
une	DET	un
dizaine	NOUN	dizaine
d'	ADP	de
années	NOUN	année
,	PUNCT	,
pour	ADP	pour
les	DET	le
vrais	ADJ	vrai
marins	NOUN	marin
.	PUNCT	.
Exécutés	VERB	exécuter
à	ADP	à
bord	NOUN	bord
de	ADP	de
la	DET	le
Flore	PROPN	Flore
par	ADP	par
la	DET	le
main	NOUN	main
d'	ADP	de
un	DET	un
ami	NOUN	ami
désœuvré	VERB	désœuvrer
,	PUNCT	,
ils	PRON	il
sont	AUX	être
devenus	VERB	devenir
un	DET	un
objet	NOUN	objet
de	ADP	de
mortification	NOUN	mortification
pour	ADP	pour
Yves	PROPN	Yves
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
est	AUX	être
plus	ADV	plus
d'	ADP	de
une	DET	un
fois	NOUN	fois
martyrisé	VERB	martyriser
dans	ADP	dans
l'	DET	le
espoir	NOUN	espoir
de	ADP	de
les	PRON	le
faire	AUX	faire
disparaître	VERB	disparaître
.	PUNCT	.
--	PUNCT	--
L'	DET	le
idée	NOUN	idée
qu'	SCONJ	que
il	PRON	il
est	AUX	être
marqué	VERB	marquer
d'	ADP	de
une	DET	un
manière	NOUN	manière
indélébile	ADJ	indélébile
et	CCONJ	et
qu'	SCONJ	que
on	PRON	on
le	PRON	le
reconnaîtra	VERB	reconnaître
toujours	ADV	toujours
et	CCONJ	et
partout	ADV	partout
à	ADP	à
ces	DET	ce
petits	ADJ	petit
dessins	NOUN	dessin
bleus	ADJ	bleu
lui	PRON	lui
est	AUX	être
absolument	ADV	absolument
insupportable	ADJ	insupportable
.	PUNCT	.

	SPACE	

En	ADP	en
tournant	VERB	tourner
la	DET	le
page	NOUN	page
,	PUNCT	,
on	PRON	on
trouve	VERB	trouve
une	DET	un
série	NOUN	série
de	ADP	de
feuillets	NOUN	feuillet
imprimés	VERB	imprimer
relatant	VERB	relater
,	PUNCT	,
dans	ADP	dans
un	DET	un
style	NOUN	style
net	ADJ	net
et	CCONJ	et
concis	ADJ	concis
,	PUNCT	,
tous	ADJ	tout
les	DET	le
manquements	NOUN	manquement
auxquels	PRON	auxquels
les	DET	le
matelots	NOUN	matelot
sont	AUX	être
sujets	ADJ	sujet
,	PUNCT	,
avec	ADP	avec
,	PUNCT	,
en	ADP	en
regard	NOUN	regard
,	PUNCT	,
le	DET	le
tarif	NOUN	tarif
des	ADP	de
peines	NOUN	peine
encourues	VERB	encourir
,	PUNCT	,
--	PUNCT	--
depuis	ADP	depuis
les	DET	le
désordres	NOUN	désordre
légers	ADJ	léger
qui	PRON	qui
se	PRON	se
payent	VERB	payer
par	ADP	par
quelques	DET	quelque
nuits	NOUN	nuit
à	ADP	à
la	DET	le
barre	NOUN	barre
de	ADP	de
fer	NOUN	fer
jusqu'	ADP	jusque
aux	ADP	à
grandes	ADJ	grand
rébellions	NOUN	rébellion
qu'	PRON	qu'
on	PRON	on
punit	VERB	punir
par	ADP	par
la	DET	le
mort	NOUN	mort
.	PUNCT	.

	SPACE	

Malheureusement	ADV	malheureusement
cette	DET	ce
lecture	NOUN	lecture
quotidienne	ADJ	quotidien
n'	ADV	n'
a	AUX	avoir
jamais	ADV	jamais
suffi	VERB	suffire
à	ADP	à
inspirer	VERB	inspirer
les	DET	le
terreurs	NOUN	terreur
salutaires	ADJ	salutaire
qu'	PRON	qu'
il	PRON	il
faudrait	VERB	falloir
,	PUNCT	,
ni	CCONJ	ni
aux	ADP	à
marins	NOUN	marin
en	ADP	en
général	ADJ	général
,	PUNCT	,
ni	CCONJ	ni
à	ADP	à
mon	DET	mon
pauvre	ADJ	pauvre
Yves	PROPN	Yves
en	ADP	en
particulier	ADJ	particulier
.	PUNCT	.

	SPACE	

Viennent	VERB	venir
ensuite	ADV	ensuite
plusieurs	DET	plusieurs
pages	NOUN	page
manuscrites	ADJ	manuscrit
portant	VERB	porter
des	DET	un
noms	NOUN	nom
de	ADP	de
navire	NOUN	navire
,	PUNCT	,
avec	ADP	avec
des	DET	un
cachets	NOUN	cachet
bleus	ADJ	bleu
,	PUNCT	,
des	DET	un
chiffres	NOUN	chiffre
et	CCONJ	et
des	DET	un
dates	NOUN	date
.	PUNCT	.
Les	DET	le
fourriers	NOUN	fourrier
,	PUNCT	,
gens	NOUN	gens
de	ADP	de
goût	NOUN	goût
,	PUNCT	,
ont	AUX	avoir
orné	VERB	orner
cette	DET	ce
partie	NOUN	partie
d'	ADP	de
élégants	ADJ	élégant
parafes	NOUN	parafe
.	PUNCT	.
C'	PRON	ce
est	AUX	être
là	ADV	là
que	PRON	que
sont	AUX	être
marquées	VERB	marquer
ses	DET	son
campagnes	NOUN	campagne
et	CCONJ	et
détaillés	VERB	détailler
les	DET	le
salaires	NOUN	salaire
qu'	PRON	qu'
il	PRON	il
a	AUX	avoir
reçus	VERB	recevoir
.	PUNCT	.

	SPACE	

Premières	ADJ	premier
années	NOUN	année
,	PUNCT	,
où	PRON	où
il	PRON	il
gagnait	VERB	gagner
par	ADP	par
mois	NOUN	mois
quinze	NUM	quinze
francs	NOUN	franc
,	PUNCT	,
dont	PRON	dont
il	PRON	il
gardait	VERB	garder
dix	PRON	dix
pour	ADP	pour
sa	DET	son
mère	NOUN	mère
;	PUNCT	;
années	NOUN	année
passées	VERB	passer
la	DET	le
