 
	SPACE	 

Première	ADJ	premier
partie	NOUN	partie

	SPACE	

I	ADJ	i
--	PUNCT	--
Au	ADP	au
village	NOUN	village

	SPACE	

Je	PRON	je
suis	AUX	être
un	DET	un
enfant	NOUN	enfant
trouvé	VERB	trouver
.	PUNCT	.

	SPACE	

Mais	CCONJ	mais
,	PUNCT	,
jusqu'	ADP	jusque
à	ADP	à
huit	NUM	huit
ans	NOUN	an
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
cru	VERB	croire
que	SCONJ	que
,	PUNCT	,
comme	ADP	comme
tous	ADJ	tout
les	DET	le
autres	ADJ	autre
enfants	NOUN	enfant
,	PUNCT	,
j'	PRON	je
avais	VERB	avoir
une	DET	un
mère	NOUN	mère
,	PUNCT	,
car	CCONJ	car
,	PUNCT	,
lorsque	SCONJ	lorsque
je	PRON	je
pleurais	VERB	pleurer
,	PUNCT	,
il	PRON	il
y	PRON	y
avait	VERB	avoir
une	DET	un
femme	NOUN	femme
qui	PRON	qui
me	PRON	me
serrait	VERB	serrer
si	ADV	si
doucement	ADV	doucement
dans	ADP	dans
ses	DET	son
bras	NOUN	bras
en	ADP	en
me	PRON	me
berçant	VERB	bercer
,	PUNCT	,
que	SCONJ	que
mes	DET	mon
larmes	NOUN	larme
s'	PRON	se
arrêtaient	VERB	arrêter
de	ADP	de
couler	VERB	couler
.	PUNCT	.

	SPACE	

Jamais	ADV	jamais
je	PRON	je
ne	ADV	ne
me	PRON	me
couchais	VERB	coucher
dans	ADP	dans
mon	DET	mon
lit	NOUN	lit
sans	ADP	sans
qu'	SCONJ	que
une	DET	un
femme	NOUN	femme
vint	VERB	venir
m'	PRON	me
embrasser	VERB	embrasser
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
quand	SCONJ	quand
le	DET	le
vent	NOUN	vent
de	ADP	de
décembre	NOUN	décembre
collait	VERB	coller
la	DET	le
neige	NOUN	neige
contre	ADP	contre
les	DET	le
vitres	NOUN	vitre
blanchies	VERB	blanchir
,	PUNCT	,
elle	PRON	lui
me	PRON	me
prenait	VERB	prendre
les	DET	le
pieds	NOUN	pied
entre	ADP	entre
ses	DET	son
deux	NUM	deux
mains	NOUN	main
et	CCONJ	et
elle	PRON	lui
restait	VERB	rester
à	ADP	à
me	PRON	me
les	PRON	le
réchauffer	VERB	réchauffer
en	ADP	en
me	PRON	me
chantant	VERB	chanter
une	DET	un
chanson	NOUN	chanson
,	PUNCT	,
dont	PRON	dont
je	PRON	je
retrouve	VERB	retrouve
encore	ADV	encore
dans	ADP	dans
ma	DET	mon
mémoire	NOUN	mémoire
l'	DET	le
air	NOUN	air
et	CCONJ	et
quelques	DET	quelque
paroles	NOUN	parole
.	PUNCT	.

	SPACE	

Quand	SCONJ	quand
j'	PRON	je
avais	VERB	avoir
une	DET	un
querelle	NOUN	querelle
avec	ADP	avec
un	PRON	un
de	ADP	de
mes	DET	mon
camarades	NOUN	camarade
,	PUNCT	,
elle	PRON	lui
me	PRON	me
faisait	VERB	faire
conter	VERB	conter
mes	DET	mon
chagrins	NOUN	chagrin
,	PUNCT	,
et	CCONJ	et
presque	ADV	presque
toujours	ADV	toujours
elle	PRON	lui
trouvait	VERB	trouver
de	DET	de
bonnes	ADJ	bon
paroles	NOUN	parole
pour	ADP	pour
me	PRON	me
consoler	VERB	consoler
ou	CCONJ	ou
me	PRON	me
donner	VERB	donner
raison	NOUN	raison
.	PUNCT	.

	SPACE	

Par	ADP	par
tout	ADJ	tout
cela	PRON	cela
et	CCONJ	et
par	ADP	par
bien	ADV	bien
d'	DET	d'
autres	ADJ	autre
choses	NOUN	chose
encore	ADV	encore
,	PUNCT	,
par	ADP	par
la	DET	le
façon	NOUN	façon
dont	PRON	dont
elle	PRON	lui
me	PRON	me
parlait	VERB	parler
,	PUNCT	,
par	ADP	par
la	DET	le
façon	NOUN	façon
dont	PRON	dont
elle	PRON	lui
me	PRON	me
regardait	VERB	regarder
,	PUNCT	,
par	ADP	par
ses	DET	son
caresses	NOUN	caresse
,	PUNCT	,
par	ADP	par
la	DET	le
douceur	NOUN	douceur
qu'	PRON	qu'
elle	PRON	lui
mettait	VERB	mettre
dans	ADP	dans
ses	DET	son
gronderies	NOUN	gronderie
,	PUNCT	,
je	PRON	je
c	VERB	c
