 
	SPACE	 

CHAPITRE	NOUN	chapitre
PREMIER	ADJ	premier

	SPACE	

Sous	ADP	sous
le	DET	le
figuier	NOUN	figuier
.	PUNCT	.
—	PUNCT	—
Un	DET	un
quatrain	NOUN	quatrain
d'	ADP	de
Amyot	PROPN	Amyot
.	PUNCT	.
—	PUNCT	—
Partie	NOUN	partie
manquée	VERB	manquer
.	PUNCT	.

	SPACE	

Ce	PRON	ce
n'	ADV	n'
est	AUX	être
pas	ADV	pas
un	DET	un
livre	NOUN	livre
portatif	ADJ	portatif
ni	CCONJ	ni
aisé	ADJ	aisé
à	ADP	à
manier	VERB	manier
que	SCONJ	que
le	DET	le
volume	NOUN	volume
contenant	VERB	contenir
les	DET	le
vies	NOUN	vie
des	ADP	de
hommes	NOUN	homme
illustres	ADJ	illustre
par	ADP	par
Plutarque	PROPN	Plutarque
,	PUNCT	,
traduction	NOUN	traduction
d'	ADP	de
Amyot	PROPN	Amyot
,	PUNCT	,
imprimé	VERB	imprimer
chez	ADP	chez
Jérémie	PROPN	Jérémie
des	ADP	de
Planches	NOUN	planche
en	ADP	en
1583	NUM	1583
.	PUNCT	.
A	ADP	à
moins	ADV	moins
d'	ADP	de
offrir	VERB	offrir
le	DET	le
support	NOUN	support
gigantesque	ADJ	gigantesque
d'	ADP	de
un	DET	un
lutrin	NOUN	lutrin
d'	ADP	de
église	NOUN	église
,	PUNCT	,
nul	DET	nul
pupitre	NOUN	pupitre
ne	ADV	ne
maintiendrait	VERB	maintenir
devant	ADP	devant
le	DET	le
lecteur	NOUN	lecteur
cet	DET	ce
énorme	ADJ	énorme
in	NOUN	in
-	NOUN	-
quarto	NOUN	quarto
,	PUNCT	,
qui	PRON	qui
contient	VERB	contenir
quinze	NUM	quinze
cent	NUM	cent
cinquante	NUM	cinquante
pages	NOUN	page
de	ADP	de
texte	NOUN	texte
,	PUNCT	,
non	ADV	non
compris	ADJ	compris
le	DET	le
discours	NOUN	discours
préliminaire	ADJ	préliminaire
et	CCONJ	et
la	DET	le
dédicace	NOUN	dédicace
«	PUNCT	«
au	ADP	au
très	ADV	très
puissant	ADJ	puissant
et	CCONJ	et
très	ADV	très
chrétien	ADJ	chrétien
roi	NOUN	roi
de	ADP	de
France	PROPN	France
,	PUNCT	,
Henri	PROPN	Henri
,	PUNCT	,
deuxième	ADJ	deuxième
du	ADP	de
nom	NOUN	nom
»	PUNCT	»
.	PUNCT	.

	SPACE	

De	ADP	de
toutes	ADJ	tout
les	DET	le
combinaisons	NOUN	combinaison
que	PRON	que
puissent	VERB	pouvoir
s'	PRON	se
ingénier	VERB	ingénier
à	ADP	à
inventer	VERB	inventer
les	DET	le
lecteurs	NOUN	lecteur
des	ADP	de
rares	ADJ	rare
exemplaires	NOUN	exemplaire
de	ADP	de
cette	DET	ce
édition	NOUN	édition
,	PUNCT	,
aucune	PRON	aucun
ne	ADV	ne
réunirait	VERB	réunir
peut-être	ADV	peut-être
les	DET	le
conditions	NOUN	condition
d'	ADP	de
agrément	NOUN	agrément
et	CCONJ	et
de	ADP	de
confortable	NOUN	confortable
dans	ADP	dans
lesquelles	PRON	lequel
Bernard	PROPN	Bernard
Mailhes	PROPN	Mailhes
,	PUNCT	,
jeune	ADJ	jeune
rhétoricien	NOUN	rhétoricien
en	ADP	en
vacances	NOUN	vacance
,	PUNCT	,
faisait	VERB	faire
à	ADP	à
haute	ADJ	haut
voix	NOUN	voix
la	DET	le
lecture	NOUN	lecture
de	ADP	de
la	DET	le
vie	NOUN	vie
d'	ADP	de
Alexandre	PROPN	Alexandre
le	DET	le
Grand	PROPN	Grand
,	PUNCT	,
dans	ADP	dans
le	DET	le
jardin	NOUN	jardin
de	ADP	de
sa	DET	son
marraine	NOUN	marraine
,	PUNCT	,
par	ADP	par
une	DET	un
chaude	ADJ	chaud
après-midi	NOUN	après-midi
de	ADP	de
1873	NUM	1873
.	PUNCT	.

	SPACE	

Le	DET	le
Plutarque	PROPN	Plutarque
était	AUX	être
posé	VERB	poser
sur	ADP	sur
une	DET	un
table	NOUN	table
rustique	ADJ	rustique
,	PUNCT	,
surmontée	VERB	surmonter
d'	ADP	de
un	DET	un
pupitre	NOUN	pupitre
d'	ADP	de
étude	NOUN	étude
en	ADP	en
bois	NOUN	bois
noirci	VERB	noircir
,	PUNCT	,
dont	PRON	dont
le	DET	le
bord	NOUN	bord
inférieur	ADJ	inférieur
s'	PRON	se
encadrait	VERB	encadrer
dans	ADP	dans
une	DET	un
petite	ADJ	petit
plinthe	NOUN	plinthe
saillante	ADJ	saillant
qui	PRON	qui
maintenait	VERB	maintenir

	SPACE	

maintenait	VERB	maintenir
volume	NOUN	volume
.	PUNCT	.
Cette	DET	ce
installation	NOUN	installation
était	AUX	être
faite	VERB	faire
au	ADP	au
pied	NOUN	pied
d'	ADP	de
un	DET	un
gros	ADJ	gros
figuier	NOUN	figuier
dont	PRON	dont
le	DET	le
dôme	NOUN	dôme
touffu	ADJ	touffu
interceptait	VERB	intercepter
les	DET	le
rayons	NOUN	rayon
du	ADP	de
soleil	NOUN	soleil
.	PUNCT	.
Quelques	DET	quelque
zébrures	NOUN	zébrure
lumineuses	ADJ	lumineux
doraient	VERB	dorer
çà	ADV	çà
et	CCONJ	et
là	ADV	là
les	DET	le
pages	NOUN	page
jaunies	VERB	jaunir
du	ADP	de
livre	NOUN	livre
,	PUNCT	,
lorsqu'	SCONJ	lorsque
une	PRON	un
de	ADP	de
ces	DET	ce
poussées	NOUN	poussée
capricieuses	ADJ	capricieux
du	ADP	de
vent	NOUN	vent
,	PUNCT	,
si	ADV	si
fréquentes	ADJ	fréquent
dans	ADP	dans
la	DET	le
région	NOUN	région
des	ADP	de
Pyrénées	NOUN	pyrénée
,	PUNCT	,
agitait	VERB	agiter
l'	DET	le
épais	ADJ	épais
branchage	NOUN	branchage
.	PUNCT	.
Il	PRON	il
était	AUX	être
rare	ADJ	rare
que	SCONJ	que
ce	DET	ce
mouvement	NOUN	mouvement
de	ADP	de
la	DET	le
lourde	ADJ	lourd
ramure	NOUN	ramure
ne	ADV	ne
fût	AUX	être
pas	ADV	pas
suivi	VERB	suivre
de	ADP	de
la	DET	le
chute	NOUN	chute
à	ADP	à
terre	NOUN	terre
d'	ADP	de
une	DET	un
figue	NOUN	figue
à	ADP	à
demi	ADV	demi
fendue	VERB	fendre
par	ADP	par
la	DET	le
maturité	NOUN	maturité
et	CCONJ	et
offrant	VERB	offrir
à	ADP	à
sa	DET	son
partie	NOUN	partie
convexe	ADJ	convexe
cette	DET	ce
goutte	NOUN	goutte
de	ADP	de
suc	NOUN	suc
mielleux	ADJ	mielleux
qu'	PRON	qu'
on	PRON	on
appelle	VERB	appeler
avec	ADP	avec
raison	NOUN	raison
la	DET	le
perle	NOUN	perle
,	PUNCT	,
car	CCONJ	car
c'	PRON	ce
est	AUX	être
en	ADP	en
elle	PRON	lui
que	PRON	que
se	PRON	se
concentrent	VERB	concentrer
la	DET	le
saveur	NOUN	saveur
et	CCONJ	et
le	DET	le
parfum	NOUN	parfum
du	ADP	de
fruit	NOUN	fruit
.	PUNCT	.

	SPACE	

C'	PRON	ce
étaient	AUX	être
alors	ADV	alors
des	DET	un
rires	NOUN	rire
dans	ADP	dans
l'	DET	le
auditoire	NOUN	auditoire
,	PUNCT	,
suivis	VERB	suivre
d'	ADP	de
un	DET	un
débat	NOUN	débat
amical	ADJ	amical
par	ADP	par
lequel	PRON	lequel
chacun	PRON	chacun
voulait	VERB	vouloir
laisser	VERB	laisser
à	ADP	à
autrui	PRON	autrui
le	DET	le
privilège	NOUN	privilège
de	ADP	de
manger	VERB	manger
le	DET	le
fruit	NOUN	fruit
tombé	VERB	tomber
.	PUNCT	.
La	DET	le
marraine	NOUN	marraine
de	ADP	de
Bernard	PROPN	Bernard
,	PUNCT	,
Mme	NOUN	mme
Suzanne	PROPN	Suzanne
Doulis	PROPN	Doulis
,	PUNCT	,
qu'	PRON	qu'
on	PRON	on
appelait	VERB	appeler
maman	NOUN	maman
Suzette	PROPN	Suzette
dans	ADP	dans
tout	ADJ	tout
le	DET	le
canton	NOUN	canton
de	ADP	de
Montserrou	PROPN	Montserrou
,	PUNCT	,
adjugeait	VERB	adjuger
en	ADP	en
dernier	ADJ	dernier
ressort	NOUN	ressort
cette	DET	ce
petite	ADJ	petit
aubaine	NOUN	aubaine
de	ADP	de
hasard	NOUN	hasard
.	PUNCT	.
Habituellement	ADV	habituellement
,	PUNCT	,
chacun	PRON	chacun
approuvait	VERB	approuver
sa	DET	son
décision	NOUN	décision
,	PUNCT	,
lorsqu'	SCONJ	lorsque
elle	PRON	lui
octroyait	VERB	octroyer
la	DET	le
figue	NOUN	figue
tombée	VERB	tomber
au	ADP	au
lecteur	NOUN	lecteur
,	PUNCT	,
qui	PRON	qui
avait	VERB	avoir
plus	ADV	plus
besoin	NOUN	besoin
que	SCONJ	que
son	DET	son
auditoire	NOUN	auditoire
de	ADP	de
se	PRON	se
rafraîchir	VERB	rafraîchir
le	DET	le
gosier	NOUN	gosier
.	PUNCT	.
Mais	CCONJ	mais
une	DET	un
voix	NOUN	voix
malicieuse	ADJ	malicieux
protesta	VERB	protester
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
contre	ADP	contre
le	DET	le
geste	NOUN	geste
de	ADP	de
maman	NOUN	maman
Suzette	PROPN	Suzette
,	PUNCT	,
lorsqu'	SCONJ	lorsque
elle	PRON	lui
tendit	VERB	tendre
à	ADP	à
son	DET	son
filleul	NOUN	filleul
un	DET	un
fruit	NOUN	fruit
que	PRON	que
Rose	PROPN	Rose
,	PUNCT	,
Mariette	PROPN	Mariette
et	CCONJ	et
papa	NOUN	papa
Jacques	PROPN	Jacques
,	PUNCT	,
consultés	VERB	consulter
à	ADP	à
la	DET	le
ronde	NOUN	ronde
,	PUNCT	,
avaient	AUX	avoir
refusé	VERB	refuser
tour	ADV	tour
à	ADP	à
