 
	SPACE	 

I	NOUN	i
--	PUNCT	--
Entre	ADP	entre
Domfront	PROPN	Domfront
et	CCONJ	et
Comlie	PROPN	Comlie
.	PUNCT	.

	SPACE	

Une	DET	un
plaine	NOUN	plaine
,	PUNCT	,
des	DET	un
champs	NOUN	champ
cultivés	ADJ	cultivé
que	PRON	que
traverse	VERB	traverse
une	DET	un
grande	ADJ	grand
route	NOUN	route
.	PUNCT	.
À	ADP	à
l'	DET	le
horizon	NOUN	horizon
,	PUNCT	,
des	DET	un
collines	NOUN	colline
basses	ADJ	bas
,	PUNCT	,
une	DET	un
futaie	NOUN	futaie
,	PUNCT	,
les	DET	le
toits	NOUN	toit
d'	ADP	de
un	DET	un
village	NOUN	village
,	PUNCT	,
sur	ADP	sur
la	DET	le
route	NOUN	route
,	PUNCT	,
une	DET	un
maison	NOUN	maison
isolée	VERB	isoler
.	PUNCT	.
Les	DET	le
maisons	NOUN	maison
,	PUNCT	,
comme	ADP	comme
les	DET	le
rues	NOUN	rue
et	CCONJ	et
les	DET	le
hommes	NOUN	homme
,	PUNCT	,
ont	VERB	avoir
une	DET	un
physionomie	NOUN	physionomie
 	SPACE	 
:	PUNCT	:
les	DET	le
unes	PRON	un
ont	VERB	avoir
l'	DET	le
air	NOUN	air
calme	ADJ	calme
,	PUNCT	,
d'	DET	d'
autres	ADJ	autre
,	PUNCT	,
l'	DET	le
air	NOUN	air
affairé	ADJ	affairé
.	PUNCT	.
Par	ADP	par
cette	DET	ce
porte	NOUN	porte
,	PUNCT	,
doit	VERB	devoir
passer	VERB	passer
un	DET	un
célibataire	NOUN	célibataire
 	SPACE	 
;	PUNCT	;
de	ADP	de
cette	DET	ce
fenêtre	NOUN	fenêtre
,	PUNCT	,
il	PRON	il
ne	ADV	ne
peut	VERB	pouvoir
sortir	VERB	sortir
que	ADV	que
des	DET	un
voix	NOUN	voix
d'	ADP	de
enfants	NOUN	enfant
.	PUNCT	.
–	PUNCT	–
Ne	ADV	ne
voudriez	VERB	vouloir
-vous	PRON	vous
pas	ADV	pas
aimer	VERB	aimer
sous	ADP	sous
ce	DET	ce
toit	NOUN	toit
,	PUNCT	,
pleurer	VERB	pleurer
sous	ADP	sous
cet	DET	ce
autre	PRON	autre
 	SPACE	 
?	PUNCT	?
–	PUNCT	–
Comme	SCONJ	comme
on	PRON	on
doit	VERB	devoir
être	AUX	être
heureux	ADJ	heureux
derrière	ADP	derrière
cette	DET	ce
cloison	NOUN	cloison
 	SPACE	 
;	PUNCT	;
mais	CCONJ	mais
que	SCONJ	que
l'	PRON	l'
on	PRON	on
doit	VERB	devoir
souffrir	VERB	souffrir
à	ADP	à
l'	DET	le
ombre	NOUN	ombre
de	ADP	de
ce	DET	ce
mur	NOUN	mur
 	SPACE	 
!	PUNCT	!
…	PUNCT	…

	SPACE	

Celle	PRON	celui
-là	PRON	-là
ressemblait	VERB	ressembler
aux	ADP	à
maisons	NOUN	maison
dont	PRON	dont
les	DET	le
journaux	NOUN	journal
illustrés	VERB	illustrer
donnent	VERB	donner
le	DET	le
Fac	NOUN	fac
simile	ADJ	simil
,	PUNCT	,
lors	ADV	lors
des	ADP	de
grands	ADJ	grand
procès	NOUN	procès
en	ADP	en
cour	NOUN	cour
d'	ADP	de
assises	NOUN	assise
,	PUNCT	,
avec	ADP	avec
ces	DET	ce
mots	NOUN	mot
écrits	VERB	écrire
au	ADV	au
-	ADV	-
dessous	ADV	dessous
 	SPACE	 
:	PUNCT	:
Maison	NOUN	maison
du	ADP	de
crime	NOUN	crime
 	SPACE	 
!	PUNCT	!
Elle	PRON	lui
était	AUX	être
sinistre	ADJ	sinistre
 	SPACE	 
:	PUNCT	:
sa	DET	son
porte	NOUN	porte
,	PUNCT	,
garnie	VERB	garnir
de	ADP	de
clous	NOUN	clou
à	ADP	à
têtes	NOUN	tête
rouillées	VERB	rouiller
,	PUNCT	,
semblait	VERB	sembler
ne	ADV	ne
devoir	VERB	devoir
s'	PRON	se
ouvrir	VERB	ouvrir
que	ADV	que
devant	ADP	devant
une	DET	un
sommation	NOUN	sommation
.	PUNCT	.
La	DET	le
poussière	NOUN	poussière
du	ADP	de
chemin	NOUN	chemin
s'	PRON	se
était	AUX	être
attachée	VERB	attacher
invinciblement	ADV	invinciblement
aux	ADP	à
carreaux	NOUN	carreau
de	ADP	de
ses	DET	son
étroites	ADJ	étroit
fenêtres	NOUN	fenêtre
.	PUNCT	.
Le	DET	le
tout	NOUN	tout
,	PUNCT	,
noirci	VERB	noircir
et	CCONJ	et
délabré	VERB	délabrer
,	PUNCT	,
n'	ADV	n'
avait	VERB	avoir
qu'	ADV	qu'
une	DET	un
longue	ADJ	long
cheminée	NOUN	cheminée
dont	PRON	dont
nulle	DET	nul
fumée	NOUN	fumée
ne	ADV	ne
s'	PRON	se
échappait	VERB	échapper
.	PUNCT	.

	SPACE	

La	DET	le
fumée	NOUN	fumée
implique	VERB	implique
le	DET	le
feu	NOUN	feu
qui	PRON	qui
pétille	VERB	pétille
,	PUNCT	,
–	PUNCT	–
le	DET	le
repas	NOUN	repas
qu'	PRON	qu'
on	PRON	on
apprête	VERB	apprête
,	PUNCT	,
–	PUNCT	–
la	DET	le
ménagère	NOUN	ménagère
qui	PRON	qui
va	VERB	aller
et	CCONJ	et
vient	VERB	venir
,	PUNCT	,
son	DET	son
tablier	NOUN	tablier
retroussé	VERB	retrousser
sur	ADP	sur
le	DET	le
côté	NOUN	côté
,	PUNCT	,
–	PUNCT	–
des	DET	un
enfants	NOUN	enfant
qui	PRON	qui
crient	VERB	crier
,	PUNCT	,
–	PUNCT	–
des	DET	un
casseroles	NOUN	casserole
qui	PRON	qui
chantent	VERB	chanter
 	SPACE	 
:	PUNCT	:
–	PUNCT	–
mille	NUM	mille
choses	NOUN	chose
joyeuses	ADJ	joyeux
dont	PRON	dont
cette	DET	ce
maison	NOUN	maison
paraissait	VERB	paraître
dépourvue	ADJ	dépourvu
.	PUNCT	.

	SPACE	

Flanqué	VERB	flanquer
contre	ADP	contre
elle	PRON	lui
,	PUNCT	,
un	DET	un
toit	NOUN	toit
à	ADP	à
porcs	NOUN	porc
,	PUNCT	,
à	ADP	à
demi	ADV	demi
caché	VERB	cacher
par	ADP	par
une	DET	un
touffe	NOUN	touffe
de	ADP	de
sureaux	NOUN	sureau
 	SPACE	 
;	PUNCT	;
de	DET	de
maigres	ADJ	maigre
poules	NOUN	poule
errant	VERB	errer
dans	ADP	dans
la	DET	le
cour	NOUN	cour
 	SPACE	 
;	PUNCT	;
un	DET	un
chien	NOUN	chien
étique	ADJ	étique
dans	ADP	dans
une	DET	un
niche	NOUN	niche
vermoulue	ADJ	vermoudre
 	SPACE	 
;	PUNCT	;
un	DET	un
jardin	NOUN	jardin
rempli	VERB	remplir
de	ADP	de
mauvaises	ADJ	mauvais
herbes	NOUN	herbe
et	CCONJ	et
des	DET	un
arbres	NOUN	arbre
mal	ADV	mal
taillés	VERB	tailler
entrecroisant	VERB	entrecroiser
leurs	DET	leur
branches	NOUN	branche
folles	ADJ	fou
et	CCONJ	et
,	PUNCT	,
partout	ADV	partout
alentour	ADV	alentour
,	PUNCT	,
la	DET	le
plaine	NOUN	plaine
nue	ADJ	nu
,	PUNCT	,
le	DET	le
jour	NOUN	jour
qui	PRON	qui
tombe	VERB	tombe
.	PUNCT	.

	SPACE	

Tout	ADV	tout
à	ADP	à
coup	NOUN	coup
,	PUNCT	,
–	PUNCT	–
pareil	ADJ	pareil
à	ADP	à
un	DET	un
foyer	NOUN	foyer
dont	PRON	dont
la	DET	le
flamme	NOUN	flamme
,	PUNCT	,
avant	ADP	avant
de	ADP	de
disparaître	VERB	disparaître
,	PUNCT	,
remplit	VERB	remplir
l'	DET	le
appartement	NOUN	appartement
d'	ADP	de
un	DET	un
jet	NOUN	jet
de	ADP	de
clarté	NOUN	clarté
,	PUNCT	,
–	PUNCT	–
le	DET	le
soleil	NOUN	soleil
couchant	ADJ	couchant
illumine	VERB	illumine
le	DET	le
paysage	NOUN	paysage
.	PUNCT	.
Et	CCONJ	et
,	PUNCT	,
–	PUNCT	–
pareilles	ADJ	pareil
à	ADP	à
un	DET	un
vieillard	NOUN	vieillard
qui	PRON	qui
semble	VERB	semble
rajeunir	VERB	rajeunir
,	PUNCT	,
lorsqu'	SCONJ	lorsque
un	DET	un
éclair	NOUN	éclair
de	ADP	de
mémoire	NOUN	mémoire
ou	CCONJ	ou
d'	ADP	de
intelligence	NOUN	intelligence
traverse	VERB	traverse
son	DET	son
cerveau	NOUN	cerveau
,	PUNCT	,
–	PUNCT	–
la	DET	le
plaine	NOUN	plaine
et	CCONJ	et
la	DET	le
maison	NOUN	maison
retrouvèrent	VERB	retrouver
un	DET	un
peu	NOUN	peu
de	ADP	de
charme	NOUN	charme
et	CCONJ	et
de	ADP	de
vie	NOUN	vie
sous	ADP	sous
le	DET	le
soleil	NOUN	soleil
.	PUNCT	.
La	DET	le
lumière	NOUN	lumière
occidentale	ADJ	occidental
fit	AUX	faire
étinceler	VERB	étinceler
l'	DET	le
herbe	NOUN	herbe
mouillée	ADJ	mouiller
 	SPACE	 
;	PUNCT	;
l'	DET	le
eau	NOUN	eau
des	ADP	de
fossés	NOUN	fossé
qui	PRON	qui
bordaient	VERB	bordayer
la	DET	le
route	NOUN	route
brilla	VERB	briller
comme	ADP	comme
un	DET	un
miroir	NOUN	miroir
d'	ADP	de
acier	NOUN	acier
 	SPACE	 
;	PUNCT	;
les	DET	le
vitres	NOUN	vitre
des	ADP	de
croisées	NOUN	croisée
répercutèrent	VERB	répercuter
mille	NUM	mille
rayons	NOUN	rayon
.	PUNCT	.
Les	DET	le
fleurs	NOUN	fleur
des	ADP	de
arbres	NOUN	arbre
prirent	VERB	prendre
des	DET	un
teintes	NOUN	teinte
d'	ADP	de
or	NOUN	or
,	PUNCT	,
et	CCONJ	et
la	DET	le
flamme	NOUN	flamme
