 
	SPACE	 

PREMIÈRE	ADJ	premier
PARTIE	NOUN	partie

	SPACE	

I	ADJ	i

	SPACE	

Quand	SCONJ	quand
j'	PRON	je
étais	VERB	être
au	ADP	au
collège	NOUN	collège
–	PUNCT	–
il	PRON	il
y	PRON	y
a	VERB	avoir
de	ADP	de
ceci	PRON	ceci
trente	NUM	trente
ans	NOUN	an
et	CCONJ	et
plus	ADV	plus
–	PUNCT	–
,	PUNCT	,
j'	PRON	je
allais	VERB	aller
chaque	DET	chaque
année	NOUN	année
passer	VERB	passer
une	DET	un
partie	NOUN	partie
de	ADP	de
mes	DET	mon
vacances	NOUN	vacance
chez	ADP	chez
un	DET	un
oncle	NOUN	oncle
de	ADP	de
ma	DET	mon
mère	NOUN	mère
,	PUNCT	,
lequel	PRON	lequel
habitait	VERB	habiter
une	DET	un
jolie	ADJ	joli
maison	NOUN	maison
de	ADP	de
campagne	NOUN	campagne
dans	ADP	dans
la	DET	le
haute	ADJ	haut
Provence	PROPN	Provence
,	PUNCT	,
à	ADP	à
quelques	DET	quelque
lieues	NOUN	lieue
de	ADP	de
la	DET	le
frontière	NOUN	frontière
du	ADP	de
Piémont	PROPN	Piémont
.	PUNCT	.
Cet	DET	ce
oncle	NOUN	oncle
était	AUX	être
un	DET	un
ancien	ADJ	ancien
bénédictin	NOUN	bénédictin
tout	ADV	tout
pétri	VERB	pétrir
de	ADP	de
science	NOUN	science
et	CCONJ	et
nourri	VERB	nourrir
d'	ADP	de
in	NOUN	in
-	NOUN	-
folio	NOUN	folio
 	SPACE	 
;	PUNCT	;
on	PRON	on
s'	PRON	se
accordait	VERB	accorder
à	ADP	à
dire	VERB	dire
qu'	SCONJ	que
il	PRON	il
aurait	AUX	avoir
été	AUX	être
une	PRON	un
des	ADP	de
gloires	NOUN	gloire
de	ADP	de
la	DET	le
savante	ADJ	savant
congrégation	NOUN	congrégation
de	ADP	de
Saint-Maur	PROPN	Saint-Maur
,	PUNCT	,
si	SCONJ	si
la	DET	le
Révolution	NOUN	révolution
ne	ADV	ne
l'	PRON	l'
avait	AUX	avoir
chassé	VERB	chasser
de	ADP	de
son	DET	son
couvent	NOUN	couvent
lorsqu'	SCONJ	lorsque
il	PRON	il
achevait	VERB	achever
à	ADP	à
peine	ADV	peine
son	DET	son
noviciat	NOUN	noviciat
.	PUNCT	.

	SPACE	

Dom	PROPN	Dom
Gérusac	PROPN	Gérusac
,	PUNCT	,
comme	SCONJ	comme
on	PRON	on
l'	PRON	l'
appelait	VERB	appeler
encore	ADV	encore
dans	ADP	dans
la	DET	le
famille	NOUN	famille
,	PUNCT	,
n'	ADV	n'
avait	VERB	avoir
guère	ADV	guère
que	ADV	que
vingt-cinq	NUM	vingt-cinq
ans	NOUN	an
lors	ADV	lors
de	ADP	de
la	DET	le
promulgation	NOUN	promulgation
du	ADP	de
décret	NOUN	décret
qui	PRON	qui
rompait	VERB	rompre
ses	DET	son
vœux	NOUN	vœu
religieux	ADJ	religieux
 	SPACE	 
;	PUNCT	;
mais	CCONJ	mais
il	PRON	il
ne	ADV	ne
profita	VERB	profiter
pas	ADV	pas
du	ADP	de
bénéfice	NOUN	bénéfice
de	ADP	de
cette	DET	ce
loi	NOUN	loi
pour	ADP	pour
rentrer	VERB	rentrer
dans	ADP	dans
le	DET	le
courant	NOUN	courant
des	ADP	de
choses	NOUN	chose
humaines	ADJ	humain
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
essaya	VERB	essayer
pas	ADV	pas
non	ADV	non
plus	ADV	plus
de	ADP	de
retourner	VERB	retourner
à	ADP	à
la	DET	le
vie	NOUN	vie
monastique	ADJ	monastique
,	PUNCT	,
et	CCONJ	et
n'	ADV	n'
alla	VERB	aller
pas	ADV	pas
,	PUNCT	,
comme	ADP	comme
la	DET	le
plupart	NOUN	plupart
des	ADP	de
membres	NOUN	membre
de	ADP	de
l'	DET	le
ordre	NOUN	ordre
,	PUNCT	,
reprendre	VERB	reprendre
dans	ADP	dans
quelque	DET	quelque
couvent	NOUN	couvent
d'	ADP	de
Espagne	PROPN	Espagne
ou	CCONJ	ou
d'	ADP	de
Italie	PROPN	Italie
l'	DET	le
habit	NOUN	habit
de	ADP	de
saint	NOUN	saint
Benoît	PROPN	Benoît
.	PUNCT	.
Quand	SCONJ	quand
l'	DET	le
orage	NOUN	orage
révolutionnaire	ADJ	révolutionnaire
fut	AUX	être
un	DET	un
peu	ADV	peu
apaisé	VERB	apaiser
,	PUNCT	,
il	PRON	il
réunit	VERB	réunir
les	DET	le
débris	NOUN	débris
de	ADP	de
l'	DET	le
héritage	NOUN	héritage
paternel	ADJ	paternel
,	PUNCT	,
et	CCONJ	et
se	PRON	se
réfugia	VERB	réfugier
sur	ADP	sur
un	DET	un
coin	NOUN	coin
de	ADP	de
terre	NOUN	terre
qu'	PRON	qu'
il	PRON	il
appela	VERB	appeler
Saint-Pierre-de-Corbie	PROPN	Saint-Pierre-de-Corbie
,	PUNCT	,
en	ADP	en
souvenir	NOUN	souvenir
de	ADP	de
la	DET	le
célèbre	ADJ	célèbre
maison	NOUN	maison
où	PRON	où
il	PRON	il
avait	AUX	avoir
passé	VERB	passer
les	DET	le
premières	ADJ	premier
années	NOUN	année
de	ADP	de
sa	DET	son
studieuse	ADJ	studieux
jeunesse	NOUN	jeunesse
.	PUNCT	.
Ce	DET	ce
petit	ADJ	petit
domaine	NOUN	domaine
était	AUX	être
pour	ADP	pour
ainsi	ADV	ainsi
dire	ADV	dire
caché	VERB	cacher
dans	ADP	dans
un	DET	un
pli	NOUN	pli
des	ADP	de
Alpes	NOUN	alpe
,	PUNCT	,
sur	ADP	sur
le	DET	le
versant	NOUN	versant
méridional	ADJ	méridional
de	ADP	de
cette	DET	ce
chaîne	NOUN	chaîne
de	ADP	de
montagnes	NOUN	montagne
qui	PRON	qui
va	VERB	aller
s'	PRON	se
abaissant	VERB	abaisser
graduellement	ADV	graduellement
jusqu'	ADP	jusque
à	ADP	à
l'	DET	le
embouchure	NOUN	embouchure
du	ADP	de
Var	PROPN	Var
.	PUNCT	.
C'	PRON	ce
était	AUX	être
un	DET	un
site	NOUN	site
tout	ADV	tout
à	ADP	à
la	DET	le
fois	NOUN	fois
sauvage	ADJ	sauvage
et	CCONJ	et
riant	ADJ	riant
 	SPACE	 
;	PUNCT	;
la	DET	le
maison	NOUN	maison
,	PUNCT	,
bâtie	VERB	bâtir
sur	ADP	sur
une	DET	un
petite	ADJ	petit
colline	NOUN	colline
,	PUNCT	,
était	AUX	être
dominée	VERB	dominer
par	ADP	par
d'	DET	d'
immenses	ADJ	immense
cônes	NOUN	cône
rocheux	ADJ	rocheux
aux	ADP	à
pentes	NOUN	pente
desquels	PRON	desquels
croissaient	VERB	croître
quelques	DET	quelque
bouquets	NOUN	bouquet
de	ADP	de
chênes	NOUN	chêne
et	CCONJ	et
une	DET	un
multitude	NOUN	multitude
d'	ADP	de
arbrisseaux	NOUN	arbrisseau
.	PUNCT	.
On	PRON	on
y	PRON	y
arrivait	VERB	arriver
par	ADP	par
un	DET	un
chemin	NOUN	chemin
sinueux	ADJ	sinueux
,	PUNCT	,
bordé	VERB	border
de	ADP	de
saules	NOUN	saule
et	CCONJ	et
de	ADP	de
peupliers	NOUN	peuplier
d'	ADP	de
Italie	PROPN	Italie
.	PUNCT	.
Ces	DET	ce
arbres	NOUN	arbre
formaient	VERB	former
,	PUNCT	,
des	ADP	de
deux	NUM	deux
côtés	NOUN	côté
,	PUNCT	,
comme	ADP	comme
un	DET	un
clair	ADJ	clair
rideau	NOUN	rideau
de	ADP	de
feuillage	NOUN	feuillage
,	PUNCT	,
à	ADP	à
travers	NOUN	travers
lequel	PRON	lequel
on	PRON	on
apercevait	VERB	apercevoir
des	DET	un
prairies	NOUN	prairie
,	PUNCT	,
des	DET	un
vergers	NOUN	verger
d'	ADP	de
oliviers	NOUN	olivier
et	CCONJ	et
des	DET	un
allées	NOUN	allée
de	ADP	de
vignes	NOUN	vigne
qui	PRON	qui
ressemblaient	VERB	ressembler
à	ADP	à
de	DET	de
longs	ADJ	long
rubans	NOUN	ruban
verts	ADJ	vert
de	ADP	de
diverses	ADJ	divers
nuances	NOUN	nuance
,	PUNCT	,
déroulés	VERB	dérouler
sur	ADP	sur
un	DET	un
sol	NOUN	sol
crayeux	ADJ	crayeux
.	PUNCT	.

	SPACE	

Ordinairement	ADV	ordinairement
la	DET	le
diligence	NOUN	diligence
me	PRON	me
déposait	VERB	déposer
au	ADP	au
bord	NOUN	bord
de	ADP	de
la	DET	le
grande	ADJ	grand
route	NOUN	route
,	PUNCT	,
à	ADP	à
une	DET	un
bonne	ADJ	bon
lieue	NOUN	lieue
de	ADP	de
là	ADV	là
,	PUNCT	,
et	CCONJ	et
je	PRON	je
prenais	VERB	prendre
un	DET	un
chemin	NOUN	chemin
de	ADP	de
traverse	NOUN	traverse
où	PRON	où
jamais	ADV	jamais
cocher	NOUN	cocher
ni	CCONJ	ni
voiturier	NOUN	voiturier
n'	ADV	n'
aurait	AUX	avoir
osé	VERB	oser
lancer	VERB	lancer
son	DET	son
équipage	NOUN	équipage
.	PUNCT	.
J'	PRON	je
avançais	VERB	avancer
leste	ADJ	leste
et	CCONJ	et
content	ADJ	content
sur	ADP	sur
cette	DET	ce
voie	NOUN	voie
peu	ADV	peu
fréquentée	VERB	fréquenter
 	SPACE	 
;	PUNCT	;
j'	PRON	je
étais	AUX	être
ravi	ADJ	ravir
de	ADP	de
m'	PRON	me
en	PRON	en
aller	VERB	aller
ainsi	ADV	ainsi
tout	ADV	tout
seul	ADJ	seul
,	PUNCT	,
mes	DET	mon
hardes	NOUN	harde
nouées	VERB	nouer
dans	ADP	dans
un	DET	un
mouchoir	NOUN	mouchoir
et	CCONJ	et
le	DET	le
bâton	NOUN	bâton
de	ADP	de
voyageur	NOUN	voyageur
à	ADP	à
la	DET	le
main	NOUN	main
,	PUNCT	,
