 
	SPACE	 

I	NOUN	i

	SPACE	

«	PUNCT	«
...	PUNCT	...
Et	CCONJ	et
arrive	VERB	arrive
le	DET	le
plus	ADV	plus
tôt	ADV	tôt
que	PRON	que
tu	PRON	tu
pourras	VERB	pouvoir
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
Henri	PROPN	Henri
.	PUNCT	.
Je	PRON	je
t'	PRON	te
attends	VERB	attendre
avec	ADP	avec
impatience	NOUN	impatience
.	PUNCT	.
D'	ADP	de
ailleurs	ADV	ailleurs
,	PUNCT	,
le	DET	le
pays	NOUN	pays
est	AUX	être
magnifique	ADJ	magnifique
,	PUNCT	,
et	CCONJ	et
cette	DET	ce
région	NOUN	région
de	ADP	de
la	DET	le
Basse	ADJ	bas
Hongrie	PROPN	Hongrie
est	AUX	être
de	ADP	de
nature	NOUN	nature
à	ADP	à
intéresser	VERB	intéresser
un	DET	un
ingénieur	NOUN	ingénieur
.	PUNCT	.
Ne	ADV	ne
serait	VERB	être
-ce	PRON	-ce
qu'	SCONJ	que
à	ADP	à
ce	DET	ce
point	NOUN	point
de	ADP	de
vue	NOUN	vue
,	PUNCT	,
tu	PRON	tu
ne	ADV	ne
regretteras	VERB	regretter
pas	ADV	pas
ton	DET	ton
voyage	NOUN	voyage
.	PUNCT	.

	SPACE	

«	PUNCT	«
À	ADP	à
toi	PRON	toi
de	ADP	de
tout	DET	tout
cœur	NOUN	cœur
,	PUNCT	,

	SPACE	

«	PUNCT	«
Marc	PROPN	Marc
VIDAL	PROPN	VIDAL
.	PUNCT	.
»	PUNCT	»

	SPACE	

Ainsi	ADV	ainsi
se	PRON	se
terminait	VERB	terminer
la	DET	le
lettre	NOUN	lettre
que	PRON	que
je	PRON	je
reçus	VERB	recevoir
de	ADP	de
mon	DET	mon
frère	NOUN	frère
,	PUNCT	,
le	DET	le
4	NUM	4
avril	NOUN	avril
1757	NUM	1757
.	PUNCT	.

	SPACE	

Aucun	DET	aucun
signe	NOUN	signe
prémonitoire	ADJ	prémonitoire
ne	ADV	ne
marqua	VERB	marquer
l'	DET	le
arrivée	NOUN	arrivée
de	ADP	de
cette	DET	ce
lettre	NOUN	lettre
,	PUNCT	,
qui	PRON	qui
me	PRON	me
parvint	VERB	parvenir
de	ADP	de
la	DET	le
manière	NOUN	manière
habituelle	ADJ	habituel
,	PUNCT	,
c'	ADV	c'
est	ADV	est
-	ADV	-
à	ADV	à
-	ADV	-
dire	ADV	dire
par	ADP	par
l'	DET	le
entremise	NOUN	entremise
successive	ADJ	successif
du	ADP	de
piéton	NOUN	piéton
,	PUNCT	,
du	ADP	de
portier	NOUN	portier
et	CCONJ	et
de	ADP	de
mon	DET	mon
valet	NOUN	valet
,	PUNCT	,
lequel	PRON	lequel
,	PUNCT	,
sans	ADP	sans
se	PRON	se
douter	VERB	douter
de	ADP	de
l'	DET	le
importance	NOUN	importance
de	ADP	de
son	DET	son
geste	NOUN	geste
,	PUNCT	,
me	PRON	me
la	PRON	le
présenta	VERB	présenter
sur	ADP	sur
un	DET	un
plateau	NOUN	plateau
avec	ADP	avec
sa	DET	son
tranquillité	NOUN	tranquillité
coutumière	ADJ	coutumier
.	PUNCT	.

	SPACE	

Et	CCONJ	et
pareille	ADJ	pareil
fut	AUX	être
ma	DET	mon
tranquillité	NOUN	tranquillité
,	PUNCT	,
tandis	ADV	tandis
que	SCONJ	que
j'	PRON	je
ouvrais	VERB	ouvrir
le	DET	le
pli	NOUN	pli
et	CCONJ	et
que	SCONJ	que
je	PRON	je
le	PRON	le
lisais	VERB	lire
jusqu'	ADP	jusque
au	ADP	au
bout	NOUN	bout
,	PUNCT	,
jusqu'	ADP	jusque
à	ADP	à
ces	DET	ce
dernières	ADJ	dernier
lignes	NOUN	ligne
,	PUNCT	,
qui	PRON	qui
contenaient	VERB	contenir
pourtant	ADV	pourtant
en	ADP	en
germe	NOUN	germe
les	DET	le
événements	NOUN	événement
extraordinaires	ADJ	extraordinaire
auxquels	PRON	auxquels
j'	PRON	je
allais	VERB	aller
être	AUX	être
mêlé	VERB	mêler
.	PUNCT	.

	SPACE	

Tel	ADJ	tel
est	AUX	être
l'	DET	le
aveuglement	NOUN	aveuglement
des	ADP	de
hommes	NOUN	homme
!	PUNCT	!
C'	PRON	ce
est	VERB	être
ainsi	ADV	ainsi
que	PRON	que
se	PRON	se
tisse	VERB	tisse
sans	ADP	sans
cesse	NOUN	cesse
,	PUNCT	,
à	ADP	à
leur	DET	leur
insu	NOUN	insu
,	PUNCT	,
la	DET	le
trame	NOUN	trame
mystérieuse	ADJ	mystérieux
de	ADP	de
leur	DET	leur
destin	NOUN	destin
!	PUNCT	!

	SPACE	

Mon	DET	mon
frère	NOUN	frère
disait	VERB	dire
vrai	ADJ	vrai
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
regrette	VERB	regrette
pas	ADV	pas
ce	DET	ce
voyage	NOUN	voyage
.	PUNCT	.
Mais	CCONJ	mais
ai	VERB	avoir
-je	PRON	je
raison	NOUN	raison
de	ADP	de
le	PRON	le
raconter	VERB	raconter
?	PUNCT	?
N'	ADV	n'
est	VERB	être
-il	PRON	il
pas	ADV	pas
de	ADP	de
ces	DET	ce
choses	NOUN	chose
qu'	PRON	qu'
il	PRON	il
vaut	VERB	valoir
mieux	ADV	mieux
taire	VERB	taire
?	PUNCT	?
Qui	PRON	qui
ajoutera	VERB	ajouter
foi	NOUN	foi
à	ADP	à
une	DET	un
histoire	NOUN	histoire
si	ADV	si
étrange	ADJ	étrange
,	PUNCT	,
que	SCONJ	que
les	DET	le
plus	ADV	plus
audacieux	ADJ	audacieux
poètes	NOUN	poète
n'	ADV	n'
eussent	AUX	avoir
sans	ADP	sans
doute	NOUN	doute
pas	ADV	pas
osé	VERB	oser
l'	PRON	l'
écrire	VERB	écrire
?	PUNCT	?

	SPACE	

Eh	INTJ	Eh
bien	ADV	bien
,	PUNCT	,
soit	VERB	être
!	PUNCT	!
J'	PRON	je
en	PRON	en
courrai	VERB	courir
le	DET	le
risque	NOUN	risque
.	PUNCT	.
Qu'	SCONJ	que
on	PRON	on
doive	VERB	devoir
ou	CCONJ	ou
non	ADV	non
me	PRON	me
croire	VERB	croire
,	PUNCT	,
je	PRON	je
cède	VERB	céder
à	ADP	à
un	DET	un
irrésistible	ADJ	irrésistible
besoin	NOUN	besoin
de	ADP	de
revivre	VERB	revivre
cette	DET	ce
série	NOUN	série
d'	ADP	de
événements	NOUN	événement
extraordinaires	ADJ	extraordinaire
,	PUNCT	,
dont	PRON	dont
la	DET	le
lettre	NOUN	lettre
de	ADP	de
mon	DET	mon
frère	NOUN	frère
constitue	VERB	constitue
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
le	DET	le
prologue	NOUN	prologue
.	PUNCT	.

	SPACE	

Mon	DET	mon
frère	NOUN	frère
Marc	PROPN	Marc
,	PUNCT	,
alors	ADV	alors
âgé	ADJ	âgé
de	ADP	de
vingt-huit	NUM	vingt-huit
ans	NOUN	an
,	PUNCT	,
avait	AUX	avoir
déjà	ADV	déjà
obtenu	VERB	obtenir
des	DET	un
succès	NOUN	succès
flatteurs	ADJ	flatteur
comme	ADP	comme
peintre	NOUN	peintre
de	ADP	de
portraits	NOUN	portrait
.	PUNCT	.
La	DET	le
plus	ADV	plus
tendre	ADJ	tendre
,	PUNCT	,
la	DET	le
plus	ADV	plus
étroite	ADJ	étroit
affection	NOUN	affection
nous	PRON	nous
liait	VERB	lier
l'	DET	le
un	PRON	un
à	ADP	à
l'	DET	le
autre	PRON	autre
.	PUNCT	.
De	ADP	de
ma	DET	mon
part	NOUN	part
,	PUNCT	,
un	DET	un
peu	NOUN	peu
d'	ADP	de
amour	NOUN	amour
paternel	ADJ	paternel
,	PUNCT	,
car	CCONJ	car
j'	PRON	je
étais	AUX	être
son	DET	son
aîné	NOUN	aîné
de	ADP	de
huit	NUM	huit
ans	NOUN	an
.	PUNCT	.
Nous	PRON	nous
avions	AUX	avoir
été	AUX	être
,	PUNCT	,
jeunes	ADJ	jeune
encore	ADV	encore
,	PUNCT	,
privés	VERB	priver
de	ADP	de
notre	DET	notre
père	NOUN	père
et	CCONJ	et
de	ADP	de
notre	DET	notre
mère	NOUN	mère
,	PUNCT	,
et	CCONJ	et
c'	PRON	ce
était	AUX	être
moi	PRON	moi
,	PUNCT	,
le	DET	le
grand	ADJ	grand
frère	NOUN	frère
,	PUNCT	,
qui	PRON	qui
avais	AUX	avoir
dû	VERB	devoir
faire	VERB	faire
l'	DET	le
éducation	NOUN	éducation
de	ADP	de
Marc	PROPN	Marc
.	PUNCT	.
Comme	SCONJ	comme
il	PRON	il
montrait	VERB	montrer
d'	DET	d'
étonnantes	ADJ	étonnant
dispositions	NOUN	disposition
pour	ADP	pour
la	DET	le
peinture	NOUN	peinture
,	PUNCT	,
je	PRON	je
l'	PRON	l'
avais	AUX	avoir
poussé	VERB	pousser
vers	ADP	vers
cette	DET	ce
carrière	NOUN	carrière
,	PUNCT	,
où	PRON	où
il	PRON	il
devait	VERB	devoir
obtenir	VERB	obtenir
des	DET	un
succès	NOUN	succès
si	ADV	si
personnels	ADJ	personnel
et	CCONJ	et
si	ADV	si
mérités	ADJ	mérité
.	PUNCT	.

	SPACE	

Mais	CCONJ	mais
voici	VERB	voici
que	SCONJ	que
Marc	PROPN	Marc
était	AUX	être
à	ADP	à
la	DET	le
veille	NOUN	veille
de	ADP	de
se	PRON	se
marier	VERB	marier
.	PUNCT	.
Depuis	ADP	depuis
quelque	DET	quelque
temps	NOUN	temps
déjà	ADV	déjà
,	PUNCT	,
il	PRON	il
résidait	VERB	résider
à	ADP	à
Ragz	PROPN	Ragz
,	PUNCT	,
une	DET	un
importante	ADJ	important
ville	NOUN	ville
de	ADP	de
la	DET	le
Hongrie	PROPN	Hongrie
méridionale	ADJ	méridional
.	PUNCT	.
Plusieurs	DET	plusieurs
