 
	SPACE	 

I.	NOUN	i.

	SPACE	

Come	PROPN	Come
,	PUNCT	,
quando	X	quando
i	PRON	i
vapori	X	vapori
umidi	PROPN	umidi
e	SYM	e
spessi	PROPN	spessi

	SPACE	

A	ADP	à
diradar	X	diradar
cominciansi	PROPN	cominciansi
,	PUNCT	,
la	DET	le
spera	NOUN	spera

	SPACE	

Del	ADP	del
sol	NOUN	sol
debilemente	X	debilemente
entra	VERB	entrer
per	X	per
essi	X	essi
...	PUNCT	...

	SPACE	

PURG	PROPN	PURG
.	PUNCT	.
XVII	NUM	XVII
.	PUNCT	.

	SPACE	

Le	DET	le
grondement	NOUN	grondement
du	ADP	de
fleuve	NOUN	fleuve
monte	VERB	monte
derrière	ADP	derrière
la	DET	le
maison	NOUN	maison
.	PUNCT	.
La	DET	le
pluie	NOUN	pluie
bat	VERB	battre
les	DET	le
carreaux	NOUN	carreau
depuis	ADP	depuis
le	DET	le
commencement	NOUN	commencement
du	ADP	de
jour	NOUN	jour
.	PUNCT	.
Une	DET	un
buée	NOUN	buée
d'	ADP	de
eau	NOUN	eau
ruisselle	VERB	ruisseler
sur	ADP	sur
la	DET	le
vitre	NOUN	vitre
au	ADP	au
coin	NOUN	coin
fêlé	VERB	fêler
.	PUNCT	.
Le	DET	le
jour	NOUN	jour
jaunâtre	ADJ	jaunâtre
s'	PRON	se
éteint	VERB	éteindre
.	PUNCT	.
Il	PRON	il
fait	VERB	faire
tiède	ADJ	tiède
et	CCONJ	et
fade	ADJ	fade
dans	ADP	dans
la	DET	le
chambre	NOUN	chambre
.	PUNCT	.

	SPACE	

Le	DET	le
nouveau	NOUN	nouveau
-	NOUN	-
né	NOUN	né
s'	PRON	se
agite	VERB	agite
dans	ADP	dans
son	DET	son
berceau	NOUN	berceau
.	PUNCT	.
Bien	ADV	bien
que	SCONJ	que
le	DET	le
vieux	PRON	vieux
ait	AUX	avoir
laissé	VERB	laisser
,	PUNCT	,
pour	ADP	pour
entrer	VERB	entrer
,	PUNCT	,
ses	DET	son
sabots	NOUN	sabot
à	ADP	à
la	DET	le
porte	NOUN	porte
,	PUNCT	,
son	DET	son
pas	NOUN	pas
a	AUX	avoir
fait	AUX	faire
craquer	VERB	craquer
le	DET	le
plancher	NOUN	plancher
:	PUNCT	:
l'	DET	le
enfant	NOUN	enfant
commence	VERB	commencer
à	ADP	à
geindre	VERB	geindre
.	PUNCT	.
La	DET	le
mère	NOUN	mère
se	PRON	se
penche	VERB	penche
hors	ADP	hors
de	ADP	de
son	DET	son
lit	NOUN	lit
,	PUNCT	,
afin	ADV	afin
de	ADP	de
le	PRON	le
rassurer	VERB	rassurer
;	PUNCT	;
et	CCONJ	et
le	DET	le
grand-père	NOUN	grand-père
allume	VERB	allume
la	DET	le
lampe	NOUN	lampe
en	ADP	en
tâtonnant	VERB	tâtonner
,	PUNCT	,
pour	ADP	pour
que	SCONJ	que
le	DET	le
petit	NOUN	petit
n'	ADV	n'
ait	VERB	avoir
pas	ADV	pas
peur	NOUN	peur
de	ADP	de
la	DET	le
nuit	NOUN	nuit
.	PUNCT	.
La	DET	le
flamme	NOUN	flamme
éclaire	VERB	éclaire
la	DET	le
figure	NOUN	figure
rouge	ADJ	rouge
du	ADP	de
vieux	ADJ	vieux
Jean-Michel	PROPN	Jean-Michel
,	PUNCT	,
sa	DET	son
barbe	NOUN	barbe
blanche	ADJ	blanc
et	CCONJ	et
rude	ADJ	rude
,	PUNCT	,
son	DET	son
air	NOUN	air
bourru	ADJ	bourru
et	CCONJ	et
ses	DET	son
yeux	NOUN	oeil
vifs	ADJ	vif
.	PUNCT	.
Il	PRON	il
vient	VERB	venir
près	ADV	près
du	ADP	de
berceau	NOUN	berceau
.	PUNCT	.
Son	DET	son
manteau	NOUN	manteau
sent	VERB	sentir
le	DET	le
mouillé	NOUN	mouillé
;	PUNCT	;
il	PRON	il
traîne	VERB	traîne
en	ADP	en
marchant	VERB	marcher
ses	DET	son
gros	ADJ	gros
chaussons	NOUN	chausson
bleus	ADJ	bleu
.	PUNCT	.
Louisa	PROPN	Louisa
lui	PRON	lui
fait	VERB	faire
signe	NOUN	signe
de	ADP	de
ne	ADV	ne
pas	ADV	pas
s'	PRON	se
approcher	VERB	approcher
.	PUNCT	.
Elle	PRON	lui
est	AUX	être
d'	ADP	de
un	DET	un
blond	NOUN	blond
presque	ADV	presque
blanc	ADJ	blanc
;	PUNCT	;
ses	DET	son
traits	NOUN	trait
sont	AUX	être
tirés	VERB	tirer
;	PUNCT	;
sa	DET	son
douce	ADJ	doux
figure	NOUN	figure
mouton	NOUN	mouton
est	AUX	être
marquée	VERB	marquer
de	ADP	de
taches	NOUN	tache
de	ADP	de
rousseur	NOUN	rousseur
;	PUNCT	;
elle	PRON	lui
a	VERB	avoir
des	DET	un
lèvres	NOUN	lèvre
pâles	ADJ	pâle
et	CCONJ	et
grosses	ADJ	gros
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
parviennent	VERB	parvenir
pas	ADV	pas
à	ADP	à
se	PRON	se
rejoindre	VERB	rejoindre
et	CCONJ	et
qui	PRON	qui
sourient	VERB	sourire
avec	ADP	avec
timidité	NOUN	timidité
;	PUNCT	;
elle	PRON	lui
couve	VERB	couve
l'	DET	le
enfant	NOUN	enfant
des	ADP	de
yeux	NOUN	oeil
--	PUNCT	--
des	DET	un
yeux	NOUN	oeil
très	ADV	très
bleus	ADJ	bleu
,	PUNCT	,
très	ADV	très
vagues	ADJ	vague
,	PUNCT	,
où	PRON	où
la	DET	le
prunelle	NOUN	prunelle
est	AUX	être
un	DET	un
point	NOUN	point
tout	ADV	tout
petit	ADJ	petit
,	PUNCT	,
mais	CCONJ	mais
infiniment	ADV	infiniment
tendre	ADJ	tendre
.	PUNCT	.

	SPACE	

L'	DET	le
enfant	NOUN	enfant
s'	PRON	se
éveille	VERB	éveille
et	CCONJ	et
pleure	VERB	pleure
.	PUNCT	.
Son	DET	son
regard	NOUN	regard
trouble	ADJ	trouble
s'	PRON	se
agite	VERB	agite
.	PUNCT	.
Quelle	DET	quel
épouvante	NOUN	épouvante
!	PUNCT	!
Les	DET	le
ténèbres	NOUN	ténèbre
,	PUNCT	,
l'	DET	le
éclat	NOUN	éclat
brutal	ADJ	brutal
de	ADP	de
la	DET	le
lampe	NOUN	lampe
,	PUNCT	,
les	DET	le
hallucinations	NOUN	hallucination
d'	ADP	de
un	DET	un
cerveau	NOUN	cerveau
à	ADP	à
peine	ADV	peine
dégagé	VERB	dégager
du	ADP	de
chaos	NOUN	chaos
,	PUNCT	,
la	DET	le
nuit	NOUN	nuit
étouffante	ADJ	étouffant
et	CCONJ	et
grouillante	ADJ	grouillant
qui	PRON	qui
l'	PRON	l'
entoure	VERB	entoure
,	PUNCT	,
l'	DET	le
ombre	NOUN	ombre
sans	ADP	sans
fond	NOUN	fond
d'	ADP	de
où	PRON	où
se	PRON	se
détachent	VERB	détacher
,	PUNCT	,
comme	ADP	comme
des	DET	un
jets	NOUN	jet
aveuglants	ADJ	aveuglant
de	ADP	de
lumière	NOUN	lumière
,	PUNCT	,
des	DET	un
sensations	NOUN	sensation
aiguës	ADJ	aigu
,	PUNCT	,
des	DET	un
douleurs	NOUN	douleur
,	PUNCT	,
des	DET	un
fantômes	NOUN	fantôme
:	PUNCT	:
ces	DET	ce
figures	NOUN	figure
énormes	ADJ	énorme
qui	PRON	qui
se	PRON	se
penchent	VERB	pencher
sur	ADP	sur
lui	PRON	lui
,	PUNCT	,
ces	DET	ce
yeux	NOUN	oeil
qui	PRON	qui
le	PRON	le
pénètrent	VERB	pénétrer
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
enfoncent	VERB	enfoncer
en	ADP	en
lui	PRON	lui
,	PUNCT	,
et	CCONJ	et
qu'	PRON	qu'
il	PRON	il
ne	ADV	ne
comprend	VERB	comprendre
pas	ADV	pas
!	PUNCT	!
...	PUNCT	...
Il	PRON	il
n'	ADV	n'
a	VERB	avoir
pas	ADV	pas
la	DET	le
force	NOUN	force
de	ADP	de
crier	VERB	crier
;	PUNCT	;
la	DET	le
terreur	NOUN	terreur
le	PRON	le
cloue	VERB	cloue
immobile	ADJ	immobile
,	PUNCT	,
les	DET	le
yeux	NOUN	oeil
,	PUNCT	,
la	DET	le
bouche	NOUN	bouche
ouverts	ADJ	ouvert
,	PUNCT	,
soufflant	VERB	souffler
du	ADP	de
fond	NOUN	fond
de	ADP	de
la	DET	le
gorge	NOUN	gorge
.	PUNCT	.
Sa	DET	son
grosse	ADJ	gros
tête	NOUN	tête
boursouflée	VERB	boursoufler
se	PRON	se
plisse	VERB	plisse
de	ADP	de
grimaces	NOUN	grimace
lamentables	ADJ	lamentable
et	CCONJ	et
grotesques	ADJ	grotesque
;	PUNCT	;
la	DET	le
peau	NOUN	peau
de	ADP	de
sa	DET	son
figure	NOUN	figure
et	CCONJ	et
de	ADP	de
ses	DET	son
mains	NOUN	main
est	AUX	être
brune	ADJ	brun
,	PUNCT	,
violacée	ADJ	violacé
,	PUNCT	,
avec	ADP	avec
des	DET	un
taches	NOUN	tache
jaunâtres	ADJ	jaunâtre
...	PUNCT	...

	SPACE	

--	PUNCT	--
Bon	ADJ	bon
Dieu	PROPN	Dieu
!	PUNCT	!
qu'	SCONJ	que
il	PRON	il
est	AUX	être
laid	ADJ	laid
!	PUNCT	!
fit	VERB	faire
le	DET	le
vieux	ADJ	vieux
,	PUNCT	,
d'	ADP	de
un	DET	un
ton	NOUN	ton
convaincu	VERB	convaincre
.	PUNCT	.
Il	PRON	il
alla	VERB	aller
reposer	VERB	reposer
la	DET	le
lampe	NOUN	lampe
sur	ADP	sur
la	DET	le
table	NOUN	table
.	PUNCT	.

	SPACE	

Louisa	PROPN	Louisa
fit	VERB	faire
une	DET	un
moue	NOUN	moue
de	ADP	de
petite	ADJ	petit
fille	NOUN	fille
grondée	VERB	gronder
.	PUNCT	.
