 
	SPACE	 

Chapitre	NOUN	chapitre
    	SPACE	    
1	NUM	1

	SPACE	

La	DET	le
marche	NOUN	marche
des	ADP	de
bûcherons	NOUN	bûcheron

	SPACE	

LE	DET	le
SOLEIL	NOUN	soleil
DÉCLINAIT	VERB	décliner
.	PUNCT	.
LE	DET	le
vent	NOUN	vent
d'	ADP	de
est	VERB	être
mouillait	VERB	mouiller
la	DET	le
crête	NOUN	crête
des	ADP	de
mottes	NOUN	motte
,	PUNCT	,
activait	VERB	activer
la	DET	le
moisissure	NOUN	moisissure
des	ADP	de
feuilles	NOUN	feuille
tombées	VERB	tomber
,	PUNCT	,
et	CCONJ	et
couvrait	VERB	couvrir
les	DET	le
troncs	NOUN	tronc
d'	ADP	de
arbres	NOUN	arbre
,	PUNCT	,
les	DET	le
baliveaux	NOUN	baliveau
,	PUNCT	,
les	DET	le
herbes	NOUN	herbe
sans	ADP	sans
jeunesse	NOUN	jeunesse
et	CCONJ	et
molles	ADJ	mou
depuis	ADP	depuis
l'	DET	le
automne	NOUN	automne
,	PUNCT	,
d'	ADP	de
un	DET	un
vernis	NOUN	vernis
résistant	ADJ	résistant
comme	ADP	comme
celui	PRON	celui
que	PRON	que
les	DET	le
marées	NOUN	marée
soufflent	VERB	souffler
sur	ADP	sur
les	DET	le
falaises	NOUN	falaise
.	PUNCT	.
La	DET	le
mer	NOUN	mer
était	AUX	être
loin	ADV	loin
cependant	ADV	cependant
,	PUNCT	,
et	CCONJ	et
le	DET	le
vent	NOUN	vent
venait	VERB	venir
d'	ADP	de
ailleurs	ADV	ailleurs
.	PUNCT	.
Il	PRON	il
avait	AUX	avoir
traversé	VERB	traverser
les	DET	le
forêts	NOUN	forêt
du	ADP	de
Morvan	PROPN	Morvan
,	PUNCT	,
pays	NOUN	pays
de	ADP	de
fontaines	NOUN	fontaine
où	PRON	où
il	PRON	il
s'	PRON	se
était	AUX	être
trempé	VERB	tremper
,	PUNCT	,
celles	PRON	celui
de	ADP	de
Montsauche	PROPN	Montsauche
et	CCONJ	et
de	ADP	de
Montreuillon	PROPN	Montreuillon
,	PUNCT	,
plus	ADV	plus
près	ADV	près
encore	ADV	encore
celle	PRON	celui
de	ADP	de
Blin	PROPN	Blin
 	SPACE	 
;	PUNCT	;
il	PRON	il
courait	VERB	courir
vers	ADP	vers
d'	DET	d'
autres	ADJ	autre
massifs	NOUN	massif
de	ADP	de
l'	DET	le
immense	ADJ	immense
réserve	NOUN	réserve
qu'	PRON	qu'
est	AUX	être
la	DET	le
Nièvre	PROPN	Nièvre
,	PUNCT	,
vers	ADP	vers
la	DET	le
grande	ADJ	grand
forêt	NOUN	forêt
de	ADP	de
Tronçay	PROPN	Tronçay
,	PUNCT	,
les	DET	le
bois	NOUN	bois
de	ADP	de
Crux-la-Ville	PROPN	Crux-la-Ville
et	CCONJ	et
ceux	PRON	celui
de	ADP	de
Saint-Franchy	PROPN	Saint-Franchy
.	PUNCT	.
L'	DET	le
atmosphère	NOUN	atmosphère
semblait	VERB	sembler
pure	ADJ	pur
,	PUNCT	,
mais	CCONJ	mais
dans	ADP	dans
tous	ADJ	tout
les	DET	le
lointains	NOUN	lointain
,	PUNCT	,
au-dessus	ADV	au-dessus
des	ADP	de
taillis	NOUN	taillis
,	PUNCT	,
à	ADP	à
la	DET	le
lisière	NOUN	lisière
des	ADP	de
coupes	NOUN	coupe
,	PUNCT	,
dans	ADP	dans
le	DET	le
creux	NOUN	creux
des	ADP	de
sentiers	NOUN	sentier
,	PUNCT	,
quelque	DET	quelque
chose	NOUN	chose
de	ADP	de
bleu	ADJ	bleu
dormait	VERB	dormir
,	PUNCT	,
comme	ADP	comme
une	DET	un
fumée	NOUN	fumée
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Tu	PRON	tu
es	AUX	être
sûr	ADJ	sûr
,	PUNCT	,
Renard	PROPN	Renard
,	PUNCT	,
que	SCONJ	que
le	DET	le
chêne	NOUN	chêne
a	VERB	avoir
cent	NUM	cent
soixante	NUM	soixante
ans	NOUN	an
 	SPACE	 
?	PUNCT	?

	SPACE	

—	PUNCT	—
 	SPACE	 
Oui	ADV	oui
,	PUNCT	,
monsieur	NOUN	Monsieur
le	DET	le
comte	NOUN	comte
,	PUNCT	,
il	PRON	il
porte	VERB	porte
même	ADV	même
son	DET	son
âge	NOUN	âge
écrit	VERB	écrire
sur	ADP	sur
son	DET	son
corps	NOUN	corps
 	SPACE	 
:	PUNCT	:
voilà	VERB	voilà
les	DET	le
huit	NUM	huit
traits	NOUN	trait
rouges	ADJ	rouge
 	SPACE	 
;	PUNCT	;
je	PRON	je
les	PRON	le
ai	AUX	avoir
faits	VERB	faire
moi	PRON	moi
-	PRON	-
même	PRON	même
,	PUNCT	,
au	ADP	au
moment	NOUN	moment
du	ADP	de
balivage	NOUN	balivage
.	PUNCT	.

	SPACE	

—	PUNCT	—
 	SPACE	 
Eh	INTJ	Eh
 	SPACE	 
!	PUNCT	!
oui	ADV	oui
,	PUNCT	,
tu	PRON	tu
l'	PRON	l'
as	AUX	avoir
sauvé	VERB	sauver
,	PUNCT	,
et	CCONJ	et
maintenant	ADV	maintenant
on	PRON	on
veut	VERB	vouloir
que	SCONJ	que
je	PRON	je
le	PRON	le
condamne	VERB	condamne
à	ADP	à
mort	NOUN	mort
 	SPACE	 
!	PUNCT	!
Non	ADV	non
,	PUNCT	,
Renard	PROPN	Renard
,	PUNCT	,
je	PRON	je
ne	ADV	ne
peux	VERB	pouvoir
pas	ADV	pas
 	SPACE	 
!	PUNCT	!
Cent	NUM	Cent
soixante	NUM	soixante
ans	NOUN	an
 	SPACE	 
!	PUNCT	!
Il	PRON	il
a	AUX	avoir
vu	VERB	voir
cinq	NUM	cinq
générations	NOUN	génération
de	ADP	de
Meximieu	PROPN	Meximieu
…	PUNCT	…

	SPACE	

—	PUNCT	—
 	SPACE	 
Ça	PRON	cela
fait	VERB	faire
tout	ADV	tout
de	ADP	de
même	ADV	même
le	DET	le
trente-deuxième	ADJ	trente-deuxièm
bisancien	NOUN	bisancien
qu'	PRON	qu'
on	PRON	on
épargne	VERB	épargne
 	SPACE	 
!	PUNCT	!
À	ADP	à
ces	DET	ce
âges	NOUN	âge
-là	NOUN	-là
,	PUNCT	,
en	ADP	en
terre	NOUN	terre
médiocre	ADJ	médiocre
,	PUNCT	,
comme	ADP	comme
chez	ADP	chez
nous	PRON	nous
,	PUNCT	,
le	DET	le
chêne	NOUN	chêne
ne	ADV	ne
grossit	VERB	grossir
plus	ADV	plus
,	PUNCT	,
il	PRON	il
ne	ADV	ne
fait	VERB	faire
que	ADV	que
mûrir	VERB	mûrir
.	PUNCT	.
Enfin	ADV	enfin
,	PUNCT	,
monsieur	NOUN	Monsieur
le	DET	le
comte	NOUN	comte
est	AUX	être
libre	ADJ	libre
 	SPACE	 
;	PUNCT	;
il	PRON	il
s'	PRON	se
arrangera	VERB	arranger
avec	ADP	avec
monsieur	NOUN	Monsieur
le	DET	le
marquis	NOUN	marquis
.	PUNCT	.

	SPACE	

Le	DET	le
garde	NOUN	garde
se	PRON	se
tut	VERB	taire
.	PUNCT	.
Sa	DET	son
figure	NOUN	figure
rougeaude	ADJ	rougeaud
et	CCONJ	et
rasée	ADJ	raser
exprimait	VERB	exprimer
le	DET	le
dédain	NOUN	dédain
d'	ADP	de
un	DET	un
sous-ordre	NOUN	sous-ordre
qui	PRON	qui
fut	AUX	être
omnipotent	ADJ	omnipotent
,	PUNCT	,
pour	ADP	pour
l'	DET	le
administration	NOUN	administration
qui	PRON	qui
lui	PRON	lui
a	AUX	avoir
succédé	VERB	succéder
.	PUNCT	.
Il	PRON	il
était	AUX	être
debout	ADJ	debout
,	PUNCT	,
un	DET	un
peu	ADV	peu
en	ADP	en
arrière	ADJ	arrière
,	PUNCT	,
coiffé	VERB	coiffer
d'	ADP	de
une	DET	un
cape	NOUN	cape
de	ADP	de
velours	NOUN	velours
vert	ADJ	vert
,	PUNCT	,
au	ADP	au
chaud	ADJ	chaud
et	CCONJ	et
à	ADP	à
l'	DET	le
aise	NOUN	aise
dans	ADP	dans
un	DET	un
complet	NOUN	complet
de	ADP	de
velours	NOUN	velours
de	ADP	de
même	ADJ	même
nuance	NOUN	nuance
que	SCONJ	que
la	DET	le
cape	NOUN	cape
 	SPACE	 
;	PUNCT	;
ses	DET	son
mains	NOUN	main
,	PUNCT	,
croisées	VERB	croiser
sur	ADP	sur
son	DET	son
ventre	NOUN	ventre
,	PUNCT	,
tenaient	VERB	tenir
un	DET	un
carnet	NOUN	carnet
entrouvert	VERB	entrouvrir
 	SPACE	 
:	PUNCT	:
«	PUNCT	«
 	SPACE	 
État	NOUN	état
des	ADP	de
arbres	NOUN	arbre
anciens	ADJ	ancien
du	ADP	de
domaine	NOUN	domaine
de	ADP	de
Fonteneilles	PROPN	Fonteneilles
 	SPACE	 
»	PUNCT	»
,	PUNCT	,
et	CCONJ	et
ses	DET	son
jambes	NOUN	jambe
,	PUNCT	,
trop	ADV	trop
grêles	ADJ	grêle
pour	ADP	pour
ce	DET	ce
gros	ADJ	gros
corps	NOUN	corps
,	PUNCT	,
lui	PRON	lui
donnaient	VERB	donner
l'	DET	le
air	NOUN	air
d'	ADP	de
une	DET	un
marionnette	NOUN	marionnette
allemande	ADJ	allemand
posée	VERB	poser
sur	ADP	sur
des	DET	un
crins	NOUN	crin
.	PUNCT	.
Il	PRON	il
considérait	VERB	considérer
le	DET	le
patron	NOUN	patron
.	PUNCT	.
Le	DET	le
patron	NOUN	patron
souriait	VERB	sourire
au	ADP	au
chêne	NOUN	chêne
et	CCONJ	et
lui	PRON	lui
disait	VERB	dire
tout	ADV	tout
bas	ADV	bas
 	SPACE	 
:	PUNCT	:
«	PUNCT	«
 	SPACE	 
Allons	VERB	aller
 	SPACE	 
!	PUNCT	!
mon	DET	mon
bel	ADJ	bel
ancien	ADJ	ancien
