 
	SPACE	 

Chapitre	NOUN	chapitre
    	SPACE	    
1	NUM	1

	SPACE	

Georges	PROPN	Georges
L.	PROPN	L.
à	ADP	à
Paul	PROPN	Paul
B.	PROPN	B.
,	PUNCT	,
à	ADP	à
Paris	PROPN	Paris
Du	ADP	de
Rozel	PROPN	Rozel
,	PUNCT	,
15	NUM	15
septembre	NOUN	septembre
.	PUNCT	.

	SPACE	

IL	PRON	il
EST	AUX	être
NEUF	ADJ	neuf
HEURES	NOUN	heure
du	ADP	de
soir	NOUN	soir
,	PUNCT	,
mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
et	CCONJ	et
tu	PRON	tu
arrives	VERB	arriver
d'	ADP	de
Allemagne	PROPN	Allemagne
.	PUNCT	.
On	PRON	on
te	PRON	te
remet	VERB	remettre
ma	DET	mon
lettre	NOUN	lettre
,	PUNCT	,
dont	PRON	dont
le	DET	le
timbre	NOUN	timbre
t'	PRON	te
annonce	VERB	annoncer
d'	ADP	de
abord	ADV	abord
que	SCONJ	que
je	PRON	je
suis	AUX	être
absent	ADJ	absent
de	ADP	de
Paris	PROPN	Paris
.	PUNCT	.
Tu	PRON	tu
te	PRON	te
permets	VERB	permettre
un	DET	un
geste	NOUN	geste
d'	ADP	de
humeur	NOUN	humeur
,	PUNCT	,
et	CCONJ	et
tu	PRON	tu
me	PRON	me
traites	VERB	traire
de	ADP	de
vagabond	NOUN	vagabond
.	PUNCT	.
Cependant	ADV	cependant
,	PUNCT	,
tu	PRON	tu
te	PRON	te
plonges	VERB	plonger
dans	ADP	dans
ton	DET	ton
meilleur	ADJ	meilleur
fauteuil	NOUN	fauteuil
,	PUNCT	,
tu	PRON	tu
ouvres	VERB	ouvrir
ma	DET	mon
lettre	NOUN	lettre
,	PUNCT	,
et	CCONJ	et
tu	PRON	tu
apprends	VERB	apprendre
que	SCONJ	que
je	PRON	je
suis	AUX	être
installé	VERB	installer
depuis	ADP	depuis
cinq	NUM	cinq
jours	NOUN	jour
dans	ADP	dans
un	DET	un
moulin	NOUN	moulin
de	ADP	de
basse	ADJ	bas
Normandie	PROPN	Normandie
.	PUNCT	.
–	PUNCT	–
Un	DET	un
moulin	NOUN	moulin
 	SPACE	 
!	PUNCT	!
comment	ADV	comment
diantre	VERB	diantre
 	SPACE	 
!	PUNCT	!
que	PRON	que
peut	VERB	pouvoir
-il	PRON	il
faire	VERB	faire
dans	ADP	dans
un	DET	un
moulin	NOUN	moulin
 	SPACE	 
?	PUNCT	?
–	PUNCT	–
Ton	DET	ton
front	NOUN	front
se	PRON	se
plisse	VERB	plisse
,	PUNCT	,
tes	DET	ton
sourcils	NOUN	sourcil
se	PRON	se
rapprochent	VERB	rapprocher
 	SPACE	 
:	PUNCT	:
tu	PRON	tu
déposes	VERB	déposer
ma	DET	mon
lettre	NOUN	lettre
pour	ADP	pour
un	DET	un
moment	NOUN	moment
,	PUNCT	,
tu	PRON	tu
prétends	VERB	prétendre
pénétrer	VERB	pénétrer
ce	DET	ce
mystère	NOUN	mystère
par	ADP	par
le	DET	le
seul	ADJ	seul
effort	NOUN	effort
de	ADP	de
ton	DET	ton
imaginative	NOUN	imaginatif
.	PUNCT	.
Soudain	ADV	soudain
un	DET	un
aimable	ADJ	aimable
enjouement	NOUN	enjouement
se	PRON	se
peint	VERB	peindre
sur	ADP	sur
tes	DET	ton
traits	NOUN	trait
 	SPACE	 
;	PUNCT	;
ta	DET	ton
bouche	NOUN	bouche
exprime	VERB	exprime
l'	DET	le
ironie	NOUN	ironie
du	ADP	de
sage	NOUN	sage
,	PUNCT	,
tempérée	VERB	tempérer
par	ADP	par
l'	DET	le
indulgence	NOUN	indulgence
de	ADP	de
l'	DET	le
ami	NOUN	ami
,	PUNCT	,
tu	PRON	tu
as	AUX	avoir
entrevu	VERB	entrevoir
dans	ADP	dans
un	DET	un
nuage	NOUN	nuage
d'	ADP	de
opéra	NOUN	opéra
-	NOUN	-
comique	NOUN	comique
une	DET	un
meunière	NOUN	meunière
poudrée	VERB	poudrer
,	PUNCT	,
un	DET	un
corsage	NOUN	corsage
de	ADP	de
rubans	NOUN	ruban
en	ADP	en
échelle	NOUN	échelle
,	PUNCT	,
une	DET	un
jupe	NOUN	jupe
fine	ADJ	fin
et	CCONJ	et
courte	ADJ	court
,	PUNCT	,
et	CCONJ	et
des	DET	un
bas	NOUN	bas
à	ADP	à
coins	NOUN	coin
dorés	ADJ	doré
 	SPACE	 
;	PUNCT	;
bref	ADV	bref
,	PUNCT	,
une	PRON	un
de	ADP	de
ces	DET	ce
meunières	NOUN	meunière
dont	PRON	dont
le	DET	le
cœur	NOUN	cœur
fait	VERB	faire
tic	ADV	tic
tac	PROPN	tac
avec	ADP	avec
accompagnement	NOUN	accompagnement
de	ADP	de
hautbois	NOUN	hautbois
.	PUNCT	.
–	PUNCT	–
Mais	CCONJ	mais
les	DET	le
Grâces	NOUN	grâce
,	PUNCT	,
qui	PRON	qui
se	PRON	se
jouent	VERB	jouer
sans	ADP	sans
cesse	NOUN	cesse
devant	ADP	devant
ta	DET	ton
pensée	NOUN	pensée
,	PUNCT	,
l'	PRON	l'
égarent	VERB	égarer
parfois	ADV	parfois
 	SPACE	 
:	PUNCT	:
ma	DET	mon
meunière	NOUN	meunière
ressemble	VERB	ressemble
à	ADP	à
la	DET	le
tienne	PRON	tienne
comme	SCONJ	comme
je	PRON	je
ressemble	VERB	ressemble
au	ADP	au
jeune	ADJ	jeune
Colin	PROPN	Colin
 	SPACE	 
;	PUNCT	;
elle	PRON	lui
est	AUX	être
coiffée	VERB	coiffer
d'	ADP	de
un	DET	un
vaste	ADJ	vaste
bonnet	NOUN	bonnet
de	ADP	de
coton	NOUN	coton
,	PUNCT	,
auquel	PRON	auquel
la	DET	le
couche	NOUN	couche
la	DET	le
plus	ADV	plus
intense	ADJ	intense
de	ADP	de
farine	NOUN	farine
ne	ADV	ne
réussit	VERB	réussir
pas	ADV	pas
à	ADP	à
rendre	VERB	rendre
sa	DET	son
couleur	NOUN	couleur
primitive	ADJ	primitif
 	SPACE	 
;	PUNCT	;
elle	PRON	lui
porte	VERB	porte
un	DET	un
jupon	NOUN	jupon
d'	ADP	de
une	DET	un
laine	NOUN	laine
grossière	ADJ	grossier
,	PUNCT	,
qui	PRON	qui
écorcherait	VERB	écorcher
la	DET	le
peau	NOUN	peau
d'	ADP	de
un	DET	un
éléphant	NOUN	éléphant
 	SPACE	 
;	PUNCT	;
bref	ADV	bref
,	PUNCT	,
il	PRON	il
m'	PRON	me
arrive	VERB	arrive
fréquemment	ADV	fréquemment
de	ADP	de
confondre	VERB	confondre
la	DET	le
meunière	NOUN	meunière
avec	ADP	avec
le	DET	le
meunier	NOUN	meunier
 	SPACE	 
;	PUNCT	;
après	ADP	après
quoi	PRON	quoi
,	PUNCT	,
il	PRON	il
est	AUX	être
superflu	ADJ	superflu
d'	ADP	de
ajouter	VERB	ajouter
que	SCONJ	que
je	PRON	je
ne	ADV	ne
suis	AUX	être
nullement	ADV	nullement
curieux	ADJ	curieux
de	ADP	de
savoir	VERB	savoir
si	SCONJ	si
son	DET	son
cœur	NOUN	cœur
fait	VERB	faire
tic	NOUN	tic
tac	PROPN	tac
.	PUNCT	.

	SPACE	

La	DET	le
vérité	NOUN	vérité
est	VERB	être
que	SCONJ	que
,	PUNCT	,
ne	ADV	ne
sachant	VERB	savoir
comment	ADV	comment
tuer	VERB	tuer
le	DET	le
temps	NOUN	temps
,	PUNCT	,
en	ADP	en
ton	DET	ton
absence	NOUN	absence
,	PUNCT	,
et	CCONJ	et
n'	ADV	n'
ayant	VERB	avoir
pas	ADV	pas
lieu	NOUN	lieu
d'	ADP	de
espérer	VERB	espérer
ton	DET	ton
retour	NOUN	retour
avant	ADP	avant
un	DET	un
mois	NOUN	mois
(	PUNCT	(
c'	PRON	ce
est	AUX	être
ta	DET	ton
faute	NOUN	faute
)	PUNCT	)
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
sollicité	VERB	solliciter
une	DET	un
mission	NOUN	mission
.	PUNCT	.
Le	DET	le
conseil	NOUN	conseil
général	ADJ	général
du	ADP	de
département	NOUN	département
de	ADP	de
…	PUNCT	…
venait	VERB	venir
tout	ADV	tout
à	ADP	à
point	NOUN	point
d'	ADP	de
émettre	VERB	émettre
le	DET	le
vœu	NOUN	vœu
qu'	SCONJ	que
une	DET	un
certaine	ADJ	certain
abbaye	NOUN	abbaye
ruinée	VERB	ruiner
,	PUNCT	,
dite	VERB	dire
l'	DET	le
abbaye	NOUN	abbaye
du	ADP	de
Rozel	PROPN	Rozel
,	PUNCT	,
fût	AUX	être
classée	VERB	classer
parmi	ADP	parmi
les	DET	le
monuments	NOUN	monument
historiques	ADJ	historique
 	SPACE	 
:	PUNCT	:
on	PRON	on
m'	PRON	me
a	AUX	avoir
chargé	VERB	charger
d'	ADP	de
examiner	VERB	examiner
de	ADP	de
près	ADV	près
les	DET	le
titres	NOUN	titre
de	ADP	de
la	DET	le
postulante	NOUN	postulant
.	PUNCT	.
Je	PRON	je
me	PRON	me
suis	AUX	être
rendu	VERB	rendre
en	ADP	en
toute	DET	tout
hâte	NOUN	hâte
au	ADP	au
chef	NOUN	chef
-	NOUN	-
lieu	NOUN	lieu
de	ADP	de
ce	DET	ce
département	NOUN	département
artistique	ADJ	artistique
,	PUNCT	,
où	PRON	où
j'	PRON	je
ai	AUX	avoir
fait	VERB	faire
mon	DET	mon
entrée	NOUN	entrée
avec	ADP	avec
la	DET	le
gravité	NOUN	gravité
importante	ADJ	important
d'	ADP	de
un	DET	un
homme	NOUN	homme
qui	PRON	qui
tient	VERB	tenir
entre	ADP	entre
ses	DET	son
mains	NOUN	main
la	DET	le
vie	NOUN	vie
ou	CCONJ	ou
la	DET	le
mort	NOUN	mort
d'	ADP	de
un	DET	un
monument	NOUN	monument
cher	ADJ	cher
au	ADP	au
pays	NOUN	pays
.	PUNCT	.
