 
	SPACE	 

Chapitre	NOUN	chapitre
  	SPACE	  
1	NUM	1

	SPACE	

L'	DET	le
HOMME	NOUN	homme
MYSTÉRIEUX	ADJ	mystérieux

	SPACE	

Comment	ADV	comment
 	SPACE	 
je	PRON	je
 	SPACE	 
connus	VERB	connaître
le	DET	le
docteur	NOUN	docteur
Oméga	PROPN	Oméga
 	SPACE	 
?	PUNCT	?

	SPACE	

Ceci	PRON	ceci
est	AUX	être
toute	ADJ	tout
une	DET	un
histoire	NOUN	histoire
…	PUNCT	…
une	DET	un
histoire	NOUN	histoire
étrange	ADJ	étrange
…	PUNCT	…
fantastique	ADJ	fantastique
…	PUNCT	…
inconcevable	ADJ	inconcevable
,	PUNCT	,
et	CCONJ	et
peut-être	ADV	peut-être
serait	AUX	être
-il	PRON	il
à	ADP	à
souhaiter	VERB	souhaiter
que	SCONJ	que
je	PRON	je
n'	ADV	n'
eusse	AUX	avoir
jamais	ADV	jamais
rencontré	VERB	rencontrer
cet	DET	ce
homme	NOUN	homme
 	SPACE	 
!	PUNCT	!
…	PUNCT	…

	SPACE	

Ainsi	ADV	ainsi
ma	DET	mon
vie	NOUN	vie
n'	ADV	n'
eût	AUX	avoir
pas	ADV	pas
été	AUX	être
bouleversée	VERB	bouleverser
par	ADP	par
des	DET	un
événements	NOUN	événement
tellement	ADV	tellement
extraordinaires	ADJ	extraordinaire
que	SCONJ	que
je	PRON	je
me	PRON	me
demande	VERB	demande
parfois	ADV	parfois
si	SCONJ	si
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
pas	ADV	pas
rêvé	VERB	rêver
la	DET	le
surprenante	ADJ	surprenant
aventure	NOUN	aventure
qui	PRON	qui
m'	PRON	me
advint	VERB	advenir
et	CCONJ	et
fit	VERB	faire
de	ADP	de
moi	PRON	moi
un	DET	un
héros	NOUN	héros
,	PUNCT	,
bien	ADV	bien
que	SCONJ	que
je	PRON	je
fusse	VERB	être
assurément	ADV	assurément
le	DET	le
moins	ADV	moins
audacieux	ADJ	audacieux
des	ADP	de
mortels	NOUN	mortel
.	PUNCT	.

	SPACE	

Mais	CCONJ	mais
les	DET	le
coupures	NOUN	coupure
de	ADP	de
journaux	NOUN	journal
,	PUNCT	,
de	ADP	de
magazines	NOUN	magazine
et	CCONJ	et
de	ADP	de
revues	NOUN	revue
qui	PRON	qui
traînent	VERB	traîner
sur	ADP	sur
ma	DET	mon
table	NOUN	table
sont	VERB	être
là	ADV	là
pour	ADP	pour
me	PRON	me
rappeler	VERB	rappeler
à	ADP	à
la	DET	le
réalité	NOUN	réalité
.	PUNCT	.

	SPACE	

Non	ADV	non
 	SPACE	 
!	PUNCT	!
…	PUNCT	…
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
point	ADV	point
rêvé	VERB	rêver
…	PUNCT	…
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
pas	ADV	pas
été	AUX	être
le	DET	le
jouet	NOUN	jouet
de	ADP	de
quelque	DET	quelque
hallucination	NOUN	hallucination
morbide	ADJ	morbide
…	PUNCT	…

	SPACE	

Pendant	ADP	pendant
près	ADV	près
de	ADP	de
seize	NUM	seize
mois	NOUN	mois
j'	PRON	je
ai	AUX	avoir
effectivement	ADV	effectivement
quitté	VERB	quitter
ce	DET	ce
monde	NOUN	monde
.	PUNCT	.

	SPACE	

Quel	DET	quel
être	NOUN	être
bizarre	ADJ	bizarre
que	SCONJ	que
l'	DET	le
homme	NOUN	homme
 	SPACE	 
!	PUNCT	!
…	PUNCT	…

	SPACE	

C'	PRON	ce
est	AUX	être
presque	ADV	presque
toujours	ADV	toujours
au	ADP	au
moment	NOUN	moment
où	PRON	où
il	PRON	il
est	VERB	être
le	DET	le
plus	ADV	plus
tranquille	ADJ	tranquille
,	PUNCT	,
où	PRON	où
il	PRON	il
jouit	VERB	jouir
enfin	ADV	enfin
d'	ADP	de
un	DET	un
bonheur	NOUN	bonheur
ardemment	ADV	ardemment
convoité	VERB	convoiter
qu'	PRON	qu'
il	PRON	il
recherche	VERB	recherche
les	DET	le
plus	ADV	plus
sottes	ADJ	sot
complications	NOUN	complication
et	CCONJ	et
se	PRON	se
crée	VERB	créer
comme	ADP	comme
à	ADP	à
plaisir	NOUN	plaisir
des	DET	un
soucis	NOUN	souci
parfaitement	ADV	parfaitement
inutiles	ADJ	inutile
.	PUNCT	.

	SPACE	

Après	ADP	après
avoir	AUX	avoir
longtemps	ADV	longtemps
pourchassé	VERB	pourchasser
la	DET	le
fortune	NOUN	fortune
sans	ADP	sans
parvenir	VERB	parvenir
à	ADP	à
la	PRON	le
saisir	VERB	saisir
au	ADP	au
vol	NOUN	vol
,	PUNCT	,
j'	PRON	je
avais	AUX	avoir
eu	VERB	avoir
la	DET	le
chance	NOUN	chance
inespérée	VERB	inespérer
d'	ADP	de
hériter	VERB	hériter
un	DET	un
million	NOUN	million
d'	ADP	de
un	DET	un
vieil	ADJ	vieux
oncle	NOUN	oncle
que	PRON	que
j'	PRON	je
avais	AUX	avoir
toujours	ADV	toujours
cru	VERB	croire
pauvre	ADJ	pauvre
comme	ADP	comme
Job	PROPN	Job
parce	SCONJ	parce
qu'	SCONJ	que
il	PRON	il
vivait	VERB	vivre
dans	ADP	dans
une	DET	un
affreuse	ADJ	affreux
bicoque	NOUN	bicoque
et	CCONJ	et
portait	VERB	porter
des	DET	un
vêtements	NOUN	vêtement
sordides	ADJ	sordide
qui	PRON	qui
ne	ADV	ne
tenaient	VERB	tenir
plus	ADV	plus
que	ADV	que
par	ADP	par
miracle	NOUN	miracle
.	PUNCT	.

	SPACE	

Après	ADP	après
sa	DET	son
mort	NOUN	mort
on	PRON	on
avait	AUX	avoir
cependant	ADV	cependant
trouvé	VERB	trouver
dans	ADP	dans
sa	DET	son
paillasse	NOUN	paillasse
mille	NUM	mille
billets	NOUN	billet
de	ADP	de
mille	NUM	mille
francs	NOUN	franc
.	PUNCT	.

	SPACE	

Ils	PRON	il
étaient	AUX	être
bien	ADV	bien
un	DET	un
peu	ADV	peu
fripés	VERB	friper
,	PUNCT	,
mais	CCONJ	mais
je	PRON	je
vous	PRON	vous
prie	VERB	prier
de	ADP	de
croire	VERB	croire
que	SCONJ	que
je	PRON	je
ne	ADV	ne
fis	VERB	faire
aucune	DET	aucun
difficulté	NOUN	difficulté
pour	ADP	pour
les	PRON	le
accepter	VERB	accepter
.	PUNCT	.

	SPACE	

Dès	ADP	dès
que	SCONJ	que
je	PRON	je
fus	AUX	être
en	ADP	en
possession	NOUN	possession
de	ADP	de
cet	DET	ce
héritage	NOUN	héritage
,	PUNCT	,
je	PRON	je
me	PRON	me
retirai	VERB	retirer
aussitôt	ADV	aussitôt
en	ADP	en
province	NOUN	province
.	PUNCT	.

	SPACE	

J'	PRON	je
acquis	VERB	acquérir
à	ADP	à
Marbeuf	PROPN	Marbeuf
,	PUNCT	,
ma	DET	mon
ville	NOUN	ville
natale	ADJ	natal
,	PUNCT	,
un	DET	un
joli	ADJ	joli
cottage	NOUN	cottage
entouré	VERB	entourer
d'	ADP	de
un	DET	un
parc	NOUN	parc
de	ADP	de
cinq	NUM	cinq
hectares	NOUN	hectare
et	CCONJ	et
j'	PRON	je
abandonnai	VERB	abandonner
sans	ADP	sans
regret	NOUN	regret
ce	DET	ce
tourbillon	NOUN	tourbillon
parisien	ADJ	parisien
dans	ADP	dans
lequel	PRON	lequel
s'	PRON	se
émoussent	VERB	émousser
parfois	ADV	parfois
les	DET	le
énergies	NOUN	énergie
et	CCONJ	et
sombrent	VERB	sombrer
si	ADV	si
souvent	ADV	souvent
les	DET	le
espoirs	NOUN	espoir
.	PUNCT	.

	SPACE	

Moi	SCONJ	moi
qui	PRON	qui
avais	AUX	avoir
été	AUX	être
un	DET	un
bûcheur	NOUN	bûcheur
…	PUNCT	…
un	DET	un
infatigable	ADJ	infatigable
ouvrier	NOUN	ouvrier
de	ADP	de
lettres	NOUN	lettre
,	PUNCT	,
je	PRON	je
renonçai	VERB	renoncer
subitement	ADV	subitement
,	PUNCT	,
dès	ADP	dès
que	SCONJ	que
je	PRON	je
fus	AUX	être
riche	ADJ	riche
,	PUNCT	,
à	ADP	à
tout	DET	tout
travail	NOUN	travail
de	ADP	de
plume	NOUN	plume
,	PUNCT	,
voire	CCONJ	voire
même	ADV	même
à	ADP	à
toute	DET	tout
lecture	NOUN	lecture
.	PUNCT	.

	SPACE	

Enfermé	VERB	enfermer
dans	ADP	dans
mon	DET	mon
home	NOUN	home
,	PUNCT	,
je	PRON	je
vivais	VERB	vivre
cependant	ADV	cependant
sans	ADP	sans
ennui	NOUN	ennui
.	PUNCT	.

	SPACE	

Il	PRON	il
paraît	VERB	paraître
que	SCONJ	que
certaines	DET	certain
natures	NOUN	nature
n'	ADV	n'
ont	VERB	avoir
point	ADV	point
besoin	NOUN	besoin
d'	ADP	de
un	DET	un
monde	NOUN	monde
d'	ADP	de
incidents	NOUN	incident
pour	ADP	pour
s'	PRON	se
occuper	VERB	occuper
ou	CCONJ	ou
s'	PRON	se
amuser	VERB	amuser
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
qui	PRON	qui
paraîtrait	VERB	paraître
monotone	ADJ	monotone
aux	ADP	à
uns	NOUN	un
abonde	VERB	abonde
pour	ADP	pour
d'	DET	d'
autres	ADJ	autre
en	ADP	en
excitations	NOUN	excitation
vives	ADJ	vif
,	PUNCT	,
en	ADP	en
plaisirs	NOUN	plaisir
ineffables	ADJ	ineffable
.	PUNCT	.

	SPACE	

Tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
était	AUX	être
activité	NOUN	activité
bruyante	ADJ	bruyant
et	CCONJ	et
désordonnée	ADJ	désordonné
affligeait	VERB	affliger
mon	DET	mon
oreille	NOUN	oreille
par	ADP	par
ses	DET	son
discordances	NOUN	discordance
et	CCONJ	et
me	PRON	me
procurait	VERB	procurer
