 
	SPACE	 

MADELEINE	PROPN	MADELEINE
.	PUNCT	.

	SPACE	

TOME	NOUN	tome
PREMIER	ADJ	premier
.	PUNCT	.

	SPACE	

CHAPITRE	NOUN	chapitre
PREMIER	ADJ	premier
.	PUNCT	.

	SPACE	

La	DET	le
Fête	NOUN	fête
de	ADP	de
Saint-Cloud	PROPN	Saint-Cloud
.	PUNCT	.

	SPACE	

Enfin	ADV	enfin
c'	PRON	ce
était	AUX	être
le	DET	le
dernier	ADJ	dernier
dimanche	NOUN	dimanche
,	PUNCT	,
ce	PRON	ce
qu'	PRON	qu'
on	PRON	on
appelle	VERB	appeler
,	PUNCT	,
je	PRON	je
crois	VERB	croire
,	PUNCT	,
le	DET	le
beau	ADJ	beau
dimanche	NOUN	dimanche
,	PUNCT	,
qui	PRON	qui
termine	VERB	termine
les	DET	le
fêtes	NOUN	fête
:	PUNCT	:
le	DET	le
temps	NOUN	temps
était	AUX	être
superbe	ADJ	superbe
;	PUNCT	;
il	PRON	il
y	PRON	y
avait	VERB	avoir
une	DET	un
foule	NOUN	foule
immense	ADJ	immense
dans	ADP	dans
le	DET	le
parc	NOUN	parc
,	PUNCT	,
on	PRON	on
pouvait	VERB	pouvoir
à	ADP	à
peine	ADV	peine
passer	VERB	passer
à	ADP	à
la	DET	le
grille	NOUN	grille
,	PUNCT	,
tant	ADV	tant
était	AUX	être
grande	ADJ	grand
la	DET	le
cohue	NOUN	cohue
;	PUNCT	;
puis	CCONJ	puis
les	DET	le
marchands	NOUN	marchand
de	ADP	de
melons	NOUN	melon
avaient	AUX	avoir
étalé	VERB	étaler
là	ADV	là
des	DET	un
maraîchers	NOUN	maraîcher
de	ADP	de
toutes	ADJ	tout
les	DET	le
grosseurs	NOUN	grosseur
;	PUNCT	;
puis	CCONJ	puis
les	DET	le
conducteurs	NOUN	conducteur
de	ADP	de
coucous	NOUN	coucou
vous	PRON	vous
poursuivaient	VERB	poursuivre
pour	ADP	pour
vous	PRON	vous
offrir	VERB	offrir
des	DET	un
places	NOUN	place
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
quand	SCONJ	quand
on	PRON	on
était	AUX	être
parvenu	VERB	parvenir
à	ADP	à
échapper	VERB	échapper
à	ADP	à
tout	ADJ	tout
cela	PRON	cela
et	CCONJ	et
à	ADP	à
entrer	VERB	entrer
dans	ADP	dans
le	DET	le
parc	NOUN	parc
,	PUNCT	,
alors	ADV	alors
on	PRON	on
se	PRON	se
trouvait	VERB	trouver
serré	VERB	serrer
entre	ADP	entre
des	DET	un
promeneurs	NOUN	promeneur
,	PUNCT	,
dont	PRON	dont
les	DET	le
uns	PRON	un
vous	PRON	vous
poussaient	VERB	pousser
à	ADP	à
droite	NOUN	droite
,	PUNCT	,
d'	DET	d'
autres	ADJ	autre
à	ADP	à
gauche	NOUN	gauche
;	PUNCT	;
on	PRON	on
était	AUX	être
forcé	VERB	forcer
de	ADP	de
s'	PRON	se
arrêter	VERB	arrêter
devant	ADP	devant
une	DET	un
boutique	NOUN	boutique
de	ADP	de
pain	NOUN	pain
d'	ADP	de
épice	NOUN	épice
,	PUNCT	,
ou	CCONJ	ou
emporté	VERB	emporter
vers	ADP	vers
la	DET	le
pièce	NOUN	pièce
d'	ADP	de
eau	NOUN	eau
;	PUNCT	;
on	PRON	on
avalait	VERB	avaler
de	ADP	de
la	DET	le
poussière	NOUN	poussière
,	PUNCT	,
et	CCONJ	et
on	PRON	on
était	AUX	être
assourdi	VERB	assourdir
par	ADP	par
le	DET	le
bruit	NOUN	bruit
des	ADP	de
mirlitons	NOUN	mirliton
et	CCONJ	et
des	ADP	de
claquettes	NOUN	claquette
:	PUNCT	:
c'	PRON	ce
était	AUX	être
bien	ADV	bien
gentil	ADJ	gentil
.	PUNCT	.

	SPACE	

Pour	ADP	pour
s'	PRON	se
amuser	VERB	amuser
à	ADP	à
une	DET	un
fête	NOUN	fête
champêtre	ADJ	champêtre
,	PUNCT	,
il	PRON	il
faut	VERB	falloir
trois	NUM	trois
choses	NOUN	chose
:	PUNCT	:
d'	ADP	de
abord	ADV	abord
être	AUX	être
d'	ADP	de
une	DET	un
bonne	ADJ	bon
santé	NOUN	santé
.	PUNCT	.
Vous	PRON	vous
me	PRON	me
direz	VERB	dire
,	PUNCT	,
peut-être	ADV	peut-être
que	SCONJ	que
la	DET	le
santé	NOUN	santé
est	AUX	être
indispensable	ADJ	indispensable
à	ADP	à
tous	ADJ	tout
les	DET	le
amusements	NOUN	amusement
;	PUNCT	;
je	PRON	je
vous	PRON	vous
répondrai	VERB	répondre
qu'	SCONJ	que
il	PRON	il
en	PRON	en
est	VERB	être
de	ADP	de
doux	ADJ	doux
,	PUNCT	,
de	ADP	de
tranquilles	ADJ	tranquille
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
fatiguent	VERB	fatiguer
pas	ADV	pas
,	PUNCT	,
tandis	ADV	tandis
qu'	SCONJ	que
à	ADP	à
une	DET	un
fête	NOUN	fête
publique	ADJ	public
,	PUNCT	,
dans	ADP	dans
une	DET	un
cohue	NOUN	cohue
,	PUNCT	,
il	PRON	il
est	AUX	être
bien	ADV	bien
difficile	ADJ	difficile
de	ADP	de
ne	ADV	ne
pas	ADV	pas
être	AUX	être
souvent	ADV	souvent
sur	ADP	sur
ses	DET	son
jambes	NOUN	jambe
.	PUNCT	.
Il	PRON	il
faut	VERB	falloir
donc	ADV	donc
d'	ADP	de
abord	ADV	abord
une	DET	un
bonne	ADJ	bon
santé	NOUN	santé
,	PUNCT	,
ensuite	ADV	ensuite
de	ADP	de
l'	DET	le
argent	NOUN	argent
plein	ADJ	plein
ses	DET	son
poches	NOUN	poche
,	PUNCT	,
et	CCONJ	et
enfin	ADV	enfin
ne	ADV	ne
pas	ADV	pas
être	AUX	être
amoureux	ADJ	amoureux
.	PUNCT	.

	SPACE	

Cette	DET	ce
dernière	ADJ	dernier
condition	NOUN	condition
vous	PRON	vous
semblera	VERB	sembler
encore	ADV	encore
singulière	ADJ	singulier
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
en	ADP	en
y	PRON	y
réfléchissant	VERB	réfléchir
bien	ADV	bien
,	PUNCT	,
je	PRON	je
crois	VERB	croire
que	SCONJ	que
vous	PRON	vous
serez	VERB	être
de	ADP	de
mon	DET	mon
avis	NOUN	avis
.	PUNCT	.
Quand	SCONJ	quand
on	PRON	on
est	AUX	être
amoureux	ADJ	amoureux
et	CCONJ	et
que	SCONJ	que
l'	PRON	l'
on	PRON	on
tient	VERB	tenir
sa	DET	son
maîtresse	NOUN	maîtresse
sous	ADP	sous
son	DET	son
bras	NOUN	bras
,	PUNCT	,
on	PRON	on
n'	ADV	n'
aime	VERB	aime
pas	ADV	pas
à	ADP	à
être	VERB	être
dans	ADP	dans
la	DET	le
foule	NOUN	foule
.	PUNCT	.
Comment	ADV	comment
se	PRON	se
regarder	VERB	regarder
à	ADP	à
son	DET	son
aise	NOUN	aise
?	PUNCT	?
comment	ADV	comment
faire	AUX	faire
passer	VERB	passer
son	DET	son
ame	NOUN	ame
dans	ADP	dans
ses	DET	son
yeux	NOUN	oeil
,	PUNCT	,
lorsque	SCONJ	lorsque
des	DET	un
figures	NOUN	figure
inconnues	ADJ	inconnu
vous	PRON	vous
entourent	VERB	entourer
,	PUNCT	,
vous	PRON	vous
examinent	VERB	examiner
bêtement	ADV	bêtement
,	PUNCT	,
indiscrètement	ADV	indiscrètement
,	PUNCT	,
comme	ADP	comme
si	SCONJ	si
vos	DET	votre
affaires	NOUN	affaire
les	PRON	le
regardaient	VERB	regarder
?	PUNCT	?
Les	DET	le
amoureux	NOUN	amoureux
préfèrent	VERB	préférer
les	DET	le
promenades	NOUN	promenade
solitaires	ADJ	solitaire
;	PUNCT	;
ils	PRON	il
ont	VERB	avoir
raison	NOUN	raison
.	PUNCT	.

	SPACE	

Si	SCONJ	si
un	DET	un
amoureux	NOUN	amoureux
est	VERB	être
là	ADV	là
sans	ADP	sans
celle	PRON	celui
qu'	PRON	qu'
il	PRON	il
aime	VERB	aime
,	PUNCT	,
ce	DET	ce
bruit	NOUN	bruit
,	PUNCT	,
ce	DET	ce
monde	NOUN	monde
,	PUNCT	,
ces	DET	ce
grisettes	NOUN	grisette
de	ADP	de
Paris	PROPN	Paris
,	PUNCT	,
ces	DET	ce
grosses	ADJ	gros
filles	NOUN	fille
de	ADP	de
village	NOUN	village
n'	ADV	n'
ont	VERB	avoir
aucun	DET	aucun
charme	NOUN	charme
pour	ADP	pour
lui	PRON	lui
;	PUNCT	;
son	DET	son
esprit	NOUN	esprit
,	PUNCT	,
son	DET	son
cœur	NOUN	cœur
sont	VERB	être
ailleurs	ADV	ailleurs
.	PUNCT	.
Les	DET	le
badauds	NOUN	badaud
l'	PRON	l'
impatientent	VERB	impatienter
,	PUNCT	,
les	DET	le
paillasses	NOUN	paillasse
ne	ADV	ne
le	PRON	le
font	VERB	faire
pas	ADV	pas
rire	VERB	rire
,	PUNCT	,
la	DET	le
grosse	ADJ	gros
gaieté	NOUN	gaieté
qu'	PRON	qu'
il	PRON	il
entend	VERB	entendre
l'	PRON	l'
assourdit	VERB	assourdir
,	PUNCT	,
l'	PRON	l'
assomme	VERB	assomme
,	PUNCT	,
et	CCONJ	et
son	DET	son
plus	ADV	plus
grand	ADJ	grand
désir	NOUN	désir
est	VERB	être
de	ADP	de
s'	PRON	se
éloigner	VERB	éloigner
de	ADP	de
cette	DET	ce
foule	NOUN	foule
qui	PRON	qui
l'	PRON	l'
obsède	VERB	obséder
et	CCONJ	et
l'	PRON	l'
empêche	VERB	empêche
de	ADP	de
penser	VERB	penser
à	ADP	à
son	DET	son
aise	NOUN	aise
.	PUNCT	.

	SPACE	

J'	PRON	je
ajouterai	VERB	ajouter
encore	ADV	encore
,	PUNCT	,
que	SCONJ	que
,	PUNCT	,
sans	ADP	sans
être	AUX	être
