 
	SPACE	 

Première	ADJ	premier
partie	NOUN	partie
  
	SPACE	  

Coxward	PROPN	Coxward
est	AUX	être
-il	PRON	il
Coxward	PROPN	Coxward
 	SPACE	 
?	PUNCT	?

	SPACE	

Chapitre	NOUN	chapitre
    	SPACE	    
1	NUM	1

	SPACE	

Le	DET	le
crime	NOUN	crime
de	ADP	de
l'	DET	le
Obélisque	NOUN	obélisque

	SPACE	

VERS	ADP	vers
ONZE	NUM	ONZE
HEURES	NOUN	heure
DU	ADP	de
matin	NOUN	matin
,	PUNCT	,
par	ADP	par
un	DET	un
doux	ADJ	doux
soleil	NOUN	soleil
de	ADP	de
printemps	NOUN	printemps
–	PUNCT	–
on	PRON	on
était	VERB	être
au	ADP	au
commencement	NOUN	commencement
d'	ADP	de
avril	NOUN	avril
,	PUNCT	,
le	DET	le
2	NUM	2
,	PUNCT	,
pour	ADP	pour
bien	ADV	bien
préciser	VERB	préciser
–	PUNCT	–
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
des	DET	un
hurlements	NOUN	hurlement
éclatèrent	VERB	éclater
dans	ADP	dans
la	DET	le
rue	NOUN	rue
Montmartre	PROPN	Montmartre
,	PUNCT	,
à	ADP	à
proximité	NOUN	proximité
du	ADP	de
boulevard	NOUN	boulevard
,	PUNCT	,
tandis	ADV	tandis
qu'	SCONJ	que
une	DET	un
foule	NOUN	foule
de	ADP	de
coureurs	NOUN	coureur
rapides	ADJ	rapide
,	PUNCT	,
mais	CCONJ	mais
peu	ADV	peu
élégants	ADJ	élégant
,	PUNCT	,
se	PRON	se
ruaient	VERB	ruer
du	ADP	de
coin	NOUN	coin
de	ADP	de
la	DET	le
rue	NOUN	rue
du	ADP	de
Croissant	PROPN	Croissant
,	PUNCT	,
les	DET	le
uns	PRON	un
vers	ADP	vers
le	DET	le
carrefour	NOUN	carrefour
,	PUNCT	,
les	DET	le
autres	PRON	autre
dévalant	VERB	dévaler
vers	ADP	vers
les	DET	le
Halles	NOUN	halle
,	PUNCT	,
mais	CCONJ	mais
tous	ADJ	tout
glapissant	VERB	glapir
des	DET	un
sons	NOUN	son
aigus	ADJ	aigu
,	PUNCT	,
incohérents	ADJ	incohérent
,	PUNCT	,
à	ADP	à
travers	NOUN	travers
lesquels	PRON	lequel
l'	DET	le
oreille	NOUN	oreille
déchirée	VERB	déchirer
cependant	ADV	cependant
percevait	VERB	percevoir
des	DET	un
fragments	NOUN	fragment
de	ADP	de
mots	NOUN	mot
sinistres	ADJ	sinistre
 	SPACE	 
:	PUNCT	:

	SPACE	

—	PUNCT	—
 	SPACE	 
Le	DET	le
crime	NOUN	crime
de	ADP	de
l'	DET	le
Obélisque	PROPN	Obélisque
…	PUNCT	…
D'	PRON	d'
mandez	VERB	mander
le	DET	le
Nouvelliste	PROPN	Nouvelliste
,	PUNCT	,
édition	NOUN	édition
spéciale	ADJ	spécial
.	PUNCT	.
–	PUNCT	–
Horribles	ADJ	horrible
détails	NOUN	détail
.	PUNCT	.

	SPACE	

Après	ADP	après
quelques	DET	quelque
hésitations	NOUN	hésitation
–	PUNCT	–
car	CCONJ	car
combien	ADV	combien
de	ADP	de
fois	NOUN	fois
n'	ADV	n'
avait	AUX	avoir
-on	PRON	on
pas	ADV	pas
été	AUX	être
mystifié	VERB	mystifier
par	ADP	par
la	DET	le
rouerie	NOUN	rouerie
des	ADP	de
camelots	NOUN	camelot
 	SPACE	 
!	PUNCT	!
–	PUNCT	–
quelques-uns	PRON	quelques-uns
achetaient	VERB	acheter
la	DET	le
feuille	NOUN	feuille
,	PUNCT	,
l'	PRON	l'
examinaient	VERB	examiner
,	PUNCT	,
puis	CCONJ	puis
subitement	ADV	subitement
entourés	VERB	entourer
,	PUNCT	,
s'	PRON	se
arrêtaient	VERB	arrêter
sur	ADP	sur
place	NOUN	place
comme	ADP	comme
médusés	NOUN	médusé
,	PUNCT	,
et	CCONJ	et
lisaient	VERB	lire
au	ADP	au
milieu	NOUN	milieu
d'	ADP	de
un	DET	un
groupe	NOUN	groupe
d'	ADP	de
où	PRON	où
émergeaient	VERB	émerger
des	DET	un
faces	NOUN	face
anxieuses	ADJ	anxieux
…	PUNCT	…

	SPACE	

—	PUNCT	—
 	SPACE	 
Oui	ADV	oui
,	PUNCT	,
oui	ADV	oui
 	SPACE	 
!	PUNCT	!
…	PUNCT	…
un	DET	un
crime	NOUN	crime
 	SPACE	 
!	PUNCT	!
…	PUNCT	…
un	DET	un
assassinat	NOUN	assassinat
 	SPACE	 
!	PUNCT	!
…	PUNCT	…
De	ADP	de
qui	PRON	qui
 	SPACE	 
?	PUNCT	?
…	PUNCT	…
On	PRON	on
ne	ADV	ne
sait	VERB	savoir
pas	ADV	pas
…	PUNCT	…
L'	DET	le
assassin	NOUN	assassin
est	AUX	être
-il	PRON	il
arrêté	VERB	arrêter
 	SPACE	 
?	PUNCT	?
…	PUNCT	…
Je	PRON	je
t'	PRON	te
en	PRON	en
fiche	VERB	fiche
 	SPACE	 
!	PUNCT	!
…	PUNCT	…

	SPACE	

Voici	VERB	voici
l'	DET	le
article	NOUN	article
court	ADJ	court
mais	CCONJ	mais
sensationnel	ADJ	sensationnel
qui	PRON	qui
motivait	VERB	motiver
cette	DET	ce
émotion	NOUN	émotion
 	SPACE	 
:	PUNCT	:

	SPACE	

«	PUNCT	«
 	SPACE	 
Ce	DET	ce
matin	NOUN	matin
,	PUNCT	,
à	ADP	à
quatre	NUM	quatre
heures	NOUN	heure
et	CCONJ	et
demie	NOUN	demie
,	PUNCT	,
à	ADP	à
l'	DET	le
heure	NOUN	heure
où	PRON	où
Paris	PROPN	Paris
désert	ADJ	désert
appartient	VERB	appartenir
aux	ADP	à
balayeurs	NOUN	balayeur
et	CCONJ	et
n'	ADV	n'
est	AUX	être
sillonné	VERB	sillonner
que	ADV	que
par	ADP	par
des	DET	un
haquets	NOUN	haquet
d'	ADP	de
arrosage	NOUN	arrosage
,	PUNCT	,
un	DET	un
journalier	NOUN	journalier
,	PUNCT	,
M.	NOUN	m.
H	PROPN	H
…	PROPN	…
se	PRON	se
rendait	VERB	rendre
à	ADP	à
son	DET	son
travail	NOUN	travail
et	CCONJ	et
,	PUNCT	,
pour	ADP	pour
atteindre	VERB	atteindre
les	DET	le
chantiers	NOUN	chantier
de	ADP	de
la	DET	le
Madeleine	PROPN	Madeleine
,	PUNCT	,
traversait	VERB	traverser
,	PUNCT	,
venant	VERB	venir
de	ADP	de
Grenelle	PROPN	Grenelle
,	PUNCT	,
la	DET	le
place	NOUN	place
de	ADP	de
la	DET	le
Concorde	PROPN	Concorde
,	PUNCT	,
quand	SCONJ	quand
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
,	PUNCT	,
du	ADP	de
trottoir	NOUN	trottoir
des	ADP	de
Tuileries	NOUN	tuilerie
par	ADP	par
lequel	PRON	lequel
il	PRON	il
la	PRON	le
contournait	VERB	contourner
,	PUNCT	,
ses	DET	son
outils	NOUN	outil
sur	ADP	sur
l'	DET	le
épaule	NOUN	épaule
,	PUNCT	,
il	PRON	il
lui	PRON	lui
sembla	VERB	sembler
apercevoir	VERB	apercevoir
,	PUNCT	,
au	ADP	au
pied	NOUN	pied
de	ADP	de
l'	DET	le
Obélisque	NOUN	obélisque
,	PUNCT	,
un	DET	un
peu	ADV	peu
au-dessus	ADV	au-dessus
du	ADP	de
sol	NOUN	sol
,	PUNCT	,
quelque	DET	quelque
chose	NOUN	chose
d'	ADP	de
anormal	ADJ	anormal
.	PUNCT	.

	SPACE	

«	PUNCT	«
 	SPACE	 
Il	PRON	il
passait	VERB	passer
d'	ADP	de
ailleurs	ADV	ailleurs
,	PUNCT	,
sans	ADP	sans
plus	ADV	plus
se	PRON	se
préoccuper	VERB	préoccuper
de	ADP	de
ce	DET	ce
détail	NOUN	détail
,	PUNCT	,
quand	SCONJ	quand
,	PUNCT	,
s'	PRON	se
étant	AUX	être
retourné	VERB	retourner
une	DET	un
dernière	ADJ	dernier
fois	NOUN	fois
«	PUNCT	«
 	SPACE	 
pour	ADP	pour
se	PRON	se
rendre	VERB	rendre
compte	NOUN	compte
 	SPACE	 
»	PUNCT	»
,	PUNCT	,
il	PRON	il
lui	PRON	lui
sembla	VERB	sembler
que	SCONJ	que
ce	DET	ce
–	PUNCT	–
quelque	DET	quelque
chose	NOUN	chose
–	PUNCT	–
avait	VERB	avoir
forme	NOUN	forme
humaine	ADJ	humain
.	PUNCT	.

	SPACE	

«	PUNCT	«
 	SPACE	 
Il	PRON	il
se	PRON	se
décida	VERB	décider
alors	ADV	alors
à	ADP	à
traverser	VERB	traverser
et	CCONJ	et
marcha	VERB	marcher
tout	ADV	tout
droit	ADV	droit
vers	ADP	vers
le	DET	le
monolithe	NOUN	monolithe
,	PUNCT	,
et	CCONJ	et
quelle	ADJ	quell
ne	ADV	ne
fut	AUX	être
pas	ADV	pas
sa	DET	son
surprise	NOUN	surprise
quand	SCONJ	quand
,	PUNCT	,
n'	ADV	n'
étant	VERB	être
plus	ADV	plus
qu'	ADV	qu'
à	ADP	à
quelques	DET	quelque
pas	NOUN	pas
,	PUNCT	,
il	PRON	il
reconnut	VERB	reconnaître
que	SCONJ	que
l'	DET	le
objet	NOUN	objet
qui	PRON	qui
avait	AUX	avoir
attiré	VERB	attirer
son	DET	son
attention	NOUN	attention
était	AUX	être
un	DET	un
corps	NOUN	corps
humain	ADJ	humain
,	PUNCT	,
appuyé	VERB	appuyer
debout	ADV	debout
devant	ADP	devant
la	DET	le
grille	NOUN	grille
et	CCONJ	et
dont	PRON	dont
les	DET	le
pieds	NOUN	pied
ne	ADV	ne
touchaient	VERB	toucher
pas	ADV	pas
le	DET	le
sol	NOUN	sol
.	PUNCT	.

	SPACE	

«	PUNCT	«
 	SPACE	 
Pris	VERB	prendre
de	ADP	de
peur	NOUN	peur
et	CCONJ	et
redoutant	VERB	redouter
d'	ADP	de
