 
	SPACE	 

Le	DET	le
Marquis	NOUN	marquis
de	ADP	de
Valcor	PROPN	Valcor

	SPACE	

PARIS	PROPN	PARIS
ALPHONSE	PROPN	ALPHONSE
LEMERRE	PROPN	LEMERRE
,	PUNCT	,
ÉDITEUR	NOUN	éditeur
23	NUM	23
-	NUM	-
31	NUM	31
,	PUNCT	,
PASSAGE	NOUN	passage
CHOISEUL	PROPN	CHOISEUL
,	PUNCT	,
23	NUM	23
-	NUM	-
31	NUM	31

	SPACE	

M	NOUN	m
DCCCCIV	PROPN	DCCCCIV

	SPACE	

I	ADJ	i

	SPACE	

LA	DET	le
FÊTE	NOUN	fête
DE	ADP	de
NUIT	NOUN	nuit

	SPACE	

REGARDEZ	VERB	regarder
-	PRON	-
LE	PRON	le
.	PUNCT	.
Ce	PRON	ce
n'	ADV	n'
est	AUX	être
pas	ADV	pas
la	DET	le
chance	NOUN	chance
,	PUNCT	,
mais	CCONJ	mais
bien	ADV	bien
lui-même	PRON	lui-même
,	PUNCT	,
qui	PRON	qui
a	AUX	avoir
fait	VERB	faire
sa	DET	son
destinée	NOUN	destinée
.	PUNCT	.
De	ADP	de
n'	ADV	n'
importe	VERB	importe
quelle	DET	quel
obscure	ADJ	obscur
condition	NOUN	condition
,	PUNCT	,
cet	DET	ce
homme-là	NOUN	homme-là
aurait	AUX	avoir
surgi	VERB	surgir
au	ADP	au
premier	ADJ	premier
rang	NOUN	rang
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
y	PRON	y
a	VERB	avoir
pas	ADV	pas
à	ADP	à
dire	VERB	dire
:	PUNCT	:
c'	PRON	ce
est	AUX	être
quelqu'	DET	quelque
un	PRON	un
.	PUNCT	.

	SPACE	

—	PUNCT	—
Quelqu'	DET	quelque
un	PRON	un
...	PUNCT	...
Oui	ADV	oui
,	PUNCT	,
quelqu'	DET	quelque
un	PRON	un
...	PUNCT	...
Mais	CCONJ	mais
qui	PRON	qui
?	PUNCT	?
...	PUNCT	...
»	PUNCT	»
prononça	VERB	prononcer
l'	DET	le
interlocuteur	NOUN	interlocuteur
avec	ADP	avec
un	DET	un
accent	NOUN	accent
singulier	ADJ	singulier
.	PUNCT	.

	SPACE	

—	PUNCT	—
«	PUNCT	«
Comment	ADV	comment
qui	PRON	qui
?	PUNCT	?
Le	DET	le
marquis	NOUN	marquis
Renaud	PROPN	Renaud
de	ADP	de
Valcor	PROPN	Valcor
,	PUNCT	,
l'	DET	le
explorateur	NOUN	explorateur
célèbre	ADJ	célèbre
,	PUNCT	,
le	DET	le
conquistador	NOUN	conquistador
moderne	ADJ	moderne
,	PUNCT	,
qui	PRON	qui
aurait	AUX	avoir
doté	VERB	doter
notre	DET	notre
pays	NOUN	pays
d'	ADP	de
une	DET	un
colonie	NOUN	colonie
nouvelle	ADJ	nouveau
,	PUNCT	,
si	SCONJ	si
le	DET	le
Gouvernement	NOUN	gouvernement
n'	ADV	n'
avait	AUX	avoir
craint	VERB	craindre
des	DET	un
conflits	NOUN	conflit
dans	ADP	dans
l'	DET	le
Amérique	PROPN	Amérique
du	ADP	de
Sud	NOUN	sud
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
demeure	VERB	demeure
comme	ADP	comme
le	DET	le
roi	NOUN	roi
des	ADP	de
territoires	NOUN	territoire
les	DET	le
plus	ADV	plus
étendus	ADJ	étendu
possédés	VERB	posséder
par	ADP	par
un	DET	un
particulier	NOUN	particulier
—	PUNCT	—
cette	DET	ce
Valcorie	PROPN	Valcorie
,	PUNCT	,
cédée	VERB	céder
par	ADP	par
le	DET	le
Brésil	PROPN	Brésil
,	PUNCT	,
la	DET	le
Bolivie	PROPN	Bolivie
et	CCONJ	et
le	DET	le
Pérou	PROPN	Pérou
,	PUNCT	,
fort	ADV	fort
en	ADP	en
peine	NOUN	peine
de	ADP	de
délimiter	VERB	délimiter
leurs	DET	leur
États	NOUN	état
dans	ADP	dans
cette	DET	ce
région	NOUN	région
jusque-là	ADV	jusque-là
inexplorée	VERB	inexplorer
.	PUNCT	.
Je	PRON	je
n'	ADV	n'
ai	VERB	avoir
pourtant	ADV	pourtant
rien	PRON	rien
à	ADP	à
vous	PRON	vous
apprendre	VERB	apprendre
,	PUNCT	,
monsieur	NOUN	Monsieur
Escaldas	PROPN	Escaldas
,	PUNCT	,
sur	ADP	sur
la	DET	le
personne	NOUN	personne
ou	CCONJ	ou
la	DET	le
carrière	NOUN	carrière
de	ADP	de
mon	DET	mon
cousin	NOUN	cousin
,	PUNCT	,
puisque	SCONJ	puisque
vous	PRON	vous
avez	AUX	avoir
été	AUX	être
directeur	NOUN	directeur
d'	ADP	de
une	DET	un
de	ADP	de
ses	DET	son
caoutchouteries	NOUN	caoutchouterie
du	ADP	de
Haut-Amazone	PROPN	Haut-Amazone
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
vous	PRON	vous
le	PRON	le
seriez	VERB	être
encore	ADV	encore
,	PUNCT	,
si	SCONJ	si
votre	DET	votre
santé	NOUN	santé
...	PUNCT	...
»	PUNCT	»

	SPACE	

Un	DET	un
étrange	ADJ	étrange
sourire	NOUN	sourire
,	PUNCT	,
plutôt	ADV	plutôt
deviné	VERB	deviner
que	SCONJ	que
réellement	ADV	réellement
vu	VERB	voir
dans	ADP	dans
la	DET	le
pénombre	NOUN	pénombre
,	PUNCT	,
figea	VERB	figer
soudain	ADV	soudain
cette	DET	ce
éloquence	NOUN	éloquence
.	PUNCT	.

	SPACE	

Marc	PROPN	Marc
de	ADP	de
Plesguen	PROPN	Plesguen
,	PUNCT	,
—	PUNCT	—
qu'	PRON	qu'
on	PRON	on
appelait	VERB	appeler
parfois	ADV	parfois
,	PUNCT	,
pour	ADP	pour
le	PRON	le
flatter	VERB	flatter
,	PUNCT	,
M.	NOUN	m.
de	ADP	de
Valcor	PROPN	Valcor
-	PROPN	-
Plesguen	PROPN	Plesguen
,	PUNCT	,
bien	ADV	bien
qu'	SCONJ	que
il	PRON	il
fût	AUX	être
cousin	NOUN	cousin
du	ADP	de
marquis	NOUN	marquis
seulement	ADV	seulement
au	ADP	au
second	ADJ	second
degré	NOUN	degré
,	PUNCT	,
et	CCONJ	et
par	ADP	par
les	DET	le
femmes	NOUN	femme
,	PUNCT	,
sans	ADP	sans
avoir	VERB	avoir
aucun	DET	aucun
droit	NOUN	droit
au	ADP	au
nom	NOUN	nom
,	PUNCT	,
—	PUNCT	—
venait	VERB	venir
d'	ADP	de
éprouver	VERB	éprouver
le	DET	le
frisson	NOUN	frisson
d'	ADP	de
inquiète	ADJ	inquiet
antipathie	NOUN	antipathie
qui	PRON	qui
,	PUNCT	,
depuis	ADP	depuis
quelque	DET	quelque
temps	NOUN	temps
,	PUNCT	,
le	PRON	le
secouait	VERB	secouer
devant	ADP	devant
certaines	DET	certain
expressions	NOUN	expression
et	CCONJ	et
certaines	DET	certain
attitudes	NOUN	attitude
de	ADP	de
José	PROPN	José
Escaldas	PROPN	Escaldas
.	PUNCT	.

	SPACE	

Tous	ADJ	tout
deux	PRON	deux
s'	PRON	se
étaient	AUX	être
installés	VERB	installer
,	PUNCT	,
pour	ADP	pour
savourer	VERB	savourer
les	DET	le
fins	ADJ	fin
cigares	NOUN	cigare
de	ADP	de
leur	DET	leur
hôte	NOUN	hôte
,	PUNCT	,
sur	ADP	sur
des	DET	un
sièges	NOUN	siège
de	ADP	de
jardin	NOUN	jardin
,	PUNCT	,
au	ADP	au
bord	NOUN	bord
de	ADP	de
la	DET	le
pelouse	NOUN	pelouse
fleurie	VERB	fleurir
de	ADP	de
corolles	NOUN	corolle
électriques	ADJ	électrique
.	PUNCT	.

	SPACE	

C'	PRON	ce
était	AUX	être
une	PRON	un
des	ADP	de
surprises	NOUN	surprise
de	ADP	de
la	DET	le
fête	NOUN	fête
de	ADP	de
nuit	NOUN	nuit
,	PUNCT	,
cet	DET	ce
épanouissement	NOUN	épanouissement
d'	ADP	de
une	DET	un
floraison	NOUN	floraison
versicolore	ADJ	versicolore
et	CCONJ	et
lumineuse	ADJ	lumineux
parmi	ADP	parmi
les	DET	le
massifs	NOUN	massif
,	PUNCT	,
les	DET	le
corbeilles	NOUN	corbeille
,	PUNCT	,
les	DET	le
gazons	NOUN	gazon
,	PUNCT	,
et	CCONJ	et
même	ADV	même
dans	ADP	dans
les	DET	le
feuillages	NOUN	feuillage
des	ADP	de
hauts	ADJ	haut
arbres	NOUN	arbre
les	DET	le
plus	ADV	plus
voisins	ADJ	voisin
de	ADP	de
l'	DET	le
admirable	ADJ	admirable
demeure	NOUN	demeure
.	PUNCT	.

	SPACE	

Au	ADP	au
delà	ADV	delà
de	ADP	de
cette	DET	ce
zone	NOUN	zone
féerique	ADJ	féerique
,	PUNCT	,
le	DET	le
parc	NOUN	parc
s'	PRON	se
étendait	VERB	étendre
,	PUNCT	,
nocturne	ADJ	nocturne
,	PUNCT	,
immense	ADJ	immense
et	CCONJ	et
solitaire	ADJ	solitaire
.	PUNCT	.
D'	ADP	de
un	DET	un
côté	NOUN	côté
,	PUNCT	,
il	PRON	il
aboutissait	VERB	aboutir
à	ADP	à
une	DET	un
terrasse	NOUN	terrasse
monumentale	ADJ	monumental
,	PUNCT	,
longue	ADJ	long
d'	ADP	de
un	DET	un
demi-kilomètre	NOUN	demi-kilomètre
,	PUNCT	,
en	ADP	en
face	NOUN	face
de	ADP	de
laquelle	PRON	lequel
s'	PRON	se
ouvrait	VERB	ouvrir
le	DET	le
vide	NOUN	vide
énorme	ADJ	énorme
de	ADP	de
l'	DET	le
Océan	NOUN	océan
.	PUNCT	.
Car	CCONJ	car
ce	DET	ce
domaine	NOUN	domaine
de	ADP	de
Valcor	PROPN	Valcor
,	PUNCT	,
situé	VERB	situer
sur	ADP	sur
un	DET	un
promontoire	NOUN	promontoire
du	ADP	de
Finistère	PROPN	Finistère
,	PUNCT	,
dans	ADP	dans
le	DET	le
