 
	SPACE	 

I	ADJ	i

	SPACE	

D'	ADP	de
UN	DET	un
MAUVAIS	ADJ	mauvais
CALEMBOUR	NOUN	calembour
ET	CCONJ	et
DE	ADP	de
SES	DET	son
CONSÉQUENCES	NOUN	conséquence

	SPACE	

Il	PRON	il
y	PRON	y
avait	VERB	avoir
un	DET	un
an	NOUN	an
à	ADP	à
peine	NOUN	peine
que	SCONJ	que
Jacques	PROPN	Jacques
de	ADP	de
Brosse	PROPN	Brosse
,	PUNCT	,
à	ADP	à
la	DET	le
tête	NOUN	tête
d'	ADP	de
une	DET	un
armée	NOUN	armée
de	ADP	de
terrassiers	NOUN	terrassier
et	CCONJ	et
de	ADP	de
tailleurs	NOUN	tailleur
de	ADP	de
pierre	NOUN	pierre
,	PUNCT	,
construisait	VERB	construire
l'	DET	le
immense	ADJ	immense
palais	NOUN	palais
florentin	ADJ	florentin
du	ADP	de
Luxembourg	PROPN	Luxembourg
.	PUNCT	.
Marie	PROPN	Marie
de	ADP	de
Médicis	PROPN	Médicis
,	PUNCT	,
veuve	NOUN	veuve
d'	ADP	de
Henri	PROPN	Henri
IV	NUM	IV
,	PUNCT	,
se	PRON	se
trouvait	VERB	trouver
à	ADP	à
l'	DET	le
étroit	ADJ	étroit
dans	ADP	dans
le	DET	le
Louvre	PROPN	Louvre
,	PUNCT	,
où	PRON	où
le	DET	le
grand	ADJ	grand
règne	NOUN	règne
qu'	PRON	qu'
elle	PRON	lui
continuait	VERB	continuer
,	PUNCT	,
en	ADP	en
le	PRON	le
rapetissant	VERB	rapetisser
,	PUNCT	,
s'	PRON	se
était	AUX	être
pourtant	ADV	pourtant
épanoui	VERB	épanouir
à	ADP	à
l'	DET	le
aise	NOUN	aise
.	PUNCT	.
Marie	PROPN	Marie
,	PUNCT	,
régente	NOUN	régent
de	ADP	de
France	PROPN	France
,	PUNCT	,
s'	PRON	se
était	AUX	être
commandé	VERB	commander
un	DET	un
château	NOUN	château
sur	ADP	sur
le	DET	le
modèle	NOUN	modèle
,	PUNCT	,
ou	CCONJ	ou
à	ADP	à
peu	ADV	peu
près	ADV	près
,	PUNCT	,
du	ADP	de
palais	NOUN	palais
Pitti	PROPN	Pitti
,	PUNCT	,
et	CCONJ	et
déjà	ADV	déjà
ce	DET	ce
rêve	NOUN	rêve
de	ADP	de
la	DET	le
patrie	NOUN	patrie
absente	ADJ	absent
,	PUNCT	,
ce	DET	ce
souvenir	NOUN	souvenir
de	ADP	de
la	DET	le
maison	NOUN	maison
paternelle	ADJ	paternel
apparaissait	VERB	apparaître
vivant	ADJ	vivant
à	ADP	à
la	DET	le
fille	NOUN	fille
des	ADP	de
Médicis	PROPN	Médicis
,	PUNCT	,
à	ADP	à
travers	NOUN	travers
une	DET	un
foret	NOUN	foret
de	ADP	de
madriers	NOUN	madrier
,	PUNCT	,
de	ADP	de
mais	NOUN	mai
et	CCONJ	et
de	ADP	de
poulies	NOUN	poulie
,	PUNCT	,
dont	PRON	dont
les	DET	le
milliers	NOUN	millier
d'	ADP	de
inégales	ADJ	inégal
et	CCONJ	et
noires	ADJ	noir
lignes	NOUN	ligne
perpendiculaires	ADJ	perpendiculaire
,	PUNCT	,
pittoresquement	ADV	pittoresquement
coupées	VERB	couper
d'	ADP	de
échafauds	NOUN	échafaud
et	CCONJ	et
de	ADP	de
toiles	NOUN	toile
flottantes	ADJ	flottant
,	PUNCT	,
ne	ADV	ne
ressemblaient	VERB	ressembler
pas	ADV	pas
mal	ADV	mal
aux	ADP	à
agrès	NOUN	agrès
d'	ADP	de
une	DET	un
flotte	NOUN	flotte
gigantesque	ADJ	gigantesque
majestueusement	ADV	majestueusement
assise	VERB	asseoir
dans	ADP	dans
le	DET	le
port	NOUN	port
.	PUNCT	.

	SPACE	

Pendant	ADP	pendant
les	DET	le
premiers	ADJ	premier
mois	NOUN	mois
,	PUNCT	,
tout	DET	tout
Parisien	NOUN	parisien
vraiment	ADV	vraiment
digne	ADJ	digne
du	ADP	de
nom	NOUN	nom
eût	AUX	avoir
cru	VERB	croire
manquer	VERB	manquer
à	ADP	à
son	DET	son
devoir	NOUN	devoir
en	ADP	en
ne	ADV	ne
venant	VERB	venir
pas	ADV	pas
visiter	VERB	visiter
les	DET	le
fondations	NOUN	fondation
de	ADP	de
l'	DET	le
édifice	NOUN	édifice
,	PUNCT	,
et	CCONJ	et
en	PRON	en
contrôler	VERB	contrôler
les	DET	le
progrès	NOUN	progrès
.	PUNCT	.
Puis	CCONJ	puis
,	PUNCT	,
peu	ADV	peu
à	ADP	à
peu	ADV	peu
,	PUNCT	,
à	ADP	à
mesure	NOUN	mesure
que	SCONJ	que
l'	DET	le
ouvrage	NOUN	ouvrage
devenait	VERB	devenir
réellement	ADV	réellement
intéressant	ADJ	intéressant
,	PUNCT	,
les	DET	le
curieux	NOUN	curieux
devenaient	VERB	devenir
plus	ADV	plus
rares	ADJ	rare
.	PUNCT	.
Tout	ADJ	tout
Paris	PROPN	Paris
avait	AUX	avoir
vu	VERB	voir
,	PUNCT	,
peu	ADV	peu
de	ADP	de
chose	NOUN	chose
,	PUNCT	,
il	PRON	il
est	VERB	être
vrai	ADJ	vrai
,	PUNCT	,
rien	PRON	rien
peut-être	ADV	peut-être
,	PUNCT	,
mais	CCONJ	mais
enfin	ADV	enfin
on	PRON	on
avait	AUX	avoir
vu	VERB	voir
ce	DET	ce
rien	NOUN	rien
,	PUNCT	,
et	CCONJ	et
Paris	PROPN	Paris
n'	ADV	n'
aime	VERB	aime
pas	ADV	pas
à	ADP	à
revoir	VERB	revoir
,	PUNCT	,
fût	AUX	être
le	DET	le
rien	NOUN	rien
devenu	VERB	devenir
quelque	DET	quelque
chose	NOUN	chose
.	PUNCT	.

	SPACE	

Cependant	ADV	cependant
les	DET	le
provinciaux	NOUN	provincial
et	CCONJ	et
les	DET	le
étrangers	NOUN	étranger
franchissaient	VERB	franchir
à	ADP	à
tour	NOUN	tour
de	ADP	de
rôle	NOUN	rôle
la	DET	le
porte	NOUN	porte
Bussy	PROPN	Bussy
,	PUNCT	,
pour	ADP	pour
aller	VERB	aller
contempler	VERB	contempler
la	DET	le
nouvelle	ADJ	nouveau
merveille	NOUN	merveille
,	PUNCT	,
et	CCONJ	et
généralement	ADV	généralement
redescendaient	VERB	redescendre
en	ADP	en
ville	NOUN	ville
par	ADP	par
la	DET	le
rue	NOUN	rue
de	ADP	de
Tournon	PROPN	Tournon
et	CCONJ	et
le	DET	le
préau	NOUN	préau
de	ADP	de
la	DET	le
foire	NOUN	foire
Saint-Germain	PROPN	Saint-Germain
,	PUNCT	,
deux	NUM	deux
autres	ADJ	autre
curiosités	NOUN	curiosité
notables	ADJ	notable
.	PUNCT	.

	SPACE	

Ce	PRON	ce
qu'	PRON	qu'
il	PRON	il
y	PRON	y
avait	VERB	avoir
à	ADP	à
admirer	VERB	admirer
à	ADP	à
la	DET	le
foire	NOUN	foire
,	PUNCT	,
tout	ADJ	tout
le	DET	le
monde	NOUN	monde
le	PRON	le
comprendra	VERB	comprendre
;	PUNCT	;
mais	CCONJ	mais
rue	NOUN	rue
de	ADP	de
Tournon	PROPN	Tournon
,	PUNCT	,
qu'	PRON	qu'
était	AUX	être
-ce	PRON	-ce
?	PUNCT	?

	SPACE	

Justement	ADV	justement
,	PUNCT	,
par	ADP	par
une	DET	un
matinée	NOUN	matinée
vermeille	ADJ	vermeil
de	ADP	de
septembre	NOUN	septembre
,	PUNCT	,
un	DET	un
bourgeois	NOUN	bourgeois
ou	CCONJ	ou
peu	ADV	peu
s'	PRON	se
en	PRON	en
faut	VERB	falloir
,	PUNCT	,
figure	NOUN	figure
grave	ADJ	grave
et	CCONJ	et
honnête	ADJ	honnête
,	PUNCT	,
habit	NOUN	habit
décent	ADJ	décent
,	PUNCT	,
l'	PRON	l'
expliquait	VERB	expliquer
à	ADP	à
son	DET	son
jeune	ADJ	jeune
fils	NOUN	fils
en	ADP	en
le	PRON	le
tenant	VERB	tenir
ou	CCONJ	ou
plutôt	ADV	plutôt
en	ADP	en
le	PRON	le
contenant	VERB	contenir
par	ADP	par
la	DET	le
main	NOUN	main
.	PUNCT	.

	SPACE	

L'	DET	le
enfant	NOUN	enfant
avait	VERB	avoir
douze	NUM	douze
ans	NOUN	an
au	ADP	au
plus	ADV	plus
,	PUNCT	,
il	PRON	il
était	AUX	être
petit	ADJ	petit
,	PUNCT	,
blond	ADJ	blond
,	PUNCT	,
rieur	ADJ	rieur
,	PUNCT	,
et	CCONJ	et
bondissait	VERB	bondir
comme	ADP	comme
l'	DET	le
oiseau	NOUN	oiseau
dont	PRON	dont
on	PRON	on
a	AUX	avoir
rogné	VERB	rogner
les	DET	le
ailes	NOUN	aile
.	PUNCT	.

	SPACE	

Le	DET	le
père	NOUN	père
avait	AUX	avoir
eu	VERB	avoir
beaucoup	ADV	beaucoup
de	ADP	de
peine	NOUN	peine
à	ADP	à
l'	PRON	l'
empêcher	VERB	empêcher
de	ADP	de
se	PRON	se
blanchir	VERB	blanchir
aux	ADP	à
échelles	NOUN	échelle
de	ADP	de
maçons	NOUN	maçon
,	PUNCT	,
de	ADP	de
s'	PRON	se
embourber	VERB	embourber
dans	ADP	dans
les	DET	le
fosses	NOUN	fosse
à	ADP	à
chaux	NOUN	chaux
et	CCONJ	et
de	ADP	de
se	PRON	se
pendre	VERB	pendre
aux	ADP	à
câbles	NOUN	câble
des	ADP	de
poulies	NOUN	poulie
,	PUNCT	,
tandis	ADV	tandis
qu'	SCONJ	que
il	PRON	il
essayait	VERB	essayer
de	ADP	de
lui	PRON	lui
faire	AUX	faire
comprendre	VERB	comprendre
les	DET	le
beautés	NOUN	beauté
du	ADP	de
Luxembourg	PROPN	Luxembourg
naissant	ADJ	naissant
.	PUNCT	.

	SPACE	

Il	PRON	il
lui	PRON	lui
représentait	VERB	représenter
vainement	ADV	vainement
le	DET	le
respect	NOUN	respect
