 
	SPACE	 

PREMIÈRE	ADJ	premier
PARTIE	NOUN	partie

	SPACE	

I.	ADJ	i.
—	PUNCT	—
PLÉVECH	NOUN	plévech
DÉSERTEUR	ADJ	déserteur

	SPACE	

Depuis	ADP	depuis
leur	DET	leur
sortie	NOUN	sortie
du	ADP	de
quartier	NOUN	quartier
,	PUNCT	,
Barnavaux	PROPN	Barnavaux
et	CCONJ	et
tous	ADJ	tout
les	DET	le
autres	ADJ	autre
,	PUNCT	,
six	PRON	six
en	ADP	en
nombre	NOUN	nombre
,	PUNCT	,
rengagés	VERB	rengager
à	ADP	à
nouveau	ADJ	nouveau
dans	ADP	dans
l'	DET	le
infanterie	NOUN	infanterie
coloniale	ADJ	colonial
et	CCONJ	et
venant	VERB	venir
de	ADP	de
toucher	VERB	toucher
leur	DET	leur
prime	NOUN	prime
,	PUNCT	,
avaient	AUX	avoir
déjà	ADV	déjà
bu	VERB	boire
plus	ADV	plus
que	SCONJ	que
leur	DET	leur
plein	NOUN	plein
chez	ADP	chez
les	DET	le
mercantis	NOUN	mercanti
de	ADP	de
Hanoï	PROPN	Hanoï
.	PUNCT	.
Mais	CCONJ	mais
ils	PRON	il
savaient	VERB	savoir
porter	VERB	porter
ça	PRON	cela
,	PUNCT	,
il	PRON	il
n'	ADV	n'
y	PRON	y
paraissait	VERB	paraître
guère	ADV	guère
.	PUNCT	.
Même	ADV	même
le	DET	le
dîner	NOUN	dîner
qu'	PRON	qu'
ils	PRON	il
firent	VERB	faire
chez	ADP	chez
Lecointe	PROPN	Lecointe
,	PUNCT	,
au	ADP	au
café	NOUN	café
-	NOUN	-
restaurant	NOUN	restaurant
qui	PRON	qui
fait	VERB	faire
le	DET	le
coin	NOUN	coin
,	PUNCT	,
près	ADV	près
de	ADP	de
l'	DET	le
échoppe	NOUN	échoppe
d'	ADP	de
A	PROPN	A
-	PROPN	-
Pik	PROPN	Pik
,	PUNCT	,
le	DET	le
bottier	NOUN	bottier
chinois	ADJ	chinois
,	PUNCT	,
acheva	VERB	achever
de	ADP	de
leur	PRON	leur
remettre	VERB	remettre
les	DET	le
jambes	NOUN	jambe
d'	ADP	de
aplomb	NOUN	aplomb
.	PUNCT	.
Leurs	DET	leur
têtes	NOUN	tête
seules	ADJ	seul
déliraient	VERB	délirer
un	DET	un
peu	ADV	peu
.	PUNCT	.
Un	PRON	un
des	ADP	de
six	PRON	six
,	PUNCT	,
je	PRON	je
crois	VERB	croire
que	SCONJ	que
c'	PRON	ce
était	AUX	être
Pouldu	PROPN	Pouldu
,	PUNCT	,
proposa	VERB	proposer
,	PUNCT	,
quand	SCONJ	quand
on	PRON	on
eut	AUX	avoir
pris	VERB	prendre
le	DET	le
café	NOUN	café
:	PUNCT	:

	SPACE	

—	PUNCT	—
Faut	VERB	falloir
aller	VERB	aller
finir	VERB	finir
la	DET	le
soirée	NOUN	soirée
chez	ADP	chez
madame	NOUN	monsieur
Ti	PROPN	Ti
-	PROPN	-
Ka	PROPN	Ka
.	PUNCT	.

	SPACE	

Barnavaux	PROPN	Barnavaux
approuva	VERB	approuver
,	PUNCT	,
d'	ADP	de
un	DET	un
signe	NOUN	signe
de	ADP	de
tête	NOUN	tête
.	PUNCT	.
Mais	CCONJ	mais
il	PRON	il
n'	ADV	n'
aimait	VERB	aimer
pas	ADV	pas
que	SCONJ	que
l'	DET	le
imagination	NOUN	imagination
des	ADP	de
camarades	NOUN	camarade
ne	ADV	ne
lui	PRON	lui
laissât	VERB	laisser
rien	PRON	rien
à	ADP	à
inventer	VERB	inventer
.	PUNCT	.
Il	PRON	il
ajouta	VERB	ajouter
:	PUNCT	:

	SPACE	

—	PUNCT	—
Un	DET	un
jour	NOUN	jour
comme	ADP	comme
aujourd'hui	ADV	aujourd'hui
,	PUNCT	,
faut	VERB	falloir
y	PRON	y
aller	VERB	aller
à	ADP	à
cheval	NOUN	cheval
.	PUNCT	.
C'	PRON	ce
est	AUX	être
plus	ADV	plus
glorieux	ADJ	glorieux
.	PUNCT	.

	SPACE	

Un	DET	un
boy	NOUN	boy
annamite	ADJ	annamite
alla	VERB	aller
chercher	VERB	chercher
des	DET	un
chevaux	NOUN	cheval
.	PUNCT	.
C'	PRON	ce
étaient	AUX	être
des	DET	un
poneys	NOUN	poney
venus	VERB	venir
du	ADP	de
nord	NOUN	nord
du	ADP	de
Tonkin	PROPN	Tonkin
.	PUNCT	.
Ils	PRON	il
avaient	VERB	avoir
les	DET	le
jambes	NOUN	jambe
fines	ADJ	fin
,	PUNCT	,
l'	DET	le
encolure	NOUN	encolure
un	DET	un
peu	ADV	peu
grosse	ADJ	gros
,	PUNCT	,
la	DET	le
croupe	NOUN	croupe
ronde	ADJ	rond
,	PUNCT	,
et	CCONJ	et
leurs	DET	leur
yeux	NOUN	oeil
brillaient	VERB	briller
sous	ADP	sous
la	DET	le
crinière	NOUN	crinière
rabattue	VERB	rabattre
comme	ADP	comme
ceux	PRON	celui
d'	ADP	de
un	DET	un
gamin	NOUN	gamin
d'	ADP	de
Europe	PROPN	Europe
sous	ADP	sous
ses	DET	son
cheveux	NOUN	cheveu
ébouriffés	VERB	ébouriffer
.	PUNCT	.
Des	DET	un
saïs	NOUN	saï
indigènes	ADJ	indigène
accompagnaient	VERB	accompagner
chacun	PRON	chacun
d'	ADP	de
eux	PRON	lui
,	PUNCT	,
courant	VERB	courir
à	ADP	à
leur	DET	leur
côté	NOUN	côté
.	PUNCT	.
Quelle	ADJ	quell
que	PRON	que
fût	AUX	être
l'	DET	le
allure	NOUN	allure
des	ADP	de
bêtes	NOUN	bête
,	PUNCT	,
ils	PRON	il
égalaient	VERB	égaler
leur	DET	leur
vitesse	NOUN	vitesse
,	PUNCT	,
sans	ADP	sans
s'	PRON	se
essouffler	VERB	essouffler
,	PUNCT	,
les	DET	le
coudes	NOUN	coude
au	ADP	au
corps	NOUN	corps
,	PUNCT	,
la	DET	le
poitrine	NOUN	poitrine
gonflée	VERB	gonfler
d'	ADP	de
air	NOUN	air
.	PUNCT	.
Les	DET	le
six	NUM	six
marsouins	NOUN	marsouin
mirent	VERB	mettre
leur	DET	leur
monture	NOUN	monture
au	ADP	au
galop	NOUN	galop
,	PUNCT	,
tenant	VERB	tenir
les	DET	le
brides	NOUN	bride
à	ADP	à
pleines	ADJ	plein
mains	NOUN	main
,	PUNCT	,
leurs	DET	leur
gros	ADJ	gros
souliers	NOUN	soulier
enfoncés	VERB	enfoncer
dans	ADP	dans
les	DET	le
étriers	NOUN	étrier
jusqu'	ADP	jusque
aux	ADP	à
talons	NOUN	talon
,	PUNCT	,
roulant	VERB	rouler
sur	ADP	sur
leurs	DET	leur
selles	NOUN	selle
et	CCONJ	et
se	PRON	se
relevant	VERB	relever
parfois	ADV	parfois
d'	ADP	de
un	DET	un
coup	NOUN	coup
de	ADP	de
reins	NOUN	rein
,	PUNCT	,
mal	ADV	mal
assurés	ADJ	assurer
et	CCONJ	et
intrépides	ADJ	intrépide
,	PUNCT	,
ridicules	ADJ	ridicule
mais	CCONJ	mais
fiers	ADJ	fier
jusqu'	ADP	jusque
au	ADP	au
fond	NOUN	fond
de	ADP	de
leurs	DET	leur
cœurs	NOUN	cœur
naïfs	ADJ	naïf
.	PUNCT	.

	SPACE	

—	PUNCT	—
Oui	ADV	oui
,	PUNCT	,
c'	PRON	ce
est	AUX	être
glorieux	ADJ	glorieux
,	PUNCT	,
répéta	VERB	répéter
Pouldu	PROPN	Pouldu
.	PUNCT	.
T'	PRON	te
as	VERB	avoir
raison	NOUN	raison
,	PUNCT	,
Barnavaux	PROPN	Barnavaux
!	PUNCT	!

	SPACE	

La	DET	le
cavalcade	NOUN	cavalcade
était	AUX	être
parvenue	VERB	parvenir
sur	ADP	sur
les	DET	le
bords	NOUN	bord
du	ADP	de
fleuve	NOUN	fleuve
Rouge	ADJ	rouge
.	PUNCT	.
Une	DET	un
usine	NOUN	usine
européenne	ADJ	européen
lança	VERB	lancer
ses	DET	son
cheminées	NOUN	cheminée
,	PUNCT	,
puis	CCONJ	puis
ce	PRON	ce
fut	AUX	être
une	DET	un
maison	NOUN	maison
annamite	ADJ	annamite
,	PUNCT	,
toute	ADV	toute
construite	VERB	construire
en	ADP	en
profondeur	NOUN	profondeur
,	PUNCT	,
ne	ADV	ne
montrant	VERB	montrer
sur	ADP	sur
la	DET	le
route	NOUN	route
qu'	ADV	qu'
une	DET	un
façade	NOUN	façade
étroite	ADJ	étroit
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
,	PUNCT	,
cependant	ADV	cependant
,	PUNCT	,
avait	VERB	avoir
une	DET	un
physionomie	NOUN	physionomie
.	PUNCT	.
On	PRON	on
eût	AUX	avoir
dit	VERB	dire
de	ADP	de
ces	DET	ce
ébauches	NOUN	ébauche
de	ADP	de
figure	NOUN	figure
humaine	ADJ	humain
,	PUNCT	,
à	ADP	à
la	DET	le
fois	NOUN	fois
grimaçantes	ADJ	grimaçant
et	CCONJ	et
synthétiques	ADJ	synthétique
,	PUNCT	,
que	PRON	que
les	DET	le
enfants	NOUN	enfant
de	ADP	de
nos	DET	notre
pays	NOUN	pays
tracent	VERB	tracer
sur	ADP	sur
les	DET	le
murs	NOUN	mur
.	PUNCT	.
Deux	NUM	Deux
lucarnes	NOUN	lucarne
carrées	ADJ	carré
formaient	VERB	former
les	DET	le
yeux	NOUN	oeil
.	PUNCT	.
Au	ADP	au
-	ADV	-
dessous	ADV	dessous
une	DET	un
fenêtre	NOUN	fenêtre
unique	ADJ	unique
simulait	VERB	simuler
un	DET	un
nez	NOUN	nez
,	PUNCT	,
et	CCONJ	et
la	DET	le
porte	NOUN	porte
,	PUNCT	,
tout	ADV	tout
en	ADP	en
bas	NOUN	bas
,	PUNCT	,
c'	PRON	ce
était	AUX	être
une	DET	un
bouche	NOUN	bouche
sans	ADP	sans
menton	NOUN	menton
.	PUNCT	.
Aux	ADP	à
