 
	SPACE	 

I	NOUN	i

	SPACE	

S'	SCONJ	s'
il	PRON	il
arrive	VERB	arrive
jamais	ADV	jamais
qu'	SCONJ	que
en	ADP	en
traversant	VERB	traverser
Poitiers	PROPN	Poitiers
,	PUNCT	,
un	PRON	un
de	ADP	de
ces	DET	ce
mille	NUM	mille
petits	ADJ	petit
accidents	NOUN	accident
dont	PRON	dont
se	PRON	se
compose	VERB	compose
la	DET	le
vie	NOUN	vie
humaine	ADJ	humain
vous	PRON	vous
oblige	VERB	obliger
de	ADP	de
séjourner	VERB	séjourner
tout	ADJ	tout
un	DET	un
jour	NOUN	jour
en	ADP	en
cette	DET	ce
ville	NOUN	ville
,	PUNCT	,
où	PRON	où
je	PRON	je
suppose	VERB	suppose
que	SCONJ	que
vous	PRON	vous
n'	ADV	n'
avez	VERB	avoir
ni	CCONJ	ni
parents	NOUN	parent
,	PUNCT	,
ni	CCONJ	ni
amis	NOUN	ami
,	PUNCT	,
ni	CCONJ	ni
intérêts	NOUN	intérêt
qui	PRON	qui
vous	PRON	vous
appellent	VERB	appeler
,	PUNCT	,
vous	PRON	vous
serez	VERB	être
pris	VERB	prendre
infailliblement	ADV	infailliblement
,	PUNCT	,
au	ADP	au
bout	NOUN	bout
d'	ADP	de
une	DET	un
heure	NOUN	heure
ou	CCONJ	ou
deux	NUM	deux
,	PUNCT	,
de	ADP	de
ce	DET	ce
morne	ADJ	morne
et	CCONJ	et
profond	ADJ	profond
ennui	NOUN	ennui
qui	PRON	qui
enveloppe	VERB	enveloppe
la	DET	le
province	NOUN	province
comme	ADP	comme
une	DET	un
atmosphère	NOUN	atmosphère
,	PUNCT	,
et	CCONJ	et
qu'	PRON	qu'
on	PRON	on
respire	VERB	respire
particulièrement	ADV	particulièrement
dans	ADP	dans
la	DET	le
capitale	NOUN	capitale
du	ADP	de
Poitou	PROPN	Poitou
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
sais	VERB	savoir
guère	ADV	guère
,	PUNCT	,
dans	ADP	dans
tout	ADJ	tout
le	DET	le
royaume	NOUN	royaume
,	PUNCT	,
que	SCONJ	que
Bourges	PROPN	Bourges
où	PRON	où
ce	DET	ce
fluide	NOUN	fluide
invisible	ADJ	invisible
,	PUNCT	,
mille	NUM	mille
fois	NOUN	fois
plus	ADV	plus
funeste	ADJ	funeste
que	SCONJ	que
le	DET	le
mistral	NOUN	mistral
ou	CCONJ	ou
le	DET	le
sirocco	NOUN	sirocco
,	PUNCT	,
soit	AUX	être
si	ADV	si
pénétrant	ADJ	pénétrant
,	PUNCT	,
si	ADV	si
subtil	ADJ	subtil
,	PUNCT	,
et	CCONJ	et
s'	PRON	se
infiltre	VERB	infiltre
dans	ADP	dans
tout	ADJ	tout
votre	DET	votre
être	NOUN	être
d'	ADP	de
une	DET	un
façon	NOUN	façon
plus	ADV	plus
soudaine	ADJ	soudain
et	CCONJ	et
plus	ADV	plus
imprévue	ADJ	imprévu
.	PUNCT	.
Encore	ADV	encore
,	PUNCT	,
à	ADP	à
Bourges	PROPN	Bourges
,	PUNCT	,
avez	AUX	avoir
-vous	PRON	vous
,	PUNCT	,
pour	ADP	pour
conjurer	VERB	conjurer
le	DET	le
fléau	NOUN	fléau
,	PUNCT	,
le	DET	le
pèlerinage	NOUN	pèlerinage
à	ADP	à
l'	DET	le
une	PRON	un
des	ADP	de
plus	ADV	plus
belles	ADJ	bel
cathédrales	NOUN	cathédrale
qu'	PRON	qu'
aient	AUX	avoir
élevées	VERB	élever
l'	DET	le
art	NOUN	art
et	CCONJ	et
la	DET	le
foi	NOUN	foi
catholiques	ADJ	catholique
;	PUNCT	;
il	PRON	il
y	PRON	y
a	VERB	avoir
là	ADV	là
de	ADP	de
quoi	PRON	quoi
défrayer	VERB	défrayer
l'	DET	le
admiration	NOUN	admiration
durant	ADP	durant
une	DET	un
semaine	NOUN	semaine
et	CCONJ	et
plus	ADV	plus
,	PUNCT	,
sans	ADP	sans
parler	VERB	parler
de	ADP	de
l'	DET	le
hôtel	NOUN	hôtel
de	ADP	de
Jacques	PROPN	Jacques
Cœur	PROPN	Cœur
,	PUNCT	,
autre	ADJ	autre
merveille	NOUN	merveille
,	PUNCT	,
où	PRON	où
vous	PRON	vous
pouvez	VERB	pouvoir
,	PUNCT	,
autre	ADJ	autre
distraction	NOUN	distraction
,	PUNCT	,
méditer	VERB	méditer
à	ADP	à
loisir	NOUN	loisir
sur	ADP	sur
l'	DET	le
ingratitude	NOUN	ingratitude
des	ADP	de
rois	NOUN	roi
.	PUNCT	.
Enfin	ADV	enfin
,	PUNCT	,
le	DET	le
long	ADV	long
de	ADP	de
ces	DET	ce
rues	NOUN	rue
désertes	ADJ	désert
où	PRON	où
l'	DET	le
herbe	NOUN	herbe
croît	VERB	croître
entre	ADP	entre
les	DET	le
pavés	NOUN	pavé
,	PUNCT	,
en	ADP	en
face	NOUN	face
de	ADP	de
ces	DET	ce
grands	ADJ	grand
hôtels	NOUN	hôtel
tristement	ADV	tristement
recueillis	VERB	recueillir
au	ADP	au
fond	NOUN	fond
de	ADP	de
leur	DET	leur
cour	NOUN	cour
silencieuse	ADJ	silencieux
,	PUNCT	,
l'	DET	le
ennui	NOUN	ennui
revêt	VERB	revêtir
bientôt	ADV	bientôt
,	PUNCT	,
à	ADP	à
votre	DET	votre
insu	NOUN	insu
,	PUNCT	,
un	DET	un
caractère	NOUN	caractère
de	ADP	de
mélancolie	NOUN	mélancolie
qui	PRON	qui
n'	ADV	n'
est	AUX	être
pas	ADV	pas
sans	ADP	sans
charme	NOUN	charme
.	PUNCT	.
Bourges	PROPN	Bourges
a	VERB	avoir
la	DET	le
poésie	NOUN	poésie
du	ADP	de
cloître	NOUN	cloître
:	PUNCT	:
Poitiers	PROPN	Poitiers
est	AUX	être
un	DET	un
tombeau	NOUN	tombeau
.	PUNCT	.
Si	SCONJ	si
donc	ADV	donc
,	PUNCT	,
malgré	ADP	malgré
les	DET	le
vœux	NOUN	vœu
sincères	ADJ	sincère
que	PRON	que
j'	PRON	je
adresse	VERB	adresse
au	ADP	au
ciel	NOUN	ciel
pour	ADP	pour
qu'	SCONJ	que
il	PRON	il
vous	PRON	vous
en	PRON	en
garde	VERB	garde
,	PUNCT	,
quelque	DET	quelque
génie	NOUN	génie
malfaisant	ADJ	malfaisant
,	PUNCT	,
quelque	DET	quelque
malencontreux	ADJ	malencontreux
hasard	NOUN	hasard
vous	PRON	vous
arrête	VERB	arrête
en	ADP	en
ces	DET	ce
sombres	ADJ	sombre
murs	NOUN	mur
,	PUNCT	,
ce	PRON	ce
que	PRON	que
vous	PRON	vous
aurez	VERB	avoir
de	ADP	de
mieux	ADV	mieux
à	ADP	à
faire	VERB	faire
,	PUNCT	,
sera	VERB	être
de	ADP	de
vous	PRON	vous
hâter	VERB	hâter
d'	ADP	de
en	PRON	en
sortir	VERB	sortir
.	PUNCT	.
La	DET	le
campagne	NOUN	campagne
est	AUX	être
à	ADP	à
deux	NUM	deux
pas	NOUN	pas
;	PUNCT	;
les	DET	le
alentours	NOUN	alentours
,	PUNCT	,
sans	ADP	sans
être	AUX	être
pittoresques	ADJ	pittoresque
,	PUNCT	,
ont	VERB	avoir
de	DET	de
riants	ADJ	riant
et	CCONJ	et
frais	ADJ	frais
aspects	NOUN	aspect
.	PUNCT	.
Gagnez	VERB	gagner
les	DET	le
bords	NOUN	bord
du	ADP	de
Clain	PROPN	Clain
.	PUNCT	.
Le	DET	le
Clain	PROPN	Clain
est	AUX	être
une	DET	un
petite	ADJ	petit
rivière	NOUN	rivière
à	ADP	à
laquelle	PRON	lequel
la	DET	le
Vienne	PROPN	Vienne
cède	VERB	céder
l'	DET	le
honneur	NOUN	honneur
d'	ADP	de
arroser	VERB	arroser
les	DET	le
prairies	NOUN	prairie
du	ADP	de
chef	NOUN	chef
-	NOUN	-
lieu	NOUN	lieu
de	ADP	de
son	DET	son
département	NOUN	département
.	PUNCT	.
Le	DET	le
Clain	PROPN	Clain
n'	ADV	n'
en	PRON	en
est	AUX	être
pour	ADP	pour
cela	PRON	cela
ni	CCONJ	ni
plus	ADV	plus
turbulent	ADJ	turbulent
ni	CCONJ	ni
plus	ADV	plus
fier	ADJ	fier
.	PUNCT	.
Égal	ADJ	égal
en	ADP	en
son	DET	son
humeur	NOUN	humeur
,	PUNCT	,
modeste	ADJ	modeste
en	ADP	en
son	DET	son
allure	NOUN	allure
,	PUNCT	,
c'	PRON	ce
est	AUX	être
un	DET	un
honnête	ADJ	honnête
ruisseau	NOUN	ruisseau
qui	PRON	qui
n'	ADV	n'
a	VERB	avoir
pas	ADV	pas
l'	DET	le
air	NOUN	air
de	ADP	de
se	PRON	se
douter	VERB	douter
qu'	SCONJ	que
il	PRON	il
passe	VERB	passer
au	ADP	au
pied	NOUN	pied
d'	ADP	de
une	DET	un
cour	NOUN	cour
royale	ADJ	royal
,	PUNCT	,
d'	ADP	de
un	DET	un
évêché	NOUN	évêché
et	CCONJ	et
d'	ADP	de
une	DET	un
préfecture	NOUN	préfecture
.	PUNCT	.
Si	SCONJ	si
vous	PRON	vous
suivez	VERB	suivre
le	DET	le
sentier	NOUN	sentier
,	PUNCT	,
en	ADP	en
remontant	VERB	remonter
le	DET	le
cours	NOUN	cours
de	ADP	de
l'	DET	le
eau	NOUN	eau
,	PUNCT	,
après	ADP	après
deux	NUM	deux
heures	NOUN	heure
de	ADP	de
marche	NOUN	marche
,	PUNCT	,
vous	PRON	vous
découvrirez	VERB	découvrir
un	DET	un
vallon	NOUN	vallon
dessiné	VERB	dessiner
par	ADP	par
l'	DET	le
élargissement	NOUN	élargissement
circulaire	ADJ	circulaire
des	ADP	de
deux	NUM	deux
collines	NOUN	colline
entre	ADP	entre
lesquelles	PRON	lequel
le	DET	le
Clain	PROPN	Clain
a	AUX	avoir
fait	VERB	faire
son	DET	son
lit	NOUN	lit
.	PUNCT	.
Imaginez	VERB	imaginer
