 
	SPACE	 

La	DET	le
Femme	NOUN	femme
du	ADP	de
capitaine	NOUN	capitaine
Aubépin	PROPN	Aubépin

	SPACE	

I	NUM	I

	SPACE	

En	ADP	en
 	SPACE	 
1862	NUM	1862
,	PUNCT	,
les	DET	le
environs	NOUN	environ
du	ADP	de
camp	NOUN	camp
de	ADP	de
Châlons	PROPN	Châlons
n'	ADV	n'
étaient	AUX	être
pas	ADV	pas
encore	ADV	encore
aménagés	VERB	aménager
de	ADP	de
façon	NOUN	façon
à	ADP	à
offrir	VERB	offrir
un	DET	un
abri	NOUN	abri
confortable	ADJ	confortable
aux	ADP	à
femmes	NOUN	femme
d'	ADP	de
officiers	NOUN	officier
que	PRON	que
le	DET	le
dévouement	NOUN	dévouement
conjugal	ADJ	conjugal
,	PUNCT	,
pour	ADP	pour
beaucoup	ADV	beaucoup
d'	ADP	de
entre	ADP	entre
elles	PRON	lui
,	PUNCT	,
et	CCONJ	et
la	DET	le
curiosité	NOUN	curiosité
pour	ADP	pour
beaucoup	ADV	beaucoup
d'	ADP	de
autres	ADJ	autre
,	PUNCT	,
amenaient	VERB	amener
dans	ADP	dans
ces	DET	ce
parages	NOUN	parage
crayeux	ADJ	crayeux
.	PUNCT	.

	SPACE	

La	DET	le
spéculation	NOUN	spéculation
n'	ADV	n'
avait	AUX	avoir
pas	ADV	pas
songé	VERB	songer
à	ADP	à
leur	PRON	leur
préparer	VERB	préparer
des	DET	un
logements	NOUN	logement
,	PUNCT	,
et	CCONJ	et
moins	ADV	moins
encore	ADV	encore
à	ADP	à
leur	PRON	leur
créer	VERB	créer
les	DET	le
villas	NOUN	villa
qu'	PRON	qu'
elle	PRON	lui
a	AUX	avoir
improvisées	VERB	improviser
depuis	ADP	depuis
lors	ADV	lors
.	PUNCT	.

	SPACE	

Il	PRON	il
fallait	VERB	falloir
chercher	VERB	chercher
un	DET	un
asile	NOUN	asile
à	ADP	à
peu	ADV	peu
près	ADV	près
décent	ADJ	décent
dans	ADP	dans
les	DET	le
fermes	NOUN	ferme
des	ADP	de
paysans	NOUN	paysan
ou	CCONJ	ou
dans	ADP	dans
les	DET	le
rares	ADJ	rare
maisons	NOUN	maison
de	ADP	de
campagne	NOUN	campagne
disséminées	VERB	disséminer
au	ADP	au
milieu	NOUN	milieu
de	ADP	de
la	DET	le
plaine	NOUN	plaine
champenoise	ADJ	champenois

	SPACE	

Il	PRON	il
fallait	VERB	falloir
s'	PRON	se
y	PRON	y
établir	VERB	établir
tant	ADV	tant
bien	ADV	bien
que	SCONJ	que
mal	ADV	mal
,	PUNCT	,
sans	ADP	sans
aises	NOUN	aise
,	PUNCT	,
sans	ADP	sans
luxe	NOUN	luxe
,	PUNCT	,
souvent	ADV	souvent
même	ADV	même
sans	ADP	sans
le	DET	le
nécessaire	NOUN	nécessaire
.	PUNCT	.

	SPACE	

Il	PRON	il
fallait	VERB	falloir
surtout	ADV	surtout
faire	VERB	faire
abnégation	NOUN	abnégation
absolue	ADJ	absolu
de	ADP	de
soi	PRON	soi
-	PRON	-
même	PRON	même
pour	ADP	pour
accepter	VERB	accepter
philosophiquement	ADV	philosophiquement
ces	DET	ce
installations	NOUN	installation
sommaires	ADJ	sommaire
et	CCONJ	et
ce	DET	ce
dénûment	NOUN	dénûment
relatif	ADJ	relatif
.	PUNCT	.

	SPACE	

Le	DET	le
Grand-Mourmelon	PROPN	Grand-Mourmelon
offrait	VERB	offrir
bien	ADV	bien
quelques	DET	quelque
ressources	NOUN	ressource
,	PUNCT	,
et	CCONJ	et
encore	ADV	encore
 	SPACE	 
!	PUNCT	!

	SPACE	

Du	ADP	de
reste	NOUN	reste
,	PUNCT	,
comme	SCONJ	comme
il	PRON	il
se	PRON	se
produit	VERB	produire
toujours	ADV	toujours
en	ADP	en
pareil	ADJ	pareil
cas	NOUN	cas
,	PUNCT	,
avant	ADP	avant
l'	DET	le
arrivée	NOUN	arrivée
des	ADP	de
dames	NOUN	dame
des	ADP	de
divers	ADJ	divers
régiments	NOUN	régiment
,	PUNCT	,
on	PRON	on
avait	AUX	avoir
vu	VERB	voir
s'	PRON	se
abattre	VERB	abattre
sur	ADP	sur
le	DET	le
village	NOUN	village
un	DET	un
essaim	NOUN	essaim
de	ADP	de
ces	DET	ce
folles	ADJ	fou
et	CCONJ	et
accapareuses	ADJ	accapareur
personnes	NOUN	personne
qui	PRON	qui
,	PUNCT	,
n'	ADV	n'
ayant	VERB	avoir
droit	NOUN	droit
à	ADP	à
rien	PRON	rien
,	PUNCT	,
s'	PRON	se
emparent	VERB	emparer
naturellement	ADV	naturellement
de	ADP	de
tout	PRON	tout
.	PUNCT	.

	SPACE	

Avec	ADP	avec
la	DET	le
galanterie	NOUN	galanterie
qui	PRON	qui
sied	VERB	seoir
si	ADV	si
bien	ADV	bien
à	ADP	à
l'	DET	le
uniforme	NOUN	uniforme
,	PUNCT	,
les	DET	le
officiers	NOUN	officier
garçons	NOUN	garçon
mirent	VERB	mettre
au	ADP	au
service	NOUN	service
des	ADP	de
nouvelles	ADJ	nouveau
venues	NOUN	venue
toute	ADJ	tout
leur	DET	leur
bonne	ADJ	bon
volonté	NOUN	volonté
,	PUNCT	,
toutes	ADJ	tout
leurs	DET	leur
démarches	NOUN	démarche
et	CCONJ	et
jusqu'	ADP	jusque
à	ADP	à
leurs	DET	leur
ordonnances	NOUN	ordonnance
,	PUNCT	,
pour	ADP	pour
les	PRON	le
aider	VERB	aider
dans	ADP	dans
cet	DET	ce
établissement	NOUN	établissement
de	ADP	de
hasard	NOUN	hasard
.	PUNCT	.

	SPACE	

Quitte	ADV	quitte
à	ADP	à
prendre	VERB	prendre
ensuite	ADV	ensuite
une	DET	un
mine	NOUN	mine
contrite	ADJ	contrit
quand	SCONJ	quand
les	DET	le
maris	NOUN	mari
,	PUNCT	,
leurs	DET	leur
camarades	NOUN	camarade
,	PUNCT	,
déplorèrent	VERB	déplorer
devant	ADP	devant
eux	PRON	lui
la	DET	le
difficulté	NOUN	difficulté
qu'	PRON	qu'
ils	PRON	il
éprouvaient	VERB	éprouver
à	ADP	à
caser	VERB	caser
leurs	DET	leur
infortunées	ADJ	infortuné
moitiés	NOUN	moitié
et	CCONJ	et
leurs	DET	leur
pauvres	ADJ	pauvre
petits	ADJ	petit
enfants	NOUN	enfant
.	PUNCT	.

	SPACE	

Les	DET	le
villages	NOUN	village
du	ADP	de
Petit-Mourmelon	PROPN	Petit-Mourmelon
,	PUNCT	,
de	ADP	de
Livry	PROPN	Livry
,	PUNCT	,
de	ADP	de
Louvercy	PROPN	Louvercy
reçurent	VERB	recevoir
en	ADP	en
masse	NOUN	masse
la	DET	le
visite	NOUN	visite
des	ADP	de
maris	NOUN	mari
désolés	ADJ	désolé
 	SPACE	 
;	PUNCT	;

	SPACE	

Ce	PRON	ce
fut	AUX	être
dans	ADP	dans
ces	DET	ce
chaumières	NOUN	chaumière
assez	ADV	assez
proprettes	ADJ	propret
,	PUNCT	,
mais	CCONJ	mais
effroyablement	ADV	effroyablement
incommodes	ADJ	incommode
,	PUNCT	,
qu'	PRON	qu'
ils	PRON	il
tentèrent	VERB	tenter
des	DET	un
miracles	NOUN	miracle
pour	ADP	pour
contenter	VERB	contenter
leurs	DET	leur
compagnes	NOUN	compagne
.	PUNCT	.

	SPACE	

Jugez	VERB	juger
donc	ADV	donc
 	SPACE	 
:	PUNCT	:

	SPACE	

Tel	DET	tel
mari	NOUN	mari
,	PUNCT	,
qui	PRON	qui
louait	VERB	louer
assez	ADV	assez
cher	ADJ	cher
deux	NUM	deux
misérables	ADJ	misérable
chambrettes	NOUN	chambrette
nues	ADJ	nu
,	PUNCT	,
avait	VERB	avoir
en	ADP	en
poche	NOUN	poche
le	DET	le
programme	NOUN	programme
détaillé	ADJ	détaillé
de	ADP	de
ce	PRON	ce
qu'	PRON	qu'
exigeait	VERB	exiger
sa	DET	son
femme	NOUN	femme
 	SPACE	 
:	PUNCT	:
«	PUNCT	«
 	SPACE	 
un	DET	un
salon	NOUN	salon
assez	ADV	assez
grand	ADJ	grand
pour	ADP	pour
y	PRON	y
offrir	VERB	offrir
le	DET	le
thé	NOUN	thé
aux	ADP	à
officiers	NOUN	officier
de	ADP	de
son	DET	son
bataillon	NOUN	bataillon
,	PUNCT	,
une	DET	un
chambre	NOUN	chambre
où	PRON	où
le	DET	le
berceau	NOUN	berceau
de	ADP	de
l'	DET	le
enfant	NOUN	enfant
fût	AUX	être
bien	ADV	bien
à	ADP	à
l'	DET	le
aise	NOUN	aise
,	PUNCT	,
une	DET	un
salle	NOUN	salle
à	ADP	à
manger	VERB	manger
petite	ADJ	petit
,	PUNCT	,
car	CCONJ	car
elle	PRON	lui
renonçait	VERB	renoncer
à	ADP	à
donner	VERB	donner
à	ADP	à
dîner	NOUN	dîner
au	ADP	au
camp	NOUN	camp
,	PUNCT	,
plus	ADP	plus
un	DET	un
coin	NOUN	coin
pour	ADP	pour
la	DET	le
bonne	ADJ	bon
.	PUNCT	.
 	SPACE	 
»	PUNCT	»

	SPACE	

Tel	DET	tel
autre	NOUN	autre
,	PUNCT	,
en	ADP	en
face	NOUN	face
du	ADP	de
carré	NOUN	carré
de	ADP	de
choux	NOUN	chou
,	PUNCT	,
émaillé	VERB	émailler
de	ADP	de
mauves	NOUN	mauve
sauvages	ADJ	sauvage
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
ouvrait	VERB	ouvrir
devant	ADP	devant
les	DET	le
fenêtres	NOUN	fenêtre
,	PUNCT	,
pensait	VERB	penser
douloureusement	ADV	douloureusement
à	ADP	à
l'	DET	le
ambition	NOUN	ambition
de	ADP	de
sa	DET	son
jeune	ADJ	jeune
femme	NOUN	femme
,	PUNCT	,
 	SPACE	 
--	PUNCT	--
 	SPACE	 
une	DET	un
nouvelle	ADJ	nouveau
mariée	NOUN	marié
lettrée	ADJ	lettré
